Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2014-06-19,26.15,27.4,26.06,26.7,26.4652702182,32014000.0,0.0,1.0
2014-06-20,26.7,27.45,26.7,26.95,26.71307237380001,3840000.0,0.0,1.0
2014-06-23,27.25,27.25,26.52,26.74,26.5049185631,1526300.0,0.0,1.0
2014-06-24,26.57,27.08,26.45,26.76,26.5247427356,1102900.0,0.0,1.0
2014-06-25,26.57,27.09,26.51,26.9,26.6635119427,921100.0,0.0,1.0
2014-06-26,26.79,27.24,26.77,26.98,26.7428086325,1161300.0,0.0,1.0
2014-06-27,26.98,27.23,26.7,26.98,26.7428086325,1097700.0,0.0,1.0
2014-06-30,27.18,27.18,26.67,26.98,26.7428086325,694500.0,0.0,1.0
2014-07-01,27.2,27.2,26.71,26.74,26.5049185631,999600.0,0.0,1.0
2014-07-02,26.62,27.09,26.62,26.77,26.534654821799997,1401700.0,0.0,1.0
2014-07-03,26.66,27.1,26.66,26.95,26.71307237380001,467900.0,0.0,1.0
2014-07-07,26.96,27.0,26.66,26.94,26.703160287600003,264600.0,0.0,1.0
2014-07-08,26.94,26.95,26.625999999999998,26.86,26.623863597800003,445300.0,0.0,1.0
2014-07-09,26.82,26.9601,26.73,26.88,26.6436877702,224400.0,0.0,1.0
2014-07-10,26.5,26.87,26.14,26.66,26.4256218733,470200.0,0.0,1.0
2014-07-11,26.66,26.94,26.55,26.68,26.4454460458,484500.0,0.0,1.0
2014-07-14,26.5,26.7,25.5,26.08,25.850720872300002,2140600.0,0.0,1.0
2014-07-15,25.97,26.12,25.75,26.0,25.7714241825,530900.0,0.0,1.0
2014-07-16,26.07,26.9,26.0,26.05,25.8209846137,276400.0,0.0,1.0
2014-07-17,26.0,26.21,25.95,26.04,25.811072527399997,276900.0,0.0,1.0
2014-07-18,25.8,26.08,25.8,26.05,25.8209846137,402900.0,0.0,1.0
2014-07-21,25.79,26.05,25.44,25.8,25.5731824581,1044900.0,0.0,1.0
2014-07-22,26.02,26.02,25.29,25.6,25.37494073360001,1213800.0,0.0,1.0
2014-07-23,25.6,25.94,25.134,25.77,25.5434461994,1004100.0,0.0,1.0
2014-07-24,25.51,25.83,25.291999999999998,25.68,25.454237423400002,579700.0,0.0,1.0
2014-07-25,25.49,26.1,25.21,26.05,25.8209846137,706800.0,0.0,1.0
2014-07-28,25.92,26.25,25.53,26.13,25.9002813034,306100.0,0.0,1.0
2014-07-29,26.25,26.3,25.95,25.96,25.7317758376,237300.0,0.0,1.0
2014-07-30,26.2,26.2,25.51,25.99,25.761512096300002,220700.0,0.0,1.0
2014-07-31,25.66,25.98,25.18,25.31,25.0874902331,367600.0,0.0,1.0
2014-08-01,25.06,25.435,24.83,25.0,24.780215560100004,400700.0,0.0,1.0
2014-08-04,25.05,25.54,24.93,25.46,25.2361715264,192200.0,0.0,1.0
2014-08-05,25.38,25.56,24.96,25.1,24.879336422399998,208500.0,0.0,1.0
2014-08-06,25.0,25.487,24.73,25.21,24.9883693708,128700.0,0.0,1.0
2014-08-07,25.41,25.54,25.06,25.4,25.1766990091,109500.0,0.0,1.0
2014-08-08,24.06,25.65,24.06,25.51,25.285731957600003,187300.0,0.0,1.0
2014-08-11,24.06,25.87,24.06,25.83,25.6029187167,152300.0,0.0,1.0
2014-08-12,25.95,26.37,25.68,26.17,25.939929648299998,550300.0,0.0,1.0
2014-08-13,26.22,26.35,25.28,25.42,25.1965231815,975300.0,0.0,1.0
2014-08-14,25.61,25.91,25.41,25.57,25.345204474899997,312600.0,0.0,1.0
2014-08-15,25.43,25.56,25.25,25.45,25.2262594402,540400.0,0.0,1.0
2014-08-18,25.38,25.815,25.0601,25.43,25.206435267800003,639600.0,0.0,1.0
2014-08-19,25.43,25.9,25.11,25.76,25.5335341132,543900.0,0.0,1.0
2014-08-20,25.5,26.58,25.5,25.95,25.721863751399997,866100.0,0.0,1.0
2014-08-21,25.73,26.09,25.33,25.53,25.30555613,279000.0,0.0,1.0
