Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,73.11,74.42,72.43,73.55,23.611507375100004,1163500.0,0.0,1.0
1999-11-02,73.74,73.74,71.06,71.06,22.8121511091,1002400.0,0.0,1.0
1999-11-03,71.68,72.12,70.43,70.43,22.609904343,1258400.0,0.0,1.0
1999-11-04,70.5,70.81,68.31,68.56,22.009584577,1373900.0,0.0,1.0
1999-11-05,67.57,68.06,64.32,66.13,21.2294899077,3043400.0,0.0,1.0
1999-11-08,66.01,67.25,64.32,66.51,21.3514800206,1901200.0,0.0,1.0
1999-11-09,66.82,67.32,65.01,65.38,20.988719948099998,1437900.0,0.0,1.0
1999-11-10,65.45,66.82,64.08,65.57,21.0497150045,1635500.0,0.0,1.0
1999-11-11,65.7,67.32,65.57,65.76,21.110710061,1647800.0,0.0,1.0
1999-11-12,65.76,66.44,61.27,62.45,20.0481119725,2037300.0,0.0,1.0
1999-11-15,62.45,63.83,61.4,63.08,20.2503587386,2933800.0,0.0,1.0
1999-11-16,63.83,65.45,63.64,64.82,20.8089450449,2067600.0,0.0,1.0
1999-11-17,64.82,67.07,64.82,66.94,21.4895214642,1866300.0,0.0,1.0
1999-11-18,66.44,67.44,66.07,66.13,21.2294899077,1743500.0,0.0,1.0
1999-11-19,66.82,67.63,66.57,67.07,21.531254923800002,2039600.0,0.0,1.0
1999-11-22,67.13,67.44,66.57,67.19,21.5697781174,1621100.0,0.0,1.0
1999-11-23,67.5,67.57,65.82,66.69,21.409264810899998,3654600.0,0.0,1.0
1999-11-24,66.07,68.81,66.07,68.5,21.9903229802,1429700.0,0.0,1.0
1999-11-26,68.06,68.13,67.32,67.88,21.7912864802,408400.0,0.0,1.0
1999-11-29,67.82,67.82,65.45,65.76,21.110710061,1039000.0,0.0,1.0
1999-11-30,65.76,65.76,63.58,64.57,20.7286883917,1541500.0,0.0,1.0
1999-12-01,64.95,65.95,64.08,65.76,21.110710061,1163200.0,0.0,1.0
1999-12-02,65.51,66.13,64.82,65.82,21.1299716578,649700.0,0.0,1.0
1999-12-03,65.45,67.69,65.45,67.19,21.5697781174,944100.0,0.0,1.0
1999-12-06,67.19,68.31,67.13,68.25,21.910066327,962100.0,0.0,1.0
1999-12-07,68.25,68.81,66.32,67.75,21.7495530206,1271900.0,0.0,1.0
1999-12-08,67.75,67.75,65.82,66.82,21.4509982706,537400.0,0.0,1.0
1999-12-09,67.19,67.44,63.95,65.45,21.011191811,819400.0,0.0,1.0
1999-12-10,65.7,65.7,63.58,63.58,20.410872045,447700.0,0.0,1.0
1999-12-13,63.95,65.2,63.76,64.48,20.6997959965,592500.0,0.0,1.0
1999-12-14,64.64,65.7,64.39,65.26,20.9501967546,1101000.0,0.0,1.0
1999-12-15,65.26,66.32,65.07,66.01,21.1909667142,919200.0,0.0,1.0
1999-12-16,65.82,66.07,64.89,65.07,20.8892016981,471200.0,0.0,1.0
1999-12-17,65.07,65.82,64.82,65.26,20.9501967546,1667600.0,0.0,1.0
1999-12-20,64.26,64.57,62.02,64.57,20.7286883917,682200.0,0.0,1.0
1999-12-21,63.95,64.32,62.83,64.32,20.648431738499998,586000.0,0.0,1.0
1999-12-22,63.7,63.76,62.89,63.45,20.3691385853,213900.0,0.0,1.0
1999-12-23,63.64,64.01,62.83,63.64,20.4301336417,667900.0,0.0,1.0
1999-12-27,63.64,64.51,63.51,64.26,20.6291701417,1206800.0,0.0,1.0
1999-12-28,64.14,66.38,64.08,66.07,21.210228310999998,913300.0,0.0,1.0
1999-12-29,66.75,66.75,65.25,65.94,21.2262796416,406900.0,0.18,1.0
1999-12-30,66.19,66.62,65.38,65.56,21.1039565257,231400.0,0.0,1.0
