Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,86.62,87.12,83.37,83.56,29.0687581899,4510867.0,0.0,1.0
1999-11-02,84.5,86.25,83.25,83.69,29.1139824427,3541600.0,0.0,1.0
1999-11-03,83.62,84.0,82.19,82.44,28.679133858,2648800.0,0.0,1.0
1999-11-04,83.88,85.94,83.5,84.12,29.2635703558,3869600.0,0.0,1.0
1999-11-05,86.13,87.38,85.62,86.25,30.0045523442,3433267.0,0.0,1.0
1999-11-08,86.31,86.62,84.12,84.38,29.354018861500002,2393600.0,0.0,1.0
1999-11-09,84.31,84.69,82.0,83.06,28.894818756,3235267.0,0.0,1.0
1999-11-10,82.06,82.25,80.56,80.56,28.025121586599997,3180067.0,0.0,1.0
1999-11-11,80.81,82.62,80.31,81.12,28.219933752600003,2292867.0,0.0,1.0
1999-11-12,82.56,85.0,82.5,85.0,29.569703759499998,3423267.0,0.0,1.0
1999-11-15,84.06,84.81,82.5,82.56,28.7208793221,3742000.0,0.0,1.0
1999-11-16,83.37,86.44,82.88,86.0,29.917582627199998,4490200.0,0.0,1.0
1999-11-17,85.06,85.19,81.63,81.87,28.480842903400003,3606800.0,0.0,1.0
1999-11-18,82.38,84.12,81.94,83.37,29.002661205,3071600.0,0.0,1.0
1999-11-19,83.5,84.38,82.5,83.0,28.8739460239,1998867.0,0.0,1.0
1999-11-22,82.5,82.56,80.69,81.87,28.480842903400003,2514267.0,0.0,1.0
1999-11-23,81.87,82.25,79.5,79.94,27.8094366886,3029267.0,0.0,1.0
1999-11-24,79.75,79.94,78.75,79.56,27.677242718899997,2521400.0,0.0,1.0
1999-11-26,80.88,80.88,79.06,79.06,27.503303285,794200.0,0.0,1.0
1999-11-29,78.81,78.81,76.31,76.94,26.7658000853,3480867.0,0.0,1.0
1999-11-30,76.62,79.25,76.56,77.25,26.8736425343,4031467.0,0.0,1.0
1999-12-01,77.13,78.0,76.56,77.39,26.922345575799998,3046200.0,0.0,1.0
1999-12-02,78.0,79.25,76.0,79.06,27.503303285,3261800.0,0.0,1.0
1999-12-03,80.94,83.37,80.81,82.0,28.5260671562,3844467.0,0.0,1.0
1999-12-06,82.0,82.0,77.37,78.87,27.4372063001,3321667.0,0.0,1.0
1999-12-07,78.5,79.19,77.37,78.63,27.3537153718,3702400.0,0.0,1.0
1999-12-08,78.38,78.63,76.88,77.72,27.0371456022,3171400.0,0.0,1.0
1999-12-09,78.0,79.38,76.06,77.88,27.092806221,3158800.0,0.0,1.0
1999-12-10,79.62,79.62,78.12,78.94,27.4615578208,3209067.0,0.0,1.0
1999-12-13,78.12,79.25,77.75,78.53,27.3189274851,1701867.0,0.0,1.0
1999-12-14,78.06,78.06,76.06,76.56,26.6336061156,2228000.0,0.0,1.0
1999-12-15,76.56,77.37,74.75,75.5,26.2648545158,3057600.0,0.0,1.0
1999-12-16,76.19,76.19,73.81,75.0,26.0909150819,2703400.0,0.0,1.0
1999-12-17,73.25,74.88,72.06,72.75,25.3081876294,6655667.0,0.0,1.0
1999-12-20,73.38,73.94,72.25,72.25,25.134248195500003,4137067.0,0.0,1.0
1999-12-21,72.38,76.5,72.12,75.0,26.0909150819,5240000.0,0.0,1.0
1999-12-22,75.0,75.63,74.0,74.88,26.0491696177,2252267.0,0.0,1.0
1999-12-23,76.25,77.94,76.06,77.5,26.960612251300002,2891600.0,0.0,1.0
1999-12-27,77.5,79.19,76.5,76.5,26.6127333835,2541200.0,0.0,1.0
1999-12-28,76.69,77.37,76.31,76.44,26.5918606515,1502200.0,0.0,1.0
1999-12-29,77.19,78.19,76.94,77.56,26.9814849833,1533467.0,0.0,1.0
1999-12-30,77.56,78.69,76.75,78.06,27.1554244172,1277400.0,0.0,1.0
1999-12-31,78.0,78.38,77.69,77.69,27.0267092362,773600.0,0.0,1.0
2000-01-03,74.75,75.38,72.12,72.87,25.3499330936,8012800.0,0.0,1.0
2000-01-04,70.62,71.19,69.19,70.88,24.8002844825,7815600.0,0.41,1.0
2000-01-05,70.25,72.56,69.0,70.44,24.6463323779,5809667.0,0.0,1.0
2000-01-06,70.12,72.94,69.75,71.44,24.9962235247,5579467.0,0.0,1.0
2000-01-07,72.63,73.5,71.0,72.75,25.4545809269,4381267.0,0.0,1.0
2000-01-10,72.75,73.38,71.5,71.5,25.0172169935,3149000.0,0.0,1.0
2000-01-11,70.0,70.44,68.25,69.81,24.4259009555,5603667.0,0.0,1.0
2000-01-12,69.69,70.88,69.5,70.25,24.57985306,4847867.0,0.0,1.0
2000-01-13,71.13,72.5,70.56,71.31,24.9507376756,4612600.0,0.0,1.0
2000-01-14,73.94,75.75,72.81,73.88,25.8499579228,6487867.0,0.0,1.0
2000-01-18,73.94,74.5,70.25,71.0,24.8422714201,3531067.0,0.0,1.0
2000-01-19,72.25,75.38,72.25,74.13,25.9374307095,10489800.0,0.0,1.0
2000-01-20,75.38,76.0,72.75,74.06,25.9129383292,5180200.0,0.0,1.0
2000-01-21,73.88,74.0,72.63,72.94,25.5210602448,3440400.0,0.0,1.0
2000-01-24,74.37,74.56,72.19,73.0,25.5420537136,4306067.0,0.0,1.0
2000-01-25,73.0,75.75,73.0,74.62,26.1088773714,5053267.0,0.0,1.0
2000-01-26,75.38,79.0,75.0,78.44,27.445461551999998,5591067.0,0.0,1.0
2000-01-27,79.44,81.5,78.56,80.69,28.2327166322,5443867.0,0.0,1.0
2000-01-28,79.56,79.56,76.62,76.69,26.8331520452,5000000.0,0.0,1.0
2000-01-31,76.81,81.5,76.81,80.69,28.2327166322,4773467.0,0.0,1.0
2000-02-01,82.44,84.5,81.31,83.75,29.3033835413,6434000.0,0.0,1.0
2000-02-02,83.0,84.19,81.38,82.38,28.824032670300003,4750800.0,0.0,1.0
2000-02-03,83.5,84.87,80.25,83.19,29.107444499099998,6133467.0,0.0,1.0
2000-02-04,82.5,83.31,81.56,81.75,28.6036012478,3410067.0,0.0,1.0
2000-02-07,82.19,83.37,81.75,82.19,28.7575533524,3122800.0,0.0,1.0
2000-02-08,84.06,86.13,84.0,85.06,29.761740943600003,4212400.0,0.0,1.0
2000-02-09,84.94,86.37,82.44,82.88,28.9989782436,6545667.0,0.0,1.0
2000-02-10,83.13,83.75,81.38,83.13,29.0864510303,4587000.0,0.0,1.0
2000-02-11,83.25,85.0,82.0,82.62,28.9080065455,4701667.0,0.0,1.0
2000-02-14,82.25,83.44,79.06,79.06,27.662394063,3936467.0,0.0,1.0
2000-02-15,80.06,82.5,79.62,81.06,28.3621763565,5977000.0,0.0,1.0
2000-02-16,81.0,82.19,79.0,79.5,27.816346167600003,3219800.0,0.0,1.0
2000-02-17,80.62,81.5,77.81,78.38,27.4244680832,3810800.0,0.0,1.0
2000-02-18,78.06,78.56,74.56,74.75,26.154363220500002,5414200.0,0.0,1.0
2000-02-22,76.0,78.87,75.12,77.25,27.029091087399998,4712400.0,0.0,1.0
2000-02-23,77.37,79.19,76.56,77.37,27.071078025,2968600.0,0.0,1.0
2000-02-24,77.25,77.56,74.62,76.0,26.5917271539,3466600.0,0.0,1.0
2000-02-25,76.62,78.75,74.88,75.87,26.5462413048,3096200.0,0.0,1.0
2000-02-28,76.75,80.25,76.38,77.94,27.270515978600002,4034000.0,0.0,1.0
2000-02-29,77.69,81.0,77.69,79.62,27.8583331052,4111267.0,0.0,1.0
2000-03-01,79.88,82.0,78.87,82.0,28.691074034499998,3244200.0,0.0,1.0
2000-03-02,80.5,81.12,79.75,80.56,28.1872307832,2389200.0,0.0,1.0
2000-03-03,82.0,82.38,79.38,81.12,28.3831698253,3987600.0,0.0,1.0
2000-03-06,82.94,84.38,82.25,83.44,29.1949172858,3794267.0,0.0,1.0
2000-03-07,83.44,84.19,81.0,81.81,28.624594716599997,3044600.0,0.0,1.0
2000-03-08,80.75,81.44,78.63,79.0,27.6414005942,3498467.0,0.0,1.0
2000-03-09,78.75,81.25,78.06,81.12,28.3831698253,2653000.0,0.0,1.0
2000-03-10,80.0,81.56,77.75,78.69,27.5329343387,3540867.0,0.0,1.0
2000-03-13,77.62,81.19,77.13,80.06,28.0122852098,3148867.0,0.0,1.0
2000-03-14,80.5,80.94,78.5,79.0,27.6414005942,2753067.0,0.0,1.0
2000-03-15,77.88,84.19,77.19,83.13,29.0864510303,5907800.0,0.0,1.0
2000-03-16,84.94,90.38,84.19,90.12,31.532190146199998,10423267.0,0.0,1.0
2000-03-17,89.25,92.25,88.5,91.0,31.840094355300003,7926067.0,0.0,1.0
2000-03-20,90.0,90.5,84.5,86.56,30.286577663699997,5384067.0,0.0,1.0
2000-03-21,86.44,92.5,85.5,92.0,32.1899855021,5563667.0,0.0,1.0
2000-03-22,90.63,92.13,88.75,91.56,32.0360333975,5736067.0,0.0,1.0
2000-03-23,91.0,99.19,90.94,98.5,34.4642779561,6954267.0,0.0,1.0
2000-03-24,97.0,100.75,96.0,96.19,33.656029407,6326000.0,0.0,1.0
2000-03-27,96.0,96.87,93.56,94.69,33.1311926869,3219267.0,0.0,1.0
2000-03-28,93.75,95.75,93.12,94.25,32.9772405823,4883800.0,0.0,1.0
2000-03-29,94.25,94.5,89.31,90.38,31.623161844400002,6058867.0,0.0,1.0
2000-03-30,89.44,90.75,85.94,87.0,30.4405297683,5344800.0,0.0,1.0
2000-03-31,88.0,88.38,86.0,87.19,30.5070090862,4536667.0,0.0,1.0
2000-04-03,87.94,93.0,87.81,92.5,32.3649310755,5673000.0,0.0,1.0
2000-04-04,91.5,91.88,83.0,86.75,30.5210047321,8425800.0,0.48,1.0
2000-04-05,84.25,86.94,84.25,86.37,30.3873104174,4873800.0,0.0,1.0
2000-04-06,87.0,88.25,86.81,87.44,30.7637654613,3235600.0,0.0,1.0
2000-04-07,88.25,88.25,86.0,86.37,30.3873104174,3276067.0,0.0,1.0
2000-04-10,85.5,89.06,85.12,88.12,31.0030079192,5243267.0,0.0,1.0
2000-04-11,87.0,87.87,85.0,86.0,30.257134374099998,5478067.0,0.0,1.0
2000-04-12,87.94,90.94,86.5,86.81,30.5421143607,6088867.0,0.0,1.0
2000-04-13,86.0,86.75,84.25,84.5,29.729393658299998,4520667.0,0.0,1.0
2000-04-14,82.0,82.38,75.75,78.87,27.7486068382,8723000.0,0.0,1.0
2000-04-17,77.5,79.44,74.94,78.63,27.6641683237,5805800.0,0.0,1.0
2000-04-18,78.25,80.94,78.06,80.5,28.3220850828,4555600.0,0.0,1.0
2000-04-19,80.75,81.0,75.63,78.0,27.4425172231,6038067.0,0.0,1.0
2000-04-20,78.12,78.19,76.25,77.31,27.199756493800002,3027067.0,0.0,1.0
2000-04-24,76.0,76.44,74.44,74.75,26.2990790054,5195200.0,0.0,1.0
2000-04-25,75.75,78.56,75.25,78.06,27.4636268517,4218067.0,0.0,1.0
2000-04-26,78.75,78.75,76.19,76.44,26.8936668786,3667000.0,0.0,1.0
2000-04-27,75.12,75.5,73.31,73.88,25.992989390300004,6198800.0,0.0,1.0
2000-04-28,74.25,74.69,71.75,72.12,25.373773616999998,5735467.0,0.0,1.0
2000-05-01,72.5,75.38,71.56,73.75,25.9472518615,5626467.0,0.0,1.0
2000-05-02,73.81,77.0,73.38,76.12,26.781082192600003,5607467.0,0.0,1.0
2000-05-03,75.19,76.75,74.25,74.25,26.1231654335,6213667.0,0.0,1.0
2000-05-04,75.12,75.44,72.87,73.25,25.7713382896,4114800.0,0.0,1.0
2000-05-05,72.0,72.75,70.5,72.19,25.3984015171,9670067.0,0.0,1.0
2000-05-08,71.62,73.19,71.31,72.0,25.331554359699997,3665067.0,0.0,1.0
2000-05-09,72.25,72.69,70.88,70.88,24.9375079586,4252000.0,0.0,1.0
2000-05-10,70.69,70.69,68.75,68.75,24.1881161421,4410667.0,0.0,1.0
2000-05-11,70.06,70.69,68.5,70.0,24.627900072,5235400.0,0.0,1.0
2000-05-12,69.12,72.87,68.13,71.62,25.1978600451,8147867.0,0.0,1.0
2000-05-15,72.75,75.19,72.06,74.62,26.2533414767,4468800.0,0.0,1.0
2000-05-16,76.62,76.69,73.69,74.25,26.1231654335,5283400.0,0.0,1.0
2000-05-17,73.25,74.94,73.06,74.0,26.0352086475,2900400.0,0.0,1.0
2000-05-18,73.75,76.38,73.75,75.12,26.4292550487,3437467.0,0.0,1.0
2000-05-19,74.62,74.94,72.25,72.5,25.5074679317,3409667.0,0.0,1.0
2000-05-22,73.25,73.25,70.5,72.19,25.3984015171,2776400.0,0.0,1.0
2000-05-23,71.94,74.56,71.94,73.12,25.7256007609,3472467.0,0.0,1.0
2000-05-24,72.5,73.44,70.5,71.62,25.1978600451,5715400.0,0.0,1.0
2000-05-25,72.0,73.75,69.75,70.25,24.7158568579,5147600.0,0.0,1.0
2000-05-26,70.38,71.25,69.38,70.5,24.8038136439,4109267.0,0.0,1.0
2000-05-30,71.62,73.5,71.13,73.5,25.8592950756,2798467.0,0.0,1.0
2000-05-31,73.0,75.38,73.0,74.69,26.277969376799998,3322067.0,0.0,1.0
2000-06-01,75.87,78.25,75.44,77.13,27.1364276079,5853067.0,0.0,1.0
2000-06-02,82.38,82.38,80.0,80.69,28.3889322401,5911600.0,0.0,1.0
2000-06-05,80.5,81.12,79.25,79.38,27.928038681599997,3260267.0,0.0,1.0
2000-06-06,79.38,79.38,76.5,77.0,27.0906900792,3697867.0,0.0,1.0
2000-06-07,77.44,78.44,76.62,76.88,27.0484708219,3934067.0,0.0,1.0
2000-06-08,77.69,77.69,75.38,76.5,26.9147765072,2650067.0,0.0,1.0
2000-06-09,77.0,78.63,71.37,73.31,25.7924479182,6863267.0,0.0,1.0
2000-06-12,49.38,49.75,48.19,48.59,25.6429213821,3428400.0,0.0,1.5
2000-06-13,48.38,48.5,47.62,48.19,25.4318250958,5649900.0,0.0,1.0
2000-06-14,48.88,50.38,48.25,50.06,26.4187002344,5920600.0,0.0,1.0
2000-06-15,49.81,49.88,46.62,48.81,25.7590243396,9911800.0,0.0,1.0
2000-06-16,46.75,46.94,44.12,45.44,23.9805381272,16619900.0,0.0,1.0
2000-06-19,45.38,47.38,45.12,46.88,24.740484758,7731000.0,0.0,1.0
2000-06-20,48.0,48.56,47.5,47.94,25.299889916799998,5643600.0,0.0,1.0
2000-06-21,47.69,47.94,46.38,47.0,24.8038136439,4059300.0,0.0,1.0
