Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,34.13,34.25,33.63,34.0,3.87358997684,249667.0,0.0,1.0
1999-11-02,34.0,35.13,33.88,35.0,3.98751909381,272200.0,0.0,1.0
1999-11-03,35.0,35.25,34.75,35.19,4.0091656260300015,68000.0,0.0,1.0
1999-11-04,35.06,35.13,34.94,35.06,3.9943548408300003,57200.0,0.0,1.0
1999-11-05,35.13,35.13,34.75,35.0,3.98751909381,69267.0,0.0,1.0
1999-11-08,34.88,35.25,34.88,34.94,3.9806833467900002,102400.0,0.0,1.0
1999-11-09,35.06,35.31,34.94,35.19,4.0091656260300015,258200.0,0.0,1.0
1999-11-10,35.25,35.25,34.56,34.69,3.95220106755,133200.0,0.0,1.0
1999-11-11,34.75,34.75,34.31,34.75,3.9590368145699997,126467.0,0.0,1.0
1999-11-12,34.81,34.88,34.56,34.63,3.94536532053,97867.0,0.0,1.0
1999-11-15,34.5,34.5,34.0,34.0,3.87358997684,79067.0,0.0,1.0
1999-11-16,34.13,34.5,33.88,34.0,3.87358997684,184667.0,0.0,1.0
1999-11-17,34.13,34.5,33.81,34.5,3.9305545353300007,240067.0,0.0,1.0
1999-11-18,34.25,34.31,34.06,34.25,3.9020722560900003,54400.0,0.0,1.0
1999-11-19,34.13,34.63,33.81,34.63,3.94536532053,79400.0,0.0,1.0
1999-11-22,34.44,34.44,33.75,33.94,3.8667542298300006,117800.0,0.0,1.0
1999-11-23,33.81,34.13,33.75,33.88,3.8599184828099995,138667.0,0.0,1.0
1999-11-24,33.75,34.0,33.63,33.81,3.8519434446199994,86000.0,0.0,1.0
1999-11-26,33.75,34.0,33.5,33.5,3.8166254183599997,26800.0,0.0,1.0
1999-11-29,33.44,33.5,33.0,33.19,3.7813073921,70267.0,0.0,1.0
1999-11-30,33.06,33.5,33.0,33.25,3.7881431391199993,133467.0,0.0,1.0
1999-12-01,33.25,33.38,33.06,33.38,3.80295392433,148000.0,0.0,1.0
1999-12-02,33.38,33.38,33.0,33.25,3.7881431391199993,296267.0,0.0,1.0
1999-12-03,33.31,33.5,33.13,33.38,3.80295392433,141067.0,0.0,1.0
1999-12-06,33.38,33.5,33.38,33.5,3.8166254183599997,87667.0,0.0,1.0
1999-12-07,33.25,33.38,32.75,33.0,3.7596608598800003,350600.0,0.0,1.0
1999-12-08,33.0,33.06,32.25,32.38,3.68902480736,997267.0,0.0,1.0
1999-12-09,32.31,33.0,32.19,32.88,3.74598936584,136400.0,0.0,1.0
1999-12-10,32.81,33.38,32.44,32.44,3.6958605543800003,135600.0,0.0,1.0
1999-12-13,32.25,32.88,31.75,31.81,3.62408521069,191200.0,0.0,1.0
1999-12-14,31.88,31.94,30.88,31.25,3.56028490519,309600.0,0.0,1.0
1999-12-15,31.38,32.0,31.13,32.0,3.6457317429100002,174000.0,0.0,1.0
1999-12-16,31.81,32.25,31.44,31.69,3.61041371665,450000.0,0.0,1.0
1999-12-17,32.19,33.69,32.09,33.0,3.7596608598800003,385667.0,0.0,1.0
1999-12-20,33.38,34.5,33.38,34.25,3.9020722560900003,378400.0,0.0,1.0
1999-12-21,34.38,34.63,33.81,34.25,3.9020722560900003,193000.0,0.0,1.0
1999-12-22,34.25,34.5,33.25,33.75,3.8451076976,160267.0,0.0,1.0
1999-12-23,33.75,34.13,33.56,33.81,3.8519434446199994,141067.0,0.0,1.0
1999-12-27,33.94,34.06,33.25,34.0,3.87358997684,208400.0,0.0,1.0
1999-12-28,33.81,34.25,33.5,34.06,3.8804257238599997,276867.0,0.0,1.0
1999-12-29,34.0,34.25,33.75,34.19,3.8952365090699996,230000.0,0.0,1.0
1999-12-30,33.25,34.13,33.19,34.0,3.94878319404,183600.0,0.66,1.0
1999-12-31,34.06,34.06,33.56,33.88,3.9348463121800004,69000.0,0.0,1.0
2000-01-03,34.06,34.06,33.75,33.88,3.9348463121800004,53600.0,0.0,1.0
2000-01-04,33.88,33.88,33.25,33.56,3.8976812938800003,119000.0,0.0,1.0
2000-01-05,33.5,34.0,33.25,33.94,3.94181475311,112600.0,0.0,1.0
