Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2011-02-11,31.7,32.14,30.75,31.05,20.6108571183,50610600.0,0.0,1.0
2011-02-14,31.05,31.3,30.7,30.7,20.3785286162,6275900.0,0.0,1.0
2011-02-15,30.9,31.15,30.73,30.94,20.537839589100003,4337800.0,0.0,1.0
2011-02-16,31.05,31.44,30.66,30.72,20.391804530599998,4627100.0,0.0,1.0
2011-02-17,30.68,31.09,30.51,30.55,20.2789592581,3290700.0,0.0,1.0
2011-02-18,30.65,31.39,30.4,31.37,20.8232717489,2583800.0,0.0,1.0
2011-02-22,31.14,31.43,30.71,30.72,20.391804530599998,2454300.0,0.0,1.0
2011-02-23,30.76,30.9,30.25,30.42,20.1926658145,2671200.0,0.0,1.0
2011-02-24,30.55,30.65,30.3,30.46,20.2192176433,1698000.0,0.0,1.0
2011-02-25,30.53,30.75,30.3,30.5,20.2457694721,2225900.0,0.0,1.0
2011-02-28,30.57,30.79,30.42,30.5,20.2457694721,2380400.0,0.0,1.0
2011-03-01,30.65,30.78,30.23,30.45,20.2125796861,1908000.0,0.0,1.0
2011-03-02,30.57,30.69,30.26,30.57,20.2922351725,2197000.0,0.0,1.0
2011-03-03,30.68,30.77,30.53,30.77,20.4249943166,1901800.0,0.0,1.0
2011-03-04,30.8,30.9392,30.66,30.85,20.4780979743,892300.0,0.0,1.0
2011-03-07,30.94,31.04,30.7,30.9,20.5112877603,1049600.0,0.0,1.0
2011-03-08,30.8,31.04,30.8,30.97,20.5577534607,827400.0,0.0,1.0
2011-03-09,30.9,30.98,30.74,30.75,20.4117184022,294100.0,0.0,1.0
2011-03-10,30.71,30.71,29.75,30.1,19.980251184,2715200.0,0.0,1.0
2011-03-11,30.1,30.48,29.97,30.1,19.980251184,1896900.0,0.0,1.0
2011-03-14,30.0,30.22,29.8,29.99,19.9072336547,1967700.0,0.0,1.0
2011-03-15,29.81,30.2,29.6,29.88,19.8342161255,1968400.0,0.0,1.0
2011-03-16,29.89,30.16,29.76,30.05,19.9470613979,2062200.0,0.0,1.0
2011-03-17,30.2,30.41,30.06,30.15,20.01344097,1511400.0,0.0,1.0
2011-03-18,30.21,30.5,30.08,30.5,20.2457694721,1906600.0,0.0,1.0
2011-03-21,30.53,31.0,30.4,30.82,20.4581841026,1253000.0,0.0,1.0
2011-03-22,30.9,30.98,30.57,30.7,20.3785286162,1014700.0,0.0,1.0
2011-03-23,30.53,30.67,29.95,30.02,19.9271475263,2570500.0,0.0,1.0
2011-03-24,30.1,30.25,29.9,30.05,19.9470613979,1411600.0,0.0,1.0
2011-03-25,30.01,30.0899,29.5,29.52,19.5952496661,2687100.0,0.0,1.0
2011-03-28,29.74,29.93,29.56,29.62,19.6616292382,1552900.0,0.0,1.0
2011-03-29,29.75,29.8846,29.54,29.79,19.7744745106,1313800.0,0.0,1.0
2011-03-30,29.87,29.89,29.58,29.69,19.7080949386,769700.0,0.0,1.0
2011-03-31,29.8,29.87,29.51,29.64,19.6749051526,884400.0,0.0,1.0
2011-04-01,29.79,29.85,29.49,29.5,19.5819737517,1869200.0,0.0,1.0
2011-04-04,29.44,29.7,29.25,29.44,19.542146008499998,1177900.0,0.0,1.0
2011-04-05,29.49,29.64,29.0,29.44,19.542146008499998,1021200.0,0.0,1.0
2011-04-06,29.46,29.49,29.21,29.46,19.5554219229,725100.0,0.0,1.0
2011-04-07,29.52,29.56,29.13,29.22,19.39611095,1226100.0,0.0,1.0
2011-04-08,29.22,29.42,29.12,29.33,19.4691284793,934800.0,0.0,1.0
2011-04-11,29.3,29.41,29.07,29.25,19.4160248216,1160900.0,0.0,1.0
2011-04-12,29.1,29.24,28.27,28.73,19.070851047,1278100.0,0.0,1.0
2011-04-13,28.74,29.02,28.66,28.83,19.137230619100002,2766900.0,0.0,1.0
2011-04-14,28.79,29.16,28.57,29.12,19.329731377999998,785800.0,0.0,1.0
2011-04-15,29.11,29.15,28.69,28.88,19.1704204051,863900.0,0.0,1.0
2011-04-18,28.79,28.8399,28.23,28.52,18.9314539457,882400.0,0.0,1.0
