Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,21.25,21.75,21.12,21.62,8.46984345381,3602700.0,0.0,1.0
1999-11-02,21.31,22.25,20.69,21.25,8.32489238637,4842400.0,0.0,1.0
1999-11-03,21.69,21.69,20.81,21.12,8.27396363295,4163500.0,0.0,1.0
1999-11-04,21.19,21.94,21.06,21.62,8.46984345381,3241100.0,0.0,1.0
1999-11-05,22.25,22.81,21.75,22.62,8.86160309552,4738000.0,0.0,1.0
1999-11-08,22.62,22.75,22.25,22.69,8.889026270439999,2108800.0,0.0,1.0
1999-11-09,23.06,23.06,22.37,22.62,8.86160309552,3031900.0,0.0,1.0
1999-11-10,22.37,22.94,22.25,22.5,8.81459193851,2419200.0,0.0,1.0
1999-11-11,22.5,22.94,22.44,22.94,8.98696618087,1433500.0,0.0,1.0
1999-11-12,23.12,24.25,23.12,24.12,9.449242558089999,5049400.0,0.0,1.0
1999-11-15,24.12,24.12,23.5,23.62,9.25336273723,2479700.0,0.0,1.0
1999-11-16,23.87,24.0,23.12,23.56,9.22985715873,3397000.0,0.0,1.0
1999-11-17,23.31,23.81,23.19,23.19,9.08490609129,2361300.0,0.0,1.0
1999-11-18,23.31,23.75,23.12,23.62,9.25336273723,3246600.0,0.0,1.0
1999-11-19,23.31,23.62,22.75,23.12,9.057482916369999,2165500.0,0.0,1.0
1999-11-22,22.87,23.19,22.56,22.56,8.83809751702,3029300.0,0.0,1.0
1999-11-23,22.81,23.37,22.0,22.25,8.71665202809,3846800.0,0.0,1.0
1999-11-24,22.0,23.56,21.62,23.12,9.057482916369999,2877600.0,0.0,1.0
1999-11-26,23.44,23.69,23.06,23.37,9.155422826799999,1099000.0,0.0,1.0
1999-11-29,23.12,23.12,22.56,22.87,8.95954300595,2106500.0,0.0,1.0
1999-11-30,21.37,21.62,20.94,21.31,8.34839796488,5947300.0,0.0,1.0
1999-12-01,21.5,22.19,21.37,21.56,8.4463378753,3554800.0,0.0,1.0
1999-12-02,21.56,21.62,20.75,20.94,8.20344689744,3414300.0,0.0,1.0
1999-12-03,21.12,21.56,20.5,20.56,8.05457823359,3554500.0,0.0,1.0
1999-12-06,19.44,19.56,15.31,15.31,5.99784011461,26029700.0,0.0,1.0
1999-12-07,16.0,16.25,15.19,16.12,6.31516542439,28156800.0,0.0,1.0
1999-12-08,16.44,16.5,15.75,16.0,6.26815426739,10831900.0,0.0,1.0
1999-12-09,16.0,16.12,15.0,15.38,6.025263289530001,9293600.0,0.0,1.0
1999-12-10,15.5,16.19,15.44,16.06,6.29165984589,10654400.0,0.0,1.0
1999-12-13,15.81,16.56,15.5,16.09,6.303412635140001,9666000.0,0.0,1.0
1999-12-14,15.94,16.06,15.5,15.5,6.07227444653,6620800.0,0.0,1.0
1999-12-15,15.44,15.56,14.88,14.94,5.85288904717,10273800.0,0.0,1.0
1999-12-16,15.06,16.0,14.94,16.0,6.26815426739,8158600.0,0.0,1.0
1999-12-17,16.0,16.25,15.81,16.25,6.366094177819999,7833500.0,0.0,1.0
1999-12-20,16.0,16.5,15.94,16.25,6.366094177819999,4935900.0,0.0,1.0
1999-12-21,16.37,16.69,16.31,16.69,6.538468420169999,6132300.0,0.0,1.0
1999-12-22,16.56,18.06,16.56,17.62,6.902804886960001,9406900.0,0.0,1.0
1999-12-23,17.87,19.5,17.69,19.37,7.588384259960001,9110400.0,0.0,1.0
1999-12-27,19.25,19.75,18.56,19.19,7.517867524450001,4729500.0,0.0,1.0
1999-12-28,19.19,19.31,18.87,19.25,7.54137310295,3008300.0,0.0,1.0
1999-12-29,19.25,19.31,18.94,18.94,7.41992761402,3072700.0,0.0,1.0
1999-12-30,19.12,19.12,18.87,19.12,7.490444349530001,2327300.0,0.0,1.0
1999-12-31,19.0,19.12,18.75,18.87,7.3925044391,1418300.0,0.0,1.0
2000-01-03,19.12,19.25,18.75,18.94,7.41992761402,5669600.0,0.0,1.0
2000-01-04,18.81,19.69,18.75,19.56,7.662818591880001,8995300.0,0.0,1.0
2000-01-05,19.44,20.19,19.37,19.87,7.784264080810001,7645500.0,0.0,1.0
2000-01-06,19.87,19.87,18.56,19.12,7.490444349530001,8843200.0,0.0,1.0
2000-01-07,19.0,19.25,18.69,18.94,7.41992761402,6679100.0,0.0,1.0
2000-01-10,18.94,18.94,18.44,18.44,7.224047793160001,4412000.0,0.0,1.0
2000-01-11,17.94,18.5,17.81,18.31,7.1731190397399995,4896300.0,0.0,1.0
2000-01-12,18.25,19.06,18.25,18.56,7.27105895017,3317900.0,0.0,1.0
2000-01-13,18.62,19.19,18.31,19.0,7.44343319252,5589900.0,0.0,1.0
2000-01-14,19.06,19.12,18.25,18.44,7.224047793160001,3428400.0,0.0,1.0
2000-01-18,18.62,18.62,17.62,18.0,7.051673550810001,4726100.0,0.0,1.0
2000-01-19,18.0,18.19,17.75,18.0,7.051673550810001,2838100.0,0.0,1.0
2000-01-20,18.06,18.06,17.19,17.37,6.80486497653,3568900.0,0.0,1.0
2000-01-21,17.44,17.44,16.69,16.81,6.58547957717,4075500.0,0.0,1.0
2000-01-24,17.0,17.12,16.06,16.31,6.38959975632,5800100.0,0.0,1.0
2000-01-25,16.19,16.25,15.81,16.12,6.31516542439,3858300.0,0.0,1.0
2000-01-26,16.06,16.81,16.06,16.5,6.46403408824,6618500.0,0.0,1.0
2000-01-27,16.87,17.69,16.81,16.94,6.636408330599999,7468500.0,0.0,1.0
2000-01-28,16.81,17.12,16.56,16.56,6.487539666749999,4410600.0,0.0,1.0
