Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,70.63,70.69,66.88,67.0,9.334517685589999,306300.0,0.0,1.0
1999-11-02,67.0,68.25,66.13,66.13,9.21330827684,212000.0,0.0,1.0
1999-11-03,65.63,68.13,65.25,67.5,9.404178265339999,592100.0,0.0,1.0
1999-11-04,67.63,69.25,66.94,67.0,9.334517685589999,274200.0,0.0,1.0
1999-11-05,67.0,68.19,67.0,67.88,9.45712030594,363500.0,0.0,1.0
1999-11-08,67.38,68.63,67.38,68.25,9.50866913495,357100.0,0.0,1.0
1999-11-09,68.19,68.38,67.31,67.56,9.4125375349,259200.0,0.0,1.0
1999-11-10,67.38,67.63,66.63,66.69,9.29132812615,248000.0,0.0,1.0
1999-11-11,66.88,66.88,65.94,66.0,9.195196526110001,230200.0,0.0,1.0
1999-11-12,66.19,66.63,66.0,66.19,9.22166754641,239200.0,0.0,1.0
1999-11-15,66.19,66.63,65.38,65.44,9.117176676789999,369400.0,0.0,1.0
1999-11-16,65.44,66.81,65.13,66.75,9.29968739572,310500.0,0.0,1.0
1999-11-17,66.88,67.44,66.13,66.31,9.23838608555,192200.0,0.0,1.0
1999-11-18,66.56,66.69,65.63,66.19,9.22166754641,177000.0,0.0,1.0
1999-11-19,66.06,66.38,65.31,65.31,9.09906492606,319400.0,0.0,1.0
1999-11-22,65.13,66.13,65.0,65.56,9.13389521593,289600.0,0.0,1.0
1999-11-23,65.31,66.0,65.0,65.94,9.186837256539999,466900.0,0.0,1.0
1999-11-24,64.94,65.5,64.38,64.69,9.01268580718,161000.0,0.0,1.0
1999-11-26,64.44,64.63,64.38,64.38,8.969496247739999,80900.0,0.0,1.0
1999-11-29,63.81,64.0,62.75,63.31,8.82042260709,268500.0,0.0,1.0
1999-11-30,63.31,64.44,63.31,64.0,8.91655420713,529900.0,0.0,1.0
1999-12-01,63.75,65.13,63.5,64.25,8.951384497000001,641100.0,0.0,1.0
1999-12-02,64.25,65.44,64.06,64.94,9.04751609705,270400.0,0.0,1.0
1999-12-03,65.13,66.0,64.69,64.88,9.03915682748,280300.0,0.0,1.0
1999-12-06,66.0,66.0,64.75,64.94,9.04751609705,210100.0,0.0,1.0
1999-12-07,64.94,64.94,63.06,63.25,8.81206333752,164000.0,0.0,1.0
1999-12-08,63.44,63.44,61.75,62.75,8.74240275777,386300.0,0.0,1.0
1999-12-09,62.63,62.81,62.0,62.06,8.64627115773,246800.0,0.0,1.0
1999-12-10,62.13,63.13,61.75,61.75,8.60308159829,452100.0,0.0,1.0
1999-12-13,61.75,62.75,60.81,61.0,8.498590728669999,418000.0,0.0,1.0
1999-12-14,61.06,61.31,60.31,60.44,8.420570879360001,280300.0,0.0,1.0
1999-12-15,60.19,61.06,60.06,60.5,8.42893014893,373300.0,0.0,1.0
1999-12-16,60.31,61.06,59.88,59.88,8.34255103005,258300.0,0.0,1.0
1999-12-17,59.94,59.94,59.13,59.94,8.35091029962,392000.0,0.0,1.0
1999-12-20,59.81,60.25,59.81,59.88,8.34255103005,331600.0,0.0,1.0
1999-12-21,59.69,59.88,59.0,59.25,8.25477869957,429800.0,0.0,1.0
1999-12-22,59.25,61.88,59.25,60.94,8.4902314591,285300.0,0.0,1.0
1999-12-23,61.44,63.0,61.06,61.44,8.55989203885,278500.0,0.0,1.0
1999-12-27,61.44,61.44,60.31,60.5,8.42893014893,231800.0,0.0,1.0
1999-12-28,60.25,60.38,58.5,59.81,8.33279854888,393600.0,0.0,1.0
1999-12-29,60.0,60.0,59.0,59.69,8.31608000975,137300.0,0.0,1.0
1999-12-30,59.81,61.19,59.63,61.13,8.516702479410004,221300.0,0.0,1.0
1999-12-31,60.88,61.0,60.31,60.69,8.455401169229999,72700.0,0.0,1.0
2000-01-03,60.19,60.5,58.94,59.06,8.22830767927,413700.0,0.0,1.0
2000-01-04,58.81,59.5,58.63,58.69,8.17675885026,341000.0,0.0,1.0
2000-01-05,58.63,59.19,58.31,58.38,8.13356929082,300300.0,0.0,1.0
2000-01-06,57.75,58.13,57.5,57.94,8.07226798065,333800.0,0.0,1.0
2000-01-07,57.81,59.13,57.75,58.88,8.203229870560001,250600.0,0.0,1.0
2000-01-10,59.0,59.25,57.88,58.56,8.15864709953,432500.0,0.0,1.0
2000-01-11,58.38,59.25,58.38,58.5,8.15028782996,312100.0,0.0,1.0
2000-01-12,58.69,59.5,58.69,59.25,8.25477869957,202100.0,0.0,1.0
2000-01-13,59.25,60.69,59.25,60.19,8.385740589489998,218300.0,0.0,1.0
2000-01-14,60.69,60.94,59.63,60.38,8.412211609789999,188100.0,0.0,1.0
2000-01-18,61.13,61.13,60.38,60.63,8.44704189966,358600.0,0.0,1.0
