Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,41.12,42.0,39.75,39.81,7.13937541505,765700.0,0.0,1.0
1999-11-02,39.88,39.94,39.06,39.12,7.015633414630001,611500.0,0.0,1.0
1999-11-03,39.62,39.62,38.06,38.31,6.87037106633,693800.0,0.0,1.0
1999-11-04,38.44,39.19,37.31,37.56,6.73586889197,1288100.0,0.0,1.0
1999-11-05,38.06,38.19,37.0,37.5,6.7251087180199995,450300.0,0.0,1.0
1999-11-08,37.25,37.62,36.75,36.94,6.6246804278299996,519000.0,0.0,1.0
1999-11-09,36.94,37.5,36.5,36.5,6.5457724855400015,941600.0,0.0,1.0
1999-11-10,36.62,38.0,36.31,36.81,6.60136671761,1351500.0,0.0,1.0
1999-11-11,37.0,37.38,35.0,36.38,6.5242521376400004,879500.0,0.0,1.0
1999-11-12,36.81,37.94,35.88,37.69,6.75918260219,437800.0,0.0,1.0
1999-11-15,37.5,38.94,37.5,38.5,6.904444950499999,761600.0,0.0,1.0
1999-11-16,38.75,39.19,37.75,38.56,6.915205124450001,967400.0,0.0,1.0
1999-11-17,38.44,39.0,38.19,38.69,6.93851883467,570700.0,0.0,1.0
1999-11-18,38.75,38.75,37.81,38.19,6.8488507184300005,485200.0,0.0,1.0
1999-11-19,38.0,39.5,38.0,39.0,6.994113066739999,817900.0,0.0,1.0
1999-11-22,38.62,39.0,38.38,38.75,6.94927900862,536300.0,0.0,1.0
1999-11-23,38.56,38.75,37.97,38.12,6.83629718215,750700.0,0.0,1.0
1999-11-24,38.31,39.38,38.12,38.88,6.97259271884,404500.0,0.0,1.0
1999-11-26,38.94,39.62,38.69,39.5,7.08378118298,421300.0,0.0,1.0
1999-11-29,39.44,42.12,39.44,41.69,7.47652753211,1358900.0,0.0,1.0
1999-11-30,41.56,42.69,41.25,42.14,7.5572288367299985,1096200.0,0.0,1.0
1999-12-01,42.44,42.62,41.38,42.0,7.5590221990499975,1194100.0,0.15,1.0
1999-12-02,42.0,42.19,40.75,41.69,7.50322941615,1210600.0,0.0,1.0
1999-12-03,42.0,42.19,41.25,41.31,7.43483826292,546600.0,0.0,1.0
1999-12-06,41.5,41.69,40.94,40.94,7.368246876880001,809400.0,0.0,1.0
1999-12-07,40.94,41.75,40.0,40.62,7.310654326799999,784700.0,0.0,1.0
1999-12-08,40.38,41.69,40.12,40.12,7.22066596728,814200.0,0.0,1.0
1999-12-09,40.19,40.38,39.31,39.69,7.143275978099999,672400.0,0.0,1.0
1999-12-10,39.62,41.75,39.19,41.75,7.514028019289999,1118100.0,0.0,1.0
1999-12-13,41.5,41.5,40.5,41.0,7.37904548003,479000.0,0.0,1.0
1999-12-14,41.12,42.5,40.62,41.69,7.50322941615,1083200.0,0.0,1.0
1999-12-15,41.94,43.12,41.88,42.81,7.70480334146,1030700.0,0.0,1.0
1999-12-16,42.5,44.06,42.5,43.81,7.884780060489999,591800.0,0.0,1.0
1999-12-17,43.88,43.88,41.75,41.75,7.514028019289999,1179400.0,0.0,1.0
1999-12-20,42.12,42.94,41.75,41.81,7.52482662244,473100.0,0.0,1.0
1999-12-21,41.62,42.44,41.12,41.44,7.4582352364,589700.0,0.0,1.0
1999-12-22,41.31,42.0,41.31,41.5,7.46903383954,616000.0,0.0,1.0
1999-12-23,41.94,43.0,41.38,43.0,7.738998918080001,479500.0,0.0,1.0
1999-12-27,42.12,43.12,42.0,42.25,7.604016378810001,325300.0,0.0,1.0
1999-12-28,42.88,43.06,42.44,42.94,7.7282003149300005,238800.0,0.0,1.0
1999-12-29,42.81,43.0,42.06,42.38,7.6274133522800005,402200.0,0.0,1.0
1999-12-30,42.38,42.56,42.31,42.56,7.659809161699999,399200.0,0.0,1.0
1999-12-31,42.38,43.31,42.06,43.31,7.79479170097,162800.0,0.0,1.0
2000-01-03,43.44,43.69,40.31,40.56,7.29985572365,963500.0,0.0,1.0
2000-01-04,40.44,41.12,39.62,39.75,7.15407458124,1200200.0,0.0,1.0
2000-01-05,39.62,39.94,39.19,39.19,7.05328761859,435400.0,0.0,1.0
2000-01-06,40.06,40.06,37.88,38.56,6.9399022856,1056900.0,0.0,1.0
2000-01-07,39.12,39.25,38.38,38.81,6.98489646536,780800.0,0.0,1.0
2000-01-10,38.69,39.0,38.25,38.31,6.894908105850001,684400.0,0.0,1.0
2000-01-11,38.38,38.62,36.88,37.12,6.68073581021,886300.0,0.0,1.0
2000-01-12,37.25,37.69,36.19,36.69,6.6033458210300005,728800.0,0.0,1.0
2000-01-13,36.62,36.69,34.94,35.06,6.30998376902,1146300.0,0.0,1.0
2000-01-14,34.62,36.19,34.62,35.12,6.32078237216,1047200.0,0.0,1.0
2000-01-18,34.94,35.62,33.88,34.19,6.15340402347,521100.0,0.0,1.0
2000-01-19,34.25,34.5,33.5,34.0,6.119208446849999,825500.0,0.0,1.0
2000-01-20,33.75,34.31,32.78,34.06,6.130007049990001,751400.0,0.0,1.0
2000-01-21,34.44,34.44,33.12,33.31,5.99502451072,1265100.0,0.0,1.0
2000-01-24,33.31,33.31,31.81,32.75,5.8942375480699996,541000.0,0.0,1.0
2000-01-25,32.38,33.12,32.31,32.56,5.860041971449999,1255600.0,0.0,1.0
2000-01-26,33.25,33.44,32.44,32.62,5.870840574600001,710600.0,0.0,1.0
2000-01-27,33.12,33.44,31.5,31.81,5.72505943219,1500300.0,0.0,1.0
2000-01-28,31.88,31.94,30.19,30.5,5.48928993026,1869600.0,0.0,1.0
2000-01-31,30.75,30.94,30.31,30.69,5.523485506880001,663200.0,0.0,1.0
2000-02-01,30.88,32.12,30.75,31.12,5.60087549606,1524000.0,0.0,1.0
2000-02-02,32.0,35.0,31.62,33.25,5.98422590758,1787500.0,0.0,1.0
2000-02-03,35.0,36.0,33.75,34.81,6.26498958926,2328300.0,0.0,1.0
2000-02-04,35.06,35.56,34.56,35.5,6.38917352539,1731100.0,0.0,1.0
2000-02-07,35.69,35.69,34.81,34.94,6.28838656273,1334800.0,0.0,1.0
2000-02-08,35.5,35.62,34.88,35.5,6.38917352539,1101200.0,0.0,1.0
2000-02-09,35.5,35.56,34.25,34.5,6.2091968063600005,649000.0,0.0,1.0
2000-02-10,34.75,34.75,34.06,34.31,6.17500122975,704800.0,0.0,1.0
2000-02-11,34.38,34.38,33.12,33.31,5.99502451072,586800.0,0.0,1.0
2000-02-14,33.38,33.62,32.69,33.5,6.02922008734,704000.0,0.0,1.0
2000-02-15,33.75,34.12,33.69,33.81,6.085012870240001,692500.0,0.0,1.0
2000-02-16,33.75,33.75,30.5,31.12,5.60087549606,1295200.0,0.0,1.0
2000-02-17,31.38,31.81,30.62,30.69,5.523485506880001,926500.0,0.0,1.0
