Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2006-10-13,17.0,18.39,16.9,18.18,26.8141053279,50545200.0,0.0,1.0
2006-10-16,18.88,18.89,18.08,18.11,26.7108606979,9162700.0,0.0,1.0
2006-10-17,18.07,18.08,17.6608,17.97,26.504371438000003,6965200.0,0.0,1.0
2006-10-18,18.24,18.24,17.59,17.67,26.061894452399997,5937600.0,0.0,1.0
2006-10-19,17.67,17.7896,17.21,17.27,25.471925138200003,5926800.0,0.0,1.0
2006-10-20,17.4,17.9,17.25,17.85,26.3273806437,5761200.0,0.0,1.0
2006-10-23,17.85,18.1,17.65,17.79,26.2388852466,4609200.0,0.0,1.0
2006-10-24,17.8,18.08,17.72,17.9,26.401126808,3521200.0,0.0,1.0
2006-10-25,17.98,18.09,17.61,18.07,26.6518637665,4859600.0,0.0,1.0
2006-10-26,18.23,19.93,18.07,19.31,28.4807686404,18918800.0,0.0,1.0
2006-10-27,19.6,20.1,19.38,20.07,29.601710337199997,15557600.0,0.0,1.0
2006-10-30,20.27,21.1,20.12,20.33,29.9851903914,7756000.0,0.0,1.0
2006-10-31,20.6,20.98,19.78,20.0,29.4984657073,5288000.0,0.0,1.0
2006-11-01,20.2,20.43,19.75,19.75,29.129734885900003,3416400.0,0.0,1.0
2006-11-02,19.75,20.4,19.5,19.51,28.775753297399998,3286800.0,0.0,1.0
2006-11-03,19.64,19.97,19.6,19.85,29.277227214499998,3148000.0,0.0,1.0
2006-11-06,19.9,20.27,19.77,19.99,29.4837164744,3369200.0,0.0,1.0
2006-11-07,20.0,20.15,19.76,19.96,29.439468775799998,2827600.0,0.0,1.0
2006-11-08,19.51,19.62,18.8,19.18,28.289028613299998,6203600.0,0.0,1.0
2006-11-09,19.28,20.2,19.1,20.2,29.7934503643,3969200.0,0.0,1.0
2006-11-10,20.0,20.11,19.51,19.99,29.4837164744,3062400.0,0.0,1.0
2006-11-13,19.96,19.96,19.72,19.88,29.321474913000003,1331200.0,0.0,1.0
2006-11-14,19.92,20.06,19.7,19.94,29.409970310100004,2080000.0,0.0,1.0
2006-11-15,19.94,20.12,19.85,20.02,29.527964173,2366800.0,0.0,1.0
2006-11-16,19.96,20.08,19.85,20.08,29.6164595701,1496000.0,0.0,1.0
2006-11-17,20.0,20.0,19.64,19.77,29.159233351599998,1943600.0,0.0,1.0
2006-11-20,19.85,19.89,19.33,19.5,28.7610040646,1708000.0,0.0,1.0
2006-11-21,19.4,19.45,19.0,19.26,28.4070224761,6373200.0,0.0,1.0
2006-11-22,18.94,19.48,18.8,19.33,28.510267106100002,5877600.0,0.0,1.0
2006-11-24,19.02,19.2,18.98,19.17,28.2742793804,564400.0,0.0,1.0
2006-11-27,19.0,19.1,18.45,18.9,27.8760500934,3306000.0,0.0,1.0
2006-11-28,18.6,18.942999999999998,18.08,18.9,27.8760500934,3128800.0,0.0,1.0
2006-11-29,19.15,19.19,18.9,19.04,28.0825393533,1834400.0,0.0,1.0
2006-11-30,19.0,19.0699,18.76,18.97,27.9792947233,986400.0,0.0,1.0
2006-12-01,18.93,18.95,18.71,18.82,27.758056230500003,1486000.0,0.0,1.0
2006-12-04,18.62,18.8,18.57,18.76,27.669560833400002,1227600.0,0.0,1.0
2006-12-05,18.75,19.07,18.68,18.98,27.9940439562,1480000.0,0.0,1.0
2006-12-06,18.98,19.11,18.734,19.1,28.1710347504,2320800.0,0.0,1.0
2006-12-07,19.2,19.25,18.9,19.21,28.3332763118,1459200.0,0.0,1.0
2006-12-08,19.06,19.45,19.05,19.35,28.539765571799997,2180800.0,0.0,1.0
2006-12-11,19.35,19.5,18.91,18.96,27.9645454905,1998400.0,0.0,1.0
2006-12-12,18.9,19.82,18.75,19.72,29.0854871874,3784800.0,0.0,1.0
2006-12-13,19.1,19.1,18.12,18.24,26.902600725,9166400.0,0.0,1.0
2006-12-14,18.25,18.34,17.65,17.96,26.4896222051,6538800.0,0.0,1.0
2006-12-15,18.23,18.85,18.0,18.7,27.5810654363,15317200.0,0.0,1.0
2006-12-18,18.6,18.65,18.13,18.18,26.8141053279,3076000.0,0.0,1.0
2006-12-19,18.03,18.14,17.76,17.9,26.401126808,3659600.0,0.0,1.0
2006-12-20,17.9,18.17,17.8,17.95,26.474872972300002,1712800.0,0.0,1.0
2006-12-21,17.9,18.03,17.75,17.85,26.3273806437,1865600.0,0.0,1.0
2006-12-22,17.9,17.9399,17.78,17.85,26.3273806437,2151200.0,0.0,1.0
2006-12-26,17.85,17.94,17.65,17.67,26.061894452399997,1289200.0,0.0,1.0
2006-12-27,17.67,17.72,17.41,17.51,25.8259067267,1857600.0,0.0,1.0
2006-12-28,17.9,17.9,17.51,17.75,26.1798883152,2082000.0,0.0,1.0
2006-12-29,17.78,17.9,17.67,17.79,26.2388852466,1907200.0,0.0,1.0
2007-01-03,17.87,18.2,17.79,18.18,26.8141053279,2858000.0,0.0,1.0
2007-01-04,18.25,18.33,17.9,18.09,26.681362232199998,1592400.0,0.0,1.0
2007-01-05,17.7,18.08,17.52,17.55,25.8849036581,1828000.0,0.0,1.0
2007-01-08,17.55,17.67,17.33,17.66,26.0471452195,2019600.0,0.0,1.0
2007-01-09,17.55,17.73,17.41,17.68,26.0766436852,3208400.0,0.0,1.0
2007-01-10,17.77,17.97,17.6,17.78,26.22413601380001,1753200.0,0.0,1.0
2007-01-11,17.78,18.5,17.74,17.94,26.4601237394,3437600.0,0.0,1.0
2007-01-12,17.92,18.38,17.71,17.75,26.1798883152,2276800.0,0.0,1.0
2007-01-16,17.75,17.78,17.51,17.67,26.061894452399997,2017200.0,0.0,1.0
2007-01-17,17.61,18.08,17.6,17.99,26.533869903699998,2367600.0,0.0,1.0
2007-01-18,17.8,17.8,17.39,17.41,25.6784143982,3298000.0,0.0,1.0
2007-01-19,17.38,17.68,16.98,17.68,26.0766436852,3820000.0,0.0,1.0
2007-01-22,17.76,18.13,17.68,18.07,26.6518637665,3817200.0,0.0,1.0
2007-01-23,18.02,18.39,17.8,18.25,26.9173499579,2132400.0,0.0,1.0
2007-01-24,18.05,18.41,17.83,18.28,26.9615976564,2965200.0,0.0,1.0
2007-01-25,18.25,18.39,18.14,18.34,27.0500930536,3153600.0,0.0,1.0
2007-01-26,18.25,18.58,18.18,18.44,27.1975853821,2829200.0,0.0,1.0
2007-01-29,18.43,18.57,18.32,18.51,27.3008300121,2014000.0,0.0,1.0
2007-01-30,18.57,18.84,18.35,18.67,27.536817737699998,1932400.0,0.0,1.0
2007-01-31,18.85,18.92,18.46,18.55,27.3598269435,4255200.0,0.0,1.0
2007-02-01,18.5,18.59,17.87,18.15,26.7698576293,6714000.0,0.0,1.0
2007-02-02,18.16,18.47,18.12,18.44,27.1975853821,3072800.0,0.0,1.0
2007-02-05,18.4,18.64,18.28,18.56,27.3745761763,2031600.0,0.0,1.0
2007-02-06,18.5,18.6,18.46,18.5,27.286080779200002,1431200.0,0.0,1.0
2007-02-07,18.43,18.55,18.21,18.27,26.946848423600002,1981600.0,0.0,1.0
2007-02-08,18.25,18.7,18.25,18.68,27.5515669706,2356400.0,0.0,1.0
2007-02-09,18.75,18.8,18.33,18.48,27.256582313499997,1245600.0,0.0,1.0
2007-02-12,18.48,18.5,17.95,17.99,26.533869903699998,2746000.0,0.0,1.0
2007-02-13,18.15,18.3,17.81,17.99,26.533869903699998,2213600.0,0.0,1.0
2007-02-14,18.1,18.23,17.96,18.15,26.7698576293,1664000.0,0.0,1.0
2007-02-15,18.3,18.35,18.15,18.17,26.799356095,1252000.0,0.0,1.0
2007-02-16,18.18,18.33,18.12,18.33,27.035343820700003,749200.0,0.0,1.0
2007-02-20,18.33,18.6,18.05,18.51,27.3008300121,1068400.0,0.0,1.0
2007-02-21,18.47,18.73,18.33,18.36,27.0795915193,1178800.0,0.0,1.0
2007-02-22,18.11,18.66,18.01,18.36,27.0795915193,1428400.0,0.0,1.0
2007-02-23,18.42,18.44,18.25,18.26,26.9320991907,620400.0,0.0,1.0
2007-02-26,18.53,18.8,18.48,18.49,27.2713315464,2260400.0,0.0,1.0
2007-02-27,18.23,18.46,17.93,18.05,26.6223653008,1660400.0,0.0,1.0
2007-02-28,17.91,18.2,17.9,18.03,26.5928668351,2221200.0,0.0,1.0
2007-03-01,17.9,18.2,17.72,17.99,26.533869903699998,1454400.0,0.0,1.0
2007-03-02,17.91,18.08,17.57,17.64,26.0176467538,2338400.0,0.0,1.0
2007-03-05,17.56,17.91,17.52,17.67,26.061894452399997,1746000.0,0.0,1.0
2007-03-06,17.77,17.97,17.7,17.92,26.4306252737,1013600.0,0.0,1.0
2007-03-07,17.91,17.99,17.75,17.84,26.3126314109,660000.0,0.0,1.0
2007-03-08,17.93,17.97,17.51,17.75,26.1798883152,2068400.0,0.0,1.0
2007-03-09,17.7,17.89,17.5,17.8,26.253634479499997,1062400.0,0.0,1.0
2007-03-12,17.8,17.92,17.72,17.75,26.1798883152,2317200.0,0.0,1.0
2007-03-13,17.67,17.7599,17.5,17.53,25.8554051924,1035200.0,0.0,1.0
2007-03-14,17.5,17.64,17.35,17.64,26.0176467538,910800.0,0.0,1.0
2007-03-15,17.75,17.9,17.71,17.88,26.3716283423,1123200.0,0.0,1.0
2007-03-16,17.88,18.18,17.87,18.14,26.755108396500002,2046800.0,0.0,1.0
2007-03-19,18.01,18.31,17.94,18.22,26.873102259299998,1086800.0,0.0,1.0
2007-03-20,18.21,18.25,17.98,18.0,26.5486191365,1152400.0,0.0,1.0
2007-03-21,18.01,18.09,17.9,17.95,26.474872972300002,1968000.0,0.0,1.0
2007-03-22,17.97,18.02,17.86,18.01,26.5633683694,1696000.0,0.0,1.0
2007-03-23,18.0,18.01,17.85,17.9,26.401126808,1640400.0,0.0,1.0
2007-03-26,17.98,17.99,17.62,17.7,26.106142150900002,1246000.0,0.0,1.0
2007-03-27,17.71,17.73,17.56,17.63,26.002897520900003,1132800.0,0.0,1.0
2007-03-28,17.6,17.74,17.48,17.61,25.9733990552,1823600.0,0.0,1.0
2007-03-29,17.65,17.7,17.37,17.47,25.766909795300002,1649600.0,0.0,1.0
2007-03-30,17.566,17.65,17.24,17.32,25.5456713025,1710400.0,0.0,1.0
2007-04-02,17.4,17.62,17.36,17.48,25.781659028099998,1660400.0,0.0,1.0
2007-04-03,17.52,17.85,17.52,17.76,26.194637548000003,2166000.0,0.0,1.0
2007-04-04,17.78,17.78,17.6,17.63,26.002897520900003,1264800.0,0.0,1.0
2007-04-05,17.55,17.55,16.86,16.92,24.9557019883,4546000.0,0.0,1.0
2007-04-09,16.8,17.05,16.7,17.03,25.117943549699998,4143200.0,0.0,1.0
2007-04-10,16.98,17.03,16.88,16.88,24.8967050569,1938800.0,0.0,1.0
2007-04-11,16.9,17.24,16.6,17.1,25.221188179699997,4248000.0,0.0,1.0
2007-04-12,17.55,18.1,17.55,18.0,26.5486191365,9040800.0,0.0,1.0
