Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,16.44,16.94,16.38,16.69,6.310922334680001,269100.0,0.0,1.0
1999-11-02,16.75,17.31,16.75,17.06,6.450828941259999,408600.0,0.0,1.0
1999-11-03,17.0,17.06,16.75,16.81,6.3612130878499995,250400.0,0.013000000000000001,1.0
1999-11-04,17.06,17.31,16.94,17.19,6.50501207497,229200.0,0.0,1.0
1999-11-05,17.38,17.63,17.38,17.63,6.67151616531,269900.0,0.0,1.0
1999-11-08,17.63,17.69,17.5,17.63,6.67151616531,218200.0,0.0,1.0
1999-11-09,17.69,17.81,17.44,17.44,6.59961667175,344600.0,0.0,1.0
1999-11-10,17.25,17.69,17.25,17.63,6.67151616531,279100.0,0.0,1.0
1999-11-11,17.38,17.56,17.0,17.25,6.5277171782000005,326900.0,0.0,1.0
1999-11-12,17.31,17.38,16.94,17.0,6.4331125814100005,269700.0,0.0,1.0
1999-11-15,17.0,17.69,17.0,17.69,6.69422126854,182600.0,0.0,1.0
1999-11-16,17.19,18.5,17.19,18.5,7.0007401621200005,294800.0,0.0,1.0
1999-11-17,18.38,18.38,17.63,17.63,6.67151616531,187700.0,0.0,1.0
1999-11-18,17.56,17.63,17.06,17.5,6.6223217749800005,343000.0,0.0,1.0
1999-11-19,17.38,17.5,17.0,17.25,6.5277171782000005,309900.0,0.0,1.0
1999-11-22,17.13,17.31,16.88,17.06,6.4558176846399995,141500.0,0.0,1.0
1999-11-23,16.81,17.5,16.5,17.13,6.48230697174,300100.0,0.0,1.0
1999-11-24,17.06,17.19,16.38,16.44,6.22119828461,184000.0,0.0,1.0
1999-11-26,16.5,17.13,16.44,16.94,6.410407478180001,56100.0,0.0,1.0
1999-11-29,16.69,16.69,16.25,16.5,6.2439033878400005,169300.0,0.0,1.0
1999-11-30,16.44,17.0,16.31,16.31,6.1720038942799995,202900.0,0.0,1.0
1999-12-01,16.56,16.69,16.19,16.19,6.12659368782,135300.0,0.0,1.0
1999-12-02,16.25,17.06,16.25,16.44,6.22119828461,176800.0,0.0,1.0
1999-12-03,16.56,17.0,16.56,16.94,6.410407478180001,232700.0,0.0,1.0
1999-12-06,17.19,17.19,16.75,16.88,6.38770237495,265500.0,0.0,1.0
1999-12-07,16.94,16.94,16.56,16.56,6.2666084910699995,83100.0,0.0,1.0
1999-12-08,16.63,16.63,15.63,15.69,5.93738449425,280900.0,0.0,1.0
1999-12-09,15.94,15.94,15.5,15.56,5.88819010393,202700.0,0.0,1.0
1999-12-10,15.81,15.94,15.38,15.56,5.88819010393,297500.0,0.0,1.0
1999-12-13,15.75,16.5,15.44,16.5,6.2439033878400005,260000.0,0.0,1.0
1999-12-14,16.38,16.38,15.56,15.75,5.9600895974800014,394400.0,0.0,1.0
1999-12-15,15.56,15.81,15.44,15.56,5.88819010393,816700.0,0.0,1.0
1999-12-16,15.63,15.81,15.5,15.56,5.88819010393,514800.0,0.0,1.0
1999-12-17,15.5,15.5,15.5,15.5,5.865485000700001,411800.0,0.0,1.0
1999-12-20,15.5,16.19,15.5,15.75,5.9600895974800014,219600.0,0.0,1.0
1999-12-21,15.56,16.5,15.56,16.0,6.05469419427,379900.0,0.0,1.0
1999-12-22,15.81,16.06,15.69,15.81,5.9827947007099995,359000.0,0.0,1.0
1999-12-23,15.81,16.06,15.75,16.0,6.05469419427,526300.0,0.0,1.0
1999-12-27,15.94,16.13,15.75,15.81,5.9827947007099995,366900.0,0.0,1.0
1999-12-28,15.81,16.06,15.75,15.88,6.00928398781,174800.0,0.0,1.0
1999-12-29,15.94,16.38,15.88,16.38,6.19849318138,162400.0,0.0,1.0
1999-12-30,16.38,16.56,15.75,16.44,6.22119828461,197100.0,0.0,1.0
1999-12-31,16.38,16.5,16.0,16.25,6.1492987910500005,166800.0,0.0,1.0
2000-01-03,16.13,16.25,15.75,15.94,6.03198909104,190300.0,0.0,1.0
2000-01-04,15.69,16.0,15.69,15.81,5.9827947007099995,269500.0,0.0,1.0
2000-01-05,15.88,16.06,15.81,15.88,6.00928398781,109500.0,0.0,1.0
2000-01-06,15.81,15.94,15.69,15.88,6.00928398781,251300.0,0.0,1.0
2000-01-07,15.88,16.31,15.81,16.19,6.12659368782,449500.0,0.0,1.0
2000-01-10,16.19,16.5,16.0,16.31,6.1720038942799995,1035400.0,0.0,1.0
2000-01-11,16.38,16.38,16.0,16.0,6.05469419427,285400.0,0.0,1.0
2000-01-12,16.25,16.56,15.75,16.13,6.1038885846,446700.0,0.0,1.0
2000-01-13,16.38,16.75,16.38,16.5,6.2439033878400005,153400.0,0.0,1.0
2000-01-14,16.63,17.0,16.56,16.56,6.2666084910699995,197300.0,0.0,1.0
2000-01-18,16.63,16.69,16.44,16.44,6.22119828461,335100.0,0.0,1.0
2000-01-19,16.06,16.63,16.06,16.31,6.1720038942799995,221000.0,0.0,1.0
2000-01-20,16.31,16.5,16.25,16.44,6.22119828461,333000.0,0.0,1.0
2000-01-21,16.38,16.5,16.13,16.31,6.1720038942799995,546400.0,0.0,1.0
2000-01-24,16.31,16.5,16.25,16.31,6.1720038942799995,538600.0,0.0,1.0
2000-01-25,16.38,16.44,16.13,16.19,6.12659368782,524900.0,0.0,1.0
2000-01-26,16.31,16.31,16.06,16.13,6.1038885846,659800.0,0.0,1.0
2000-01-27,16.13,16.38,16.06,16.19,6.12659368782,402000.0,0.0,1.0
2000-01-28,16.31,16.31,15.75,15.75,5.9600895974800014,319200.0,0.0,1.0
2000-01-31,16.0,16.13,15.88,15.94,6.03198909104,223800.0,0.0,1.0
2000-02-01,16.0,16.13,15.94,16.0,6.05469419427,314500.0,0.0,1.0
2000-02-02,16.0,16.06,16.0,16.0,6.05469419427,153300.0,0.0,1.0
2000-02-03,16.06,17.0,16.0,16.38,6.20341262041,316000.0,0.013000000000000001,1.0
2000-02-04,16.44,16.75,16.31,16.63,6.29809230021,1185600.0,0.0,1.0
2000-02-07,16.5,16.75,16.25,16.31,6.17690231007,667200.0,0.0,1.0
2000-02-08,16.19,17.25,16.13,16.13,6.1087329406199995,233600.0,0.0,1.0
2000-02-09,16.38,16.63,16.38,16.56,6.27158198987,176900.0,0.0,1.0
2000-02-10,16.5,16.5,16.06,16.19,6.13145606377,264700.0,0.0,1.0
2000-02-11,16.06,16.13,15.81,15.81,5.987542950469999,149300.0,0.0,1.0
2000-02-14,16.0,16.0,15.75,15.88,6.01405326082,119700.0,0.0,1.0
2000-02-15,15.88,16.63,15.88,16.63,6.29809230021,286400.0,0.0,1.0
2000-02-16,16.38,16.44,16.0,16.0,6.05949950712,107000.0,0.0,1.0
2000-02-17,16.06,18.63,16.06,16.94,6.41549510316,1420000.0,0.0,1.0
2000-02-18,17.13,17.5,16.38,16.63,6.29809230021,461900.0,0.0,1.0
2000-02-22,16.75,16.88,16.31,16.31,6.17690231007,260300.0,0.0,1.0
2000-02-23,16.31,16.38,15.75,15.94,6.0367763839699995,591500.0,0.0,1.0
2000-02-24,16.19,16.19,15.25,15.75,5.9648198273199995,408000.0,0.0,1.0
2000-02-25,15.75,15.75,15.56,15.63,5.91937358102,130700.0,0.0,1.0
2000-02-28,15.56,15.94,15.44,15.94,6.0367763839699995,116200.0,0.0,1.0
2000-02-29,15.69,16.5,15.69,16.5,6.248858866719999,137100.0,0.0,1.0
2000-03-01,16.44,16.88,16.31,16.88,6.392771980009999,157100.0,0.0,1.0
2000-03-02,16.88,17.13,16.81,16.88,6.392771980009999,129300.0,0.0,1.0
2000-03-03,17.13,17.5,17.0,17.06,6.4609413494700005,163900.0,0.0,1.0
2000-03-06,17.06,17.38,16.63,16.94,6.41549510316,157800.0,0.0,1.0
2000-03-07,16.69,17.06,16.25,16.25,6.1541791869199995,94400.0,0.0,1.0
2000-03-08,16.38,16.69,16.38,16.56,6.27158198987,167400.0,0.0,1.0
2000-03-09,16.25,16.88,16.25,16.88,6.392771980009999,114700.0,0.0,1.0
2000-03-10,16.88,17.13,16.63,16.88,6.392771980009999,177700.0,0.0,1.0
2000-03-13,16.5,17.06,16.5,16.81,6.36626166967,119200.0,0.0,1.0
2000-03-14,16.69,17.19,16.69,16.88,6.392771980009999,101400.0,0.0,1.0
2000-03-15,16.88,18.44,16.69,18.0,6.81693694551,379700.0,0.0,1.0
2000-03-16,18.06,19.88,18.06,19.13,7.244889098200001,624500.0,0.0,1.0
2000-03-17,19.75,20.75,19.63,20.75,7.8584134233,632100.0,0.0,1.0
2000-03-20,20.63,21.25,20.31,21.25,8.047772782889997,347300.0,0.0,1.0
2000-03-21,21.31,21.31,20.5,20.88,7.907646856789999,468800.0,0.0,1.0
2000-03-22,20.81,20.94,20.44,20.5,7.7637337435000005,382500.0,0.0,1.0
2000-03-23,20.5,21.19,20.5,21.13,8.00232653659,477100.0,0.0,1.0
2000-03-24,21.13,21.19,20.38,21.06,7.97581622625,387100.0,0.0,1.0
2000-03-27,21.0,21.0,20.63,20.88,7.907646856789999,176400.0,0.0,1.0
2000-03-28,20.88,20.94,20.5,20.63,7.812967176989999,256200.0,0.0,1.0
2000-03-29,20.63,20.69,20.5,20.56,7.78645686665,156000.0,0.0,1.0
2000-03-30,20.56,21.44,20.5,20.94,7.930369979939999,553400.0,0.0,1.0
2000-03-31,21.0,21.75,20.94,21.69,8.21440901934,279800.0,0.0,1.0
2000-04-03,21.5,21.56,20.06,20.63,7.812967176989999,490400.0,0.0,1.0
2000-04-04,21.13,21.13,19.63,19.63,7.4342484578,307800.0,0.0,1.0
2000-04-05,19.38,20.88,19.38,20.5,7.7637337435000005,460300.0,0.0,1.0
2000-04-06,20.69,20.88,20.44,20.44,7.74101062035,195700.0,0.0,1.0
2000-04-07,20.5,20.81,20.44,20.5,7.7637337435000005,286100.0,0.0,1.0
2000-04-10,20.38,20.69,20.25,20.25,7.6690540637,280000.0,0.0,1.0
2000-04-11,20.31,20.31,19.88,19.94,7.551651260750001,255100.0,0.0,1.0
2000-04-12,20.0,21.06,20.0,20.5,7.7637337435000005,261500.0,0.0,1.0
2000-04-13,20.69,20.94,20.56,20.56,7.78645686665,123100.0,0.0,1.0
2000-04-14,20.69,20.69,18.94,19.06,7.21837878786,292000.0,0.0,1.0
2000-04-17,18.81,19.0,18.38,18.63,7.0555297386,320500.0,0.0,1.0
2000-04-18,18.63,19.63,18.31,19.63,7.4342484578,265800.0,0.0,1.0
2000-04-19,19.38,19.63,19.25,19.44,7.36229190115,143600.0,0.0,1.0
2000-04-20,19.38,19.88,19.13,19.63,7.4342484578,158200.0,0.0,1.0
2000-04-24,19.63,19.69,19.0,19.0,7.195655664710001,127500.0,0.0,1.0
2000-04-25,19.25,19.5,19.0,19.31,7.31305846766,302700.0,0.0,1.0
2000-04-26,19.25,19.25,18.75,18.81,7.123699108060001,135400.0,0.0,1.0
2000-04-27,19.0,19.0,18.75,18.94,7.17293254155,149400.0,0.0,1.0
2000-04-28,19.0,19.06,18.19,18.63,7.0555297386,305900.0,0.0,1.0
2000-05-01,18.75,19.19,18.75,18.88,7.1502094184,92300.0,0.0,1.0
2000-05-02,18.63,18.81,18.25,18.31,6.934339748460001,177500.0,0.0,1.0
2000-05-03,18.13,18.88,17.88,18.38,6.96577340215,356500.0,0.013000000000000001,1.0
2000-05-04,18.25,18.88,18.25,18.5,7.01125179216,157200.0,0.0,1.0
2000-05-05,18.25,18.81,18.25,18.81,7.128737632999999,265900.0,0.0,1.0
2000-05-08,18.69,18.69,17.94,18.0,6.82175850048,178700.0,0.0,1.0
2000-05-09,18.13,18.69,18.0,18.13,6.87102675631,435100.0,0.0,1.0
2000-05-10,18.31,18.31,17.5,17.5,6.6322652088,218000.0,0.0,1.0
2000-05-11,17.75,18.88,17.75,18.5,7.01125179216,255400.0,0.0,1.0
2000-05-12,18.63,19.13,18.19,18.75,7.105998437999999,155400.0,0.0,1.0
2000-05-15,18.5,18.94,18.19,18.94,7.17800588884,114800.0,0.0,1.0
2000-05-16,18.94,19.31,18.63,19.25,7.29549172968,193800.0,0.0,1.0
2000-05-17,19.0,19.31,18.75,19.0,7.200745083839999,237400.0,0.0,1.0
2000-05-18,18.88,19.19,18.63,18.63,7.060520047989999,155500.0,0.0,1.0
2000-05-19,18.0,18.19,17.5,18.0,6.82175850048,246700.0,0.0,1.0
2000-05-22,18.25,18.25,17.38,18.0,6.82175850048,111200.0,0.0,1.0
2000-05-23,17.75,17.88,17.44,17.75,6.72701185464,95700.0,0.0,1.0
2000-05-24,17.94,18.94,17.75,18.69,7.083259243,329500.0,0.0,1.0
2000-05-25,18.94,19.31,18.63,18.63,7.060520047989999,441200.0,0.0,1.0
2000-05-26,18.88,18.88,18.06,18.31,6.939244341319999,89100.0,0.0,1.0
2000-05-30,18.56,19.06,18.5,19.0,7.200745083839999,98700.0,0.0,1.0
2000-05-31,18.88,19.06,18.81,19.06,7.223484278839999,141200.0,0.0,1.0
2000-06-01,19.25,19.31,17.88,18.0,6.82175850048,184400.0,0.0,1.0
2000-06-02,18.5,19.94,18.5,19.69,7.46224582636,629500.0,0.0,1.0
2000-06-05,19.69,19.69,19.0,19.31,7.318230924680001,234100.0,0.0,1.0
2000-06-06,19.13,19.56,19.13,19.5,7.390238375519999,246300.0,0.0,1.0
2000-06-07,19.38,19.38,18.81,19.0,7.200745083839999,154900.0,0.0,1.0
2000-06-08,19.0,19.19,18.88,19.06,7.223484278839999,105400.0,0.0,1.0
2000-06-09,19.19,19.56,19.0,19.5,7.390238375519999,173000.0,0.0,1.0
2000-06-12,19.13,19.31,18.38,18.56,7.033990987160001,121900.0,0.0,1.0
2000-06-13,18.38,19.5,18.38,19.5,7.390238375519999,188900.0,0.0,1.0
2000-06-14,19.25,19.81,19.13,19.56,7.412977570519999,140100.0,0.0,1.0
2000-06-15,19.56,19.88,19.38,19.69,7.46224582636,206200.0,0.0,1.0
2000-06-16,19.94,19.94,18.81,19.0,7.200745083839999,126400.0,0.0,1.0
2000-06-19,18.81,19.63,18.81,19.63,7.43950663135,86800.0,0.0,1.0
2000-06-20,19.5,19.56,18.75,18.75,7.105998437999999,62500.0,0.0,1.0
2000-06-21,19.25,19.25,18.5,18.56,7.033990987160001,90900.0,0.0,1.0
2000-06-22,18.63,18.75,18.31,18.44,6.988512597160001,125300.0,0.0,1.0
2000-06-23,18.5,18.5,18.31,18.31,6.939244341319999,140200.0,0.0,1.0
2000-06-26,18.31,18.56,18.31,18.44,6.988512597160001,98100.0,0.0,1.0
2000-06-27,18.31,19.75,18.31,19.25,7.29549172968,234600.0,0.0,1.0
2000-06-28,19.19,19.44,18.63,19.06,7.223484278839999,105100.0,0.0,1.0
2000-06-29,20.25,20.56,20.13,20.38,7.7237465688699976,632600.0,0.0,1.0
2000-06-30,20.13,20.38,19.13,20.27,7.6820580447000015,546700.0,0.0,1.0
2000-07-03,19.94,20.38,19.69,20.31,7.697217508039999,138200.0,0.0,1.0
2000-07-05,20.63,21.75,20.5,21.69,8.220218993080001,616600.0,0.0,1.0
2000-07-06,21.56,23.25,21.56,21.75,8.242958188080001,1751700.0,0.0,1.0
2000-07-07,22.25,24.44,21.94,22.38,8.48171973559,3271900.0,0.0,1.0
