Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2003-10-03,14.0,15.2,14.0,15.0,1.875,3875700.0,0.0,1.0
2003-10-06,15.17,15.89,15.03,15.79,1.97375,383600.0,0.0,1.0
2003-10-07,15.65,16.6,15.65,16.25,2.03125,423900.0,0.0,1.0
2003-10-08,16.35,16.35,15.8,16.1,2.0125,398900.0,0.0,1.0
2003-10-09,15.91,16.1,15.6,15.6,1.95,152800.0,0.0,1.0
2003-10-10,15.6,15.939,15.15,15.42,1.9275,333500.0,0.0,1.0
2003-10-13,15.48,15.48,15.25,15.31,1.91375,189000.0,0.0,1.0
2003-10-14,15.37,16.65,15.31,16.3,2.0375,267500.0,0.0,1.0
2003-10-15,16.31,16.92,16.0,16.01,2.00125,98100.0,0.0,1.0
2003-10-16,16.14,16.25,16.0,16.1,2.0125,48300.0,0.0,1.0
2003-10-17,16.01,16.06,15.85,15.85,1.98125,200200.0,0.0,1.0
2003-10-20,15.98,16.02,15.76,15.95,1.99375,168500.0,0.0,1.0
2003-10-21,15.89,15.98,15.86,15.95,1.99375,110600.0,0.0,1.0
2003-10-22,16.0,16.0,15.8,15.84,1.98,88800.0,0.0,1.0
2003-10-23,15.76,15.76,15.35,15.5,1.9375,114800.0,0.0,1.0
2003-10-24,15.46,16.0,15.46,15.93,1.99125,202000.0,0.0,1.0
2003-10-27,15.999,16.6,15.75,16.0,2.0,99900.0,0.0,1.0
2003-10-28,16.4,16.6,15.68,15.83,1.97875,202300.0,0.0,1.0
2003-10-29,15.770999999999999,16.22,15.65,16.1,2.0125,205700.0,0.0,1.0
2003-10-30,16.1,16.94,16.0,16.6,2.075,132500.0,0.0,1.0
2003-10-31,16.65,17.3,16.6,17.3,2.1625,182300.0,0.0,1.0
2003-11-03,17.3,17.87,17.07,17.51,2.18875,95300.0,0.0,1.0
2003-11-04,17.71,17.71,17.0,17.23,2.15375,100500.0,0.0,1.0
2003-11-05,16.99,17.05,16.7,17.0,2.125,8100.0,0.0,1.0
2003-11-06,16.98,17.0,16.66,16.88,2.11,48000.0,0.0,1.0
2003-11-07,17.0,17.0,16.71,17.0,2.125,27300.0,0.0,1.0
2003-11-10,16.68,17.1,16.68,16.95,2.11875,61800.0,0.0,1.0
2003-11-11,16.75,17.0,16.75,17.0,2.125,114500.0,0.0,1.0
2003-11-12,16.8,17.19,16.7,16.99,2.12375,74800.0,0.0,1.0
2003-11-13,16.7,16.999000000000002,16.61,16.62,2.0775,15100.0,0.0,1.0
2003-11-14,16.61,16.8,16.61,16.74,2.0925,249400.0,0.0,1.0
2003-11-17,16.75,16.85,16.4,16.41,2.05125,231900.0,0.0,1.0
2003-11-18,16.41,16.5,16.3,16.3,2.0375,12200.0,0.0,1.0
2003-11-19,16.27,16.64,16.2,16.5,2.0625,44300.0,0.0,1.0
2003-11-20,16.5,16.599,16.25,16.45,2.05625,107800.0,0.0,1.0
2003-11-21,16.25,16.6,16.2,16.6,2.075,24900.0,0.0,1.0
2003-11-24,16.6,16.7,16.4,16.7,2.0875,26000.0,0.0,1.0
2003-11-25,16.8,17.2,16.5,16.75,2.09375,38700.0,0.0,1.0
2003-11-26,16.88,17.95,16.7,17.8,2.225,73800.0,0.0,1.0
2003-11-28,17.8,17.85,17.4,17.7,2.2125,5200.0,0.0,1.0
2003-12-01,17.9,18.0,17.5,18.0,2.25,29200.0,0.0,1.0
2003-12-02,17.5,18.0,17.5,17.65,2.20625,37500.0,0.0,1.0
2003-12-03,17.81,17.85,17.51,17.84,2.23,22800.0,0.0,1.0
2003-12-04,17.8,17.97,17.75,17.97,2.24625,128600.0,0.0,1.0
2003-12-05,17.75,18.2,17.75,17.76,2.22,50400.0,0.0,1.0
2003-12-08,17.95,17.95,16.9,16.9,2.1125,28500.0,0.0,1.0
2003-12-09,17.55,17.55,15.63,16.05,2.00625,68800.0,0.0,1.0
2003-12-10,16.06,16.46,16.0,16.299,2.037375,14900.0,0.0,1.0
2003-12-11,16.25,17.14,16.0,16.9,2.1125,31200.0,0.0,1.0
2003-12-12,16.81,17.4,16.79,17.34,2.1675,104700.0,0.0,1.0
2003-12-15,16.81,17.7,16.81,17.25,2.15625,30700.0,0.0,1.0
2003-12-16,17.26,17.8,17.26,17.67,2.20875,26000.0,0.0,1.0
2003-12-17,17.3,18.09,17.3,18.0,2.25,24900.0,0.0,1.0
2003-12-18,18.05,18.05,17.82,18.0,2.25,5100.0,0.0,1.0
2003-12-19,17.67,18.0,17.67,18.0,2.25,65000.0,0.0,1.0
2003-12-22,17.51,18.05,17.51,18.0,2.25,9600.0,0.0,1.0
2003-12-23,18.0,18.25,17.96,18.2,2.275,24700.0,0.0,1.0
2003-12-24,18.3,18.3,17.96,18.25,2.28125,9200.0,0.0,1.0
2003-12-26,18.2,18.25,18.2,18.25,2.28125,400.0,0.0,1.0
2003-12-29,17.95,18.29,17.95,18.25,2.28125,27800.0,0.0,1.0
2003-12-30,17.97,18.5,17.88,17.88,2.235,75300.0,0.0,1.0
2003-12-31,18.01,18.15,17.73,17.95,2.24375,45000.0,0.0,1.0
2004-01-02,17.71,18.0,17.63,17.72,2.215,17300.0,0.0,1.0
2004-01-05,18.149,18.149,17.6,17.76,2.22,25500.0,0.0,1.0
2004-01-06,17.52,18.25,17.52,17.76,2.22,30600.0,0.0,1.0
2004-01-07,18.0,18.0,17.8,17.95,2.24375,139000.0,0.0,1.0
2004-01-08,17.8,17.97,17.4,17.93,2.24125,190200.0,0.0,1.0
2004-01-09,18.0,18.05,17.87,17.93,2.24125,27100.0,0.0,1.0
2004-01-12,17.82,18.0,17.62,17.9,2.2375,146200.0,0.0,1.0
2004-01-13,17.4,17.95,17.31,17.65,2.20625,107400.0,0.0,1.0
2004-01-14,17.81,17.89,17.5,17.65,2.20625,217100.0,0.0,1.0
2004-01-15,17.84,18.11,17.7,18.11,2.26375,18000.0,0.0,1.0
2004-01-16,18.11,18.49,17.93,18.38,2.2975,31900.0,0.0,1.0
2004-01-20,18.21,18.84,18.18,18.84,2.355,36500.0,0.0,1.0
2004-01-21,18.94,20.43,18.14,19.78,2.4725,30500.0,0.0,1.0
2004-01-22,19.8,19.8,19.44,19.75,2.46875,19900.0,0.0,1.0
2004-01-23,19.8,19.9,19.141,19.590999999999998,2.448875,64400.0,0.0,1.0
2004-01-26,19.679000000000002,20.0,19.52,19.66,2.4575,142900.0,0.0,1.0
2004-01-27,19.9,19.9,18.45,19.02,2.3775,29200.0,0.0,1.0
2004-01-28,19.25,19.25,18.88,19.0,2.375,53700.0,0.0,1.0
2004-01-29,18.989,19.03,18.7,18.72,2.34,21500.0,0.0,1.0
2004-01-30,18.8,18.8,18.371,18.68,2.335,35700.0,0.0,1.0
2004-02-02,18.75,18.75,18.5,18.75,2.34375,60300.0,0.0,1.0
2004-02-03,18.75,18.75,18.3,18.39,2.29875,59400.0,0.0,1.0
2004-02-04,18.729,18.75,17.89,18.09,2.26125,123600.0,0.0,1.0
2004-02-05,18.4,18.409000000000002,17.9,17.9,2.2375,48900.0,0.0,1.0
2004-02-06,17.89,17.99,17.0,17.1,2.1375,225000.0,0.0,1.0
2004-02-09,17.79,17.79,17.27,17.4,2.175,99700.0,0.0,1.0
2004-02-10,17.75,18.0,17.5,17.889,2.236125,33900.0,0.0,1.0
2004-02-11,17.5,17.93,17.5,17.69,2.21125,16500.0,0.0,1.0
2004-02-12,17.75,17.97,17.5,17.87,2.23375,33800.0,0.0,1.0
2004-02-13,17.865,17.97,17.6,17.94,2.2425,15000.0,0.0,1.0
2004-02-17,17.6,17.92,17.6,17.6,2.2,10200.0,0.0,1.0
2004-02-18,17.899,17.91,17.65,17.899,2.237375,11000.0,0.0,1.0
2004-02-19,17.9,17.9,17.59,17.613,2.201625,79500.0,0.0,1.0
2004-02-20,17.4,18.0,17.4,17.7,2.2125,21800.0,0.0,1.0
2004-02-23,17.5,17.799,17.3,17.51,2.18875,106100.0,0.0,1.0
2004-02-24,17.63,17.63,17.35,17.63,2.20375,14000.0,0.0,1.0
2004-02-25,17.55,20.03,17.55,19.85,2.48125,49700.0,0.0,1.0
2004-02-26,19.9,19.9,18.52,19.06,2.3825,41700.0,0.0,1.0
2004-02-27,19.0,19.43,18.59,18.8,2.35,107900.0,0.0,1.0
2004-03-01,18.6,19.12,18.39,18.39,2.29875,40900.0,0.0,1.0
2004-03-02,18.95,19.0,17.95,17.95,2.24375,30300.0,0.0,1.0
2004-03-03,17.93,18.5,17.9,18.261,2.282625,37100.0,0.0,1.0
2004-03-04,18.5,18.5,18.25,18.49,2.31125,16600.0,0.0,1.0
2004-03-05,18.4,18.5,18.36,18.36,2.295,54800.0,0.0,1.0
