Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,68.94,70.0,68.25,68.75,35.8890724417,2400000.0,0.0,1.0
1999-11-02,69.63,69.88,68.56,68.88,35.956935415,2254400.0,0.0,1.0
1999-11-03,70.88,72.38,70.81,71.88,37.5230040306,4182500.0,0.0,1.0
1999-11-04,73.13,76.56,72.75,76.13,39.7416012361,5294600.0,0.0,1.0
1999-11-05,77.19,78.75,76.75,77.0,40.1957611347,5094000.0,0.0,1.0
1999-11-08,76.0,76.38,74.63,75.25,39.282221108899996,2621800.0,0.0,1.0
1999-11-09,75.25,75.69,73.56,74.0,38.629692519,1899100.0,0.0,1.0
1999-11-10,74.31,76.69,73.5,75.94,39.762482151,1994100.0,0.23,1.0
1999-11-11,77.88,77.88,76.44,76.88,40.2546698416,1843200.0,0.0,1.0
1999-11-12,77.38,77.56,75.75,77.38,40.5164718046,1410900.0,0.0,1.0
1999-11-15,76.75,76.88,73.88,73.88,38.6838580632,2285000.0,0.0,1.0
1999-11-16,74.25,77.0,74.25,77.0,40.3175023127,2093600.0,0.0,1.0
1999-11-17,75.25,76.31,74.63,75.06,39.301710696,2534200.0,0.0,1.0
1999-11-18,74.06,75.13,73.5,73.63,38.5529570816,2084700.0,0.0,1.0
1999-11-19,72.0,73.19,72.0,72.88,38.160254136999995,2393600.0,0.0,1.0
1999-11-22,72.5,75.13,71.63,75.06,39.301710696,1413000.0,0.0,1.0
1999-11-23,75.25,75.31,73.06,73.5,38.484888571199996,2051900.0,0.0,1.0
1999-11-24,73.0,73.94,72.81,73.56,38.5163048068,1178500.0,0.0,1.0
1999-11-26,72.56,72.81,72.19,72.44,37.929868409499996,651800.0,0.0,1.0
1999-11-29,71.63,75.63,71.13,75.38,39.4692639524,1966600.0,0.0,1.0
1999-11-30,73.5,74.44,71.0,71.75,37.568581700500005,3008900.0,0.0,1.0
1999-12-01,71.13,71.88,70.13,71.44,37.4062644834,2420400.0,0.0,1.0
1999-12-02,72.0,72.0,70.5,71.32,37.3434320122,2120900.0,0.0,1.0
1999-12-03,72.25,73.88,71.38,71.88,37.6366502109,2493500.0,0.0,1.0
1999-12-06,71.31,71.31,69.25,69.5,36.3904728667,2545900.0,0.0,1.0
1999-12-07,69.69,69.94,66.0,66.5,34.8196610882,3834100.0,0.0,1.0
1999-12-08,67.19,67.38,66.13,66.25,34.6887601067,1914500.0,0.0,1.0
1999-12-09,66.38,68.94,65.75,66.88,35.018630580199996,1900200.0,0.0,1.0
1999-12-10,66.25,67.69,65.63,65.88,34.495026654,1866400.0,0.0,1.0
1999-12-13,65.25,65.56,63.63,64.13,33.5787197833,4143000.0,0.0,1.0
1999-12-14,64.0,67.25,63.63,66.38,34.7568286171,3542800.0,0.0,1.0
1999-12-15,65.75,68.63,65.69,68.56,35.8982851761,3189500.0,0.0,1.0
1999-12-16,67.5,68.5,66.38,66.88,35.018630580199996,3546200.0,0.0,1.0
1999-12-17,66.94,67.5,65.94,67.06,35.112879286900004,3341600.0,0.0,1.0
1999-12-20,65.63,66.38,64.5,65.0,34.034255199,3192500.0,0.0,1.0
1999-12-21,64.81,65.56,63.75,65.44,34.2646409265,2384600.0,0.0,1.0
1999-12-22,65.31,67.5,64.81,66.88,35.018630580199996,1943400.0,0.0,1.0
1999-12-23,67.44,68.5,67.19,68.25,35.735967959,1904500.0,0.0,1.0
1999-12-27,67.25,70.5,67.06,70.5,36.9140767928,2152300.0,0.0,1.0
1999-12-28,69.63,69.63,67.75,68.44,35.835452705,1548700.0,0.0,1.0
1999-12-29,68.75,68.75,66.63,67.31,35.2437802684,955900.0,0.0,1.0
1999-12-30,66.75,68.25,66.31,67.25,35.2123640329,1089600.0,0.0,1.0
1999-12-31,67.44,67.44,66.19,66.5,34.8196610882,906200.0,0.0,1.0
2000-01-03,65.0,67.0,65.0,65.56,34.3274733977,2645000.0,0.0,1.0
2000-01-04,64.25,65.44,62.75,63.5,33.2488493098,3701000.0,0.0,1.0
2000-01-05,63.13,65.31,63.0,64.44,33.7410370004,3411000.0,0.0,1.0
2000-01-06,65.0,66.19,64.31,66.19,34.657343871100004,2460100.0,0.0,1.0
2000-01-07,68.0,71.06,67.5,71.06,37.2072949914,5863300.0,0.0,1.0
2000-01-10,71.06,71.06,67.94,68.13,35.6731354879,2830500.0,0.0,1.0
2000-01-11,67.0,69.38,67.0,68.5,35.866868940500005,3309700.0,0.0,1.0
2000-01-12,67.63,68.31,66.94,67.5,35.34326501440001,3573600.0,0.0,1.0
2000-01-13,65.75,68.38,65.63,66.69,34.9191458342,3639400.0,0.0,1.0
2000-01-14,68.94,69.25,68.0,68.31,35.7673841946,3750300.0,0.0,1.0
2000-01-18,69.38,69.38,66.5,67.31,35.2437802684,2082900.0,0.0,1.0
2000-01-19,66.0,68.0,65.75,67.75,35.4741659959,2193700.0,0.0,1.0
2000-01-20,67.69,68.25,65.56,66.78,34.9662701876,2136400.0,0.0,1.0
2000-01-21,65.13,65.63,64.13,64.75,33.9033542175,4051000.0,0.0,1.0
2000-01-24,64.63,64.81,61.56,62.13,32.531511931,4206900.0,0.0,1.0
2000-01-25,62.38,63.25,61.75,62.31,32.6257606377,3148700.0,0.0,1.0
2000-01-26,62.94,63.38,62.13,62.75,32.8561463652,2233100.0,0.0,1.0
2000-01-27,62.0,64.38,61.5,64.25,33.641552254400004,3052200.0,0.0,1.0
2000-01-28,65.0,67.38,64.88,65.31,34.196572416100004,4284500.0,0.0,1.0
2000-01-31,65.94,67.0,62.38,66.88,35.018630580199996,3334100.0,0.0,1.0
2000-02-01,65.88,66.5,64.69,65.56,34.3274733977,2981300.0,0.0,1.0
2000-02-02,65.5,66.06,63.88,65.06,34.0656714346,2066300.0,0.0,1.0
2000-02-03,65.31,65.81,63.63,65.25,34.1651561806,2643600.0,0.0,1.0
2000-02-04,64.88,65.25,64.5,64.88,33.9714227279,1717600.0,0.0,1.0
2000-02-07,65.44,65.44,62.75,63.31,33.1493645639,1957400.0,0.0,1.0
2000-02-08,62.63,63.75,62.63,63.31,33.1493645639,2536700.0,0.0,1.0
2000-02-09,64.38,64.38,61.69,61.75,32.332542439099996,3211000.0,0.0,1.0
2000-02-10,61.88,63.0,61.81,62.31,32.6257606377,2080000.0,0.0,1.0
2000-02-11,62.5,62.56,61.06,61.63,32.4058469887,3268100.0,0.26,1.0
2000-02-14,61.38,62.0,60.44,60.75,31.9431316658,2758000.0,0.0,1.0
2000-02-15,60.88,61.69,60.63,61.19,32.1744893273,2989400.0,0.0,1.0
2000-02-16,62.0,62.44,61.19,61.25,32.206038099299995,3292800.0,0.0,1.0
2000-02-17,61.75,61.94,60.19,60.19,31.6486764604,3290500.0,0.0,1.0
2000-02-18,60.31,60.38,58.25,58.5,30.760052715300002,3684000.0,0.0,1.0
2000-02-22,59.75,60.38,57.63,59.5,31.2858655822,2716500.0,0.0,1.0
2000-02-23,59.75,60.88,58.31,60.31,31.711774004400002,2489800.0,0.0,1.0
2000-02-24,59.94,60.25,57.88,58.56,30.7916014873,2612700.0,0.0,1.0
2000-02-25,58.44,58.81,56.13,56.69,29.8083314261,2554400.0,0.0,1.0
2000-02-28,57.0,58.44,57.0,57.5,30.2342398483,3832900.0,0.0,1.0
2000-02-29,58.5,60.5,58.38,59.44,31.2543168102,4138700.0,0.0,1.0
2000-03-01,59.44,60.25,58.0,58.88,30.9598616047,4186700.0,0.0,1.0
2000-03-02,57.88,59.38,57.19,57.69,30.3341442931,2095800.0,0.0,1.0
2000-03-03,58.63,59.0,57.56,58.0,30.4971462818,2085200.0,0.0,1.0
2000-03-06,57.25,58.69,57.13,57.63,30.302595521,2549700.0,0.0,1.0
2000-03-07,57.88,57.94,54.0,54.5,28.6568012476,3998100.0,0.0,1.0
2000-03-08,55.0,57.38,54.5,55.5,29.182614114499998,4282600.0,0.0,1.0
2000-03-09,56.44,60.06,56.44,60.06,31.5803207877,3853500.0,0.0,1.0
2000-03-10,60.13,61.94,60.0,61.19,32.1744893273,3535800.0,0.0,1.0
2000-03-13,61.0,61.0,57.63,59.25,31.1544123655,2115500.0,0.0,1.0
2000-03-14,58.25,58.69,57.38,57.44,30.202691076300002,2133000.0,0.0,1.0
2000-03-15,57.44,63.5,57.38,62.75,32.9947573997,4364700.0,0.0,1.0
2000-03-16,63.88,65.94,63.0,64.75,34.0463831336,5316400.0,0.0,1.0
2000-03-17,63.88,63.94,61.0,61.38,32.274393771999996,4843300.0,0.0,1.0
2000-03-20,61.38,61.44,59.63,60.75,31.9431316658,2271100.0,0.0,1.0
2000-03-21,59.75,62.0,59.69,61.69,32.4373957608,2987000.0,0.0,1.0
2000-03-22,62.38,64.31,61.63,63.56,33.4206658219,3347000.0,0.0,1.0
2000-03-23,64.19,64.81,63.56,64.38,33.851832372800004,3159800.0,0.0,1.0
2000-03-24,64.12,64.19,61.12,62.12,32.6634952935,2061200.0,0.0,1.0
2000-03-27,62.0,62.31,59.94,60.5,31.811678449099997,2013000.0,0.0,1.0
2000-03-28,59.81,61.0,59.5,60.25,31.680225232399998,2114100.0,0.0,1.0
2000-03-29,60.13,61.5,60.13,61.0,32.0745848826,2834600.0,0.0,1.0
2000-03-30,61.25,63.13,60.75,60.75,31.9431316658,3098400.0,0.0,1.0
2000-03-31,61.25,64.5,60.13,62.63,32.931659855700005,3243800.0,0.0,1.0
2000-04-03,64.25,65.5,64.0,65.38,34.3776452397,2741300.0,0.0,1.0
2000-04-04,65.63,69.38,65.44,69.0,36.281087818,6700500.0,0.0,1.0
2000-04-05,68.13,69.0,66.88,67.46,35.4713360029,3470900.0,0.0,1.0
2000-04-06,66.0,67.0,65.06,65.88,34.6405516732,2190400.0,0.0,1.0
2000-04-07,65.63,65.75,64.19,64.31,33.815025472100004,1607200.0,0.0,1.0
2000-04-10,64.0,66.75,63.75,64.88,34.114738806300004,2884200.0,0.0,1.0
2000-04-11,65.0,66.94,64.88,66.88,35.166364540100005,2373300.0,0.0,1.0
2000-04-12,66.25,67.0,64.75,65.13,34.246192023,2618200.0,0.0,1.0
2000-04-13,68.44,70.0,68.0,70.0,36.8069006849,4523000.0,0.0,1.0
2000-04-14,68.5,69.94,66.5,67.44,35.4608197456,4056300.0,0.0,1.0
2000-04-17,67.44,70.0,67.38,70.0,36.8069006849,3876700.0,0.0,1.0
2000-04-18,69.81,74.0,69.5,73.25,38.5157925024,6465300.0,0.0,1.0
2000-04-19,74.19,76.25,73.25,75.63,39.7672271257,6148700.0,0.0,1.0
2000-04-20,76.44,76.88,75.0,75.75,39.8303246698,4305000.0,0.0,1.0
2000-04-24,75.75,78.5,75.75,77.5,40.7504971869,4803800.0,0.0,1.0
2000-04-25,77.06,77.31,76.19,77.0,40.4875907534,3801900.0,0.0,1.0
2000-04-26,76.5,78.13,75.5,77.81,40.9134991756,4066100.0,0.0,1.0
2000-04-27,77.0,78.0,76.19,77.94,40.981854848299996,2522200.0,0.0,1.0
2000-04-28,77.13,77.69,76.0,77.13,40.5559464261,2653700.0,0.0,1.0
2000-05-01,78.0,79.44,77.0,77.38,40.6873996429,3418600.0,0.0,1.0
2000-05-02,76.94,78.69,76.88,78.0,41.013403620300004,2582900.0,0.0,1.0
2000-05-03,78.0,79.06,77.31,79.0,41.5392164873,2586400.0,0.0,1.0
2000-05-04,79.0,79.63,77.69,79.25,41.670669704,2963800.0,0.0,1.0
2000-05-05,77.5,79.94,77.5,79.75,41.9335761375,3169400.0,0.0,1.0
2000-05-08,79.94,80.5,78.75,80.5,42.3279357877,2496200.0,0.0,1.0
2000-05-09,80.25,80.31,79.0,79.63,41.8704785934,2654900.0,0.0,1.0
2000-05-10,77.88,78.69,76.0,77.25,40.619043970199996,4571900.0,0.0,1.0
2000-05-11,75.25,75.94,74.25,74.88,39.5095788209,2621800.0,0.26,1.0
2000-05-12,74.25,76.13,73.0,75.44,39.8050564403,3131000.0,0.0,1.0
2000-05-15,75.38,76.94,75.25,76.44,40.3326950464,3444700.0,0.0,1.0
2000-05-16,75.5,76.5,74.75,74.94,39.5412371373,3343900.0,0.0,1.0
