Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,27.38,27.81,27.38,27.81,5.5960872758,125500.0,0.0,1.0
1999-11-02,27.81,28.19,27.75,28.06,5.64639370583,93700.0,0.0,1.0
1999-11-03,28.0,28.25,27.94,28.0,5.63432016262,63700.0,0.0,1.0
1999-11-04,28.12,28.19,27.88,28.0,5.63432016262,78600.0,0.0,1.0
1999-11-05,28.12,28.56,28.12,28.44,5.722859479459999,177800.0,0.0,1.0
1999-11-08,28.25,28.62,27.94,28.0,5.63432016262,58100.0,0.0,1.0
1999-11-09,28.12,28.12,27.62,27.81,5.5960872758,68200.0,0.0,1.0
1999-11-10,27.81,27.94,27.56,27.81,5.5960872758,114600.0,0.0,1.0
1999-11-11,27.88,27.94,27.72,27.75,5.5840137326,133600.0,0.0,1.0
1999-11-12,27.88,28.0,27.62,27.94,5.622246619419999,174200.0,0.0,1.0
1999-11-15,28.5,28.5,28.25,28.5,5.73493302267,158600.0,0.0,1.0
1999-11-16,28.56,28.62,28.38,28.5,5.73493302267,95700.0,0.0,1.0
1999-11-17,28.44,28.5,28.0,28.06,5.64639370583,94000.0,0.0,1.0
1999-11-18,28.06,28.06,27.62,27.62,5.55785438899,278100.0,0.0,1.0
1999-11-19,27.56,27.75,27.19,27.44,5.521633759369999,67200.0,0.0,1.0
1999-11-22,27.44,27.44,26.75,26.88,5.40894735612,69600.0,0.0,1.0
1999-11-23,26.75,26.81,26.12,26.5,5.33248158248,96200.0,0.0,1.0
1999-11-24,26.5,26.94,26.31,26.56,5.34455512569,95300.0,0.0,1.0
1999-11-26,26.69,26.69,26.25,26.31,5.2942486956599994,37100.0,0.0,1.0
1999-11-29,26.19,26.19,25.19,25.88,5.20772163602,132300.0,0.0,1.0
1999-11-30,26.12,27.12,25.94,27.06,5.44516798573,196000.0,0.0,1.0
1999-12-01,27.0,27.12,26.94,27.12,5.457241528940001,84800.0,0.0,1.0
1999-12-02,27.0,27.19,26.5,27.19,5.471327329349999,58100.0,0.0,1.0
1999-12-03,27.25,27.31,27.0,27.06,5.44516798573,127500.0,0.0,1.0
1999-12-06,26.94,27.38,26.56,27.38,5.50956021616,145500.0,0.0,1.0
1999-12-07,27.31,27.5,27.25,27.5,5.53370730258,82700.0,0.0,1.0
1999-12-08,27.38,27.44,27.0,27.19,5.471327329349999,154500.0,0.0,1.0
1999-12-09,27.25,27.38,27.19,27.31,5.4954744157599995,97500.0,0.0,1.0
1999-12-10,27.25,27.31,26.75,26.75,5.382788012509999,96800.0,0.0,1.0
1999-12-13,26.88,26.88,26.0,26.19,5.27010160925,67500.0,0.0,1.0
1999-12-14,25.94,26.44,25.69,26.44,5.32040803928,232400.0,0.0,1.0
1999-12-15,26.44,27.0,26.31,27.0,5.43309444253,87100.0,0.0,1.0
1999-12-16,26.94,27.12,26.75,27.0,5.43309444253,116000.0,0.0,1.0
1999-12-17,27.06,27.06,26.44,27.0,5.43309444253,131500.0,0.0,1.0
1999-12-20,27.0,27.25,26.81,27.25,5.48340087255,135800.0,0.0,1.0
1999-12-21,27.25,27.69,27.12,27.62,5.55785438899,140000.0,0.0,1.0
1999-12-22,27.56,27.69,27.5,27.62,5.55785438899,128400.0,0.0,1.0
1999-12-23,27.62,27.81,27.5,27.62,5.55785438899,115600.0,0.0,1.0
1999-12-27,27.56,27.75,27.38,27.62,5.55785438899,93900.0,0.0,1.0
1999-12-28,27.62,28.12,27.38,28.06,5.64639370583,78700.0,0.0,1.0
1999-12-29,28.0,28.06,27.56,27.75,5.5840137326,73100.0,0.0,1.0
1999-12-30,27.62,28.19,27.5,27.56,5.54578084578,79900.0,0.0,1.0
1999-12-31,27.56,27.81,27.44,27.5,5.53370730258,42700.0,0.0,1.0
2000-01-03,27.5,27.5,26.62,26.81,5.3948615557099995,114700.0,0.0,1.0
2000-01-04,26.56,26.94,26.44,26.81,5.3948615557099995,119800.0,0.0,1.0
2000-01-05,26.75,28.38,26.75,28.12,5.65846724903,142100.0,0.0,1.0
2000-01-06,28.0,28.5,27.69,28.12,5.65846724903,71400.0,0.0,1.0
2000-01-07,28.12,28.62,28.0,28.5,5.73493302267,65200.0,0.0,1.0
2000-01-10,28.44,28.69,28.25,28.56,5.7470065658800005,102900.0,0.0,1.0
2000-01-11,28.44,28.69,28.38,28.5,5.73493302267,96700.0,0.0,1.0
2000-01-12,28.25,28.88,28.19,28.81,5.7973129959000005,75100.0,0.0,1.0
2000-01-13,28.81,29.25,28.81,29.06,5.8476194259200005,88500.0,0.0,1.0
2000-01-14,29.25,29.25,28.44,28.69,5.77316590949,113200.0,0.0,1.0
2000-01-18,28.5,28.75,28.06,28.5,5.73493302267,109900.0,0.0,1.0
2000-01-19,28.44,28.94,28.25,28.75,5.785239452690001,123900.0,0.0,1.0
2000-01-20,28.62,29.88,28.25,29.88,6.0126245164,202600.0,0.0,1.0
2000-01-21,30.06,34.75,30.0,33.44,6.7289880799300015,756600.0,0.0,1.0
2000-01-24,33.44,37.75,33.44,34.62,6.96643442964,910600.0,0.0,1.0
2000-01-25,34.62,35.25,30.62,31.25,6.28830375293,292200.0,0.0,1.0
2000-01-26,31.25,31.25,30.19,30.56,6.14945800606,783400.0,0.0,1.0
2000-01-27,30.19,30.19,29.69,29.88,6.11323737645,441300.0,0.5,1.0
2000-01-28,29.88,29.88,29.38,29.69,6.074364715750001,159500.0,0.0,1.0
2000-01-31,29.5,29.81,29.38,29.81,6.09891586987,157800.0,0.0,1.0
2000-02-01,29.81,29.81,29.5,29.81,6.09891586987,315500.0,0.0,1.0
2000-02-02,29.81,29.81,28.88,28.88,5.9086444254299995,178100.0,0.0,1.0
2000-02-03,29.12,29.5,29.12,29.5,6.035492055060001,319100.0,0.0,1.0
2000-02-04,29.5,29.5,28.75,29.06,5.94547115661,118700.0,0.0,1.0
2000-02-07,29.0,29.12,28.75,29.06,5.94547115661,79800.0,0.0,1.0
2000-02-08,29.19,29.25,28.94,29.12,5.95774673367,361500.0,0.0,1.0
2000-02-09,29.06,29.38,29.06,29.31,5.99661939436,106500.0,0.0,1.0
2000-02-10,29.19,30.0,29.19,29.75,6.08664029281,246300.0,0.0,1.0
2000-02-11,29.69,30.5,29.5,30.19,6.176661191259999,151500.0,0.0,1.0
2000-02-14,30.31,30.88,30.06,30.44,6.22780942902,111400.0,0.0,1.0
2000-02-15,30.56,31.44,30.38,31.38,6.42012680297,171800.0,0.0,1.0
2000-02-16,31.38,31.38,30.94,31.12,6.36693263571,86300.0,0.0,1.0
2000-02-17,31.0,31.25,30.75,30.94,6.330105904530001,335400.0,0.0,1.0
2000-02-18,30.81,30.94,30.06,30.25,6.1889367683200005,86600.0,0.0,1.0
2000-02-22,30.19,30.38,29.56,30.0,6.137788530569999,139600.0,0.0,1.0
2000-02-23,29.94,30.0,29.0,29.5,6.035492055060001,231200.0,0.0,1.0
2000-02-24,29.5,29.5,28.88,29.06,5.94547115661,125100.0,0.0,1.0
2000-02-25,29.06,29.19,28.38,28.44,5.818623526980001,97400.0,0.0,1.0
2000-02-28,28.44,28.62,28.06,28.38,5.80634794992,123700.0,0.0,1.0
2000-02-29,28.38,28.44,28.0,28.12,5.75315378265,127200.0,0.0,1.0
2000-03-01,28.25,28.44,27.38,27.88,5.70405147441,95300.0,0.0,1.0
2000-03-02,27.88,28.19,27.5,27.5,5.626306153019999,187400.0,0.0,1.0
2000-03-03,27.62,27.62,27.31,27.44,5.614030575959999,173500.0,0.0,1.0
2000-03-06,27.5,27.5,27.0,27.31,5.587433492330001,119900.0,0.0,1.0
2000-03-07,27.25,27.62,27.06,27.62,5.65085730714,266300.0,0.0,1.0
2000-03-08,27.62,28.81,27.5,28.56,5.8431746811,211700.0,0.0,1.0
2000-03-09,28.31,28.62,28.31,28.56,5.8431746811,329400.0,0.0,1.0
2000-03-10,28.44,28.62,27.81,28.31,5.79202644335,93700.0,0.0,1.0
2000-03-13,28.25,28.25,27.62,27.81,5.68972996784,64900.0,0.0,1.0
2000-03-14,27.81,28.0,27.25,27.56,5.63858173008,70900.0,0.0,1.0
2000-03-15,27.62,28.0,27.31,27.94,5.7163270514699995,125900.0,0.0,1.0
2000-03-16,27.94,30.94,27.94,30.88,6.317830327459999,238100.0,0.0,1.0
2000-03-17,29.88,29.94,29.19,29.31,5.99661939436,117300.0,0.0,1.0
2000-03-20,29.44,30.06,29.38,29.56,6.04776763212,73300.0,0.0,1.0
2000-03-21,29.62,29.94,29.0,29.12,5.95774673367,102100.0,0.0,1.0
2000-03-22,29.12,29.25,28.25,28.38,5.80634794992,73500.0,0.0,1.0
2000-03-23,28.38,29.19,28.38,29.12,5.95774673367,84700.0,0.0,1.0
2000-03-24,29.06,29.12,28.81,28.94,5.920920002490001,63800.0,0.0,1.0
2000-03-27,28.94,28.94,28.31,28.31,5.79202644335,104400.0,0.0,1.0
2000-03-28,28.44,28.44,27.75,27.75,5.67745439078,59300.0,0.0,1.0
2000-03-29,27.94,29.25,27.94,28.81,5.89432291886,162300.0,0.0,1.0
2000-03-30,29.06,29.81,29.06,29.31,5.99661939436,106500.0,0.0,1.0
