Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,55.13,58.44,55.13,58.0,11.150230019,3370100.0,0.0,1.0
1999-11-02,57.94,58.0,57.06,57.19,10.9945112894,1805200.0,0.0,1.0
1999-11-03,57.13,57.63,55.31,55.44,10.6580819354,1693000.0,0.0,1.0
1999-11-04,55.5,56.69,54.88,55.25,10.6215553198,1968000.0,0.0,1.0
1999-11-05,56.25,57.0,55.56,56.75,10.9099233376,1574500.0,0.0,1.0
1999-11-08,56.63,56.75,55.38,56.0,10.765739328699999,980100.0,0.0,1.0
1999-11-09,55.38,55.38,53.25,54.19,10.417775254,1261400.0,0.0,1.0
1999-11-10,54.0,55.19,53.75,54.5,10.477371311,1382300.0,0.0,1.0
1999-11-11,54.63,56.0,53.88,55.44,10.6580819354,1187600.0,0.0,1.0
1999-11-12,56.25,58.0,55.0,57.88,11.1271605776,1653800.0,0.0,1.0
1999-11-15,53.75,56.56,52.75,54.63,10.5023632058,4120600.0,0.0,1.0
1999-11-16,55.88,56.13,54.44,55.19,10.6100205991,2007200.0,0.0,1.0
1999-11-17,54.94,55.69,54.75,55.0,10.5734939836,1624700.0,0.0,1.0
1999-11-18,55.5,56.63,55.13,55.81,10.729212713099999,1517100.0,0.0,1.0
1999-11-19,54.81,55.63,54.5,55.0,10.5734939836,1174300.0,0.0,1.0
1999-11-22,55.0,55.06,53.0,53.44,10.2735912451,1641400.0,0.0,1.0
1999-11-23,53.25,53.5,51.56,52.19,10.0332845637,2776900.0,0.0,1.0
1999-11-24,51.88,52.13,50.75,51.75,9.948696611799999,1405100.0,0.0,1.0
1999-11-26,51.88,52.56,51.19,51.19,9.841039218510002,468300.0,0.0,1.0
1999-11-29,51.44,51.81,50.06,50.63,9.73338182523,1324600.0,0.0,1.0
1999-11-30,51.88,51.94,49.81,49.81,9.5757406422,2311200.0,0.0,1.0
1999-12-01,49.88,50.13,47.94,49.31,9.47961796962,2789100.0,0.0,1.0
1999-12-02,50.81,53.56,50.31,53.06,10.200538014,3605100.0,0.0,1.0
1999-12-03,54.94,56.13,53.88,53.94,10.3697139177,2060800.0,0.0,1.0
1999-12-06,53.69,55.13,52.63,54.69,10.5138979266,1506400.0,0.0,1.0
1999-12-07,54.81,54.81,52.25,53.13,10.2139951881,1808400.0,0.0,1.0
1999-12-08,53.13,53.38,52.25,52.25,10.0448192844,1632800.0,0.0,1.0
1999-12-09,53.0,53.38,51.13,51.5,9.900635275510002,2968600.0,0.0,1.0
1999-12-10,52.38,52.5,51.19,51.88,9.97368850667,1230800.0,0.0,1.0
1999-12-13,52.13,54.69,51.75,54.31,10.4408446954,1369700.0,0.0,1.0
1999-12-14,53.88,55.38,53.88,55.13,10.5984858784,2109500.0,0.0,1.0
1999-12-15,54.88,55.19,53.81,54.13,10.4062405333,1369700.0,0.0,1.0
1999-12-16,54.63,56.16,54.31,55.0,10.5734939836,1537100.0,0.0,1.0
1999-12-17,56.38,57.5,55.75,56.62,10.8849314427,1762000.0,0.0,1.0
1999-12-20,56.38,57.06,54.81,54.94,10.5619592628,1546300.0,0.0,1.0
1999-12-21,54.88,55.75,54.19,55.5,10.6696166561,1156100.0,0.0,1.0
1999-12-22,55.19,56.88,54.25,56.5,10.8618620013,1698900.0,0.0,1.0
1999-12-23,57.0,59.31,56.63,58.56,11.2578874123,1545500.0,0.0,1.0
1999-12-27,58.5,59.94,58.5,59.5,11.4385980368,1434400.0,0.0,1.0
1999-12-28,59.81,60.0,59.5,59.81,11.4981940938,1575500.0,0.0,1.0
1999-12-29,59.88,60.0,58.19,59.63,11.463589931600001,1135900.0,0.0,1.0
1999-12-30,59.44,59.44,58.75,59.13,11.367467259000001,728800.0,0.0,1.0
1999-12-31,59.31,60.0,59.06,59.75,11.486659373,626500.0,0.0,1.0
2000-01-03,58.81,59.44,55.0,55.75,10.7176779924,2023400.0,0.0,1.0
2000-01-04,55.0,55.06,51.38,52.75,10.140941957,1955500.0,0.0,1.0
2000-01-05,52.63,53.94,51.75,52.88,10.1659338518,1230300.0,0.0,1.0
2000-01-06,52.0,54.0,51.88,52.56,10.1044153414,1129900.0,0.0,1.0
2000-01-07,52.94,54.44,52.75,53.75,10.3331873021,917100.0,0.0,1.0
2000-01-10,54.0,55.5,53.81,55.38,10.6465472147,1121400.0,0.0,1.0
2000-01-11,54.63,55.75,53.44,53.88,10.358179197,1047900.0,0.0,1.0
2000-01-12,53.81,54.19,51.75,52.94,10.1841971596,2261100.0,0.035,1.0
2000-01-13,53.0,53.0,52.0,52.38,10.0764685912,1307000.0,0.0,1.0
2000-01-14,53.0,54.88,52.88,54.13,10.4131203674,2269700.0,0.0,1.0
2000-01-18,54.75,54.75,52.88,53.25,10.2438326171,1155300.0,0.0,1.0
2000-01-19,53.5,53.69,52.75,52.88,10.172654813,1125700.0,0.0,1.0
2000-01-20,52.88,52.94,49.0,50.75,9.76290150832,2999300.0,0.0,1.0
2000-01-21,50.63,50.69,46.69,47.38,9.114606373680001,3900000.0,0.0,1.0
2000-01-24,47.5,48.88,46.19,46.75,8.99341173427,2165000.0,0.0,1.0
2000-01-25,47.0,47.19,45.0,46.0,8.84913240163,2283400.0,0.0,1.0
2000-01-26,45.75,47.0,44.25,46.63,8.97032704105,2747900.0,0.0,1.0
2000-01-27,46.75,46.94,45.06,45.81,8.812581637360001,2376700.0,0.0,1.0
2000-01-28,45.63,45.69,43.31,44.56,8.57211608297,1738300.0,0.0,1.0
2000-01-31,44.69,45.31,43.06,44.63,8.585582154019999,2493500.0,0.0,1.0
