Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2004-12-15,41.9,49.45,41.65,46.56,31.097486163000003,26246300.0,0.0,1.0
2004-12-16,48.1,50.6,47.9,49.11,32.8006345675,7778200.0,0.0,1.0
2004-12-17,49.11,53.25,48.11,53.0,35.3987707611,4755800.0,0.0,1.0
2004-12-20,52.7,53.98,48.33,48.6,32.4600048866,6098000.0,0.0,1.0
2004-12-21,48.6,49.18,45.6,47.38,31.645165257800002,3209500.0,0.0,1.0
2004-12-22,47.2,49.55,46.9,48.51,32.3998937665,1837400.0,0.0,1.0
2004-12-23,48.61,49.35,48.3,48.5,32.3932147531,633500.0,0.0,1.0
2004-12-27,48.51,49.01,46.91,47.65,31.8254986183,800700.0,0.0,1.0
2004-12-28,47.45,48.3,46.5,48.1,32.1260542191,1169600.0,0.0,1.0
2004-12-29,48.1,48.2,47.55,47.89,31.9857949387,566500.0,0.0,1.0
2004-12-30,48.05,48.65,47.49,47.85,31.959078885300002,758300.0,0.0,1.0
2004-12-31,47.9,48.1,47.45,48.0,32.059264085500004,645400.0,0.0,1.0
2005-01-03,49.35,49.4,47.55,48.51,32.3998937665,1055900.0,0.0,1.0
2005-01-04,48.51,49.6,48.3,49.46,33.0344000348,1660100.0,0.0,1.0
2005-01-05,49.71,49.9,48.79,48.85,32.6269802204,697400.0,0.0,1.0
2005-01-06,48.75,48.79,47.5,47.99,32.052585072199996,1015300.0,0.0,1.0
2005-01-07,47.85,47.86,45.31,45.55,30.422905814499998,2178900.0,0.0,1.0
2005-01-10,45.05,46.3,44.75,45.13,30.14238725380001,1247300.0,0.0,1.0
2005-01-11,44.5,45.83,43.27,44.72,29.868547706399998,1503300.0,0.0,1.0
2005-01-12,44.91,45.2,42.9,43.1,28.7865475435,1658100.0,0.0,1.0
2005-01-13,42.65,43.0,41.41,42.5,28.385806742399996,2414800.0,0.0,1.0
2005-01-14,42.79,43.59,42.15,43.4,28.986917944,992800.0,0.0,1.0
2005-01-18,43.35,45.21,42.8,45.21,30.195819360599998,879800.0,0.0,1.0
2005-01-19,45.29,46.17,44.15,44.35,29.621424212399997,864600.0,0.0,1.0
2005-01-20,44.35,44.7,43.56,43.76,29.227362424699997,453600.0,0.0,1.0
2005-01-21,43.3,43.49,41.9,43.05,28.753152476700002,1626200.0,0.0,1.0
2005-01-24,44.63,44.76,41.5,42.05,28.085251141599997,1875100.0,0.0,1.0
2005-01-25,42.3,43.1,42.05,42.1,28.1186462084,613900.0,0.0,1.0
2005-01-26,42.25,42.75,42.02,42.06,28.091930155,365500.0,0.0,1.0
2005-01-27,42.18,42.6,41.86,42.05,28.085251141599997,646000.0,0.0,1.0
2005-01-28,42.1,42.3,41.75,42.2,28.1854363419,400200.0,0.0,1.0
2005-01-31,42.8,43.59,42.53,43.4,28.986917944,621800.0,0.0,1.0
2005-02-01,44.0,44.5,43.1,43.24,28.8800537304,780400.0,0.0,1.0
2005-02-02,43.75,45.5,43.36,45.15,30.155745280500003,899300.0,0.0,1.0
