Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,67.0,67.5,64.5,64.88,11.5658773489,411644.0,0.0,1.0
1999-11-02,65.06,65.5,63.44,63.75,11.36443713,558667.0,0.0,1.0
1999-11-03,64.06,68.25,64.0,68.0,12.122066272,802044.0,0.0,1.0
1999-11-04,68.31,70.0,67.38,68.81,12.2664614732,590430.0,0.0,1.0
1999-11-05,69.44,69.69,67.75,69.0,12.3003319525,725452.0,0.0,1.0
1999-11-08,69.19,69.19,67.69,68.5,12.211199112200001,397600.0,0.0,1.0
1999-11-09,68.75,68.88,65.63,66.25,11.810101331199998,638667.0,0.0,1.0
1999-11-10,66.44,67.5,64.56,65.13,11.610443769100002,610578.0,0.0,1.0
1999-11-11,66.25,68.25,64.75,65.13,11.610443769100002,468444.0,0.0,1.0
1999-11-12,65.25,65.75,61.38,65.38,11.6550101892,522578.0,0.0,1.0
1999-11-15,65.75,66.06,62.56,64.13,11.432178088599999,366252.0,0.0,1.0
1999-11-16,64.19,66.25,63.69,66.0,11.7655349111,544800.0,0.0,1.0
1999-11-17,66.03,68.03,63.5,63.75,11.36443713,599467.0,0.0,1.0
1999-11-18,64.69,67.88,64.0,67.44,12.022237490899998,447230.0,0.0,1.0
1999-11-19,67.81,69.25,66.5,67.0,11.9438005915,677244.0,0.0,1.0
1999-11-22,66.94,67.5,64.63,66.06,11.776230851900001,354252.0,0.0,1.0
1999-11-23,67.31,67.38,62.88,63.25,11.2753042898,807585.0,0.0,1.0
1999-11-24,63.25,65.0,62.25,65.0,11.587269230599999,396178.0,0.0,1.0
1999-11-26,65.06,67.0,64.75,65.63,11.699576609300001,68652.0,0.0,1.0
1999-11-29,65.28,65.38,63.25,63.63,11.3430452483,379763.0,0.0,1.0
1999-11-30,64.44,64.5,62.25,63.38,11.298478828199999,370667.0,0.0,1.0
1999-12-01,63.0,68.5,63.0,67.13,11.96697513,1451644.0,0.0,1.0
1999-12-02,69.0,71.44,68.19,71.16,12.6853858223,995052.0,0.0,1.0
1999-12-03,72.31,75.25,70.44,72.0,12.835128993900002,1385985.0,0.0,1.0
1999-12-06,73.13,77.0,71.75,73.06,13.0240906152,1116978.0,0.0,1.0
1999-12-07,72.94,73.25,69.5,70.88,12.635471431800001,658785.0,0.0,1.0
1999-12-08,71.38,71.38,66.75,69.0,12.3003319525,1069778.0,0.0,1.0
1999-12-09,69.0,72.38,69.0,70.0,12.4785976329,929778.0,0.0,1.0
1999-12-10,69.63,72.5,68.5,70.25,12.523164053099999,477067.0,0.0,1.0
1999-12-13,70.13,72.38,68.69,69.31,12.3555943134,387763.0,0.0,1.0
1999-12-14,69.44,69.47,61.13,62.0,11.052472189200001,777600.0,0.0,1.0
1999-12-15,61.75,64.5,59.75,60.69,10.8189441478,1344830.0,0.0,1.0
1999-12-16,64.13,65.75,63.5,64.63,11.521310928800002,1215644.0,0.0,1.0
1999-12-17,65.38,67.0,64.38,66.19,11.7994053904,1084978.0,0.0,1.0
1999-12-20,67.0,67.0,65.5,65.81,11.7316644318,502667.0,0.0,1.0
1999-12-21,65.81,68.81,64.19,68.81,12.2664614732,764978.0,0.0,1.0
1999-12-22,69.75,70.88,66.69,68.31,12.1773286329,345778.0,0.0,1.0
1999-12-23,69.63,70.5,66.88,66.94,11.933104650699999,402044.0,0.0,1.0
1999-12-27,68.75,70.0,66.69,67.0,11.9438005915,486044.0,0.0,1.0
1999-12-28,68.44,68.5,67.0,67.25,11.988367011600001,244800.0,0.0,1.0
1999-12-29,66.88,69.75,66.06,69.0,12.3003319525,268030.0,0.0,1.0
1999-12-30,69.13,69.63,67.56,67.88,12.1006743903,153363.0,0.0,1.0
1999-12-31,68.38,69.25,67.5,68.44,12.200503171400001,178785.0,0.0,1.0
2000-01-03,68.53,69.38,64.88,68.13,12.145240810499999,866252.0,0.0,1.0
2000-01-04,69.19,69.38,63.0,63.06,11.2414338105,914785.0,0.0,1.0
2000-01-05,63.75,64.63,61.0,63.25,11.2753042898,637185.0,0.0,1.0
2000-01-06,62.56,63.63,60.38,61.88,11.0310803075,729452.0,0.0,1.0
2000-01-07,62.31,62.31,58.75,60.25,10.740507248399998,1020830.0,0.0,1.0
2000-01-10,61.88,65.5,61.5,64.63,11.521310928800002,1223852.0,0.0,1.0
2000-01-11,64.13,65.69,61.56,62.31,11.1077345501,783052.0,0.0,1.0
2000-01-12,63.13,68.5,62.5,67.31,11.9990629525,1358844.0,0.0,1.0
2000-01-13,69.38,71.5,67.25,71.25,12.7014297335,1111763.0,0.0,1.0
2000-01-14,72.25,72.75,66.5,66.69,11.8885382306,2857363.0,0.0,1.0
2000-01-18,67.5,68.31,65.5,65.94,11.7548389702,950163.0,0.0,1.0
2000-01-19,66.88,69.0,66.0,67.44,12.022237490899998,577363.0,0.0,1.0
2000-01-20,68.75,70.25,68.0,70.19,12.5124681122,609867.0,0.0,1.0
2000-01-21,70.31,70.31,65.88,66.25,11.810101331199998,914578.0,0.0,1.0
