Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,21.0,21.0,19.81,19.81,16.6927211373,1829600.0,0.0,1.0
1999-11-02,19.94,20.88,19.63,20.0,16.8528229554,2753100.0,0.0,1.0
1999-11-03,20.13,20.75,19.75,20.69,17.4342453473,2566100.0,0.0,1.0
1999-11-04,20.94,21.38,20.38,20.5,17.2741435293,2068900.0,0.0,1.0
1999-11-05,20.69,20.88,20.06,20.13,16.9623663046,1870800.0,0.0,1.0
1999-11-08,20.38,20.63,19.63,20.31,17.1140417112,1568000.0,0.0,1.0
1999-11-09,20.31,20.38,19.88,20.13,16.9623663046,925400.0,0.0,1.0
1999-11-10,20.19,20.19,19.69,19.94,16.8022644865,1327000.0,0.0,1.0
1999-11-11,19.56,20.13,19.56,20.13,16.9623663046,1241000.0,0.0,1.0
1999-11-12,20.0,21.31,19.81,21.31,17.956682859,2387400.0,0.0,1.0
1999-11-15,21.5,22.38,21.0,21.63,18.226328026199997,3438800.0,0.0,1.0
1999-11-16,22.06,23.06,21.56,23.06,19.4313048676,2260500.0,0.0,1.0
1999-11-17,23.0,24.38,23.0,23.5,19.8020669726,2579400.0,0.0,1.0
1999-11-18,23.75,24.13,22.56,22.81,19.2206445806,1307300.0,0.0,1.0
1999-11-19,22.56,23.75,22.56,23.13,19.4902897479,1380100.0,0.0,1.0
1999-11-22,23.25,23.63,22.75,23.13,19.4902897479,1413500.0,0.0,1.0
1999-11-23,22.88,23.06,22.0,22.44,18.9088673559,1413000.0,0.0,1.0
1999-11-24,22.0,22.88,21.88,22.38,18.8583088871,1212700.0,0.0,1.0
1999-11-26,22.38,22.69,22.13,22.38,18.8583088871,593900.0,0.0,1.0
1999-11-29,22.31,22.75,22.19,22.69,19.1700861117,990500.0,0.06,1.0
1999-11-30,22.69,23.94,22.69,23.38,19.7530459803,1993400.0,0.0,1.0
1999-12-01,23.13,23.31,22.75,23.25,19.6432129616,1083800.0,0.0,1.0
1999-12-02,22.88,23.25,22.88,23.0,19.4319956179,1099500.0,0.0,1.0
1999-12-03,23.25,23.25,22.38,22.5,19.0095609306,1136400.0,0.0,1.0
1999-12-06,22.25,22.5,21.88,22.38,18.908176605599998,1042500.0,0.0,1.0
1999-12-07,22.25,22.25,21.69,21.75,18.3759088995,1311900.0,0.0,1.0
1999-12-08,21.56,22.5,21.56,21.63,18.2745245746,1195600.0,0.0,1.0
1999-12-09,21.56,22.44,21.56,22.0,18.5871262432,1133000.0,0.0,1.0
1999-12-10,21.75,21.75,20.88,21.0,17.7422568685,1647200.0,0.0,1.0
1999-12-13,20.5,21.13,20.44,20.5,17.3198221812,1510600.0,0.0,1.0
1999-12-14,20.25,20.63,20.06,20.44,17.2691300187,1355700.0,0.0,1.0
1999-12-15,20.19,20.88,20.19,20.69,17.4803473624,1311200.0,0.0,1.0
1999-12-16,20.56,20.69,20.06,20.13,17.0072205125,1607100.0,0.0,1.0
1999-12-17,20.5,21.19,20.25,20.81,17.5817316873,2070000.0,0.0,1.0
1999-12-20,20.81,20.81,20.0,20.38,17.218437856199998,1531900.0,0.0,1.0
