Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,51.0,52.88,51.0,52.0,10.3388340174,389500.0,0.0,1.0
1999-11-02,52.38,54.0,52.25,53.25,10.5873636813,329200.0,0.0,1.0
1999-11-03,53.38,53.94,53.38,53.81,10.6987049707,276100.0,0.0,1.0
1999-11-04,53.63,54.5,53.5,54.0,10.7364814796,156400.0,0.0,1.0
1999-11-05,54.13,54.56,53.75,53.81,10.6987049707,175500.0,0.0,1.0
1999-11-08,54.06,54.31,53.88,54.13,10.7623285646,124600.0,0.0,1.0
1999-11-09,54.13,54.44,53.44,54.38,10.8120344974,199300.0,0.0,1.0
1999-11-10,54.38,54.38,52.94,53.0,10.537657748500001,140400.0,0.0,1.0
1999-11-11,53.0,53.63,52.63,53.63,10.6629166991,133800.0,0.0,1.0
1999-11-12,54.25,54.25,53.0,53.44,10.6251401902,158500.0,0.0,1.0
1999-11-15,53.13,53.31,46.81,47.25,9.39442129464,2710900.0,0.0,1.0
1999-11-16,48.81,50.75,48.69,50.69,10.0783749296,914500.0,0.0,1.0
1999-11-17,50.0,50.0,47.81,47.88,9.51968024524,467900.0,0.0,1.0
1999-11-18,48.25,50.0,46.56,49.88,9.91732770744,641400.0,0.0,1.0
1999-11-19,49.88,49.88,48.69,49.56,9.85370411349,439000.0,0.0,1.0
1999-11-22,49.5,49.75,49.25,49.5,9.84177468962,428200.0,0.0,1.0
1999-11-23,49.75,49.81,48.94,49.75,9.8914806224,93200.0,0.0,1.0
1999-11-24,49.63,50.06,49.0,49.63,9.86762177467,307100.0,0.0,1.0
1999-11-26,49.13,49.25,48.63,48.88,9.71850397634,39000.0,0.0,1.0
1999-11-29,48.63,49.31,48.63,48.94,9.73043340021,131000.0,0.0,1.0
1999-11-30,49.06,49.56,48.75,49.38,9.817915841889999,220800.0,0.0,1.0
1999-12-01,49.38,49.5,48.0,48.06,9.55546851683,160600.0,0.0,1.0
1999-12-02,48.31,48.75,48.25,48.31,9.60517444961,170600.0,0.0,1.0
1999-12-03,48.5,49.19,48.38,48.94,9.73043340021,193900.0,0.0,1.0
1999-12-06,48.69,48.69,47.25,47.63,9.46997431246,156000.0,0.0,1.0
1999-12-07,47.5,50.0,47.5,49.75,9.8914806224,205800.0,0.0,1.0
1999-12-08,49.81,49.94,49.38,49.94,9.92925713131,128200.0,0.0,1.0
1999-12-09,49.75,50.38,48.13,49.25,9.79206875685,223000.0,0.0,1.0
1999-12-10,49.25,49.25,46.75,47.75,9.493833160189999,251300.0,0.0,1.0
1999-12-13,47.63,47.69,45.75,46.38,9.22144464858,622600.0,0.0,1.0
1999-12-14,48.0,48.75,47.38,47.38,9.420268379680001,579300.0,0.0,1.0
1999-12-15,47.38,48.88,47.38,48.69,9.68072746743,202400.0,0.0,1.0
1999-12-16,48.88,49.25,48.81,49.0,9.74236282407,172800.0,0.0,1.0
1999-12-17,48.56,49.31,48.5,48.56,9.65488038239,223400.0,0.0,1.0
1999-12-20,48.31,49.75,48.25,49.69,9.87955119853,123800.0,0.0,1.0
1999-12-21,49.69,49.75,48.56,49.0,9.74236282407,86700.0,0.0,1.0
1999-12-22,49.0,49.38,48.75,48.94,9.73043340021,40700.0,0.0,1.0
1999-12-23,48.94,50.25,48.94,49.75,9.8914806224,120100.0,0.0,1.0
1999-12-27,49.63,49.69,48.0,48.94,9.73043340021,62600.0,0.0,1.0
1999-12-28,48.75,50.13,48.75,49.38,9.817915841889999,73000.0,0.0,1.0
1999-12-29,49.5,49.63,48.81,48.81,9.70458631516,33000.0,0.0,1.0
1999-12-30,48.69,52.0,48.69,51.5,10.2394221518,167100.0,0.0,1.0
1999-12-31,51.13,51.19,50.13,50.31,10.0028219118,152400.0,0.0,1.0
2000-01-03,50.31,50.31,47.19,47.25,9.39442129464,255500.0,0.0,1.0
2000-01-04,47.25,47.69,46.25,46.81,9.30693885296,102000.0,0.0,1.0
2000-01-05,46.75,46.75,45.75,46.06,9.15782105463,125400.0,0.0,1.0
2000-01-06,45.25,48.0,44.81,47.75,9.493833160189999,335300.0,0.0,1.0
2000-01-07,47.75,48.38,47.25,47.25,9.39442129464,115600.0,0.0,1.0
2000-01-10,47.38,48.75,46.0,48.31,9.60517444961,157100.0,0.0,1.0
2000-01-11,48.38,48.38,45.88,45.88,9.122032783029999,147300.0,0.0,1.0
2000-01-12,45.94,47.25,44.75,46.75,9.29500942909,343100.0,0.0,1.0
2000-01-13,46.88,46.94,45.56,45.63,9.07232685025,154300.0,0.0,1.0
2000-01-14,45.88,46.63,45.5,46.13,9.1717387158,84000.0,0.0,1.0
2000-01-18,46.38,46.75,45.63,46.13,9.1717387158,97300.0,0.0,1.0
2000-01-19,45.88,47.63,45.75,47.56,9.45605665128,277900.0,0.0,1.0
2000-01-20,48.75,49.56,47.38,47.44,9.43219780355,549000.0,0.0,1.0
2000-01-21,46.5,46.5,44.75,46.06,9.15782105463,483600.0,0.0,1.0
2000-01-24,46.25,46.56,43.63,43.81,8.710467659639999,186800.0,0.0,1.0
2000-01-25,43.81,43.81,42.94,43.5,8.648832302999999,360400.0,0.0,1.0
2000-01-26,43.94,43.94,43.0,43.13,8.57526752249,193600.0,0.0,1.0
2000-01-27,43.06,43.31,41.38,41.94,8.33866728248,509400.0,0.0,1.0
2000-01-28,41.88,42.63,41.38,41.56,8.26311426466,424500.0,0.0,1.0
2000-01-31,41.69,42.06,41.25,41.38,8.227325993060001,273100.0,0.0,1.0
2000-02-01,42.25,43.44,42.13,42.88,8.52556158972,414600.0,0.0,1.0
2000-02-02,42.63,43.44,42.38,42.5,8.4500085719,289600.0,0.0,1.0
2000-02-03,42.75,42.94,42.06,42.13,8.376443791389999,83500.0,0.0,1.0
2000-02-04,42.56,44.31,42.56,44.31,8.8098795252,282600.0,0.0,1.0
2000-02-07,44.13,44.13,42.38,42.56,8.46193799577,158700.0,0.0,1.0
2000-02-08,42.88,43.75,42.75,42.81,8.53152630165,170500.0,0.1,1.0
2000-02-09,43.06,43.25,42.25,42.38,8.44583239112,110600.0,0.0,1.0
2000-02-10,42.56,42.69,42.0,42.63,8.495654432130001,47300.0,0.0,1.0
2000-02-11,42.69,43.0,42.19,42.19,8.40796763996,81800.0,0.0,1.0
2000-02-14,42.38,42.88,42.0,42.13,8.39601035012,88900.0,0.0,1.0
2000-02-15,42.13,42.44,41.5,42.19,8.40796763996,325800.0,0.0,1.0
2000-02-16,42.0,42.44,41.75,42.0,8.3701028888,187100.0,0.0,1.0
2000-02-17,41.88,43.69,41.88,43.25,8.61921309382,118500.0,0.0,1.0
2000-02-18,43.25,43.25,41.81,42.19,8.40796763996,393100.0,0.0,1.0
2000-02-22,42.13,42.13,40.13,40.38,8.047256063089996,133900.0,0.0,1.0
2000-02-23,39.13,42.06,38.5,41.81,8.33223813763,858700.0,0.0,1.0
2000-02-24,42.06,42.13,38.75,41.44,8.25850151695,745900.0,0.0,1.0
2000-02-25,41.19,41.19,39.0,39.19,7.8101031479,453600.0,0.0,1.0
2000-02-28,19.81,20.5,19.31,20.19,8.047256063089996,183000.0,0.0,2.0
2000-02-29,20.19,20.5,19.56,19.88,7.923697401389999,283500.0,0.0,1.0
2000-03-01,19.75,19.81,18.63,19.0,7.572950232719999,472300.0,0.0,1.0
2000-03-02,18.5,19.19,18.44,19.0,7.572950232719999,580500.0,0.0,1.0
2000-03-03,19.5,19.63,18.75,19.0,7.572950232719999,189700.0,0.0,1.0
2000-03-06,20.5,20.69,19.25,19.5,7.772238396739999,808300.0,0.0,1.0
2000-03-07,19.75,19.75,19.0,19.63,7.824053319380001,866000.0,0.0,1.0
2000-03-08,19.75,19.75,18.81,19.25,7.67259431473,449500.0,0.0,1.0
2000-03-09,19.25,20.25,19.0,20.13,8.023341483400001,701200.0,0.0,1.0
2000-03-10,20.0,20.38,19.69,20.19,8.047256063089996,471500.0,0.0,1.0
2000-03-13,20.06,20.06,19.25,19.5,7.772238396739999,464300.0,0.0,1.0
2000-03-14,19.44,19.5,18.88,19.0,7.572950232719999,448800.0,0.0,1.0
2000-03-15,19.25,20.38,19.13,20.19,8.047256063089996,879900.0,0.0,1.0
