Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,38.69,38.75,37.81,38.56,28.770286214099997,216400.0,0.0,1.0
1999-11-02,38.31,38.63,38.0,38.56,28.770286214099997,121800.0,0.0,1.0
1999-11-03,38.56,39.13,38.0,39.06,29.1433449046,104600.0,0.0,1.0
1999-11-04,38.81,39.25,38.13,38.63,28.8225144308,84000.0,0.0,1.0
1999-11-05,39.25,40.75,38.94,40.0,29.8446952429,136900.0,0.0,1.0
1999-11-08,40.06,41.88,40.06,41.44,30.9191042716,189300.0,0.0,1.0
1999-11-09,41.69,42.0,39.69,40.0,29.8446952429,213100.0,0.0,1.0
1999-11-10,40.06,40.63,39.63,40.13,29.941690502399997,107200.0,0.0,1.0
1999-11-11,39.88,40.38,38.25,38.81,28.9568155594,170100.0,0.0,1.0
1999-11-12,39.56,40.56,39.44,39.88,29.7551611571,148500.0,0.0,1.0
1999-11-15,39.88,41.0,39.81,40.75,30.4042832787,152800.0,0.0,1.0
1999-11-16,40.5,41.75,40.44,41.38,30.8743372287,83100.0,0.0,1.0
1999-11-17,41.13,41.13,39.13,39.38,29.3821024666,292500.0,0.0,1.0
1999-11-18,40.31,40.5,39.81,40.0,29.8446952429,259500.0,0.0,1.0
1999-11-19,40.0,40.0,39.13,39.63,29.5686318119,110200.0,0.0,1.0
1999-11-22,39.63,39.63,37.13,37.31,27.8376394878,283600.0,0.0,1.0
1999-11-23,37.31,39.94,36.75,39.25,29.285107207,281300.0,0.0,1.0
1999-11-24,39.81,40.25,38.63,38.69,28.867281473600002,183900.0,0.0,1.0
1999-11-26,38.44,39.75,38.44,39.13,29.1955731213,74900.0,0.0,1.0
1999-11-29,38.25,38.69,37.13,37.38,27.986862964,169900.0,0.13,1.0
1999-11-30,37.38,38.75,37.25,37.94,28.4061418099,273200.0,0.0,1.0
1999-12-01,37.81,37.81,36.88,37.0,27.702352318499997,296500.0,0.0,1.0
1999-12-02,37.25,38.56,37.25,37.63,28.1740410202,134200.0,0.0,1.0
1999-12-03,37.88,38.44,37.0,37.94,28.4061418099,196200.0,0.0,1.0
1999-12-06,37.94,38.0,37.25,37.38,27.986862964,236000.0,0.0,1.0
1999-12-07,37.31,37.81,37.31,37.56,28.1216311645,109000.0,0.0,1.0
1999-12-08,37.31,37.5,36.0,36.0,26.9536400937,203700.0,0.0,1.0
1999-12-09,36.19,36.44,35.38,36.0,26.9536400937,166900.0,0.0,1.0
1999-12-10,36.06,36.5,35.38,36.0,26.9536400937,162700.0,0.0,1.0
1999-12-13,36.0,37.38,35.94,37.19,27.8446076413,213500.0,0.0,1.0
1999-12-14,37.0,37.69,36.69,37.25,27.8895303748,157600.0,0.0,1.0
1999-12-15,37.13,38.19,37.13,38.06,28.4959872769,247100.0,0.0,1.0
1999-12-16,37.81,38.5,37.81,38.06,28.4959872769,761300.0,0.0,1.0
1999-12-17,38.0,38.56,37.94,38.56,28.870343389299997,237400.0,0.0,1.0
