Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,78.81,80.0,77.0,77.13,23.184913997800003,658500.0,0.0,1.0
1999-11-02,76.75,78.63,76.31,77.13,23.184913997800003,774700.0,0.0,1.0
1999-11-03,77.13,77.56,76.0,76.31,22.9384258677,874600.0,0.0,1.0
1999-11-04,76.5,79.38,76.5,78.63,23.6358069188,567100.0,0.0,1.0
1999-11-05,80.0,83.38,80.0,81.5,24.4985153743,973200.0,0.0,1.0
1999-11-08,81.0,81.13,79.63,80.25,24.1227712735,618500.0,0.0,1.0
1999-11-09,80.0,80.75,79.38,80.0,24.0476224533,589800.0,0.0,1.0
1999-11-10,79.63,80.5,79.31,80.19,24.1047355567,933600.0,0.0,1.0
1999-11-11,80.13,80.38,79.81,80.06,24.0656581702,432100.0,0.0,1.0
1999-11-12,80.31,82.75,80.31,82.19,24.705926118,480100.0,0.0,1.0
1999-11-15,82.19,82.31,80.56,81.56,24.5165510912,1105900.0,0.0,1.0
1999-11-16,81.75,82.88,81.25,81.88,24.612741580999998,1270300.0,0.0,1.0
1999-11-17,81.63,81.88,79.38,79.75,23.972473633200003,542000.0,0.0,1.0
1999-11-18,79.75,80.19,76.75,78.5,23.5967295323,752800.0,0.0,1.0
1999-11-19,78.38,79.0,78.0,79.0,23.7470271727,570400.0,0.0,1.0
1999-11-22,78.5,78.75,76.5,77.88,23.410360458299998,627100.0,0.0,1.0
1999-11-23,77.88,78.88,77.63,77.75,23.371283071799997,829700.0,0.0,1.0
1999-11-24,77.63,77.63,76.31,77.06,23.1638723282,708800.0,0.0,1.0
1999-11-26,77.06,77.63,77.0,77.0,23.145836611300002,351800.0,0.0,1.0
1999-11-29,77.0,77.94,76.13,76.81,23.088723508,594600.0,0.0,1.0
1999-11-30,76.69,78.75,76.69,78.63,23.6358069188,550000.0,0.0,1.0
1999-12-01,78.38,79.13,77.94,78.06,23.464467608899998,707700.0,0.0,1.0
1999-12-02,78.31,79.19,77.75,78.43,23.5756878627,523200.0,0.0,1.0
1999-12-03,79.5,81.63,79.5,81.0,24.348217734000002,707700.0,0.0,1.0
1999-12-06,80.88,82.38,80.31,81.44,24.4804796575,570500.0,0.0,1.0
1999-12-07,81.19,82.5,80.69,81.88,24.612741580999998,1008900.0,0.0,1.0
1999-12-08,82.0,82.31,81.06,82.0,24.648813014699996,616500.0,0.0,1.0
1999-12-09,83.75,87.56,82.94,87.5,26.3020870583,1469100.0,0.0,1.0
1999-12-10,89.5,89.63,86.88,88.31,26.5455692357,1571500.0,0.0,1.0
1999-12-13,88.31,88.31,86.0,86.25,25.9263429575,759400.0,0.0,1.0
1999-12-14,85.63,86.25,84.06,85.0,25.550598856700002,1162400.0,0.0,1.0
1999-12-15,84.75,84.81,83.19,83.31,25.042592832399997,1238800.0,0.0,1.0
1999-12-16,83.56,84.5,82.06,83.0,24.949408295300003,1109700.0,0.0,1.0
1999-12-17,83.38,86.38,83.31,85.38,25.6648250633,1137700.0,0.0,1.0
1999-12-20,85.13,85.13,83.38,83.92,25.2259559536,1064600.0,0.0,1.0
1999-12-21,84.75,87.81,83.69,87.56,26.3201227752,950700.0,0.0,1.0
1999-12-22,87.56,94.13,87.44,93.88,28.219884949,1459800.0,0.0,1.0
1999-12-23,93.88,96.38,93.25,96.31,28.950331481,1298700.0,0.0,1.0
1999-12-27,96.06,96.63,94.0,94.0,28.2559563827,770200.0,0.0,1.0
1999-12-28,92.75,94.06,92.75,93.75,28.1808075625,574400.0,0.0,1.0
1999-12-29,94.0,94.63,93.56,94.0,28.2559563827,315900.0,0.0,1.0
1999-12-30,94.0,96.75,93.88,94.75,28.4814028432,483700.0,0.0,1.0
1999-12-31,95.25,95.81,94.63,95.69,28.763962406999998,134100.0,0.0,1.0
2000-01-03,94.5,94.63,93.25,94.56,28.424289739899997,1083200.0,0.0,1.0
2000-01-04,94.0,95.44,88.75,90.31,27.146759796999998,2138600.0,0.0,1.0
2000-01-05,90.31,90.88,86.13,87.69,26.359200161700002,1868800.0,0.0,1.0
2000-01-06,88.0,92.75,86.5,92.44,27.9222956211,918200.0,0.45,1.0
2000-01-07,92.38,95.75,91.38,95.38,28.810347861799997,797200.0,0.0,1.0
2000-01-10,95.63,96.69,93.63,95.75,28.9221095383,1335000.0,0.0,1.0
2000-01-11,95.25,96.94,95.19,96.63,29.1879210934,826600.0,0.0,1.0
2000-01-12,97.0,97.38,94.5,95.81,28.9402330535,1404500.0,0.0,1.0
2000-01-13,96.0,97.88,95.75,97.5,29.4507120625,1376000.0,0.0,1.0
2000-01-14,98.0,104.8,98.0,103.9,31.383887008200002,1391800.0,0.0,1.0
2000-01-18,103.6,103.6,100.4,102.1,30.8401815547,814700.0,0.0,1.0
