Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,12.88,13.25,12.88,13.19,10.6621507465,512000.0,0.0,1.0
1999-11-02,14.25,14.38,13.75,14.25,11.519002891400001,960600.0,0.0,1.0
1999-11-03,14.25,15.0,14.19,14.5,11.721090661400002,776200.0,0.0,1.0
1999-11-04,14.75,14.75,14.12,14.19,11.470501826600001,197500.0,0.0,1.0
1999-11-05,14.19,14.38,13.81,13.88,11.219912991700001,254300.0,0.0,1.0
1999-11-08,13.88,14.12,13.5,13.62,11.009741710899998,196400.0,0.0,1.0
1999-11-09,13.75,13.88,13.5,13.69,11.0663262865,441800.0,0.0,1.0
1999-11-10,13.69,13.81,12.75,13.5,10.9127395813,247100.0,0.0,1.0
1999-11-11,13.12,14.56,13.12,14.5,11.721090661400002,645600.0,0.0,1.0
1999-11-12,15.0,15.06,14.25,14.56,11.769591726199998,959800.0,0.0,1.0
1999-11-15,14.62,14.75,14.38,14.56,11.769591726199998,716600.0,0.0,1.0
1999-11-16,14.44,15.19,14.44,15.06,12.173767266199999,511300.0,0.0,1.0
1999-11-17,15.0,16.5,15.0,15.69,12.683028446700002,1234400.0,0.0,1.0
1999-11-18,15.94,16.12,15.75,16.06,12.982118346300002,790700.0,0.0,1.0
1999-11-19,16.0,16.0,15.5,15.69,12.683028446700002,493600.0,0.0,1.0
1999-11-22,15.44,16.12,15.44,16.06,12.982118346300002,601800.0,0.0,1.0
1999-11-23,16.12,16.25,15.81,15.88,12.8366151519,572900.0,0.0,1.0
1999-11-24,16.0,16.06,15.69,16.0,12.9336172815,1092300.0,0.0,1.0
1999-11-26,15.94,16.0,15.81,16.0,12.9336172815,204300.0,0.0,1.0
1999-11-29,16.06,16.06,15.72,15.75,12.731529511500002,720800.0,0.0,1.0
1999-11-30,15.81,16.31,15.75,16.12,13.030619411099998,867200.0,0.0,1.0
1999-12-01,16.0,16.0,15.56,15.94,12.8851162167,726900.0,0.0,1.0
1999-12-02,15.81,15.94,15.62,15.88,12.8366151519,465900.0,0.0,1.0
1999-12-03,15.94,16.0,15.62,15.81,12.780030576300001,847200.0,0.0,1.0
1999-12-06,15.88,16.0,15.75,15.94,12.8851162167,482100.0,0.0,1.0
1999-12-07,16.5,17.06,16.12,16.31,13.1842061164,1169500.0,0.0,1.0
