Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,98.94,102.5,98.75,102.25,160.16019537100001,10651667.0,0.0,1.0
1999-11-02,103.19,104.88,101.94,102.5,160.551785091,9204300.0,0.0,1.0
1999-11-03,103.38,104.0,101.94,103.25,161.72655425,6741933.0,0.0,1.0
1999-11-04,107.94,108.63,105.5,106.5,166.817220607,10682233.0,0.0,1.0
1999-11-05,108.5,115.13,108.5,114.31,179.050483451,12912200.0,0.0,1.0
1999-11-08,113.5,116.75,110.06,111.5,174.64901500099998,9149000.0,0.0,1.0
1999-11-09,111.75,112.5,108.5,110.5,173.082656122,6803533.0,0.0,1.0
1999-11-10,110.13,116.94,109.56,116.75,182.872399116,7430267.0,0.0,1.0
1999-11-11,116.5,117.44,112.63,116.13,181.90125661099998,6480600.0,0.0,1.0
1999-11-12,116.0,116.44,111.88,116.0,181.697629956,9701067.0,0.0,1.0
1999-11-15,115.0,116.25,112.06,115.0,180.131271078,6213900.0,0.0,1.0
1999-11-16,115.38,117.63,112.44,117.63,184.25079492900002,8802033.0,0.0,1.0
1999-11-17,117.5,120.94,116.63,119.0,186.396706593,11000967.0,0.0,1.0
1999-11-18,120.94,124.25,120.19,123.81,193.930892801,7282333.0,0.0,1.0
1999-11-19,122.94,126.19,122.13,125.38,196.39007624099997,6209000.0,0.0,1.0
1999-11-22,125.38,125.38,119.75,120.75,189.13783463099998,6765967.0,0.0,1.0
1999-11-23,120.94,120.94,115.06,116.81,182.96638064799998,7567233.0,0.0,1.0
1999-11-24,116.81,116.94,114.0,116.94,183.170007303,6445600.0,0.0,1.0
1999-11-26,118.56,120.69,117.75,119.03,186.44369736,2786700.0,0.0,1.0
1999-11-29,119.63,122.25,117.44,119.5,187.179886033,5847333.0,0.0,1.0
1999-11-30,119.0,120.25,114.19,116.69,182.778417583,5161333.0,0.0,1.0
1999-12-01,114.25,118.06,114.25,116.94,183.170007303,5533267.0,0.0,1.0
1999-12-02,118.19,121.5,118.0,118.56,185.707508687,6371633.0,0.0,1.0
1999-12-03,120.5,124.81,120.13,124.0,194.22850098799998,7022167.0,0.0,1.0
1999-12-06,125.63,134.5,124.25,130.64,204.629123944,9682867.0,0.0,1.0
1999-12-07,133.56,134.06,130.63,131.5,205.97619258,6271533.0,0.0,1.0
1999-12-08,131.5,136.44,129.38,129.94,203.532672729,9215967.0,0.0,1.0
1999-12-09,129.19,131.75,125.56,129.94,203.532672729,8273067.0,0.0,1.0
1999-12-10,129.94,131.0,126.88,131.0,205.19301314,6253567.0,0.0,1.0
1999-12-13,128.25,130.31,126.0,128.56,201.55906054099998,4956933.0,0.12,1.0
1999-12-14,127.75,128.13,118.81,119.38,187.16646427700002,8312733.0,0.0,1.0
1999-12-15,119.94,130.19,119.44,130.19,204.11460868,11501700.0,0.0,1.0
1999-12-16,130.0,130.38,127.06,130.0,203.81672269999999,6063400.0,0.0,1.0
1999-12-17,133.0,133.69,129.25,131.56,206.262523373,9522333.0,0.0,1.0
1999-12-20,131.94,139.25,130.5,139.0,217.927111195,6056167.0,0.0,1.0
1999-12-21,139.25,145.25,137.25,138.5,217.14320072299998,9899633.0,0.0,1.0
1999-12-22,139.0,142.56,138.56,141.75,222.238618791,5914767.0,0.0,1.0
1999-12-23,143.5,147.38,142.63,144.81,227.03615087900002,6890567.0,0.0,1.0
1999-12-27,145.0,145.88,141.38,141.38,221.658525041,4004000.0,0.0,1.0
1999-12-28,142.0,143.38,141.31,142.69,223.712370478,3134600.0,0.0,1.0
1999-12-29,142.81,146.38,142.56,145.63,228.32176405299998,3572800.0,0.0,1.0
1999-12-30,147.63,149.5,147.31,147.5,231.253589218,2877000.0,0.0,1.0
1999-12-31,147.5,148.5,147.06,147.25,230.861633982,1203533.0,0.0,1.0
2000-01-03,151.25,153.63,146.25,149.0,233.605320634,7982567.0,0.0,1.0
2000-01-04,143.5,145.75,137.0,137.88,216.171151738,9655800.0,0.0,1.0
2000-01-05,137.0,137.38,130.75,134.25,210.479961712,10930733.0,0.0,1.0
2000-01-06,133.5,134.0,118.0,119.0,186.570692318,11145867.0,0.0,1.0
2000-01-07,123.0,129.13,121.94,128.81,201.951015777,15293133.0,0.0,1.0
2000-01-10,132.38,143.63,131.38,139.75,219.10297690299998,11980733.0,0.0,1.0
2000-01-11,135.13,140.88,132.44,132.75,208.128230296,8109733.0,0.0,1.0
2000-01-12,134.88,138.94,132.75,133.81,209.790120497,8121167.0,0.0,1.0
2000-01-13,136.38,140.5,134.25,138.56,217.23726998,5951400.0,0.0,1.0
2000-01-14,144.0,154.13,144.0,151.0,236.74096252099997,12251400.0,0.0,1.0
2000-01-18,143.5,147.31,142.63,144.0,225.766215914,16059167.0,0.0,1.0
2000-01-19,143.75,145.44,140.0,140.75,220.67079784700002,8098067.0,0.0,1.0
2000-01-20,141.63,145.5,140.38,141.0,221.062753083,8869233.0,0.0,1.0
2000-01-21,147.25,147.69,143.38,144.38,226.361987873,7137667.0,0.0,1.0
2000-01-24,146.5,147.44,139.25,139.25,218.31906643099998,6176800.0,0.0,1.0
2000-01-25,140.38,142.31,137.31,142.13,222.83439074900002,7215600.0,0.0,1.0
2000-01-26,141.88,146.0,136.25,139.5,218.711021667,7768833.0,0.0,1.0
2000-01-27,140.0,140.63,135.75,136.0,213.223648364,8293367.0,0.0,1.0
2000-01-28,138.5,140.5,125.0,128.25,201.07303604900002,11014967.0,0.0,1.0
