Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,29.88,29.88,29.12,29.25,29.25,34900.0,0.0,1.0
1999-11-02,29.25,29.25,28.5,28.69,28.69,117100.0,0.0,1.0
1999-11-03,28.69,29.0,28.5,28.56,28.56,105900.0,0.0,1.0
1999-11-04,28.5,28.69,28.12,28.19,28.19,123700.0,0.0,1.0
1999-11-05,30.0,32.5,29.88,32.5,32.5,212500.0,0.0,1.0
1999-11-08,32.0,32.38,31.38,31.88,31.88,207400.0,0.0,1.0
1999-11-09,31.62,32.12,31.5,32.0,32.0,159900.0,0.0,1.0
1999-11-10,31.88,32.0,31.31,31.31,31.31,44700.0,0.0,1.0
1999-11-11,31.06,31.5,29.88,30.5,30.5,169800.0,0.0,1.0
1999-11-12,30.69,31.25,30.25,30.94,30.94,252600.0,0.0,1.0
1999-11-15,30.94,33.44,30.88,33.44,33.44,232800.0,0.0,1.0
1999-11-16,33.44,33.44,32.88,33.19,33.19,154900.0,0.0,1.0
1999-11-17,33.0,35.25,33.0,35.25,35.25,233400.0,0.0,1.0
1999-11-18,35.12,36.06,34.56,35.75,35.75,209400.0,0.0,1.0
1999-11-19,35.75,35.94,35.12,35.19,35.19,94300.0,0.0,1.0
1999-11-22,35.19,35.19,34.12,34.19,34.19,86500.0,0.0,1.0
1999-11-23,34.06,34.06,32.25,33.25,33.25,131400.0,0.0,1.0
1999-11-24,33.12,34.25,32.88,34.12,34.12,214700.0,0.0,1.0
1999-11-26,34.38,34.75,34.25,34.56,34.56,19800.0,0.0,1.0
1999-11-29,34.81,34.81,34.25,34.5,34.5,71200.0,0.0,1.0
1999-11-30,34.31,36.25,34.31,35.56,35.56,156000.0,0.0,1.0
1999-12-01,35.31,36.56,35.0,35.69,35.69,114400.0,0.0,1.0
1999-12-02,35.62,35.75,35.0,35.25,35.25,71300.0,0.0,1.0
1999-12-03,35.12,35.62,34.38,34.62,34.62,140300.0,0.0,1.0
1999-12-06,34.5,34.62,34.0,34.31,34.31,32600.0,0.0,1.0
1999-12-07,34.56,35.5,34.0,35.5,35.5,49200.0,0.0,1.0
1999-12-08,35.5,36.69,35.5,36.69,36.69,80500.0,0.0,1.0
1999-12-09,36.69,37.25,36.12,36.62,36.62,84100.0,0.0,1.0
1999-12-10,37.0,38.88,36.62,38.62,38.62,195400.0,0.0,1.0
1999-12-13,38.5,39.5,38.31,38.56,38.56,127500.0,0.0,1.0
1999-12-14,38.31,38.5,37.75,38.12,38.12,74700.0,0.0,1.0
1999-12-15,37.88,37.94,36.62,36.88,36.88,76100.0,0.0,1.0
1999-12-16,36.75,37.0,35.75,37.0,37.0,35700.0,0.0,1.0
1999-12-17,36.75,37.0,36.25,36.38,36.38,104800.0,0.0,1.0
1999-12-20,36.5,36.56,35.62,36.38,36.38,35900.0,0.0,1.0
1999-12-21,36.12,36.31,36.0,36.31,36.31,45800.0,0.0,1.0
1999-12-22,36.31,36.38,35.5,35.56,35.56,35200.0,0.0,1.0
1999-12-23,35.75,36.06,35.62,36.06,36.06,57100.0,0.0,1.0
1999-12-27,36.06,36.06,35.0,35.25,35.25,41600.0,0.0,1.0
1999-12-28,35.38,35.38,34.56,35.12,35.12,55100.0,0.0,1.0
1999-12-29,35.12,36.75,34.81,36.75,36.75,67000.0,0.0,1.0
1999-12-30,37.0,38.0,37.0,37.5,37.5,72600.0,0.0,1.0
1999-12-31,37.62,38.19,37.62,38.19,38.19,17500.0,0.0,1.0
2000-01-03,38.0,38.06,35.38,35.38,35.38,51400.0,0.0,1.0
2000-01-04,35.38,35.38,34.19,34.62,34.62,106100.0,0.0,1.0
2000-01-05,34.88,34.88,33.81,33.88,33.88,162100.0,0.0,1.0
2000-01-06,33.94,34.88,33.5,34.62,34.62,245000.0,0.0,1.0
2000-01-07,34.56,35.75,34.56,35.62,35.62,215200.0,0.0,1.0
2000-01-10,35.81,37.25,35.81,37.25,37.25,78900.0,0.0,1.0
2000-01-11,37.12,37.12,35.88,36.06,36.06,90500.0,0.0,1.0
2000-01-12,36.06,36.06,35.75,35.88,35.88,30000.0,0.0,1.0
2000-01-13,35.94,36.0,35.62,35.88,35.88,80400.0,0.0,1.0
2000-01-14,35.94,36.0,35.19,35.5,35.5,47100.0,0.0,1.0
2000-01-18,35.38,35.38,34.88,35.12,35.12,87500.0,0.0,1.0
2000-01-19,35.0,35.44,35.0,35.31,35.31,117400.0,0.0,1.0
2000-01-20,35.44,35.88,34.62,34.88,34.88,84400.0,0.0,1.0
2000-01-21,34.62,35.0,34.62,34.88,34.88,55000.0,0.0,1.0
2000-01-24,35.0,35.44,34.62,34.62,34.62,74000.0,0.0,1.0
2000-01-25,34.56,34.69,33.75,34.19,34.19,70800.0,0.0,1.0
2000-01-26,34.19,34.38,33.94,33.94,33.94,29900.0,0.0,1.0
2000-01-27,33.94,34.06,33.0,33.19,33.19,49200.0,0.0,1.0
2000-01-28,33.0,33.0,31.81,32.31,32.31,76800.0,0.0,1.0
2000-01-31,32.44,32.62,31.81,31.88,31.88,101600.0,0.0,1.0
2000-02-01,32.12,32.94,31.88,32.0,32.0,170900.0,0.0,1.0
2000-02-02,32.12,32.69,32.12,32.38,32.38,81000.0,0.0,1.0
2000-02-03,32.38,35.38,32.25,35.0,35.0,255500.0,0.0,1.0
2000-02-04,35.5,37.88,35.5,37.88,37.88,454200.0,0.0,1.0
2000-02-07,39.5,39.69,37.69,38.0,38.0,370500.0,0.0,1.0
2000-02-08,38.0,38.0,36.88,37.38,37.38,224100.0,0.0,1.0
2000-02-09,37.25,38.0,37.0,37.06,37.06,236700.0,0.0,1.0
2000-02-10,37.25,37.75,36.94,37.38,37.38,62200.0,0.0,1.0
2000-02-11,37.62,38.0,37.25,37.31,37.31,68100.0,0.0,1.0
2000-02-14,37.38,37.94,37.25,37.88,37.88,54400.0,0.0,1.0
2000-02-15,37.94,38.44,37.94,38.19,38.19,87900.0,0.0,1.0
2000-02-16,38.25,38.69,38.0,38.38,38.38,44700.0,0.0,1.0
2000-02-17,38.5,38.62,37.06,37.94,37.94,83100.0,0.0,1.0
2000-02-18,37.69,37.69,36.5,36.5,36.5,54800.0,0.0,1.0
2000-02-22,36.56,36.56,35.75,36.25,36.25,80400.0,0.0,1.0
