Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,25.19,25.75,25.06,25.44,5.21117416602,127800.0,0.0,1.0
1999-11-02,25.69,25.69,25.0,25.0,5.121043795219999,225800.0,0.0,1.0
1999-11-03,25.13,25.13,24.75,24.88,5.096462785,187500.0,0.0,1.0
1999-11-04,24.94,25.06,23.88,24.06,4.93668621859,253500.0,0.04,1.0
1999-11-05,24.06,24.44,22.69,23.0,4.71919297704,397900.0,0.0,1.0
1999-11-08,23.25,24.5,23.13,23.88,4.89975340399,372200.0,0.0,1.0
1999-11-09,23.81,24.69,23.81,24.25,4.97567085623,204800.0,0.0,1.0
1999-11-10,24.38,25.25,24.38,24.88,5.10493570734,141200.0,0.0,1.0
1999-11-11,24.88,24.88,24.19,24.44,5.014655493869999,160700.0,0.0,1.0
1999-11-12,24.31,25.06,23.81,24.81,5.0905729461,204500.0,0.0,1.0
1999-11-15,24.69,25.25,24.69,24.81,5.0905729461,337300.0,0.0,1.0
1999-11-16,25.06,25.38,24.75,24.75,5.0782620079,448900.0,0.0,1.0
1999-11-17,24.63,26.0,24.63,25.56,5.24445967362,911200.0,0.0,1.0
1999-11-18,25.81,25.81,25.0,25.13,5.15623128318,589300.0,0.0,1.0
1999-11-19,25.38,25.38,24.5,24.56,5.03927737027,344700.0,0.0,1.0
1999-11-22,24.63,24.88,24.25,24.31,4.9879817944300004,285100.0,0.0,1.0
1999-11-23,24.13,24.25,22.56,22.88,4.69457110064,625600.0,0.0,1.0
1999-11-24,22.75,23.31,22.75,23.13,4.74586667648,426600.0,0.0,1.0
1999-11-26,23.38,23.44,22.44,22.5,4.616601825369999,85700.0,0.0,1.0
1999-11-29,21.88,22.13,21.69,21.88,4.48938879729,348200.0,0.0,1.0
1999-11-30,22.0,22.44,21.88,22.0,4.5140106736900005,286500.0,0.0,1.0
1999-12-01,22.0,22.19,21.56,22.13,4.54068437313,306500.0,0.0,1.0
1999-12-02,22.0,22.06,21.25,21.75,4.46271509785,353800.0,0.0,1.0
1999-12-03,21.88,21.94,21.13,21.31,4.3724348843800005,169900.0,0.0,1.0
1999-12-06,21.31,21.31,20.06,20.5,4.20623721867,370700.0,0.0,1.0
1999-12-07,20.5,20.56,19.69,20.06,4.11595700519,302000.0,0.0,1.0
1999-12-08,20.0,20.56,19.13,20.5,4.20623721867,731600.0,0.0,1.0
1999-12-09,20.69,21.06,19.5,20.06,4.11595700519,576200.0,0.0,1.0
1999-12-10,20.06,20.06,19.31,19.75,4.05235049116,266000.0,0.0,1.0
1999-12-13,20.06,21.31,19.56,21.0,4.3088283703400005,837700.0,0.0,1.0
1999-12-14,21.0,21.56,20.81,21.56,4.42373046022,592600.0,0.0,1.0
1999-12-15,21.63,22.5,21.31,21.63,4.43809322145,303700.0,0.0,1.0
1999-12-16,21.63,22.5,21.63,22.13,4.54068437313,558100.0,0.0,1.0
1999-12-17,21.88,21.94,21.25,21.38,4.38679764562,198900.0,0.0,1.0
1999-12-20,21.38,21.38,20.69,20.81,4.26984373271,208200.0,0.0,1.0
1999-12-21,20.56,21.25,20.56,21.25,4.36012394618,263000.0,0.0,1.0
