Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,50.19,50.25,49.25,50.0,3.07626445522,384400.0,0.0,1.0
1999-11-02,50.0,50.63,49.94,50.25,3.0916457775,317000.0,0.0,1.0
1999-11-03,49.81,49.94,49.38,49.69,3.0571916156,324500.0,0.0,1.0
1999-11-04,49.44,49.56,48.44,48.81,3.00304936119,448300.0,0.0,1.0
1999-11-05,49.19,49.81,48.75,49.0,3.01473916612,269800.0,0.0,1.0
1999-11-08,49.0,49.0,48.0,48.06,2.95690539436,458800.0,0.0,1.0
1999-11-09,48.06,48.13,46.75,47.19,2.9033783928400005,679400.0,0.0,1.0
1999-11-10,47.13,47.13,46.5,46.75,2.8763072656299995,816000.0,0.0,1.0
1999-11-11,47.0,47.31,46.81,47.0,2.89168858791,737400.0,0.0,1.0
1999-11-12,47.13,47.25,46.19,46.75,2.8763072656299995,1746600.0,0.0,1.0
1999-11-15,46.31,46.69,46.31,46.44,2.85723442601,396700.0,0.0,1.0
1999-11-16,46.56,46.75,46.31,46.63,2.8689242309400003,350400.0,0.0,1.0
1999-11-17,46.44,46.69,46.31,46.63,2.8689242309400003,449700.0,0.0,1.0
1999-11-18,46.25,46.56,45.63,45.88,2.82278026411,532200.0,0.0,1.0
1999-11-19,45.75,46.0,45.25,45.38,2.7920176195599997,474700.0,0.0,1.0
1999-11-22,45.13,45.31,44.75,44.75,2.75325668742,269400.0,0.0,1.0
1999-11-23,44.88,45.0,43.5,43.94,2.73541435358,2438100.0,0.52,1.0
1999-11-24,43.88,44.31,43.56,43.94,2.73541435358,455300.0,0.0,1.0
1999-11-26,43.94,44.0,43.31,43.5,2.70802285801,133700.0,0.0,1.0
1999-11-29,42.75,42.75,41.81,42.13,2.62273570133,685300.0,0.0,1.0
1999-11-30,42.31,44.0,42.25,43.75,2.72358620777,1001400.0,0.0,1.0
1999-12-01,43.5,44.31,43.25,44.06,2.74288476147,804500.0,0.0,1.0
1999-12-02,44.0,44.44,44.0,44.0,2.7391495575300002,511000.0,0.0,1.0
1999-12-03,44.13,45.13,44.13,44.44,2.7665410531,476000.0,0.0,1.0
1999-12-06,44.31,44.81,43.81,43.94,2.73541435358,642400.0,0.0,1.0
1999-12-07,43.94,44.31,43.0,43.0,2.67689615849,930600.0,0.0,1.0
1999-12-08,43.19,43.56,42.5,42.75,2.66133280873,487400.0,0.0,1.0
1999-12-09,42.44,42.63,42.0,42.06,2.6183779634,420700.0,0.0,1.0
1999-12-10,42.5,42.88,41.81,41.88,2.60717235157,1212800.0,0.0,1.0
1999-12-13,41.75,41.94,41.13,41.94,2.6109075555200003,610400.0,0.0,1.0
1999-12-14,41.63,42.63,41.63,42.38,2.63829905109,966200.0,0.0,1.0
1999-12-15,42.88,43.19,42.31,42.69,2.65759760479,566200.0,0.0,1.0
1999-12-16,42.81,42.81,42.25,42.63,2.65386240085,562800.0,0.0,1.0
1999-12-17,42.75,42.75,42.75,42.75,2.66133280873,700900.0,0.0,1.0
1999-12-20,42.25,42.75,42.0,42.19,2.62647090527,820300.0,0.0,1.0
1999-12-21,42.0,43.13,42.0,42.25,2.6302061092200004,719100.0,0.0,1.0
1999-12-22,42.5,42.69,41.81,42.25,2.6302061092200004,419300.0,0.0,1.0
1999-12-23,42.69,43.06,42.38,42.88,2.66942575061,360400.0,0.0,1.0
1999-12-27,42.94,43.63,42.88,43.13,2.68498910037,389300.0,0.0,1.0
1999-12-28,43.0,43.06,42.69,42.81,2.66506801268,317500.0,0.0,1.0
1999-12-29,42.63,43.06,42.19,42.38,2.63829905109,240500.0,0.0,1.0
1999-12-30,42.38,42.81,42.38,42.69,2.65759760479,455400.0,0.0,1.0
1999-12-31,42.44,42.88,42.44,42.81,2.66506801268,166200.0,0.0,1.0
2000-01-03,42.38,42.38,41.06,41.25,2.56795271018,512100.0,0.0,1.0
2000-01-04,41.0,42.13,41.0,42.0,2.6146427594599997,685900.0,0.0,1.0
2000-01-05,41.63,44.25,41.63,43.25,2.69245950825,686100.0,0.0,1.0
2000-01-06,43.44,43.81,43.0,43.38,2.70055245013,370000.0,0.0,1.0
2000-01-07,43.63,44.81,43.25,44.63,2.77836919892,999900.0,0.0,1.0
2000-01-10,44.0,44.56,43.81,44.25,2.7547129072900005,521000.0,0.0,1.0
2000-01-11,43.88,44.13,43.56,43.75,2.72358620777,515300.0,0.0,1.0
2000-01-12,43.75,44.94,43.75,44.69,2.78210440286,774200.0,0.0,1.0
2000-01-13,44.81,44.81,44.0,44.25,2.7547129072900005,459300.0,0.0,1.0
2000-01-14,44.13,44.38,43.13,43.44,2.7042876540700003,508800.0,0.0,1.0
2000-01-18,43.19,43.19,42.0,42.38,2.63829905109,676000.0,0.0,1.0
2000-01-19,42.44,44.0,42.44,43.38,2.70055245013,429200.0,0.0,1.0
2000-01-20,42.88,43.13,42.19,42.88,2.66942575061,695000.0,0.0,1.0
2000-01-21,43.13,44.19,42.69,44.0,2.7391495575300002,504900.0,0.0,1.0
2000-01-24,44.31,45.19,43.63,43.75,2.72358620777,871100.0,0.0,1.0
2000-01-25,43.94,44.19,41.88,42.25,2.6302061092200004,861300.0,0.0,1.0
2000-01-26,42.5,42.56,41.63,42.38,2.63829905109,515200.0,0.0,1.0
2000-01-27,42.0,42.5,41.25,41.5,2.58351605994,469100.0,0.0,1.0
2000-01-28,41.5,41.94,41.06,41.31,2.57168791412,586000.0,0.0,1.0
2000-01-31,41.56,42.19,41.31,42.19,2.62647090527,332400.0,0.0,1.0
2000-02-01,41.81,42.0,41.31,41.31,2.57168791412,314500.0,0.0,1.0
2000-02-02,41.56,41.88,41.31,41.56,2.58725126388,640000.0,0.0,1.0
2000-02-03,41.56,43.19,41.38,42.88,2.66942575061,950700.0,0.0,1.0
2000-02-04,42.88,42.88,41.06,41.62,2.59098646782,548100.0,0.0,1.0
2000-02-07,41.63,42.06,41.63,41.69,2.5953442057599996,501900.0,0.0,1.0
2000-02-08,42.0,42.31,41.63,41.81,2.60281461364,391300.0,0.0,1.0
2000-02-09,41.56,41.94,41.0,41.25,2.56795271018,702800.0,0.0,1.0
2000-02-10,41.19,41.56,40.13,40.31,2.50943451509,397200.0,0.0,1.0
2000-02-11,40.56,40.88,40.25,40.88,2.5449189525400002,356100.0,0.0,1.0
2000-02-14,40.63,41.38,40.5,40.75,2.53682601066,258600.0,0.0,1.0
2000-02-15,40.56,41.06,40.5,40.88,2.5449189525400002,451600.0,0.0,1.0
2000-02-16,40.88,41.38,40.69,41.0,2.55238936042,920000.0,0.0,1.0
2000-02-17,41.06,41.13,40.56,41.0,2.55238936042,733000.0,0.0,1.0
2000-02-18,40.88,41.06,40.13,40.31,2.50943451509,1281900.0,0.0,1.0
2000-02-22,40.5,41.19,40.5,40.88,2.5449189525400002,500800.0,0.0,1.0
2000-02-23,40.06,40.5,39.25,40.19,2.5355809426800002,2297500.0,0.54,1.0
2000-02-24,39.69,39.75,37.38,38.0,2.3974141782,771000.0,0.0,1.0
2000-02-25,38.0,38.13,36.38,36.81,2.3223372605200003,695100.0,0.0,1.0
2000-02-28,36.81,38.13,36.81,38.13,2.4056158582900005,684500.0,0.0,1.0
2000-02-29,38.13,38.81,37.69,38.63,2.43716078168,1221700.0,0.0,1.0
2000-03-01,38.63,39.19,38.06,38.56,2.43274449241,1502000.0,0.0,1.0
2000-03-02,38.31,39.0,38.31,38.81,2.44851695411,589600.0,0.0,1.0
2000-03-03,39.13,39.5,38.81,39.0,2.460504025,1127600.0,0.0,1.0
2000-03-06,39.25,39.25,37.69,37.94,2.3936287873900004,679100.0,0.0,1.0
2000-03-07,38.0,39.44,37.94,39.31,2.4800618775,1243600.0,0.0,1.0
2000-03-08,39.25,41.56,38.81,41.31,2.6062415710900004,963500.0,0.0,1.0
2000-03-09,41.38,42.81,41.31,42.81,2.70087634129,1055300.0,0.0,1.0
2000-03-10,42.81,44.38,42.75,43.75,2.76018079727,1147000.0,0.0,1.0
2000-03-13,43.5,43.56,41.63,42.13,2.6579752454700003,993700.0,0.0,1.0
2000-03-14,42.25,42.81,41.75,41.88,2.64220278377,724700.0,0.0,1.0
2000-03-15,41.94,44.94,41.88,44.38,2.7999274007499997,886400.0,0.0,1.0
2000-03-16,44.69,45.81,43.56,45.0,2.83904310577,961200.0,0.0,1.0
2000-03-17,44.88,44.94,43.75,43.88,2.76838247736,1315200.0,0.0,1.0
2000-03-20,43.63,44.44,42.63,43.06,2.71664880298,843200.0,0.0,1.0
2000-03-21,42.44,42.94,41.19,41.38,2.61065786037,1030600.0,0.0,1.0
2000-03-22,41.44,41.44,39.56,40.75,2.57091125689,730000.0,0.0,1.0
2000-03-23,41.75,42.94,41.56,42.5,2.68131848878,901900.0,0.0,1.0
2000-03-24,43.5,43.56,42.5,43.31,2.73242126468,1204000.0,0.0,1.0
2000-03-27,48.0,48.25,46.5,46.63,2.9418795560400004,1359400.0,0.0,1.0
2000-03-28,46.38,46.69,44.69,45.44,2.86680263836,811600.0,0.0,1.0
2000-03-29,45.19,46.38,44.06,44.63,2.8156998624500003,780000.0,0.0,1.0
2000-03-30,44.81,46.0,44.75,46.0,2.9021329525599997,543800.0,0.0,1.0
2000-03-31,46.0,46.56,44.88,46.06,2.90591834337,961800.0,0.0,1.0
2000-04-03,45.94,46.0,44.81,45.31,2.8586009582700003,763800.0,0.0,1.0
2000-04-04,45.06,46.25,45.06,46.19,2.91412002345,979200.0,0.0,1.0
2000-04-05,46.0,47.38,46.0,46.06,2.90591834337,946400.0,0.0,1.0
2000-04-06,46.44,46.63,45.38,45.75,2.8863604908599996,719200.0,0.0,1.0
2000-04-07,46.0,46.94,45.38,46.56,2.93746326677,791900.0,0.0,1.0
2000-04-10,46.56,47.19,45.75,47.19,2.97720987025,789700.0,0.0,1.0
2000-04-11,47.13,47.13,46.19,46.75,2.9494503376599996,475600.0,0.0,1.0
2000-04-12,46.63,48.06,46.63,47.25,2.9809952610500003,962800.0,0.0,1.0
2000-04-13,47.44,47.56,46.88,47.06,2.96900819016,422600.0,0.0,1.0
2000-04-14,46.69,47.0,44.75,45.5,2.87058802916,888100.0,0.0,1.0
2000-04-17,44.19,44.5,41.94,43.56,2.7481937263800003,857900.0,0.0,1.0
2000-04-18,43.19,43.44,41.81,43.31,2.73242126468,853000.0,0.0,1.0
2000-04-19,43.13,45.0,42.81,44.88,2.8314723241500004,1114200.0,0.0,1.0
2000-04-20,44.13,45.19,44.06,45.19,2.85103017666,649800.0,0.0,1.0
2000-04-24,44.81,45.44,44.75,45.44,2.86680263836,624200.0,0.0,1.0
2000-04-25,45.69,47.56,45.31,47.13,2.97342447944,736300.0,0.0,1.0
2000-04-26,46.88,47.44,46.56,47.06,2.96900819016,603600.0,0.0,1.0
2000-04-27,46.75,47.06,45.06,45.5,2.87058802916,848800.0,0.0,1.0
2000-04-28,45.25,45.44,44.75,45.25,2.8548155674599998,817600.0,0.0,1.0
2000-05-01,46.0,46.0,44.94,45.38,2.8630172475499998,693500.0,0.0,1.0
2000-05-02,45.25,45.69,44.75,45.19,2.85103017666,774800.0,0.0,1.0
2000-05-03,45.13,45.75,45.13,45.5,2.87058802916,659900.0,0.0,1.0
2000-05-04,45.25,46.69,44.81,45.81,2.89014588167,599000.0,0.0,1.0
2000-05-05,45.63,45.69,45.0,45.31,2.8586009582700003,563700.0,0.0,1.0
2000-05-08,45.38,47.88,45.38,47.0,2.9652227993599998,920900.0,0.0,1.0
2000-05-09,46.75,47.31,46.13,46.69,2.94566494685,617700.0,0.0,1.0
2000-05-10,46.94,47.94,46.94,47.25,2.9809952610500003,311000.0,0.0,1.0
2000-05-11,47.75,48.94,47.38,48.69,3.07184464044,776000.0,0.0,1.0
2000-05-12,48.56,48.69,47.31,47.56,3.00055311356,597100.0,0.0,1.0
2000-05-15,47.56,49.13,47.56,48.63,3.06805924963,808000.0,0.0,1.0
2000-05-16,48.38,48.38,46.88,47.19,2.97720987025,613600.0,0.0,1.0
2000-05-17,47.06,47.44,45.94,46.75,2.9494503376599996,783600.0,0.0,1.0
2000-05-18,47.0,48.5,47.0,47.63,3.0049694028400005,503000.0,0.0,1.0
2000-05-19,47.38,48.0,47.13,47.81,3.01632557526,386200.0,0.0,1.0
2000-05-22,47.75,48.25,47.5,47.63,3.0049694028400005,538000.0,0.0,1.0
2000-05-23,47.75,48.44,47.38,48.13,3.03651432623,822900.0,0.0,1.0
2000-05-24,47.81,49.69,47.81,48.69,3.10591315771,2605400.0,0.54,1.0
2000-05-25,48.25,48.94,47.81,48.88,3.11803317208,628200.0,0.0,1.0
2000-05-26,48.63,50.0,48.5,49.75,3.1735300800200004,851400.0,0.0,1.0
2000-05-30,49.75,49.75,48.81,49.13,3.1339805594200003,611000.0,0.0,1.0
2000-05-31,49.19,49.63,48.88,49.44,3.15375531972,432600.0,0.0,1.0
2000-06-01,49.5,50.0,49.06,49.56,3.16141006564,556200.0,0.0,1.0
2000-06-02,49.19,49.56,49.0,49.44,3.15375531972,885400.0,0.0,1.0
2000-06-05,49.25,49.31,47.44,47.5,3.03000359399,944800.0,0.0,1.0
2000-06-06,47.56,49.38,47.56,48.63,3.1020857847500003,877500.0,0.0,1.0
2000-06-07,48.75,48.81,47.75,48.19,3.07401838303,688300.0,0.0,1.0
2000-06-08,48.19,48.44,47.13,48.31,3.08167312896,674100.0,0.0,1.0
2000-06-09,48.44,49.38,48.25,48.75,3.1097405306700003,762400.0,0.0,1.0
2000-06-12,48.88,49.13,48.63,48.81,3.11356790363,366700.0,0.0,1.0
2000-06-13,49.0,49.38,48.25,48.38,3.08613839741,419100.0,0.0,1.0
2000-06-14,48.31,48.31,47.63,47.69,3.04212360836,434400.0,0.0,1.0
2000-06-15,47.63,49.25,47.56,48.81,3.11356790363,801600.0,0.0,1.0
2000-06-16,48.63,49.0,48.44,48.5,3.09379314333,595900.0,0.0,1.0
2000-06-19,48.5,48.75,47.25,47.38,3.02234884806,478000.0,0.0,1.0
2000-06-20,47.44,47.81,47.06,47.75,3.0459509813200003,386800.0,0.0,1.0
2000-06-21,47.94,49.44,47.81,48.75,3.1097405306700003,899800.0,0.0,1.0
2000-06-22,48.88,49.69,48.69,49.06,3.12951529097,1163200.0,0.0,1.0
2000-06-23,49.0,49.75,48.63,49.75,3.1735300800200004,762600.0,0.0,1.0
2000-06-26,49.5,50.75,49.5,49.81,3.17735745298,813800.0,0.0,1.0
2000-06-27,49.56,50.13,49.31,49.5,3.15758269268,974500.0,0.0,1.0
2000-06-28,49.5,50.75,49.0,50.36,3.2124417051200003,929500.0,0.0,1.0
2000-06-29,50.06,50.38,49.0,49.13,3.1339805594200003,399500.0,0.0,1.0
2000-06-30,49.5,50.81,49.0,49.5,3.15758269268,1598900.0,0.0,1.0
2000-07-03,49.25,50.31,49.19,49.81,3.17735745298,285900.0,0.0,1.0
2000-07-05,50.38,50.75,49.44,49.63,3.1658753340900003,405700.0,0.0,1.0
2000-07-06,49.94,50.31,49.81,50.25,3.2054248546900004,658900.0,0.0,1.0
2000-07-07,50.13,51.38,50.0,51.0,3.2532670167,916500.0,0.0,1.0
2000-07-10,51.5,53.5,51.5,53.0,3.3808461153900002,1407400.0,0.0,1.0
2000-07-11,52.56,53.5,52.31,53.13,3.38913875681,909500.0,0.0,1.0
2000-07-12,53.0,53.44,52.5,53.44,3.40891351711,481600.0,0.0,1.0
2000-07-13,53.19,54.38,52.63,54.13,3.45292830616,1008900.0,0.0,1.0
2000-07-14,54.13,54.81,53.25,54.13,3.45292830616,501600.0,0.0,1.0
2000-07-17,53.88,54.0,53.5,53.84,3.43442933685,329200.0,0.0,1.0
2000-07-18,53.88,54.19,52.38,52.81,3.36872610102,694700.0,0.0,1.0
2000-07-19,53.06,54.44,52.94,53.5,3.4127408900700003,723300.0,0.0,1.0
2000-07-20,53.88,53.88,52.81,53.19,3.39296612977,379600.0,0.0,1.0
2000-07-21,53.56,53.69,52.44,52.75,3.36489872806,433300.0,0.0,1.0
2000-07-24,52.5,53.31,52.25,52.88,3.37319136947,432100.0,0.0,1.0
2000-07-25,53.13,53.63,52.81,53.44,3.40891351711,461700.0,0.0,1.0
2000-07-26,53.19,53.25,52.13,52.89,3.37382926497,430300.0,0.0,1.0
2000-07-27,53.0,53.75,52.56,52.88,3.37319136947,765000.0,0.0,1.0
2000-07-28,52.88,52.88,52.5,52.81,3.36872610102,489500.0,0.0,1.0
2000-07-31,47.13,49.5,47.13,48.25,3.0778457560000003,3832900.0,0.0,1.0
2000-08-01,48.75,50.81,48.5,50.31,3.20925222765,3018000.0,0.0,1.0
2000-08-02,51.0,52.25,50.56,52.25,3.33300395338,2597800.0,0.0,1.0
2000-08-03,52.88,54.88,52.75,53.2,3.3936040252599997,3771000.0,0.0,1.0
2000-08-04,53.25,53.63,51.38,53.0,3.3808461153900002,1078600.0,0.0,1.0
2000-08-07,53.0,53.94,52.63,53.77,3.42996406839,847700.0,0.0,1.0
2000-08-08,54.63,54.63,53.0,53.94,3.4408082917800002,745700.0,0.0,1.0
2000-08-09,54.19,54.19,52.5,52.63,3.35724398214,828400.0,0.0,1.0
2000-08-10,52.5,52.81,52.13,52.2,3.32981447592,735100.0,0.0,1.0
2000-08-11,52.25,53.81,52.25,53.39,3.40572403964,821600.0,0.0,1.0
2000-08-14,52.63,53.5,52.5,53.38,3.40508614415,750000.0,0.0,1.0
2000-08-15,53.44,54.0,53.44,53.63,3.42103353148,635200.0,0.0,1.0
2000-08-16,53.88,54.75,53.63,54.75,3.49247782675,1270300.0,0.0,1.0
2000-08-17,54.88,55.0,54.19,54.75,3.49247782675,1237300.0,0.0,1.0
2000-08-18,54.5,55.19,54.5,55.0,3.5084252140900003,779300.0,0.0,1.0
2000-08-21,54.63,54.75,54.25,54.38,3.4688756934900002,733800.0,0.0,1.0
2000-08-22,54.44,54.81,54.19,54.44,3.47270306645,574700.0,0.0,1.0
2000-08-23,53.88,54.75,53.88,54.69,3.5230968104400002,1610500.0,0.54,1.0
2000-08-24,54.63,54.63,53.69,54.06,3.48251259046,701400.0,0.0,1.0
2000-08-25,54.06,54.06,53.44,53.56,3.4503028920699994,793600.0,0.0,1.0
2000-08-28,53.25,53.88,52.94,53.19,3.42646771525,503500.0,0.0,1.0
2000-08-29,52.94,53.25,52.81,53.0,3.41422802986,395800.0,0.0,1.0
2000-08-30,52.75,53.69,52.75,53.5,3.44643772826,644700.0,0.0,1.0
2000-08-31,53.25,54.13,53.06,53.38,3.4387074006400002,629700.0,0.0,1.0
2000-09-01,53.63,54.63,53.44,54.19,3.49088711204,442200.0,0.0,1.0
2000-09-05,54.56,55.13,54.44,54.81,3.5308271380500003,1097800.0,0.0,1.0
2000-09-06,54.56,56.88,54.56,56.25,3.62359106943,577400.0,0.0,1.0
2000-09-07,56.44,57.63,56.44,57.5,3.70411531542,479500.0,0.0,1.0
2000-09-08,57.19,58.19,57.06,57.96,3.7337482379400004,648300.0,0.0,1.0
2000-09-11,58.0,60.69,58.0,58.96,3.7981676347300004,1088500.0,0.0,1.0
2000-09-12,61.63,61.75,60.0,60.31,3.8851338204,2600200.0,0.0,1.0
2000-09-13,61.19,61.88,60.69,61.0,3.9295832041800014,1243100.0,0.0,1.0
2000-09-14,61.75,61.75,60.19,61.16,3.93989030767,1460400.0,0.0,1.0
2000-09-15,61.56,62.21,61.38,62.21,4.0075306743,1439800.0,0.0,1.0
2000-09-18,62.56,63.0,61.13,62.56,4.03007746317,1005300.0,0.0,1.0
2000-09-19,62.56,63.19,60.56,60.69,3.9096131911800014,1440300.0,0.0,1.0
2000-09-20,60.88,60.94,59.31,60.81,3.91734351879,1360200.0,0.0,1.0
2000-09-21,60.63,61.38,59.81,60.63,3.90574802737,725100.0,0.0,1.0
2000-09-22,60.75,61.69,60.56,61.0,3.9295832041800014,755300.0,0.0,1.0
2000-09-25,61.31,61.75,60.31,61.69,3.97403258797,777800.0,0.0,1.0
2000-09-26,61.69,63.81,61.56,63.31,4.07839201077,889100.0,0.0,1.0
2000-09-27,63.31,64.13,62.44,63.96,4.12026461868,642500.0,0.0,1.0
2000-09-28,64.13,65.69,63.75,63.94,4.11897623074,923300.0,0.0,1.0
2000-09-29,64.13,67.13,64.13,65.77,4.236863726869999,1252700.0,0.0,1.0
2000-10-02,65.81,68.5,65.13,68.25,4.396623830909999,918500.0,0.0,1.0
2000-10-03,67.88,68.69,63.56,64.25,4.13894624375,1130300.0,0.0,1.0
2000-10-04,64.63,65.25,59.38,63.88,4.11511106694,2095800.0,0.0,1.0
2000-10-05,63.38,64.31,61.31,62.38,4.01848197175,1087500.0,0.0,1.0
2000-10-06,63.0,64.81,63.0,63.81,4.11060170916,872800.0,0.0,1.0
2000-10-09,63.75,65.0,63.75,64.38,4.147320765330002,507000.0,0.0,1.0
2000-10-10,64.5,65.81,64.38,65.38,4.21174016212,806600.0,0.0,1.0
2000-10-11,65.38,67.06,65.38,66.0,4.25168018813,703300.0,0.0,1.0
2000-10-12,65.63,66.63,64.25,65.19,4.199500476730003,628900.0,0.0,1.0
2000-10-13,64.94,67.5,64.88,67.5,4.34830928332,964400.0,0.0,1.0
2000-10-16,66.88,68.06,66.75,68.0,4.38051898171,757000.0,0.0,1.0
2000-10-17,67.75,69.44,67.38,67.69,4.36054896871,519900.0,0.0,1.0
2000-10-18,67.63,68.56,66.06,67.5,4.34830928332,785500.0,0.0,1.0
2000-10-19,66.69,66.75,64.5,65.0,4.18726079134,2095600.0,0.0,1.0
2000-10-20,64.63,65.69,63.5,65.0,4.18726079134,1698200.0,0.0,1.0
2000-10-23,64.75,65.69,64.63,64.94,4.18339562753,991800.0,0.0,1.0
2000-10-24,65.0,65.5,63.0,63.63,4.0990062177399995,583000.0,0.0,1.0
2000-10-25,64.38,64.69,62.63,63.19,4.07066168315,587600.0,0.0,1.0
2000-10-26,63.06,64.19,61.38,61.69,3.97403258797,1047200.0,0.0,1.0
2000-10-27,61.06,64.81,60.69,64.75,4.1711559421399995,1133800.0,0.0,1.0
2000-10-30,64.75,66.38,64.75,66.13,4.260054709709999,532000.0,0.0,1.0
2000-10-31,66.19,66.38,64.5,66.0,4.25168018813,910400.0,0.0,1.0
2000-11-01,66.0,66.75,64.56,66.0,4.25168018813,758100.0,0.0,1.0
2000-11-02,65.75,65.88,64.44,64.5,4.15505109295,466900.0,0.0,1.0
2000-11-03,64.5,65.0,62.75,63.81,4.11060170916,653200.0,0.0,1.0
2000-11-06,64.13,65.0,63.69,64.69,4.16729077834,773600.0,0.0,1.0
2000-11-07,64.94,65.19,63.81,64.31,4.14281140756,383500.0,0.0,1.0
2000-11-08,64.5,64.75,63.38,64.13,4.13121591613,190100.0,0.0,1.0
2000-11-09,64.25,65.0,63.88,65.0,4.18726079134,287200.0,0.0,1.0
2000-11-10,65.0,66.0,64.56,65.25,4.20336564054,804100.0,0.0,1.0
2000-11-13,65.5,66.81,65.5,66.0,4.25168018813,1317300.0,0.0,1.0
2000-11-14,65.75,66.19,65.06,65.5,4.21947048974,455500.0,0.0,1.0
2000-11-15,65.38,66.44,65.38,66.0,4.25168018813,595400.0,0.0,1.0
2000-11-16,66.25,66.5,66.0,66.38,4.27615955891,479900.0,0.0,1.0
2000-11-17,66.5,66.75,66.06,66.75,4.2999947357199995,755900.0,0.0,1.0
2000-11-20,66.75,67.88,66.63,67.06,4.31996474873,1326700.0,0.0,1.0
2000-11-21,66.88,66.94,65.06,66.31,4.3064366754000005,1228100.0,0.54,1.0
2000-11-22,66.19,66.81,65.81,66.0,4.28630403524,969500.0,0.0,1.0
