Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,47.69,48.13,46.56,47.88,2.43243234203,1180400.0,0.0,1.0
1999-11-02,48.0,50.25,46.75,47.0,2.38772598319,2001800.0,0.0,1.0
1999-11-03,47.44,48.38,46.63,48.38,2.45783368228,767700.0,0.0,1.0
1999-11-04,48.44,50.13,47.0,50.13,2.54673837314,1310400.0,0.0,1.0
1999-11-05,50.63,50.75,48.75,49.88,2.53403770302,866300.0,0.0,1.0
1999-11-08,51.0,51.31,49.5,49.69,2.52438519372,923600.0,0.0,1.0
1999-11-09,50.13,50.13,49.38,49.5,2.5147326844299998,820000.0,0.0,1.0
1999-11-10,49.5,50.13,47.0,48.13,2.44513301215,931200.0,0.0,1.0
1999-11-11,47.88,50.0,47.25,47.75,2.4258279935599996,824700.0,0.0,1.0
1999-11-12,47.75,48.5,44.75,48.31,2.4542774946400003,1029200.0,0.0,1.0
1999-11-15,48.19,48.25,45.81,47.38,2.40703100178,486200.0,0.0,1.0
1999-11-16,47.75,48.94,47.5,48.31,2.4542774946400003,1282000.0,0.0,1.0
1999-11-17,48.5,49.41,47.5,48.69,2.47358251323,774600.0,0.0,1.0
1999-11-18,49.44,49.5,44.94,46.44,2.3592764821200003,1031700.0,0.0,1.0
1999-11-19,46.38,47.5,45.38,45.88,2.33082698104,1229700.0,0.0,1.0
1999-11-22,45.0,48.69,43.13,47.38,2.40703100178,1755400.0,0.0,1.0
1999-11-23,47.63,48.13,45.63,47.38,2.40703100178,941100.0,0.0,1.0
1999-11-24,47.25,47.38,46.25,47.0,2.38772598319,473400.0,0.0,1.0
1999-11-26,46.81,48.06,46.5,46.75,2.37502531307,177500.0,0.0,1.0
1999-11-29,46.06,47.0,46.0,46.63,2.36892899141,673800.0,0.0,1.0
1999-11-30,46.94,46.94,46.0,46.69,2.37197715224,644600.0,0.0,1.0
1999-12-01,46.44,46.44,43.38,44.19,2.24497045101,852000.0,0.0,1.0
1999-12-02,44.5,52.25,44.25,49.75,2.5274333545500003,2343600.0,0.0,1.0
1999-12-03,51.5,52.5,49.94,51.06,2.593984866,988900.0,0.0,1.0
1999-12-06,50.13,52.38,49.5,52.06,2.6447875464900004,946700.0,0.0,1.0
1999-12-07,54.0,56.5,53.63,54.38,2.76264976524,2184700.0,0.0,1.0
1999-12-08,56.13,64.0,55.88,63.69,3.2356227206299994,2388800.0,0.0,1.0
1999-12-09,65.25,69.31,57.63,59.94,3.0451126687800003,2864600.0,0.0,1.0
1999-12-10,60.88,61.13,56.38,58.31,2.96230429958,1076500.0,0.0,1.0
1999-12-13,58.38,60.38,57.0,58.31,2.96230429958,798700.0,0.0,1.0
1999-12-14,58.63,59.06,53.13,54.0,2.74334474665,818300.0,0.0,1.0
1999-12-15,53.63,57.88,52.5,57.75,2.9338547985,814400.0,0.0,1.0
1999-12-16,58.5,59.25,55.25,55.31,2.8098962581,512100.0,0.0,1.0
1999-12-17,55.88,61.13,55.5,55.63,2.82615311585,1276300.0,0.0,1.0
1999-12-20,56.0,63.38,55.88,61.0,3.0989635101,1700800.0,0.0,1.0
1999-12-21,61.25,66.0,59.5,64.75,3.28947356195,1145000.0,0.0,1.0
1999-12-22,65.88,68.06,61.0,66.44,3.37533009199,1722800.0,0.0,1.0
1999-12-23,67.0,68.13,63.56,63.75,3.2386708814599996,1140500.0,0.0,1.0
1999-12-27,64.5,65.25,59.56,61.25,3.11166418023,841900.0,0.0,1.0
1999-12-28,61.38,61.38,57.06,57.25,2.90845345825,839800.0,0.0,1.0
1999-12-29,57.75,61.5,57.75,60.75,3.08626283998,908500.0,0.0,1.0
1999-12-30,61.0,62.0,57.13,57.44,2.91810596755,631600.0,0.0,1.0
1999-12-31,57.31,60.25,56.81,58.63,2.9785611573299997,609000.0,0.0,1.0
2000-01-03,59.75,59.81,55.62,56.88,2.88965646647,1456700.0,0.0,1.0
2000-01-04,56.69,58.75,54.06,54.25,2.7560454167699997,1068000.0,0.0,1.0
2000-01-05,53.5,54.25,48.25,50.88,2.58484038351,1621700.0,0.0,1.0
2000-01-06,50.25,51.0,47.13,48.06,2.4415768245200002,1455300.0,0.0,1.0
2000-01-07,48.0,52.88,47.88,51.88,2.635643064,2022200.0,0.0,1.0
2000-01-10,53.5,57.0,53.0,56.75,2.88305211801,969600.0,0.0,1.0
2000-01-11,56.75,56.75,51.13,52.13,2.64834373413,790600.0,0.0,1.0
2000-01-12,52.75,53.38,51.13,53.38,2.7118470847400005,808800.0,0.0,1.0
2000-01-13,53.72,55.88,53.0,54.69,2.77839859619,500100.0,0.0,1.0
2000-01-14,55.13,56.75,52.88,52.88,2.6864457445,554300.0,0.0,1.0
2000-01-18,53.97,56.75,53.69,54.75,2.7814467570200003,629300.0,0.0,1.0
2000-01-19,55.5,57.63,55.0,56.5,2.87035144788,844200.0,0.0,1.0
2000-01-20,59.13,61.25,58.25,60.44,3.07051400903,2437900.0,0.0,1.0
2000-01-21,60.5,60.88,57.38,58.28,2.96078021916,1056600.0,0.0,1.0
2000-01-24,58.0,61.69,58.0,58.44,2.96890864804,1250200.0,0.0,1.0
