Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2003-12-02,19.0,19.25,19.0,19.25,8.35163011271,80000.0,0.0,1.0
2003-12-03,19.5,19.5,19.5,19.5,8.46009284144,150000.0,0.0,1.0
2003-12-04,20.25,20.25,20.25,20.25,8.78548102765,25000.0,0.0,1.0
2003-12-05,20.25,20.25,20.25,20.25,8.78548102765,0.0,0.0,1.0
2003-12-08,21.0,21.8,21.0,21.8,9.45794994582,477000.0,0.0,1.0
2003-12-09,21.8,22.75,21.8,22.125,9.598951493180001,1507100.0,0.0,1.0
2003-12-10,22.25,23.0,22.25,22.5,9.76164558628,1497300.0,0.0,1.0
2003-12-11,22.75,23.0,22.625,22.9,9.935185952260001,1101600.0,0.0,1.0
2003-12-12,23.0,23.05,22.92,22.95,9.956878498010001,354500.0,0.0,1.0
2003-12-15,22.9,22.9,22.4,22.4,9.71826049479,643500.0,0.0,1.0
2003-12-16,22.35,22.35,21.8,21.95,9.523027583060001,442800.0,0.0,1.0
2003-12-17,21.9,21.9,21.4,21.45,9.30610212559,575400.0,0.0,1.0
2003-12-18,21.45,21.55,21.45,21.55,9.34948721708,1212600.0,0.0,1.0
2003-12-19,21.55,21.8,21.55,21.8,9.45794994582,710900.0,0.0,1.0
2003-12-22,21.65,21.8,21.65,21.65,9.392872308580001,2600.0,0.0,1.0
2003-12-23,21.7,21.85,21.7,21.8,9.45794994582,66900.0,0.0,1.0
2003-12-24,21.8,21.85,21.8,21.85,9.47964249156,10100.0,0.0,1.0
2003-12-26,21.85,21.85,21.85,21.85,9.47964249156,500.0,0.0,1.0
2003-12-29,21.8,21.8,21.8,21.8,9.45794994582,600.0,0.0,1.0
2003-12-30,21.85,21.9,21.85,21.9,9.501335037310001,15800.0,0.0,1.0
2003-12-31,21.9,22.0,21.9,21.9,9.501335037310001,7100.0,0.0,1.0
2004-01-02,22.0,22.45,21.95,22.45,9.73995304053,278800.0,0.0,1.0
2004-01-05,22.45,22.5,22.3,22.4,9.71826049479,68000.0,0.0,1.0
2004-01-06,22.4,22.5,22.39,22.45,9.73995304053,80300.0,0.0,1.0
2004-01-07,22.4,22.4,22.0,22.25,9.65318285754,141700.0,0.0,1.0
2004-01-08,22.35,22.35,22.2,22.26,9.657521366689998,192600.0,0.0,1.0
2004-01-09,22.3,22.3,21.15,21.15,9.1759468511,1728100.0,0.0,1.0
2004-01-12,21.25,21.25,21.2,21.2,9.197639396849999,8900.0,0.0,1.0
2004-01-13,21.25,21.35,20.96,21.0,9.110869213860001,534800.0,0.0,1.0
2004-01-14,21.05,21.1,21.0,21.0,9.110869213860001,104300.0,0.0,1.0
2004-01-15,21.0,21.0,20.75,20.85,9.04579157662,27100.0,0.0,1.0
2004-01-16,20.75,20.9,20.75,20.8,9.02409903087,246900.0,0.0,1.0
2004-01-20,21.0,21.05,20.97,21.0,9.110869213860001,428300.0,0.0,1.0
2004-01-21,21.05,21.15,21.0,21.0,9.110869213860001,484800.0,0.0,1.0
2004-01-22,21.1,21.6,21.1,21.5,9.32779467133,431800.0,0.0,1.0
2004-01-23,21.5,21.5,21.1,21.2,9.197639396849999,374200.0,0.0,1.0
2004-01-26,21.2,21.2,20.85,20.85,9.04579157662,145800.0,0.0,1.0
2004-01-27,20.85,20.85,20.7,20.73,8.99372946683,497300.0,0.0,1.0
2004-01-28,20.75,20.75,20.45,20.5,8.89394375639,50000.0,0.0,1.0
2004-01-29,20.5,20.5,19.75,20.0,8.67701829892,584500.0,0.0,1.0
2004-01-30,20.0,20.25,20.0,20.0,8.67701829892,170600.0,0.0,1.0
2004-02-02,20.0,20.35,20.0,20.15,8.74209593616,40400.0,0.0,1.0
2004-02-03,20.0,20.31,20.0,20.3,8.8071735734,689600.0,0.0,1.0
2004-02-04,20.25,20.3,20.25,20.25,8.78548102765,287600.0,0.0,1.0
