Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,24.44,24.88,24.13,24.69,15.4685299695,762000.0,0.0,1.0
1999-11-02,24.69,24.69,24.25,24.31,15.2304561992,604800.0,0.0,1.0
1999-11-03,24.19,24.25,23.69,23.69,14.967322032,1498200.0,0.2,1.0
1999-11-04,23.69,24.19,23.69,23.81,15.043137930899999,527800.0,0.0,1.0
1999-11-05,23.81,23.94,23.38,23.44,14.8093722428,474400.0,0.0,1.0
1999-11-08,23.44,23.81,23.25,23.69,14.967322032,629300.0,0.0,1.0
1999-11-09,24.19,24.25,23.5,23.75,15.005229981500001,511000.0,0.0,1.0
1999-11-10,23.5,24.0,23.25,23.88,15.087363871900001,626100.0,0.0,1.0
1999-11-11,23.63,23.94,23.44,23.75,15.005229981500001,369500.0,0.0,1.0
1999-11-12,23.75,24.38,23.75,24.38,15.403263450499999,451200.0,0.0,1.0
1999-11-15,24.38,24.44,23.94,24.25,15.32112956,509100.0,0.0,1.0
1999-11-16,24.25,24.88,24.0,24.81,15.674937088,529000.0,0.0,1.0
1999-11-17,24.69,24.81,23.19,24.0,15.1631797707,2812600.0,0.0,1.0
1999-11-18,23.88,23.94,23.0,23.75,15.005229981500001,557700.0,0.0,1.0
1999-11-19,23.63,23.69,23.13,23.19,14.651422453499999,417700.0,0.0,1.0
1999-11-22,23.19,23.25,22.38,22.38,14.1396651362,838800.0,0.0,1.0
1999-11-23,22.5,22.5,21.88,22.44,14.177573085599999,668300.0,0.0,1.0
1999-11-24,22.25,22.25,21.63,21.81,13.779539616700001,679100.0,0.0,1.0
1999-11-26,21.63,22.13,21.63,21.94,13.8616735071,158000.0,0.0,1.0
1999-11-29,21.94,22.0,21.5,21.5,13.583681878,945800.0,0.0,1.0
1999-11-30,21.5,21.63,21.38,21.38,13.5078659791,1097400.0,0.0,1.0
1999-12-01,21.44,21.5,21.31,21.44,13.5457739285,780700.0,0.0,1.0
1999-12-02,21.44,21.5,21.13,21.13,13.3499161898,834500.0,0.0,1.0
1999-12-03,21.06,21.69,21.0,21.44,13.5457739285,1637600.0,0.0,1.0
