Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,51.88,51.88,50.38,50.5,6.93262236591,338800.0,0.0,1.0
1999-11-02,50.5,52.38,50.0,52.06,7.14677862118,542200.0,0.0,1.0
1999-11-03,52.31,52.44,50.75,51.25,7.0355821040199995,481600.0,0.0,1.0
1999-11-04,51.38,51.44,50.25,50.81,6.97517905766,329200.0,0.0,1.0
1999-11-05,51.0,52.19,51.0,51.94,7.130305063080001,385600.0,0.0,1.0
1999-11-08,52.0,52.25,49.81,50.38,6.916148807819999,448800.0,0.0,1.0
1999-11-09,50.0,50.38,49.81,50.38,6.916148807819999,352200.0,0.0,1.0
1999-11-10,50.63,50.63,49.75,50.5,6.93262236591,370800.0,0.0,1.0
1999-11-11,50.75,52.0,50.75,51.63,7.08774837133,527000.0,0.0,1.0
1999-11-12,50.88,50.94,49.56,49.88,6.847508982409999,588600.0,0.0,1.0
1999-11-15,49.94,51.19,49.63,51.0,7.0012621913199995,438200.0,0.0,1.0
1999-11-16,51.25,51.44,50.38,51.06,7.009498970369999,409200.0,0.0,1.0
1999-11-17,50.81,51.0,49.69,49.69,6.82142584876,1451600.0,0.0,1.0
1999-11-18,49.88,52.0,49.88,51.44,7.06166523767,653400.0,0.0,1.0
1999-11-19,51.5,51.63,50.84,51.38,7.05342845863,362000.0,0.0,1.0
1999-11-22,51.13,51.25,49.97,50.43,6.9230127903600005,329000.0,0.0,1.0
1999-11-23,50.25,50.25,49.31,49.44,6.7871059360500015,460000.0,0.0,1.0
1999-11-24,49.5,51.0,48.63,50.63,6.950468720519999,474400.0,0.0,1.0
1999-11-26,50.75,50.75,50.0,50.06,6.872219319560001,235600.0,0.0,1.0
1999-11-29,49.63,49.75,48.5,48.69,6.68414619795,721600.0,0.0,1.0
1999-11-30,48.88,50.44,48.75,50.44,6.9243855868600015,475400.0,0.0,1.0
1999-12-01,50.19,50.44,49.25,50.13,6.88182889511,563200.0,0.0,1.0
1999-12-02,50.44,53.0,50.44,52.13,7.15638819673,932800.0,0.0,1.0
1999-12-03,52.0,54.0,52.0,53.94,7.4048643647,788200.0,0.0,1.0
1999-12-06,53.38,53.94,52.75,53.5,7.34446131834,481200.0,0.0,1.0
1999-12-07,54.0,54.06,53.31,54.0,7.41310114375,860000.0,0.0,1.0
1999-12-08,54.5,55.5,54.13,55.25,7.584700707260001,1035600.0,0.0,1.0
1999-12-09,55.25,55.25,54.31,54.31,7.455657835499999,518400.0,0.0,1.0
1999-12-10,54.38,56.63,54.38,56.31,7.73021713712,863600.0,0.0,1.0
1999-12-13,56.5,57.44,55.63,55.94,7.67942366632,1077400.0,0.0,1.0
1999-12-14,55.75,56.13,54.81,55.56,7.62725739901,794200.0,0.0,1.0
1999-12-15,55.56,57.25,55.31,56.63,7.77414662538,1194200.0,0.0,1.0
