Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,21.75,24.38,21.75,23.5,1.8007000707499998,1630300.0,0.0,1.0
1999-11-02,23.94,25.13,23.75,25.0,1.9156383731400002,1744800.0,0.0,1.0
1999-11-03,26.0,28.13,25.81,27.44,2.10260467836,4191000.0,0.0,1.0
1999-11-04,27.75,29.94,27.75,29.19,2.2366993644799997,2625700.0,0.0,1.0
1999-11-05,30.0,30.25,26.88,28.25,2.16467136165,1284100.0,0.0,1.0
1999-11-08,27.38,29.88,26.5,29.06,2.2267380449400003,979200.0,0.0,1.0
1999-11-09,29.0,29.13,27.5,28.63,2.1937890649200003,567400.0,0.0,1.0
1999-11-10,28.72,28.75,27.81,28.38,2.1746326811900003,300100.0,0.0,1.0
1999-11-11,28.38,31.88,27.75,30.38,2.32788375104,1172300.0,0.0,1.0
1999-11-12,31.69,32.0,29.88,32.0,2.45201711762,1044800.0,0.0,1.0
1999-11-15,32.22,33.19,30.88,31.38,2.4045092859599997,754600.0,0.0,1.0
1999-11-16,32.13,35.0,32.0,34.38,2.63438589074,1507900.0,0.0,1.0
1999-11-17,35.0,37.5,34.5,35.69,2.7347653414899997,1638300.0,0.0,1.0
1999-11-18,36.44,36.75,35.5,35.81,2.74396040568,491600.0,0.0,1.0
1999-11-19,40.13,44.38,40.0,42.88,3.28570293761,4510800.0,0.0,1.0
1999-11-22,43.97,44.0,40.25,42.81,3.2803391501599997,1125400.0,0.0,1.0
1999-11-23,38.25,40.19,38.0,39.75,3.04586501329,1152600.0,0.0,1.0
1999-11-24,39.56,40.0,35.56,38.5,2.95008309463,847600.0,0.0,1.0
1999-11-26,38.13,38.5,37.0,38.25,2.9309267108999997,149500.0,0.0,1.0
1999-11-29,38.13,38.63,36.0,36.88,2.82594972806,622100.0,0.0,1.0
1999-11-30,37.0,37.63,34.63,34.63,2.65354227447,655600.0,0.0,1.0
1999-12-01,34.63,36.88,34.63,36.38,2.78763696059,465700.0,0.0,1.0
1999-12-02,36.5,39.56,36.5,39.06,2.9929933941900004,645600.0,0.0,1.0
1999-12-03,39.44,40.13,37.63,38.13,2.92173164671,714100.0,0.0,1.0
1999-12-06,38.25,39.38,38.25,39.19,3.0029547137299994,372100.0,0.0,1.0
1999-12-07,39.5,39.56,36.38,37.88,2.9025752629799997,388300.0,0.0,1.0
1999-12-08,37.75,39.94,37.63,39.56,3.03130616166,420200.0,0.0,1.0
1999-12-09,39.5,40.5,37.0,38.38,2.9408880304400005,447800.0,0.0,1.0
1999-12-10,39.06,39.25,37.25,37.94,2.90717279508,204800.0,0.0,1.0
1999-12-13,37.5,38.81,37.0,37.81,2.8972114755400002,383000.0,0.0,1.0
1999-12-14,37.88,38.81,36.81,37.19,2.8497036438800003,570600.0,0.0,1.0
1999-12-15,36.94,37.13,35.13,36.0,2.75851925732,429100.0,0.0,1.0
