Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,22.63,22.88,22.5,22.69,3.39579374919,23600.0,0.0,1.0
1999-11-02,22.75,23.13,22.75,22.88,3.4242292191000003,26600.0,0.0,1.0
1999-11-03,23.0,23.63,22.88,23.13,3.4616443111,60900.0,0.0,1.0
1999-11-04,23.31,23.38,23.0,23.0,3.44218846326,31200.0,0.0,1.0
1999-11-05,22.88,23.13,22.56,22.63,3.3868141271099996,40200.0,0.0,1.0
1999-11-08,22.63,22.75,22.5,22.63,3.3868141271099996,38200.0,0.0,1.0
1999-11-09,22.38,22.75,22.31,22.63,3.3868141271099996,60200.0,0.0,1.0
1999-11-10,22.5,22.5,22.31,22.44,3.3583786572000003,29300.0,0.0,1.0
1999-11-11,22.5,22.5,22.25,22.25,3.3299431872900005,33900.0,0.0,1.0
1999-11-12,22.25,22.38,22.0,22.25,3.3299431872900005,55100.0,0.0,1.0
1999-11-15,22.38,22.38,21.88,22.06,3.30150771737,36000.0,0.0,1.0
1999-11-16,22.25,22.38,21.63,21.88,3.27456885114,53200.0,0.0,1.0
1999-11-17,21.88,22.19,21.69,21.88,3.27456885114,42000.0,0.0,1.0
1999-11-18,22.0,22.44,21.88,22.19,3.3209635652099996,43600.0,0.0,1.0
1999-11-19,22.06,22.06,21.69,21.88,3.27456885114,47100.0,0.0,1.0
1999-11-22,21.63,22.0,21.63,21.81,3.26409262538,25900.0,0.0,1.0
1999-11-23,21.63,22.0,21.63,21.63,3.2371537591500004,55600.0,0.0,1.0
1999-11-24,21.88,22.13,21.75,21.88,3.27456885114,51300.0,0.0,1.0
1999-11-26,21.88,22.06,21.81,21.88,3.27456885114,15600.0,0.0,1.0
1999-11-29,21.81,21.81,21.56,21.56,3.25331707889,30800.0,0.17800000000000002,1.0
1999-11-30,21.5,21.88,21.5,21.81,3.2910410709900004,27700.0,0.0,1.0
1999-12-01,21.56,21.88,21.5,21.69,3.27293355478,36200.0,0.0,1.0
1999-12-02,21.31,21.56,21.31,21.38,3.2261558045700003,45200.0,0.0,1.0
1999-12-03,21.38,21.5,21.25,21.31,3.2155930867799998,30400.0,0.0,1.0
1999-12-06,21.25,21.69,21.0,21.0,3.16881533658,71600.0,0.0,1.0
1999-12-07,21.0,21.75,21.0,21.5,3.24426332078,55000.0,0.0,1.0
1999-12-08,21.25,21.38,20.63,21.13,3.1884318124699997,59100.0,0.0,1.0
1999-12-09,21.25,21.44,20.88,21.13,3.1884318124699997,47500.0,0.0,1.0
1999-12-10,20.88,21.13,20.5,20.88,3.15070782037,66700.0,0.0,1.0
