Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,43.63,43.63,42.75,43.13,10.7825,91700.0,0.0,1.0
1999-11-02,42.88,43.25,42.88,43.13,10.7825,95900.0,0.0,1.0
1999-11-03,43.0,44.75,42.94,44.38,11.095,114200.0,0.0,1.0
1999-11-04,44.0,44.75,44.0,44.63,11.1575,123500.0,0.0,1.0
1999-11-05,45.0,45.06,44.56,44.94,11.235,44600.0,0.0,1.0
1999-11-08,44.25,45.25,44.25,45.03,11.2575,167700.0,0.0,1.0
1999-11-09,46.19,46.69,44.94,45.31,11.3275,106800.0,0.0,1.0
1999-11-10,45.5,46.0,45.0,45.17,11.2925,81200.0,0.0,1.0
1999-11-11,45.25,45.38,44.0,44.25,11.0625,94800.0,0.0,1.0
1999-11-12,44.5,44.75,43.5,43.63,10.9075,59300.0,0.0,1.0
1999-11-15,43.69,44.5,43.69,44.0,11.0,253900.0,0.0,1.0
1999-11-16,44.5,44.5,44.0,44.5,11.125,85300.0,0.0,1.0
1999-11-17,44.69,45.25,44.25,44.69,11.1725,35300.0,0.0,1.0
1999-11-18,45.06,45.25,44.75,45.25,11.3125,67500.0,0.0,1.0
1999-11-19,45.25,46.0,45.19,45.63,11.4075,142800.0,0.0,1.0
1999-11-22,45.69,47.0,45.63,46.94,11.735,135600.0,0.0,1.0
1999-11-23,47.13,48.75,47.0,47.88,11.97,242500.0,0.0,1.0
1999-11-24,48.5,48.5,47.5,47.81,11.9525,99100.0,0.0,1.0
1999-11-26,48.0,48.06,47.63,47.94,11.985,64200.0,0.0,1.0
1999-11-29,48.06,48.25,46.75,46.88,11.72,85000.0,0.0,1.0
1999-11-30,46.75,47.44,46.0,46.0,11.5,73600.0,0.0,1.0
1999-12-01,23.25,24.0,22.94,23.94,11.97,90200.0,0.0,2.0
1999-12-02,24.0,24.0,22.0,23.13,11.565,254300.0,0.0,1.0
1999-12-03,23.13,23.13,22.5,23.06,11.53,117800.0,0.0,1.0
1999-12-06,23.13,23.19,22.63,22.63,11.315,92400.0,0.0,1.0
1999-12-07,22.53,22.56,21.5,21.63,10.815,129700.0,0.0,1.0
1999-12-08,22.0,22.0,20.63,20.63,10.315,202400.0,0.0,1.0
1999-12-09,21.25,21.75,20.0,21.75,10.875,232600.0,0.0,1.0
1999-12-10,21.5,21.5,19.5,19.56,9.78,335400.0,0.0,1.0
1999-12-13,21.0,22.13,20.97,21.94,10.97,280300.0,0.0,1.0
1999-12-14,22.25,22.25,21.0,21.13,10.565,160900.0,0.0,1.0
1999-12-15,21.25,22.5,21.0,22.5,11.25,343000.0,0.0,1.0
1999-12-16,22.69,22.69,20.0,20.56,10.28,219500.0,0.0,1.0
1999-12-17,20.25,21.0,19.56,20.06,10.03,501400.0,0.0,1.0
1999-12-20,19.63,20.44,19.44,20.06,10.03,396900.0,0.0,1.0
1999-12-21,19.63,20.13,19.63,20.06,10.03,72800.0,0.0,1.0
1999-12-22,20.0,21.25,19.94,21.13,10.565,283000.0,0.0,1.0
1999-12-23,21.0,21.13,20.0,21.13,10.565,133500.0,0.0,1.0
1999-12-27,21.38,21.88,20.0,21.84,10.92,112400.0,0.0,1.0
1999-12-28,21.81,22.0,21.31,21.97,10.985,97800.0,0.0,1.0
1999-12-29,21.97,22.25,20.81,22.0,11.0,108200.0,0.0,1.0
1999-12-30,22.06,22.25,20.81,20.81,10.405,47900.0,0.0,1.0
1999-12-31,20.75,22.0,20.69,21.5,10.75,57000.0,0.0,1.0
2000-01-03,22.12,22.12,20.06,21.5,10.75,124000.0,0.0,1.0
2000-01-04,21.0,21.0,19.56,19.94,9.97,147500.0,0.0,1.0
2000-01-05,20.0,20.63,19.75,20.06,10.03,389100.0,0.0,1.0
2000-01-06,20.25,20.25,18.81,18.94,9.47,409600.0,0.0,1.0
2000-01-07,19.25,19.5,16.19,16.63,8.315,1091300.0,0.0,1.0
2000-01-10,17.0,17.13,16.44,16.81,8.405,1644800.0,0.0,1.0
2000-01-11,17.0,17.06,16.44,16.56,8.28,937500.0,0.0,1.0
2000-01-12,16.56,16.63,15.75,16.25,8.125,476800.0,0.0,1.0
2000-01-13,16.53,16.63,16.19,16.38,8.19,445300.0,0.0,1.0
2000-01-14,16.63,16.63,14.25,14.28,7.14,1276700.0,0.0,1.0
2000-01-18,15.0,15.0,13.56,14.13,7.065,2111700.0,0.0,1.0
2000-01-19,14.5,14.81,13.14,13.31,6.655,690900.0,0.0,1.0
2000-01-20,13.75,13.88,13.19,13.31,6.655,602500.0,0.0,1.0
2000-01-21,13.94,14.06,13.31,13.56,6.78,594800.0,0.0,1.0
2000-01-24,13.84,14.38,13.5,13.5,6.75,465300.0,0.0,1.0
2000-01-25,14.0,14.06,13.25,13.75,6.875,478400.0,0.0,1.0
2000-01-26,13.81,13.88,12.38,12.63,6.315,754900.0,0.0,1.0
2000-01-27,13.25,13.5,12.75,13.31,6.655,656400.0,0.0,1.0
2000-01-28,13.38,13.38,13.0,13.0,6.5,871600.0,0.0,1.0
2000-01-31,13.19,13.44,13.0,13.13,6.565,859000.0,0.0,1.0
2000-02-01,13.06,13.75,13.0,13.38,6.69,499400.0,0.0,1.0
2000-02-02,13.5,13.56,12.63,12.75,6.375,593300.0,0.0,1.0
2000-02-03,13.0,13.75,12.63,13.56,6.78,1062800.0,0.0,1.0
2000-02-04,13.56,13.56,13.13,13.25,6.625,558400.0,0.0,1.0
2000-02-07,13.31,13.5,12.88,13.0,6.5,632600.0,0.0,1.0
2000-02-08,13.06,13.25,12.5,13.25,6.625,787200.0,0.0,1.0
2000-02-09,13.13,13.13,12.06,12.06,6.03,629600.0,0.0,1.0
2000-02-10,12.13,13.13,12.0,13.06,6.53,503600.0,0.0,1.0
2000-02-11,13.06,13.19,11.88,12.19,6.095,522800.0,0.0,1.0
2000-02-14,12.19,12.75,12.13,12.69,6.345,397600.0,0.0,1.0
2000-02-15,12.75,12.75,12.13,12.19,6.095,248300.0,0.0,1.0
2000-02-16,12.25,12.31,11.25,11.5,5.75,335700.0,0.0,1.0
2000-02-17,11.69,11.75,10.5,10.75,5.375,842100.0,0.0,1.0
2000-02-18,10.94,11.63,10.75,10.75,5.375,618500.0,0.0,1.0
2000-02-22,10.94,11.88,10.75,11.25,5.625,846900.0,0.0,1.0
2000-02-23,11.25,11.75,11.0,11.53,5.765,271500.0,0.0,1.0
2000-02-24,11.63,13.63,11.56,13.06,6.53,349700.0,0.0,1.0
2000-02-25,13.03,13.06,12.63,12.88,6.44,351000.0,0.0,1.0
2000-02-28,13.0,13.31,12.69,13.09,6.545,300600.0,0.0,1.0
2000-02-29,13.44,14.5,13.19,14.0,7.0,247600.0,0.0,1.0
2000-03-01,13.94,13.94,12.0,12.06,6.03,637300.0,0.0,1.0
2000-03-02,12.06,12.06,11.06,11.06,5.53,487900.0,0.0,1.0
2000-03-03,11.69,12.13,11.13,12.13,6.065,351900.0,0.0,1.0
2000-03-06,12.06,12.31,10.94,10.94,5.47,331000.0,0.0,1.0
2000-03-07,11.38,11.38,9.5,9.625,4.8125,1026600.0,0.0,1.0
2000-03-08,10.0,10.0,8.25,9.25,4.625,2213700.0,0.0,1.0
2000-03-09,9.75,11.0,9.562999999999999,10.94,5.47,658400.0,0.0,1.0
2000-03-10,10.94,11.38,10.0,10.0,5.0,455300.0,0.0,1.0
2000-03-13,10.25,10.88,10.0,10.56,5.28,245900.0,0.0,1.0
2000-03-14,10.81,12.25,10.75,11.31,5.655,379900.0,0.0,1.0
2000-03-15,11.38,12.5,11.31,12.38,6.19,490600.0,0.0,1.0
2000-03-16,12.75,15.13,12.63,14.88,7.44,990600.0,0.0,1.0
2000-03-17,13.94,14.5,13.88,14.38,7.19,317800.0,0.0,1.0
2000-03-20,14.63,14.94,14.25,14.56,7.28,632200.0,0.0,1.0
2000-03-21,14.84,15.25,14.69,15.06,7.53,353600.0,0.0,1.0
2000-03-22,15.13,15.13,14.63,14.88,7.44,413300.0,0.0,1.0
2000-03-23,14.56,15.0,14.5,14.75,7.375,174900.0,0.0,1.0
2000-03-24,14.94,16.88,14.75,16.25,8.125,574000.0,0.0,1.0
2000-03-27,16.34,16.63,15.75,16.38,8.19,281600.0,0.0,1.0
2000-03-28,16.38,16.44,14.88,15.38,7.69,267200.0,0.0,1.0
2000-03-29,15.25,16.25,14.25,14.44,7.22,379200.0,0.0,1.0
2000-03-30,14.44,15.38,14.19,15.0,7.5,116800.0,0.0,1.0
2000-03-31,15.25,15.5,14.0,14.19,7.095,189100.0,0.0,1.0
2000-04-03,14.63,15.0,14.13,14.75,7.375,283700.0,0.0,1.0
2000-04-04,14.94,15.0,13.5,14.75,7.375,198400.0,0.0,1.0
2000-04-05,14.63,15.25,14.5,14.81,7.405,102700.0,0.0,1.0
2000-04-06,14.5,14.94,14.25,14.44,7.22,97500.0,0.0,1.0
2000-04-07,14.44,14.44,13.63,13.94,6.97,236300.0,0.0,1.0
2000-04-10,13.94,14.69,13.56,13.69,6.845,257600.0,0.0,1.0
2000-04-11,13.94,13.94,12.63,13.06,6.53,228900.0,0.0,1.0
2000-04-12,13.38,13.5,12.56,12.88,6.44,235100.0,0.0,1.0
2000-04-13,13.25,13.88,13.19,13.44,6.72,156900.0,0.0,1.0
2000-04-14,13.5,13.75,12.56,12.94,6.47,218200.0,0.0,1.0
2000-04-17,13.0,13.31,12.25,13.0,6.5,182100.0,0.0,1.0
2000-04-18,12.84,13.5,12.75,13.06,6.53,102500.0,0.0,1.0
2000-04-19,12.75,13.31,12.0,12.19,6.095,525700.0,0.0,1.0
2000-04-20,12.75,13.13,12.69,12.75,6.375,115000.0,0.0,1.0
2000-04-24,12.69,12.81,12.38,12.44,6.22,131200.0,0.0,1.0
2000-04-25,12.5,13.31,12.13,13.31,6.655,476500.0,0.0,1.0
2000-04-26,13.25,14.69,13.13,14.31,7.155,1401300.0,0.0,1.0
2000-04-27,13.5,14.06,13.13,13.63,6.815,195300.0,0.0,1.0
2000-04-28,13.69,14.25,13.5,13.5,6.75,189800.0,0.0,1.0
2000-05-01,13.75,14.25,13.63,13.94,6.97,135100.0,0.0,1.0
2000-05-02,13.94,14.0,13.38,13.44,6.72,138800.0,0.0,1.0
2000-05-03,13.38,13.5,12.25,13.0,6.5,190400.0,0.0,1.0
2000-05-04,13.06,13.38,12.88,13.0,6.5,165100.0,0.0,1.0
2000-05-05,13.0,13.88,12.94,13.88,6.94,139800.0,0.0,1.0
2000-05-08,13.63,14.5,13.56,13.75,6.875,145500.0,0.0,1.0
2000-05-09,13.88,13.88,13.44,13.75,6.875,68300.0,0.0,1.0
2000-05-10,13.69,14.13,13.44,13.88,6.94,181300.0,0.0,1.0
2000-05-11,13.88,14.5,13.81,14.19,7.095,175200.0,0.0,1.0
2000-05-12,14.19,14.5,13.63,13.75,6.875,86600.0,0.0,1.0
2000-05-15,13.81,15.25,13.81,15.19,7.595,214500.0,0.0,1.0
2000-05-16,15.0,15.44,15.0,15.25,7.625,307800.0,0.0,1.0
2000-05-17,15.0,15.06,14.63,14.75,7.375,455100.0,0.0,1.0
2000-05-18,14.81,15.13,14.63,15.0,7.5,641700.0,0.0,1.0
2000-05-19,15.06,15.13,14.69,14.75,7.375,871400.0,0.0,1.0
2000-05-22,15.0,15.0,14.0,14.63,7.315,178100.0,0.0,1.0
2000-05-23,14.63,15.13,14.44,14.63,7.315,157300.0,0.0,1.0
2000-05-24,15.0,15.0,14.38,14.81,7.405,233100.0,0.0,1.0
2000-05-25,15.0,15.0,14.5,14.56,7.28,243700.0,0.0,1.0
2000-05-26,14.5,14.69,13.5,13.88,6.94,283700.0,0.0,1.0
