Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2020-03-19,40.0,46.0,40.0,45.25,44.7985873243,7000.0,0.0,1.0
2020-03-20,45.01,46.01,45.0,45.0,44.551081316899996,3557.0,0.0,1.0
2020-03-23,42.0,42.0,39.98,40.0,39.6009611706,11888.0,0.0,1.0
2020-03-24,40.0,40.0,39.0,40.0,39.6009611706,77832.0,0.0,1.0
2020-03-25,40.0,44.8,38.0,41.01,40.6008854402,6995.0,0.0,1.0
2020-03-26,45.0,47.5,44.25,45.0,44.551081316899996,29072.0,0.0,1.0
2020-03-27,45.0,47.5,44.99,45.235,44.7837369638,263228.0,0.0,1.0
2020-03-30,44.25,50.0,44.25,50.0,49.5012014633,117962.0,0.0,1.0
2020-03-31,46.5,50.0,44.78,50.0,49.5012014633,210314.0,0.0,1.0
2020-04-01,45.99,48.5,44.0,46.7,46.234122166700004,1206140.0,0.0,1.0
2020-04-02,45.023999999999994,48.66,43.2,44.0,43.5610572877,9264179.0,0.0,1.0
2020-04-03,43.75,49.3,41.8,47.32,46.84793706479999,22550686.0,0.0,1.0
2020-04-06,47.0,47.85,44.7,45.94,45.4817039045,10293656.0,0.0,1.0
2020-04-07,45.15,46.99,42.93,44.28,43.8382640159,12145730.0,0.0,1.0
2020-04-08,42.21,45.2,41.26,44.09,43.650159450299995,22263117.0,0.0,1.0
2020-04-09,44.05,50.25,44.0,49.14,48.649780798100004,17320908.0,0.0,1.0
2020-04-13,48.55,48.67,45.72,46.0,45.5411053462,8545135.0,0.0,1.0
2020-04-14,45.91,46.3,43.97,45.89,45.432202703,10152078.0,0.0,1.0
2020-04-15,44.19,44.85,42.8,44.55,44.1055705038,7934872.0,0.0,1.0
2020-04-16,44.08,46.407,43.55,45.62,45.1648962151,8738163.0,0.0,1.0
2020-04-17,47.0,48.56,45.92,46.15,45.689608950600004,7877295.0,0.0,1.0
2020-04-20,45.0,46.98,44.9,45.39,44.9371906884,5406460.0,0.0,1.0
2020-04-21,44.5,47.2,44.5,45.9,45.4421029433,6845537.0,0.0,1.0
2020-04-22,47.31,49.55,46.0,47.05,46.5806305769,6801923.0,0.0,1.0
2020-04-23,47.44,48.04,46.48,47.47,46.9964406692,5174839.0,0.0,1.0
2020-04-24,48.02,48.5,46.31,47.85,47.3726498004,6446904.0,0.0,1.0
2020-04-27,48.08,48.6,47.61,48.22,47.7389586912,5541142.0,0.0,1.0
2020-04-28,49.07,50.95,48.65,49.86,49.3625980992,5367432.0,0.0,1.0
2020-04-29,50.77,51.73,49.71,51.15,50.6397290969,4343874.0,0.0,1.0
2020-04-30,50.97,51.6,50.5,50.91,50.4021233299,6122344.0,0.0,1.0
2020-05-01,50.33,50.53,48.31,49.71,49.214094494799994,3089653.0,0.0,1.0
2020-05-04,48.85,49.67,47.51,49.53,49.0358901695,5675901.0,0.0,1.0
2020-05-05,49.53,50.64,47.96,48.09,47.610255567399996,4102721.0,0.0,1.0
2020-05-06,48.61,49.0,47.89,48.31,47.828060853800004,2931809.0,0.0,1.0
2020-05-07,49.02,53.29,48.99,51.81,51.293144956199995,4803211.0,0.0,1.0
2020-05-08,52.12,54.17,52.11,52.95,52.4217723496,4381595.0,0.0,1.0
2020-05-11,52.0,52.4,51.06,51.81,51.293144956199995,3150608.0,0.0,1.0
2020-05-12,52.19,52.29,49.69,49.72,49.2239947351,3059822.0,0.0,1.0
2020-05-13,49.0,50.3,47.885,48.21,47.7290584509,4567027.0,0.0,1.0
2020-05-14,47.61,48.4,47.23,48.0,47.5211534047,4849918.0,0.0,1.0
2020-05-15,47.32,49.22,47.2,48.89,48.4022747908,2981386.0,0.0,1.0
2020-05-18,50.12,52.34,50.12,52.13,51.6099526456,4452633.0,0.0,1.0
2020-05-19,51.68,52.928000000000004,51.055,52.31,51.788156970900005,2050277.0,0.0,1.0
2020-05-20,52.55,54.7,52.475,53.18,52.649477876300004,4755123.0,0.0,1.0
2020-05-21,52.36,53.55,51.87,52.03,51.7089550485,3813099.0,0.2,1.0
2020-05-22,52.46,52.72,50.92,51.71,51.3909295706,2134326.0,0.0,1.0
2020-05-26,53.03,53.99,50.7,50.89,50.57598928350001,6247010.0,0.0,1.0
2020-05-27,51.59,52.65,50.77,52.38,52.056795415,5202304.0,0.0,1.0
2020-05-28,52.87,52.95,50.93,50.96,50.645557356800005,4260743.0,0.0,1.0
2020-05-29,50.44,52.87,50.18,52.65,52.325129411999995,7522693.0,0.0,1.0
2020-06-01,52.45,54.44,52.11,54.08,53.746305766400006,3073306.0,0.0,1.0
2020-06-02,54.16,54.75,53.29,54.15,53.815873839700004,2638087.0,0.0,1.0
2020-06-03,55.0,55.58,54.55,55.47,55.127728936000004,4134460.0,0.0,1.0
2020-06-04,55.3,56.66,54.69,55.4,55.05816086270001,3281326.0,0.0,1.0
2020-06-05,57.83,58.708999999999996,56.0,58.57,58.2086007533,4615096.0,0.0,1.0
2020-06-08,58.68,61.32,58.36,61.26,60.882002426899994,5964233.0,0.0,1.0
2020-06-09,60.4,61.46,59.24,60.65,60.2757663597,4609470.0,0.0,1.0
2020-06-10,60.61,60.96,59.02,59.03,58.6657623778,2657074.0,0.0,1.0
2020-06-11,56.0,58.07,55.705,56.25,55.9029160384,3293895.0,0.0,1.0
2020-06-12,57.73,58.98,55.1,56.04,55.694211818599996,4313050.0,0.0,1.0
2020-06-15,54.51,57.8,53.83,57.67,57.3141540967,4464319.0,0.0,1.0
2020-06-16,59.5,59.8,57.375,57.85,57.493043428,3510267.0,0.0,1.0
2020-06-17,58.12,58.19,56.46,56.74,56.3898925515,2441519.0,0.0,1.0
2020-06-18,56.44,57.68,56.24,57.49,57.1352647653,2137452.0,0.0,1.0
2020-06-19,58.96,58.96,55.95,57.0,56.6482882523,7096091.0,0.0,1.0
