Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2014-04-15,17.9,17.92,15.15,15.35,15.35,3531700.0,0.0,1.0
2014-04-16,15.35,16.09,15.21,15.62,15.62,266500.0,0.0,1.0
2014-04-17,15.95,16.55,15.71,16.25,16.25,262100.0,0.0,1.0
2014-04-21,16.59,16.59,16.01,16.1,16.1,78000.0,0.0,1.0
2014-04-22,16.2,16.689,15.76,15.98,15.98,96100.0,0.0,1.0
2014-04-23,15.82,16.18,15.8,16.07,16.07,56500.0,0.0,1.0
2014-04-24,16.28,16.3,15.75,15.75,15.75,42800.0,0.0,1.0
2014-04-25,15.75,15.75,15.25,15.3,15.3,71600.0,0.0,1.0
2014-04-28,15.43,15.66,14.51,14.97,14.97,197500.0,0.0,1.0
2014-04-29,15.01,15.45,15.01,15.28,15.28,68500.0,0.0,1.0
2014-04-30,15.17,15.51,15.06,15.41,15.41,53600.0,0.0,1.0
2014-05-01,15.29,15.9,15.29,15.67,15.67,39900.0,0.0,1.0
2014-05-02,15.69,16.0564,15.69,15.8,15.8,22300.0,0.0,1.0
2014-05-05,15.69,15.99,15.677999999999999,15.68,15.68,13300.0,0.0,1.0
2014-05-06,15.63,15.63,15.25,15.31,15.31,31900.0,0.0,1.0
2014-05-07,15.26,15.29,14.95,15.05,15.05,92600.0,0.0,1.0
2014-05-08,15.25,15.3284,15.18,15.18,15.18,18600.0,0.0,1.0
2014-05-09,15.12,15.17,14.12,14.51,14.51,76000.0,0.0,1.0
2014-05-12,14.73,14.87,14.09,14.09,14.09,111200.0,0.0,1.0
2014-05-13,14.57,14.872,13.675,13.87,13.87,90800.0,0.0,1.0
2014-05-14,14.15,14.29,13.91,14.07,14.07,105600.0,0.0,1.0
2014-05-15,14.0,14.31,13.6101,14.29,14.29,110100.0,0.0,1.0
2014-05-16,14.29,14.68,13.57,13.81,13.81,119700.0,0.0,1.0
2014-05-19,13.85,13.85,13.1,13.24,13.24,202500.0,0.0,1.0
2014-05-20,13.5,14.3,13.37,14.0,14.0,141100.0,0.0,1.0
2014-05-21,14.25,14.25,13.87,14.0,14.0,47400.0,0.0,1.0
2014-05-22,13.91,15.61,13.845,15.38,15.38,85300.0,0.0,1.0
2014-05-23,15.35,15.35,14.31,14.53,14.53,352700.0,0.0,1.0
2014-05-27,14.57,14.81,13.76,14.03,14.03,68100.0,0.0,1.0
2014-05-28,14.08,14.08,13.12,13.25,13.25,244000.0,0.0,1.0
2014-05-29,13.45,13.82,13.43,13.48,13.48,64600.0,0.0,1.0
2014-05-30,13.41,13.525,13.24,13.35,13.35,76100.0,0.0,1.0
2014-06-02,13.49,13.8296,13.175,13.54,13.54,47600.0,0.0,1.0
2014-06-03,13.74,14.11,13.43,14.03,14.03,84800.0,0.0,1.0
2014-06-04,14.0,14.443,13.59,14.3,14.3,73700.0,0.0,1.0
2014-06-05,13.01,14.43,13.01,14.17,14.17,67600.0,0.0,1.0
2014-06-06,14.33,14.5,13.89,14.45,14.45,42500.0,0.0,1.0
2014-06-09,14.45,14.6745,14.19,14.64,14.64,104500.0,0.0,1.0
