Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,47.19,48.25,46.63,46.81,4.45234974096,503763.0,0.0,1.0
1999-11-02,47.19,49.13,47.06,47.25,4.49420049691,399467.0,0.0,1.0
1999-11-03,44.0,45.13,43.5,43.94,4.17936867374,1027990.0,0.0,1.0
1999-11-04,44.0,45.38,43.94,44.19,4.20314751235,371635.0,0.0,1.0
1999-11-05,44.5,45.63,44.13,44.56,4.23834019349,323457.0,0.0,1.0
1999-11-08,44.75,45.0,43.81,44.19,4.20314751235,330035.0,0.0,1.0
1999-11-09,44.56,44.75,44.0,44.25,4.20885443361,258667.0,0.0,1.0
1999-11-10,44.06,44.38,43.38,43.75,4.1612967564,450153.0,0.0,1.0
1999-11-11,43.63,43.75,41.81,42.19,4.0129168034800005,339042.0,0.0,1.0
1999-11-12,42.63,42.69,41.63,41.94,3.98913796487,617600.0,0.0,1.0
1999-11-15,41.94,42.75,41.94,42.38,4.03098872082,672652.0,0.0,1.0
1999-11-16,42.25,44.0,42.25,43.63,4.16890598475,583467.0,0.2,1.0
1999-11-17,43.5,44.25,42.25,42.25,4.03704510327,209600.0,0.0,1.0
1999-11-18,42.38,43.19,42.06,43.19,4.12686338486,312830.0,0.0,1.0
1999-11-19,43.56,44.0,42.06,42.31,4.0427781850699995,495230.0,0.0,1.0
1999-11-22,42.69,42.75,41.56,42.06,4.018890344230001,533590.0,0.0,1.0
1999-11-23,41.75,42.0,40.63,41.19,3.9357606580800004,434252.0,0.0,1.0
1999-11-24,41.13,41.25,41.0,41.13,3.9300275762699997,340168.0,0.0,1.0
1999-11-26,41.22,41.25,40.69,41.06,3.92333898084,135190.0,0.0,1.0
1999-11-29,41.0,41.25,39.81,40.38,3.8583640537300004,392652.0,0.0,1.0
1999-11-30,40.13,41.31,40.13,41.13,3.9300275762699997,558163.0,0.0,1.0
1999-12-01,41.25,41.75,40.75,41.56,3.9711146625300002,549452.0,0.0,1.0
1999-12-02,41.63,41.88,40.81,41.44,3.9596484989199996,329244.0,0.0,1.0
1999-12-03,42.05,42.63,41.63,42.31,4.0427781850699995,548978.0,0.0,1.0
1999-12-06,42.19,42.63,41.88,42.56,4.066666025919999,494775.0,0.0,1.0
1999-12-07,42.69,43.13,42.13,42.63,4.07335462136,643200.0,0.0,1.0
1999-12-08,42.34,44.0,42.13,43.94,4.1985269074,880553.0,0.0,1.0
