Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,39.38,39.5,38.88,39.25,8.06611512154,271400.0,0.0,1.0
1999-11-02,39.19,39.81,39.19,39.5,8.11749165098,206500.0,0.0,1.0
1999-11-03,39.38,39.44,39.06,39.38,8.09283091685,293000.0,0.0,1.0
1999-11-04,39.31,39.63,38.63,39.0,8.014738592110001,331700.0,0.0,1.0
1999-11-05,38.75,39.31,38.75,39.0,8.014738592110001,287400.0,0.0,1.0
1999-11-08,38.81,39.13,38.56,38.69,7.951031695610001,225600.0,0.0,1.0
1999-11-09,38.63,38.63,38.13,38.44,7.89965516617,510400.0,0.0,1.0
1999-11-10,38.06,38.19,37.25,37.38,7.68181868136,640300.0,0.0,1.0
1999-11-11,37.31,37.94,37.19,37.81,7.770186311989999,381100.0,0.0,1.0
1999-11-12,37.94,38.0,37.63,37.75,7.75785594492,332200.0,0.0,1.0
1999-11-15,37.5,37.56,37.0,37.06,7.61605672368,285000.0,0.0,1.0
1999-11-16,37.0,37.44,36.88,37.19,7.642772518989999,374200.0,0.0,1.0
1999-11-17,36.94,37.19,36.88,37.06,7.61605672368,516100.0,0.0,1.0
1999-11-18,36.94,36.94,36.5,36.69,7.540019460110001,208500.0,0.0,1.0
1999-11-19,36.44,36.5,36.06,36.13,7.424936034169999,253600.0,0.0,1.0
1999-11-22,35.88,36.06,35.5,35.81,7.3591740764999996,416000.0,0.0,1.0
1999-11-23,35.69,35.75,34.94,35.13,7.21942991643,334000.0,0.0,1.0
1999-11-24,35.06,35.38,34.88,35.0,7.19271412112,257200.0,0.0,1.0
1999-11-26,35.19,35.19,34.56,34.69,7.1290072246200005,135500.0,0.0,1.0
1999-11-29,34.5,34.5,33.31,33.56,6.8967853115699995,429500.0,0.0,1.0
1999-11-30,33.81,35.06,33.75,35.0,7.19271412112,680600.0,0.0,1.0
1999-12-01,34.44,34.88,34.19,34.5,7.0899610622500004,487700.0,0.0,1.0
1999-12-02,34.38,34.94,34.31,34.44,7.07763069518,297400.0,0.0,1.0
1999-12-03,34.75,35.5,34.69,34.69,7.1290072246200005,979200.0,0.0,1.0
1999-12-06,34.56,34.88,34.31,34.63,7.116676857560001,720500.0,0.0,1.0
1999-12-07,34.56,34.94,34.5,34.81,7.15366795875,919100.0,0.0,1.0
1999-12-08,34.19,34.5,34.06,34.25,7.14955783639,848600.0,0.54,1.0
1999-12-09,34.13,34.5,34.13,34.25,7.14955783639,1293100.0,0.0,1.0
1999-12-10,34.25,34.44,33.13,33.13,6.915762076489999,1278500.0,0.0,1.0
1999-12-13,33.19,33.19,32.0,32.38,6.75920241584,714000.0,0.0,1.0
1999-12-14,32.75,32.81,32.44,32.5,6.784251961540001,568600.0,0.0,1.0
1999-12-15,32.31,33.31,32.31,32.81,6.84896328794,689700.0,0.0,1.0
1999-12-16,32.88,32.88,32.5,32.75,6.83643851509,521400.0,0.0,1.0
1999-12-17,32.75,32.88,32.44,32.62,6.80930150725,808900.0,0.0,1.0
1999-12-20,32.69,33.0,32.44,32.88,6.863575522940001,483000.0,0.0,1.0
1999-12-21,32.81,33.5,32.75,33.13,6.915762076489999,659000.0,0.0,1.0
1999-12-22,33.13,33.81,33.13,33.63,7.02013518359,613600.0,0.0,1.0
1999-12-23,33.69,34.19,33.69,34.13,7.124508290689999,415200.0,0.0,1.0
1999-12-27,34.38,34.75,34.38,34.69,7.241406170639999,487800.0,0.0,1.0
1999-12-28,34.75,35.13,34.69,34.98,7.30194257276,1286400.0,0.0,1.0
1999-12-29,35.0,35.06,34.69,34.81,7.26645571635,1003300.0,0.0,1.0
1999-12-30,34.81,35.0,34.81,34.88,7.28106795134,359200.0,0.0,1.0
1999-12-31,35.0,35.06,34.75,34.81,7.26645571635,221300.0,0.0,1.0
2000-01-03,35.0,35.0,34.06,34.06,7.1098960557,2675600.0,0.0,1.0
2000-01-04,34.13,34.63,34.06,34.31,7.16208260925,1041100.0,0.0,1.0
2000-01-05,34.31,35.19,34.31,35.13,7.333254504889999,746400.0,0.0,1.0
2000-01-06,35.19,35.63,35.13,35.31,7.37082882345,504500.0,0.0,1.0
2000-01-07,35.31,35.38,35.06,35.06,7.3186422699,535900.0,0.0,1.0
2000-01-10,35.19,35.38,34.94,35.0,7.306117497050001,674100.0,0.0,1.0
2000-01-11,35.0,35.56,35.0,35.44,7.39796583129,811400.0,0.0,1.0
2000-01-12,35.44,35.94,35.44,35.5,7.41049060415,551400.0,0.0,1.0
2000-01-13,35.44,35.81,35.25,35.31,7.37082882345,2198500.0,0.0,1.0
2000-01-14,35.06,35.19,34.69,34.75,7.2539309435,636900.0,0.0,1.0
2000-01-18,34.5,34.56,34.13,34.19,7.13703306354,429200.0,0.0,1.0
2000-01-19,34.44,35.25,34.44,34.81,7.26645571635,567900.0,0.0,1.0
2000-01-20,34.75,35.06,34.5,34.88,7.28106795134,621200.0,0.0,1.0
2000-01-21,35.0,35.63,34.75,35.56,7.4230153770000005,423800.0,0.0,1.0
2000-01-24,35.63,36.0,35.13,35.25,7.358304050599999,581300.0,0.0,1.0
2000-01-25,35.31,35.31,33.88,34.69,7.241406170639999,934600.0,0.0,1.0
2000-01-26,34.13,34.5,33.94,34.5,7.20174438994,768900.0,0.0,1.0
2000-01-27,34.38,34.75,33.94,34.59,7.2205315492199995,502400.0,0.0,1.0
2000-01-28,34.13,34.38,33.38,33.5,6.992998175739999,636500.0,0.0,1.0
2000-01-31,33.5,34.38,33.44,34.38,7.176694844239999,414600.0,0.0,1.0
