Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2000-01-28,12.0,12.19,12.0,12.0,6.82239174503,11192000.0,0.0,1.0
2000-01-31,12.0,12.06,12.0,12.06,6.85650370376,1880900.0,0.0,1.0
2000-02-01,12.0,12.06,12.0,12.0,6.82239174503,367100.0,0.0,1.0
2000-02-02,12.0,12.06,12.0,12.06,6.85650370376,697400.0,0.0,1.0
2000-02-03,12.0,12.06,12.0,12.0,6.82239174503,579800.0,0.0,1.0
2000-02-04,12.0,12.06,11.25,11.38,6.46990150487,1681900.0,0.0,1.0
2000-02-07,11.12,11.12,10.5,10.81,6.14583789699,927200.0,0.0,1.0
2000-02-08,10.75,10.88,9.75,9.88,5.617102536749999,795400.0,0.0,1.0
2000-02-09,9.88,10.25,9.75,10.12,5.753550371649999,1710100.0,0.0,1.0
2000-02-10,10.5,11.25,10.44,10.62,6.03781669436,571500.0,0.0,1.0
2000-02-11,10.75,10.94,10.0,10.06,5.71943841292,1062000.0,0.0,1.0
2000-02-14,10.19,10.31,9.75,9.81,5.5773052515699995,289000.0,0.0,1.0
2000-02-15,10.0,10.62,9.94,10.44,5.935480818180001,541400.0,0.0,1.0
2000-02-16,10.56,10.62,10.25,10.56,6.00370473563,360700.0,0.0,1.0
2000-02-17,10.88,10.88,10.25,10.38,5.90136885946,291600.0,0.0,1.0
2000-02-18,10.5,10.75,10.31,10.5,5.96959277691,330700.0,0.0,1.0
2000-02-22,10.25,10.62,9.88,10.31,5.86157157428,314500.0,0.0,1.0
2000-02-23,9.94,10.31,9.81,10.12,5.753550371649999,494300.0,0.0,1.0
2000-02-24,10.12,10.31,9.88,9.94,5.65121449547,919900.0,0.0,1.0
2000-02-25,10.31,10.62,10.0,10.44,5.935480818180001,1095500.0,0.0,1.0
2000-02-28,10.25,10.31,10.0,10.12,5.753550371649999,366800.0,0.0,1.0
2000-02-29,10.12,11.25,10.0,10.88,6.1856351821599995,1652500.0,0.0,1.0
2000-03-01,10.88,11.25,10.88,11.0,6.2538590996200005,266700.0,0.0,1.0
2000-03-02,10.88,11.94,10.81,11.5,6.53812542233,890300.0,0.0,1.0
