Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,19.94,20.0,19.81,20.0,6.6698212761699995,29700.0,0.0,1.0
1999-11-02,20.0,20.56,19.75,20.44,6.81655734425,118400.0,0.0,1.0
1999-11-03,20.5,20.63,20.38,20.56,6.856576271900001,33400.0,0.0,1.0
1999-11-04,20.63,20.63,20.5,20.5,6.836566808080001,35700.0,0.0,1.0
1999-11-05,20.38,20.63,20.38,20.56,6.856576271900001,15000.0,0.0,1.0
1999-11-08,20.69,20.88,20.69,20.88,6.96329341232,78800.0,0.0,1.0
1999-11-09,20.88,20.88,20.75,20.75,6.91993957403,20800.0,0.0,1.0
1999-11-10,20.75,20.81,20.56,20.69,6.8999301102,112500.0,0.0,1.0
1999-11-11,20.81,20.88,20.63,20.88,6.96329341232,42500.0,0.0,1.0
1999-11-12,20.94,20.94,20.81,20.94,6.98330287615,8500.0,0.0,1.0
1999-11-15,21.0,21.0,20.38,20.44,6.81655734425,83800.0,0.0,1.0
1999-11-16,20.38,20.75,20.25,20.56,6.856576271900001,26500.0,0.0,1.0
1999-11-17,20.38,20.44,20.19,20.38,6.7965478804199995,49000.0,0.0,1.0
1999-11-18,20.44,20.44,20.13,20.31,6.773203505950001,16000.0,0.0,1.0
1999-11-19,20.31,20.31,20.25,20.31,6.773203505950001,41700.0,0.0,1.0
1999-11-22,20.38,20.38,20.06,20.25,6.7531940421200005,37800.0,0.0,1.0
1999-11-23,20.31,20.38,19.88,20.0,6.6698212761699995,181500.0,0.0,1.0
1999-11-24,20.13,20.13,19.88,20.13,6.71317511447,272700.0,0.0,1.0
1999-11-26,20.13,20.13,20.06,20.13,6.71317511447,18200.0,0.0,1.0
1999-11-29,20.13,20.13,19.94,20.0,6.6698212761699995,85000.0,0.0,1.0
1999-11-30,20.0,20.13,19.88,20.0,6.6698212761699995,124100.0,0.0,1.0
1999-12-01,20.06,20.13,19.75,20.0,6.6698212761699995,110900.0,0.0,1.0
1999-12-02,20.0,20.0,19.63,20.0,6.6698212761699995,324100.0,0.0,1.0
1999-12-03,19.94,20.0,19.88,20.0,6.6698212761699995,103600.0,0.0,1.0
1999-12-06,20.13,20.13,19.75,19.81,6.60645797405,61500.0,0.0,1.0
1999-12-07,19.94,19.94,19.5,19.69,6.56643904639,155600.0,0.0,1.0
1999-12-08,19.75,19.75,19.38,19.38,6.46305681661,172200.0,0.0,1.0
1999-12-09,19.44,19.63,19.0,19.44,6.48306628044,962000.0,0.0,1.0
1999-12-10,19.5,19.5,19.19,19.19,6.39969351449,41600.0,0.0,1.0
1999-12-13,19.25,19.25,18.88,18.94,6.316320748530001,209000.0,0.0,1.0
1999-12-14,18.94,18.94,18.5,18.75,6.25295744641,695700.0,0.0,1.0
1999-12-15,18.63,18.63,18.25,18.38,6.24628762513,141900.0,0.35,1.0
1999-12-16,18.31,18.38,18.0,18.13,6.1613272385,80600.0,0.0,1.0
1999-12-17,18.25,19.31,18.25,19.12,6.4977703695599995,203400.0,0.0,1.0
1999-12-20,19.25,19.44,19.06,19.25,6.54194977061,325700.0,0.0,1.0
1999-12-21,19.31,19.31,19.0,19.19,6.52155927782,75000.0,0.0,1.0
1999-12-22,19.06,19.19,19.06,19.06,6.477379876769999,72100.0,0.0,1.0
1999-12-23,19.0,19.31,18.88,19.31,6.5623402634,111100.0,0.0,1.0
1999-12-27,19.38,19.38,19.0,19.13,6.50116878503,35100.0,0.0,1.0
1999-12-28,19.25,19.63,19.13,19.44,6.60651966445,275400.0,0.0,1.0
1999-12-29,19.63,19.75,19.56,19.75,6.71187054387,44800.0,0.0,1.0
1999-12-30,19.88,20.06,19.75,19.94,6.776440437710001,52600.0,0.0,1.0
1999-12-31,20.0,20.0,19.75,19.94,6.776440437710001,25900.0,0.0,1.0
2000-01-03,19.94,19.94,19.75,19.81,6.73226103667,36200.0,0.0,1.0
2000-01-04,19.94,19.94,19.0,19.5,6.62691015724,148500.0,0.0,1.0
2000-01-05,19.0,19.19,18.81,19.06,6.477379876769999,178700.0,0.0,1.0
2000-01-06,19.38,19.81,19.38,19.63,6.67108955829,452800.0,0.0,1.0
2000-01-07,19.75,20.0,19.75,20.0,6.79683093051,290700.0,0.0,1.0
2000-01-10,20.0,20.19,19.94,20.13,6.84101033155,158200.0,0.0,1.0
2000-01-11,20.13,20.31,20.0,20.19,6.86140082434,146000.0,0.0,1.0
2000-01-12,20.25,20.25,20.0,20.0,6.79683093051,120000.0,0.0,1.0
2000-01-13,20.0,20.19,19.94,19.94,6.776440437710001,85400.0,0.0,1.0
2000-01-14,20.0,20.0,19.75,19.75,6.71187054387,80500.0,0.0,1.0
2000-01-18,19.88,20.69,19.75,20.06,6.8172214233,548000.0,0.0,1.0
2000-01-19,20.13,20.31,20.06,20.19,6.86140082434,77100.0,0.0,1.0
2000-01-20,20.25,20.31,20.13,20.31,6.90218180993,271000.0,0.0,1.0
2000-01-21,20.38,20.5,20.31,20.44,6.94636121098,95000.0,0.0,1.0
2000-01-24,20.5,20.5,20.38,20.38,6.925970718180001,34600.0,0.0,1.0
2000-01-25,20.38,20.56,20.38,20.44,6.94636121098,100400.0,0.0,1.0
2000-01-26,20.5,20.56,20.44,20.5,6.96675170377,151100.0,0.0,1.0
2000-01-27,20.5,20.63,20.5,20.56,6.98714219656,59100.0,0.0,1.0
2000-01-28,20.63,20.63,20.44,20.5,6.96675170377,118700.0,0.0,1.0
2000-01-31,20.5,20.5,20.44,20.44,6.94636121098,94800.0,0.0,1.0
2000-02-01,20.5,20.63,20.44,20.56,6.98714219656,366600.0,0.0,1.0
2000-02-02,20.63,20.63,20.5,20.5,6.96675170377,238200.0,0.0,1.0
2000-02-03,20.56,20.63,20.5,20.56,6.98714219656,380400.0,0.0,1.0
2000-02-04,20.56,20.56,20.44,20.5,6.96675170377,101300.0,0.0,1.0
2000-02-07,20.38,20.63,20.38,20.56,6.98714219656,230300.0,0.0,1.0
2000-02-08,20.5,20.56,20.38,20.44,6.94636121098,88000.0,0.0,1.0
2000-02-09,20.38,20.69,20.25,20.44,6.94636121098,143500.0,0.0,1.0
2000-02-10,20.44,20.56,20.38,20.44,6.94636121098,93300.0,0.0,1.0
2000-02-11,20.5,20.69,20.06,20.06,6.8172214233,43200.0,0.0,1.0
2000-02-14,20.06,20.38,20.0,20.31,6.90218180993,153200.0,0.0,1.0
2000-02-15,20.56,20.63,20.38,20.63,7.01093110482,144800.0,0.0,1.0
2000-02-16,20.63,20.69,20.5,20.63,7.01093110482,117900.0,0.0,1.0
2000-02-17,20.5,20.56,20.44,20.56,6.98714219656,102100.0,0.0,1.0
2000-02-18,20.56,20.56,20.31,20.5,6.96675170377,79300.0,0.0,1.0
2000-02-22,20.25,20.56,20.25,20.56,6.98714219656,195500.0,0.0,1.0
2000-02-23,20.63,20.63,20.44,20.5,6.96675170377,103200.0,0.0,1.0
2000-02-24,20.5,20.5,20.19,20.44,6.94636121098,235900.0,0.0,1.0
2000-02-25,20.25,20.25,20.13,20.25,6.88179131714,43400.0,0.0,1.0
2000-02-28,20.13,20.25,20.0,20.13,6.84101033155,135400.0,0.0,1.0
2000-02-29,20.19,20.25,20.0,20.19,6.86140082434,172000.0,0.0,1.0
2000-03-01,20.25,20.25,20.06,20.19,6.86140082434,169500.0,0.0,1.0
2000-03-02,20.25,20.25,20.06,20.13,6.84101033155,73300.0,0.0,1.0
2000-03-03,20.19,20.19,20.06,20.06,6.8172214233,103400.0,0.0,1.0
2000-03-06,20.0,20.19,19.94,20.19,6.86140082434,106600.0,0.0,1.0
2000-03-07,20.06,20.19,20.06,20.19,6.86140082434,170700.0,0.0,1.0
2000-03-08,20.13,20.31,20.13,20.25,6.88179131714,263200.0,0.0,1.0
2000-03-09,20.38,20.38,20.06,20.19,6.86140082434,184000.0,0.0,1.0
2000-03-10,20.25,20.25,20.0,20.19,6.86140082434,201000.0,0.0,1.0
2000-03-13,20.13,20.25,20.06,20.19,6.86140082434,681900.0,0.0,1.0
2000-03-14,20.25,20.38,20.19,20.38,6.925970718180001,156800.0,0.0,1.0
2000-03-15,20.44,20.75,20.38,20.75,7.0517120904,372100.0,0.0,1.0
2000-03-16,20.75,20.94,20.75,20.94,7.116281984239999,337100.0,0.0,1.0
2000-03-17,20.94,21.06,20.88,20.94,7.116281984239999,333000.0,0.0,1.0
2000-03-20,21.0,21.13,20.94,21.0,7.13667247703,73400.0,0.0,1.0
2000-03-21,20.88,21.06,20.88,21.0,7.13667247703,119400.0,0.0,1.0
2000-03-22,21.06,21.38,21.0,21.38,7.265812264710001,215100.0,0.0,1.0
2000-03-23,21.31,21.5,21.31,21.5,7.306593250289999,512700.0,0.0,1.0
2000-03-24,21.5,21.5,21.31,21.38,7.265812264710001,58700.0,0.0,1.0
2000-03-27,21.38,21.44,21.19,21.31,7.24202335645,66100.0,0.0,1.0
2000-03-28,21.31,21.44,21.0,21.13,7.180851878080001,30100.0,0.0,1.0
2000-03-29,21.13,21.25,21.0,21.19,7.20124237087,42800.0,0.0,1.0
2000-03-30,21.25,21.25,21.13,21.19,7.20124237087,50400.0,0.0,1.0
2000-03-31,21.06,21.5,21.0,21.5,7.306593250289999,232900.0,0.0,1.0
2000-04-03,21.13,21.25,21.0,21.25,7.34737423588,135700.0,0.37,1.0
2000-04-04,21.44,21.44,21.25,21.44,7.413068405510002,188500.0,0.0,1.0
2000-04-05,21.38,21.5,21.38,21.38,7.392322878260001,145000.0,0.0,1.0
2000-04-06,21.38,21.44,21.19,21.31,7.368119763130001,148500.0,0.0,1.0
2000-04-07,21.31,21.38,21.25,21.31,7.368119763130001,214300.0,0.0,1.0
2000-04-10,21.31,21.38,21.25,21.38,7.392322878260001,270000.0,0.0,1.0
2000-04-11,21.38,21.63,21.19,21.5,7.43381393277,370300.0,0.0,1.0
2000-04-12,21.5,21.75,21.38,21.63,7.47876257515,192300.0,0.0,1.0
2000-04-13,21.69,21.75,21.5,21.75,7.520253629660001,357300.0,0.0,1.0
2000-04-14,21.56,21.63,21.31,21.63,7.47876257515,123100.0,0.0,1.0
2000-04-17,21.56,21.63,21.5,21.56,7.45455946002,139000.0,0.0,1.0
2000-04-18,21.63,21.75,21.56,21.75,7.520253629660001,238500.0,0.0,1.0
2000-04-19,21.75,22.0,21.75,22.0,7.606693326549999,253500.0,0.0,1.0
2000-04-20,21.75,21.94,21.75,21.88,7.5652022720500005,177400.0,0.0,1.0
2000-04-24,21.94,22.0,21.81,22.0,7.606693326549999,123200.0,0.0,1.0
2000-04-25,21.94,22.0,21.88,22.0,7.606693326549999,116300.0,0.0,1.0
2000-04-26,22.0,22.06,21.94,22.06,7.62743885381,270900.0,0.0,1.0
2000-04-27,22.06,22.13,21.63,22.0,7.606693326549999,172400.0,0.0,1.0
2000-04-28,22.0,22.13,21.94,22.06,7.62743885381,230300.0,0.0,1.0
2000-05-01,22.06,22.63,22.06,22.56,7.800318247589999,300700.0,0.0,1.0
2000-05-02,22.63,23.13,22.56,22.88,7.91096105962,659500.0,0.0,1.0
2000-05-03,22.88,23.0,22.81,22.88,7.91096105962,162600.0,0.0,1.0
2000-05-04,22.88,23.06,22.75,22.81,7.8867579444899985,407500.0,0.0,1.0
2000-05-05,23.0,23.06,22.81,22.88,7.91096105962,79400.0,0.0,1.0
2000-05-08,22.88,22.88,22.69,22.75,7.86601241723,39300.0,0.0,1.0
2000-05-09,22.75,23.0,22.75,23.0,7.95245211412,337300.0,0.0,1.0
2000-05-10,23.0,23.0,22.81,22.81,7.8867579444899985,153200.0,0.0,1.0
2000-05-11,22.94,22.94,22.69,22.75,7.86601241723,199700.0,0.0,1.0
2000-05-12,22.75,22.94,22.5,22.88,7.91096105962,209600.0,0.0,1.0
2000-05-15,22.94,23.0,22.81,22.94,7.931706586869999,220800.0,0.0,1.0
2000-05-16,22.94,23.0,22.88,22.94,7.931706586869999,60900.0,0.0,1.0
2000-05-17,22.88,22.88,22.63,22.69,7.84526688998,62000.0,0.0,1.0
2000-05-18,22.63,22.69,22.5,22.5,7.779572720339999,58400.0,0.0,1.0
2000-05-19,22.5,22.5,22.0,22.25,7.693133023450001,485500.0,0.0,1.0
2000-05-22,22.31,22.44,22.0,22.25,7.693133023450001,271400.0,0.0,1.0
2000-05-23,22.25,22.56,22.0,22.5,7.779572720339999,308700.0,0.0,1.0
2000-05-24,22.38,22.56,22.38,22.44,7.758827193089999,245400.0,0.0,1.0
2000-05-25,22.31,22.5,22.19,22.44,7.758827193089999,39100.0,0.0,1.0
2000-05-26,22.5,22.56,22.44,22.56,7.800318247589999,16300.0,0.0,1.0
2000-05-30,22.56,22.56,22.44,22.5,7.779572720339999,46300.0,0.0,1.0
2000-05-31,22.5,22.56,22.5,22.5,7.779572720339999,43800.0,0.0,1.0
2000-06-01,22.56,22.56,22.38,22.44,7.758827193089999,83400.0,0.0,1.0
2000-06-02,22.44,22.5,22.38,22.44,7.758827193089999,78200.0,0.0,1.0
2000-06-05,22.56,22.56,22.38,22.44,7.758827193089999,81100.0,0.0,1.0
2000-06-06,22.44,22.56,22.44,22.56,7.800318247589999,142600.0,0.0,1.0
2000-06-07,22.63,22.88,22.63,22.69,7.84526688998,127600.0,0.0,1.0
2000-06-08,22.75,22.88,22.75,22.88,7.91096105962,124100.0,0.0,1.0
2000-06-09,22.81,22.88,22.81,22.81,7.8867579444899985,107900.0,0.0,1.0
2000-06-12,22.88,22.94,22.75,22.88,7.91096105962,159700.0,0.0,1.0
2000-06-13,22.94,23.0,22.88,23.0,7.95245211412,309000.0,0.0,1.0
2000-06-14,23.0,23.25,22.94,23.19,8.01814628376,623700.0,0.0,1.0
2000-06-15,23.06,23.25,23.06,23.19,8.01814628376,151200.0,0.0,1.0
2000-06-16,23.25,23.38,23.0,23.06,7.9731976413800005,345300.0,0.0,1.0
2000-06-19,23.13,23.31,23.06,23.13,7.99740075651,43900.0,0.0,1.0
2000-06-20,23.25,23.38,23.19,23.38,8.0838404534,72200.0,0.0,1.0
2000-06-21,23.25,23.38,23.25,23.38,8.0838404534,43600.0,0.0,1.0
2000-06-22,23.38,23.5,23.19,23.5,8.12533150791,74300.0,0.0,1.0
2000-06-23,23.5,23.5,23.19,23.38,8.0838404534,99900.0,0.0,1.0
2000-06-26,23.44,23.5,23.31,23.31,8.05963733827,351500.0,0.0,1.0
2000-06-27,23.31,23.38,23.25,23.31,8.05963733827,118500.0,0.0,1.0
2000-06-28,23.38,23.44,23.25,23.38,8.0838404534,56100.0,0.0,1.0
2000-06-29,23.44,23.63,23.38,23.63,8.170280150289999,243600.0,0.0,1.0
2000-06-30,23.25,23.25,22.81,22.83,8.02160387164,307100.0,0.37,1.0
2000-07-03,22.69,23.06,22.69,23.0,8.08133548172,27800.0,0.0,1.0
2000-07-05,23.25,23.38,23.0,23.31,8.19025782952,196900.0,0.0,1.0
2000-07-06,23.38,23.88,23.31,23.81,8.365939035639999,241300.0,0.0,1.0
2000-07-07,23.81,23.94,23.75,23.94,8.41161614923,332200.0,0.0,1.0
2000-07-10,23.94,24.0,23.88,24.0,8.43269789397,59600.0,0.0,1.0
2000-07-11,24.0,24.0,23.75,23.94,8.41161614923,183800.0,0.0,1.0
2000-07-12,24.0,24.0,23.75,23.81,8.365939035639999,342300.0,0.0,1.0
2000-07-13,23.94,23.94,23.81,23.88,8.3905344045,108400.0,0.0,1.0
2000-07-14,23.81,23.88,23.5,23.69,8.32377554617,110100.0,0.0,1.0
2000-07-17,23.63,23.75,23.5,23.75,8.344857290910001,80600.0,0.0,1.0
2000-07-18,23.81,23.81,23.63,23.75,8.344857290910001,55800.0,0.0,1.0
2000-07-19,23.75,23.75,23.5,23.5,8.25701668785,99700.0,0.0,1.0
2000-07-20,23.5,23.56,23.44,23.5,8.25701668785,152900.0,0.0,1.0
2000-07-21,23.5,23.63,23.0,23.56,8.27809843258,654200.0,0.0,1.0
2000-07-24,23.69,23.75,23.63,23.75,8.344857290910001,191100.0,0.0,1.0
2000-07-25,23.75,23.75,23.69,23.69,8.32377554617,123000.0,0.0,1.0
2000-07-26,23.63,23.75,23.5,23.75,8.344857290910001,220300.0,0.0,1.0
2000-07-27,23.75,24.0,23.75,24.0,8.43269789397,410800.0,0.0,1.0
2000-07-28,24.0,24.0,23.75,23.88,8.3905344045,791800.0,0.0,1.0
2000-07-31,23.88,24.0,23.81,23.88,8.3905344045,225600.0,0.0,1.0
2000-08-01,23.94,24.0,23.88,24.0,8.43269789397,320800.0,0.0,1.0
2000-08-02,24.0,24.19,23.94,24.0,8.43269789397,361100.0,0.0,1.0
