Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,37.38,37.38,36.0,36.5,8.4684467291,513200.0,0.0,1.0
1999-11-02,36.5,37.75,36.5,37.44,8.68653823391,394600.0,0.0,1.0
1999-11-03,37.69,38.0,37.25,37.5,8.70045896825,175000.0,0.0,1.0
1999-11-04,37.5,38.38,37.5,37.88,8.78862361913,194000.0,0.0,1.0
1999-11-05,37.88,38.38,37.62,38.0,8.81646508783,279000.0,0.0,1.0
1999-11-08,37.75,37.94,37.5,37.75,8.758462028039999,168600.0,0.0,1.0
1999-11-09,37.81,38.56,37.81,38.31,8.88838888197,522600.0,0.0,1.0
1999-11-10,38.19,38.19,37.56,37.88,8.78862361913,190600.0,0.0,1.0
1999-11-11,37.81,38.25,37.62,38.06,8.83038582218,177200.0,0.0,1.0
1999-11-12,37.25,39.25,36.94,38.06,8.83038582218,295000.0,0.0,1.0
1999-11-15,37.94,38.5,37.31,38.25,8.87446814762,219600.0,0.0,1.0
1999-11-16,38.12,39.62,38.12,39.31,9.12040112112,252400.0,0.0,1.0
1999-11-17,38.62,39.25,38.5,39.0,9.04847732698,132400.0,0.0,1.0
1999-11-18,39.0,39.0,37.88,38.69,8.97655353285,199000.0,0.0,1.0
1999-11-19,38.5,38.5,36.69,37.0,8.58445284868,296400.0,0.0,1.0
1999-11-22,37.0,38.38,37.0,37.88,8.78862361913,498200.0,0.0,1.0
1999-11-23,37.88,37.94,36.75,37.0,8.58445284868,336600.0,0.0,1.0
1999-11-24,36.81,36.88,35.25,36.69,8.51252905454,238400.0,0.0,1.0
1999-11-26,36.56,37.06,36.56,37.06,8.59837358303,68400.0,0.0,1.0
1999-11-29,37.25,37.25,35.88,35.88,8.324599140830001,131200.0,0.0,1.0
1999-11-30,36.38,37.44,36.31,37.12,8.61229431738,247200.0,0.0,1.0
1999-12-01,37.25,37.44,36.81,37.25,8.64245590847,213800.0,0.0,1.0
1999-12-02,37.12,37.88,36.75,37.88,8.78862361913,171000.0,0.0,1.0
1999-12-03,37.75,37.81,36.56,36.81,8.540370523239998,470200.0,0.0,1.0
1999-12-06,37.0,37.06,36.12,36.19,8.39652293496,132200.0,0.0,1.0
1999-12-07,36.62,37.0,35.12,35.69,8.28051681539,178200.0,0.0,1.0
1999-12-08,35.69,36.12,35.31,35.94,8.33851987518,385000.0,0.0,1.0
1999-12-09,36.19,36.44,35.62,36.0,8.35244060952,196400.0,0.0,1.0
1999-12-10,35.75,35.75,35.0,35.5,8.23643448995,194000.0,0.0,1.0
1999-12-13,35.25,35.56,34.62,34.94,8.10650763602,404200.0,0.0,1.0
1999-12-14,34.94,35.25,34.38,34.38,7.9765807821,396200.0,0.0,1.0
1999-12-15,34.62,35.38,34.38,34.38,7.9765807821,1479000.0,0.0,1.0
1999-12-16,34.62,36.0,34.38,35.81,8.30835828409,389600.0,0.0,1.0
1999-12-17,36.0,36.0,34.0,34.0,7.88841613122,353400.0,0.0,1.0
1999-12-20,34.25,34.5,32.62,32.94,7.64248315771,770800.0,0.0,1.0
1999-12-21,33.12,33.75,31.75,32.44,7.526477038139999,870800.0,0.0,1.0
1999-12-22,32.69,33.75,32.56,32.88,7.62856242337,581800.0,0.0,1.0
1999-12-23,33.0,36.25,33.0,34.69,8.04850457623,519600.0,0.0,1.0
1999-12-27,34.94,35.19,33.44,33.69,7.816492337080001,217800.0,0.0,1.0
1999-12-28,33.25,36.25,33.25,35.56,8.2503552243,423800.0,0.0,1.0
1999-12-29,35.56,37.0,35.06,37.0,8.58445284868,359400.0,0.0,1.0
1999-12-30,36.75,37.81,36.75,37.0,8.58445284868,381800.0,0.0,1.0
1999-12-31,36.75,38.62,36.75,38.5,8.93247120741,242600.0,0.0,1.0
2000-01-03,38.5,38.5,34.75,36.19,8.39652293496,367000.0,0.0,1.0
2000-01-04,36.38,36.38,34.88,35.62,8.26427595865,175200.0,0.0,1.0
2000-01-05,35.62,36.5,35.12,36.19,8.39652293496,213800.0,0.0,1.0
2000-01-06,35.94,36.12,35.31,36.0,8.35244060952,511800.0,0.0,1.0
2000-01-07,36.25,37.75,35.94,37.44,8.68653823391,339800.0,0.0,1.0
2000-01-10,38.12,38.12,36.25,36.38,8.4406052604,297400.0,0.0,1.0
2000-01-11,36.56,36.75,35.94,36.0,8.35244060952,238600.0,0.0,1.0
2000-01-12,36.19,36.88,35.69,36.0,8.35244060952,187400.0,0.0,1.0
2000-01-13,36.0,36.19,35.56,35.88,8.324599140830001,272600.0,0.0,1.0
2000-01-14,36.0,36.19,35.0,35.44,8.2225137556,330600.0,0.0,1.0
2000-01-18,35.31,35.5,34.62,34.88,8.09258690167,247000.0,0.0,1.0
2000-01-19,34.94,35.25,34.69,34.88,8.09258690167,162400.0,0.0,1.0
2000-01-20,34.88,35.25,33.94,34.25,7.94641919101,189800.0,0.0,1.0
2000-01-21,34.75,34.88,34.06,34.56,8.018342985139999,183200.0,0.0,1.0
2000-01-24,34.31,34.5,32.56,33.0,7.656403892060001,476800.0,0.0,1.0
2000-01-25,33.5,33.5,31.25,31.94,7.410470918560001,716800.0,0.0,1.0
2000-01-26,32.12,32.5,31.56,31.81,7.3988703065999974,289400.0,0.08,1.0
2000-01-27,32.06,33.62,31.88,32.88,7.64774774225,661400.0,0.0,1.0
2000-01-28,32.88,33.12,32.12,32.75,7.6175102968,260000.0,0.0,1.0
2000-01-31,33.0,34.25,32.25,33.5,7.791957097489999,657200.0,0.0,1.0
2000-02-01,33.75,34.25,33.25,33.69,7.836150287000001,342600.0,0.0,1.0
2000-02-02,34.25,35.5,34.25,34.31,7.98035964224,732200.0,0.0,1.0
2000-02-03,34.12,34.88,33.81,34.44,8.01059708769,589200.0,0.0,1.0
2000-02-04,34.38,34.88,34.38,34.56,8.0385085758,271200.0,0.0,1.0
2000-02-07,35.12,37.38,34.75,36.69,8.533937489760001,774800.0,0.0,1.0
2000-02-08,36.94,38.0,35.62,36.0,8.37344643313,526800.0,0.0,1.0
2000-02-09,36.0,36.38,35.25,36.06,8.38740217718,396000.0,0.0,1.0
2000-02-10,35.94,36.0,35.31,35.88,8.345534945019999,414800.0,0.0,1.0
2000-02-11,36.25,36.25,34.38,34.38,7.996641343639999,154200.0,0.0,1.0
2000-02-14,34.75,35.94,34.62,35.88,8.345534945019999,376400.0,0.0,1.0
2000-02-15,35.62,36.25,34.94,35.62,8.28506005411,595000.0,0.0,1.0
2000-02-16,35.69,36.69,35.69,36.12,8.401357921239999,388400.0,0.0,1.0
2000-02-17,36.25,36.44,35.5,35.5,8.257148566,239600.0,0.0,1.0
2000-02-18,35.38,36.25,35.31,35.94,8.35949068907,278600.0,0.0,1.0
2000-02-22,37.44,37.62,36.31,36.62,8.51765578836,390600.0,0.0,1.0
2000-02-23,36.5,36.75,35.75,36.75,8.54789323382,260200.0,0.0,1.0
2000-02-24,36.56,36.56,34.06,34.62,8.05246431986,433600.0,0.0,1.0
2000-02-25,34.62,34.94,33.88,34.44,8.01059708769,258800.0,0.0,1.0
2000-02-28,34.31,34.44,33.75,34.19,7.95244815413,289400.0,0.0,1.0
2000-02-29,34.75,35.75,34.06,34.38,7.996641343639999,503400.0,0.0,1.0
2000-03-01,34.69,35.88,34.62,35.75,8.315297499560003,353600.0,0.0,1.0
2000-03-02,35.75,35.75,34.94,35.12,8.16876218698,331000.0,0.0,1.0
2000-03-03,35.19,36.56,35.06,36.25,8.431595366689999,212600.0,0.0,1.0
2000-03-06,36.0,36.06,35.0,36.06,8.38740217718,356400.0,0.0,1.0
2000-03-07,36.0,37.0,35.75,37.0,8.60604216738,222000.0,0.0,1.0
2000-03-08,36.5,36.5,35.75,36.25,8.431595366689999,319600.0,0.0,1.0
2000-03-09,36.0,37.75,35.5,37.12,8.633953655489996,311000.0,0.0,1.0
2000-03-10,37.62,37.81,36.62,37.19,8.650235356889999,193200.0,0.0,1.0
2000-03-13,37.38,37.38,35.75,36.0,8.37344643313,329400.0,0.0,1.0
2000-03-14,36.06,36.75,34.5,35.0,8.14085069887,427800.0,0.0,1.0
2000-03-15,34.75,36.5,34.62,36.5,8.489744300249999,502200.0,0.0,1.0
2000-03-16,37.25,39.88,37.12,39.44,9.17357575896,674200.0,0.0,1.0
2000-03-17,38.0,39.0,37.88,37.94,8.82468215758,307400.0,0.0,1.0
2000-03-20,37.38,37.81,37.0,37.12,8.633953655489996,300800.0,0.0,1.0
2000-03-21,37.19,37.69,36.75,36.88,8.57813067927,401600.0,0.0,1.0
2000-03-22,37.0,38.0,36.94,37.5,8.722340034510001,323800.0,0.0,1.0
2000-03-23,37.0,37.5,36.62,37.31,8.678146845,198200.0,0.0,1.0
2000-03-24,36.81,37.38,36.62,37.31,8.678146845,617000.0,0.0,1.0
2000-03-27,37.5,37.5,35.69,36.75,8.54789323382,205600.0,0.0,1.0
2000-03-28,36.5,36.56,35.62,35.62,8.28506005411,379000.0,0.0,1.0
2000-03-29,35.69,36.31,35.0,35.31,8.21295537649,338800.0,0.0,1.0
2000-03-30,35.19,36.88,35.19,36.81,8.56184897787,847000.0,0.0,1.0
2000-03-31,37.0,37.69,36.81,37.06,8.61999791143,500400.0,0.0,1.0
2000-04-03,36.81,39.5,36.56,39.5,9.187531503010002,585600.0,0.0,1.0
2000-04-04,39.5,40.94,38.5,39.31,9.143338313500001,790400.0,0.0,1.0
2000-04-05,39.38,40.0,38.25,38.25,8.8967868352,268600.0,0.0,1.0
2000-04-06,38.5,38.88,37.56,37.75,8.78048896807,569800.0,0.0,1.0
2000-04-07,37.56,39.25,37.25,38.56,8.96889151281,546200.0,0.0,1.0
2000-04-10,38.69,39.38,38.5,38.69,8.999128958270001,277800.0,0.0,1.0
2000-04-11,39.19,40.38,38.75,39.69,9.23172469252,386600.0,0.0,1.0
2000-04-12,39.69,40.0,38.5,38.81,9.027040446380001,212400.0,0.0,1.0
2000-04-13,39.12,40.0,38.12,38.38,8.92702428065,250200.0,0.0,1.0
2000-04-14,38.25,38.5,35.5,35.94,8.35949068907,296400.0,0.0,1.0
2000-04-17,36.19,38.0,35.94,37.88,8.81072641352,386400.0,0.0,1.0
2000-04-18,37.88,39.69,37.38,38.62,8.982847256869999,534200.0,0.0,1.0
2000-04-19,38.44,38.94,37.44,38.0,8.83863790163,276600.0,0.0,1.0
2000-04-20,38.19,38.19,37.12,38.06,8.852593645689998,402400.0,0.0,1.0
2000-04-24,38.12,38.5,37.25,37.31,8.678146845,423600.0,0.0,1.0
2000-04-25,37.88,38.62,37.56,38.38,8.92702428065,450200.0,0.0,1.0
2000-04-26,38.25,39.5,37.88,37.88,8.82933407226,279600.0,0.08,1.0
2000-04-27,37.75,39.0,37.25,38.06,8.87128972519,261800.0,0.0,1.0
2000-04-28,37.94,38.69,37.94,38.25,8.91557624773,173800.0,0.0,1.0
2000-05-01,38.88,40.12,38.5,39.12,9.11836190356,729600.0,0.0,1.0
2000-05-02,39.12,40.88,38.75,40.25,9.38175016918,358000.0,0.0,1.0
2000-05-03,39.88,40.69,39.12,39.25,9.14866320846,315600.0,0.0,1.0
2000-05-04,39.5,39.75,39.25,39.75,9.26520668882,570200.0,0.0,1.0
2000-05-05,39.75,40.19,39.56,39.88,9.29550799371,218600.0,0.0,1.0
2000-05-08,40.0,40.25,39.56,40.12,9.351448864289999,313200.0,0.0,1.0
