Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,26.94,27.19,26.81,27.06,5.11779226184,168000.0,0.0,1.0
1999-11-02,27.06,27.56,26.75,27.0,5.106444607159999,283600.0,0.0,1.0
1999-11-03,27.0,27.06,26.38,26.88,5.083749297790001,287400.0,0.0,1.0
1999-11-04,26.81,26.81,26.25,26.63,5.0364674032800005,374600.0,0.0,1.0
1999-11-05,26.81,27.06,26.44,26.63,5.0364674032800005,114400.0,0.0,1.0
1999-11-08,26.63,26.63,26.31,26.44,5.00053316345,373100.0,0.0,1.0
1999-11-09,26.19,26.19,25.69,25.75,4.8700351346,171800.0,0.0,1.0
1999-11-10,25.63,26.0,25.5,25.56,4.83410089477,240200.0,0.0,1.0
1999-11-11,25.56,25.88,25.5,25.5,4.82275324009,284000.0,0.0,1.0
1999-11-12,25.75,25.88,25.5,25.56,4.83410089477,231300.0,0.0,1.0
1999-11-15,25.5,25.63,25.5,25.56,4.83410089477,134600.0,0.0,1.0
1999-11-16,25.56,25.69,25.25,25.56,4.83410089477,456700.0,0.0,1.0
1999-11-17,25.44,25.56,25.38,25.5,4.82275324009,147600.0,0.0,1.0
1999-11-18,25.38,25.56,24.75,25.06,4.73953710575,283400.0,0.0,1.0
1999-11-19,24.81,24.81,24.44,24.5,4.63362566205,594300.0,0.0,1.0
1999-11-22,24.5,24.63,24.19,24.19,4.57499611286,221000.0,0.0,1.0
1999-11-23,24.31,24.44,23.63,23.81,4.5031276332,237400.0,0.0,1.0
1999-11-24,23.75,24.0,23.56,23.81,4.5031276332,196800.0,0.0,1.0
1999-11-26,23.81,23.81,23.56,23.56,4.45584573869,48800.0,0.0,1.0
1999-11-29,23.13,23.13,22.13,22.38,4.2326751966000025,1821300.0,0.0,1.0
1999-11-30,22.69,23.19,22.44,23.06,4.3612819496699995,470500.0,0.0,1.0
1999-12-01,22.88,23.0,22.63,22.81,4.3140000551599975,260100.0,0.0,1.0
1999-12-02,22.88,23.19,22.81,22.94,4.3385866403,326600.0,0.0,1.0
1999-12-03,22.94,23.44,22.88,22.94,4.3385866403,270400.0,0.0,1.0
1999-12-06,22.75,23.06,22.44,22.63,4.27995709111,167400.0,0.0,1.0
1999-12-07,22.38,22.88,22.13,22.44,4.2440228512800005,278200.0,0.0,1.0
1999-12-08,22.19,22.25,21.5,21.5,4.1135248224300005,949700.0,0.25,1.0
1999-12-09,21.81,21.88,20.88,21.13,4.04273393014,467600.0,0.0,1.0
1999-12-10,21.13,21.56,20.94,20.94,4.0063818503099995,165400.0,0.0,1.0
1999-12-13,20.94,21.0,20.38,20.38,3.8992388781900003,391000.0,0.0,1.0
1999-12-14,20.44,20.94,20.44,20.69,3.9585501663300002,443300.0,0.0,1.0
1999-12-15,20.69,21.38,20.63,21.25,4.06569313845,919000.0,0.0,1.0
1999-12-16,21.19,21.94,21.13,21.44,4.10204521828,1317100.0,0.0,1.0
1999-12-17,21.5,22.25,21.25,22.19,4.245540270219999,1371300.0,0.0,1.0
1999-12-20,22.06,22.5,22.0,22.0,4.2091881904,520500.0,0.0,1.0
1999-12-21,22.0,23.06,21.94,22.13,4.2340606660699995,568400.0,0.0,1.0
1999-12-22,22.19,22.63,22.0,22.0,4.2091881904,535600.0,0.0,1.0
1999-12-23,22.0,22.75,22.0,22.5,4.3048515583599976,178700.0,0.0,1.0
1999-12-27,22.75,23.06,22.63,22.94,4.38903532217,331500.0,0.0,1.0
1999-12-28,22.88,23.06,22.5,22.81,4.3641628465,334800.0,0.0,1.0
1999-12-29,22.63,22.63,22.31,22.56,4.31633116251,198700.0,0.0,1.0
1999-12-30,22.5,23.13,22.5,23.0,4.40051492632,192000.0,0.0,1.0
1999-12-31,22.88,22.94,22.75,22.88,4.37755571801,78800.0,0.0,1.0
2000-01-03,22.94,22.94,22.19,22.19,4.245540270219999,774300.0,0.0,1.0
2000-01-04,22.31,23.25,22.31,22.75,4.35268324234,456400.0,0.0,1.0
2000-01-05,22.75,23.69,22.69,23.44,4.48469869013,425200.0,0.0,1.0
2000-01-06,23.38,23.5,22.75,22.94,4.38903532217,328200.0,0.0,1.0
