Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2001-12-13,29.1,30.0,29.0,29.3,17.8374945815,49466000.0,0.0,1.0
2001-12-14,29.9,30.1,29.52,29.68,18.068834101700002,9676300.0,0.0,1.0
2001-12-17,29.95,29.95,29.4,29.45,17.9288128132,5110900.0,0.0,1.0
2001-12-18,29.5,29.95,29.39,29.95,18.2332069187,5167700.0,0.0,1.0
2001-12-19,29.85,30.19,29.62,30.15,18.354964560899997,3693200.0,0.0,1.0
2001-12-20,30.25,30.98,30.12,30.17,18.3671403251,3914200.0,0.0,1.0
2001-12-21,30.4,30.99,30.25,30.99,18.8663466581,3429100.0,0.0,1.0
2001-12-24,30.75,31.49,30.75,31.45,19.1463892351,976900.0,0.0,1.0
2001-12-26,31.5,32.74,31.5,32.2,19.6029803934,2456300.0,0.0,1.0
2001-12-27,32.2,32.97,31.52,32.85,19.9986927305,4447500.0,0.0,1.0
2001-12-28,32.86,33.1,32.58,32.94,20.0534836695,4174800.0,0.0,1.0
2001-12-31,33.11,33.74,32.72,33.19,20.2056807222,5532800.0,0.0,1.0
2002-01-02,32.61,32.8,31.12,31.3,19.0550710035,5168900.0,0.0,1.0
2002-01-03,32.75,32.75,30.82,31.25,19.0246315929,2906500.0,0.0,1.0
2002-01-04,32.0,32.0,31.1,31.95,19.4507833406,3086000.0,0.0,1.0
2002-01-07,31.75,32.05,31.37,31.95,19.4507833406,2449300.0,0.0,1.0
2002-01-08,31.25,31.85,31.25,31.78,19.3472893448,1766500.0,0.0,1.0
2002-01-09,31.95,31.95,31.25,31.3,19.0550710035,1639100.0,0.0,1.0
2002-01-10,31.12,31.68,31.01,31.01,18.8785224223,1689400.0,0.0,1.0
2002-01-11,31.01,31.15,30.75,30.9,18.8115557191,1966200.0,0.0,1.0
2002-01-14,30.75,30.75,29.53,30.05,18.2940857398,3160000.0,0.0,1.0
2002-01-15,30.4,31.12,29.92,30.78,18.7385011338,1962400.0,0.0,1.0
2002-01-16,30.58,31.15,30.45,30.68,18.6776223127,1881100.0,0.0,1.0
2002-01-17,30.88,31.0,30.3,30.52,18.5802161989,1739800.0,0.0,1.0
2002-01-18,30.4,30.45,29.75,30.25,18.415843382000002,1531400.0,0.0,1.0
2002-01-22,30.49,31.25,30.4,31.25,19.0246315929,2322700.0,0.0,1.0
2002-01-23,31.7,31.7,30.52,30.52,18.5802161989,2460800.0,0.0,1.0
2002-01-24,30.6,30.67,30.0,30.25,18.415843382000002,3064100.0,0.0,1.0
2002-01-25,30.0,30.5,29.9,30.43,18.5254252599,2373600.0,0.0,1.0
2002-01-28,31.04,31.04,30.55,30.93,18.8298193654,2450800.0,0.0,1.0
2002-01-29,30.0,30.89,30.0,30.39,18.5010737315,2512800.0,0.0,1.0
2002-01-30,30.5,30.57,29.8,30.15,18.354964560899997,3533700.0,0.0,1.0
2002-01-31,30.48,31.18,30.33,31.05,18.9028739508,3986900.0,0.0,1.0
2002-02-01,30.95,30.95,30.4,30.6,18.6289192558,3200100.0,0.0,1.0
2002-02-04,30.6,30.98,30.5,30.88,18.7993799549,3193400.0,0.0,1.0
2002-02-05,30.85,31.6,30.76,31.05,18.9028739508,2397200.0,0.0,1.0
2002-02-06,31.2,31.2,30.89,31.15,18.9637527718,2107700.0,0.0,1.0
2002-02-07,30.95,31.05,30.52,30.62,18.64109502,1801500.0,0.0,1.0
2002-02-08,30.57,31.03,30.55,31.03,18.8906981865,1399300.0,0.0,1.0
2002-02-11,30.7,31.89,30.67,31.76,19.3351135805,1904300.0,0.0,1.0
2002-02-12,31.41,31.85,31.25,31.5,19.1768286457,2038700.0,0.0,1.0
