Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,24.31,24.44,24.13,24.38,11.2338479887,359000.0,0.0,1.0
1999-11-02,24.31,25.13,24.31,25.0,11.519532392,211200.0,0.0,1.0
1999-11-03,25.0,25.69,25.0,25.69,11.837471485999998,180100.0,0.0,1.0
1999-11-04,25.75,26.0,25.63,25.63,11.8098246083,244700.0,0.0,1.0
1999-11-05,25.63,25.81,25.06,25.19,11.6070808382,101600.0,0.0,1.0
1999-11-08,24.88,25.06,24.63,24.69,11.3766901903,505200.0,0.0,1.0
1999-11-09,24.75,24.75,24.38,24.38,11.2338479887,130100.0,0.0,1.0
1999-11-10,23.69,24.19,23.69,23.88,11.003457340799999,417700.0,0.0,1.0
1999-11-11,23.81,23.81,23.63,23.63,10.8882620169,747200.0,0.0,1.0
1999-11-12,23.63,23.69,23.13,23.31,10.7408120023,87100.0,0.0,1.0
1999-11-15,23.19,23.25,22.94,23.19,10.6855182468,266700.0,0.0,1.0
1999-11-16,23.19,23.88,23.19,23.75,10.9435557724,240300.0,0.0,1.0
1999-11-17,23.63,23.69,23.31,23.5,10.8283604485,107700.0,0.0,1.0
1999-11-18,23.56,23.56,23.19,23.38,10.773066692999999,201500.0,0.0,1.0
1999-11-19,23.0,24.13,23.0,24.13,11.1186526648,271500.0,0.0,1.0
1999-11-22,23.88,23.88,23.25,23.38,10.773066692999999,125600.0,0.0,1.0
1999-11-23,23.31,23.38,23.13,23.31,10.7408120023,310500.0,0.0,1.0
1999-11-24,23.19,23.25,23.06,23.13,10.6578713691,104000.0,0.0,1.0
1999-11-26,23.06,23.19,23.06,23.13,10.6578713691,30700.0,0.0,1.0
1999-11-29,23.0,23.13,22.75,22.75,10.4827744767,225100.0,0.0,1.0
1999-11-30,22.56,22.94,22.5,22.81,10.5104213545,467600.0,0.0,1.0
1999-12-01,22.81,23.13,22.81,23.06,10.6256166784,235300.0,0.0,1.0
1999-12-02,22.94,23.06,22.75,22.75,10.4827744767,330700.0,0.0,1.0
1999-12-03,22.88,22.94,22.69,22.81,10.5104213545,152000.0,0.0,1.0
1999-12-06,22.56,22.75,22.5,22.5,10.3675791528,197500.0,0.0,1.0
1999-12-07,22.38,22.75,22.38,22.69,10.455127598999999,224500.0,0.0,1.0
1999-12-08,22.56,22.63,22.44,22.44,10.3399322751,251200.0,0.0,1.0
1999-12-09,22.56,22.56,22.31,22.38,10.3122853973,247400.0,0.0,1.0
1999-12-10,22.19,22.31,22.0,22.0,10.137188505,543800.0,0.0,1.0
1999-12-13,21.63,21.75,21.25,21.31,9.92062129599,620000.0,0.22,1.0
1999-12-14,21.38,21.44,21.19,21.19,9.864756699289998,177600.0,0.0,1.0
1999-12-15,21.19,21.19,20.94,21.13,9.83682440095,328200.0,0.0,1.0
1999-12-16,21.0,21.38,20.81,21.25,9.892688997639999,280800.0,0.0,1.0
1999-12-17,21.25,23.0,21.12,22.69,10.5630641579,348700.0,0.0,1.0
1999-12-20,22.56,22.94,22.5,22.75,10.5909964563,256800.0,0.0,1.0
1999-12-21,22.63,22.94,22.5,22.88,10.651516436,300900.0,0.0,1.0
1999-12-22,22.75,22.94,22.5,22.5,10.4746118799,386000.0,0.0,1.0
1999-12-23,22.5,22.56,22.5,22.5,10.4746118799,322000.0,0.0,1.0
1999-12-27,22.38,22.56,22.38,22.5,10.4746118799,133100.0,0.0,1.0
1999-12-28,22.44,22.75,22.38,22.63,10.5351318596,324200.0,0.0,1.0
1999-12-29,22.69,23.06,22.5,22.75,10.5909964563,118100.0,0.0,1.0
1999-12-30,22.69,23.06,22.56,22.75,10.5909964563,73100.0,0.0,1.0
1999-12-31,22.75,23.0,22.69,22.69,10.5630641579,165100.0,0.0,1.0
2000-01-03,22.69,22.94,22.69,22.75,10.5909964563,229000.0,0.0,1.0
2000-01-04,22.63,22.75,22.56,22.75,10.5909964563,138400.0,0.0,1.0
2000-01-05,22.69,22.94,22.69,22.81,10.6189287546,236300.0,0.0,1.0
2000-01-06,22.81,23.94,22.75,23.81,11.0844670604,285900.0,0.0,1.0
2000-01-07,23.88,24.13,23.88,24.13,11.233439318299999,185300.0,0.0,1.0
2000-01-10,24.13,24.81,24.0,24.63,11.466208471099998,163900.0,0.0,1.0
2000-01-11,24.5,24.63,24.31,24.38,11.3498238947,146800.0,0.0,1.0
2000-01-12,24.19,24.56,24.19,24.44,11.377756193,143500.0,0.0,1.0
2000-01-13,24.38,24.5,24.0,24.19,11.261371616600002,210700.0,0.0,1.0
2000-01-14,24.25,24.38,24.0,24.13,11.233439318299999,136000.0,0.0,1.0
2000-01-18,24.0,24.0,23.75,23.75,11.0565347621,145100.0,0.0,1.0
2000-01-19,23.75,23.75,23.38,23.56,10.968082484000002,127900.0,0.0,1.0
2000-01-20,23.38,23.56,23.25,23.38,10.884285588900001,116300.0,0.0,1.0
2000-01-21,23.25,23.31,22.88,22.88,10.651516436,164700.0,0.0,1.0
2000-01-24,22.81,23.25,22.81,23.0,10.707381032699999,117200.0,0.0,1.0
2000-01-25,22.94,23.0,22.75,22.88,10.651516436,275500.0,0.0,1.0
2000-01-26,22.75,23.13,22.75,23.13,10.7679010125,103200.0,0.0,1.0
2000-01-27,23.06,23.06,22.81,22.88,10.651516436,119900.0,0.0,1.0
2000-01-28,22.94,22.94,22.56,22.63,10.5351318596,262300.0,0.0,1.0
2000-01-31,22.63,22.88,22.63,22.69,10.5630641579,153100.0,0.0,1.0
2000-02-01,22.69,23.13,22.69,23.06,10.7353133311,366400.0,0.0,1.0
2000-02-02,22.94,23.06,22.88,22.94,10.679448734400001,98300.0,0.0,1.0
2000-02-03,22.94,23.0,22.75,22.88,10.651516436,136100.0,0.0,1.0
2000-02-04,22.81,23.06,22.81,22.88,10.651516436,136900.0,0.0,1.0
2000-02-07,22.75,22.81,22.56,22.63,10.5351318596,129100.0,0.0,1.0
2000-02-08,22.75,22.81,22.63,22.69,10.5630641579,86900.0,0.0,1.0
2000-02-09,22.75,22.81,22.63,22.69,10.5630641579,347200.0,0.0,1.0
2000-02-10,22.56,22.94,22.56,22.63,10.5351318596,100900.0,0.0,1.0
