Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2012-04-12,33.25,34.21,32.0,34.0,26.148017141900002,654700.0,0.0,1.0
2012-04-13,34.0,37.45,33.91,37.0,28.455195125,1685000.0,0.0,1.0
2012-04-16,37.0,37.0,35.99,36.55,28.109118427600002,550200.0,0.0,1.0
2012-04-17,36.4,36.75,36.0,36.0,27.6861357973,179600.0,0.0,1.0
2012-04-18,36.0,36.44,34.5,36.0,27.6861357973,207100.0,0.0,1.0
2012-04-19,36.0,37.22,35.8,36.0,27.6861357973,598100.0,0.0,1.0
2012-04-20,36.1,37.0,36.1,36.32,27.9322347822,149700.0,0.0,1.0
2012-04-23,36.24,36.24,35.42,35.68,27.4400368125,95700.0,0.0,1.0
2012-04-24,36.0,36.0,34.68,34.75,26.7248116377,124500.0,0.0,1.0
2012-04-25,34.8,35.5,34.5,34.75,26.7248116377,266200.0,0.0,1.0
2012-04-26,34.61,34.99,34.44,34.95,26.8786235033,183900.0,0.0,1.0
2012-04-27,35.25,35.25,33.97,34.11,26.232613668000003,536000.0,0.0,1.0
2012-04-30,34.34,34.9,34.0,34.05,26.1864701083,4105700.0,0.0,1.0
2012-05-01,33.74,34.1,32.58,32.76,25.1943835756,6878600.0,0.0,1.0
2012-05-02,32.6,32.665,31.63,32.0,24.6098984865,11287600.0,0.0,1.0
2012-05-03,31.93,31.98,31.05,31.39,24.140772296599998,11800000.0,0.0,1.0
2012-05-04,30.85,31.09,30.12,30.16,23.1948293236,10881000.0,0.0,1.0
2012-05-07,30.1,30.55,29.25,29.35,22.5718912681,12257200.0,0.0,1.0
2012-05-08,29.09,30.41,28.75,30.1,23.148685763899998,14601300.0,0.0,1.0
2012-05-09,29.81,32.89,29.73,32.49,24.9867375571,13990000.0,0.0,1.0
2012-05-10,33.05,33.35,31.5199,32.48,24.979046963800002,8862000.0,0.0,1.0
2012-05-11,31.73,32.15,31.4,31.83,24.4791584008,4460100.0,0.0,1.0
2012-05-14,31.19,31.58,30.765,31.32,24.0869381437,6398200.0,0.0,1.0
2012-05-15,31.35,32.32,31.06,31.67,24.356108908400003,6362800.0,0.0,1.0
2012-05-16,31.46,32.39,31.25,32.1,24.6868044193,6118600.0,0.0,1.0
2012-05-17,31.89,32.0,31.2,31.26,24.040794584,5850500.0,0.0,1.0
2012-05-18,31.43,31.685,30.99,31.38,24.133081703400002,7940800.0,0.0,1.0
2012-05-21,31.23,32.34,30.95,32.19,24.7560197588,5480100.0,0.0,1.0
2012-05-22,31.88,32.27,31.33,31.63,24.325346535300003,5415000.0,0.0,1.0
