Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,9.437999999999999,10.25,9.312999999999999,10.06,9.393724403119998,216700.0,0.0,1.0
1999-11-02,10.06,10.38,9.812999999999999,9.875,9.22097698616,86700.0,0.0,1.0
1999-11-03,9.937999999999999,10.0,9.75,9.937999999999999,9.27980448491,75500.0,0.0,1.0
1999-11-04,9.875,10.5,9.812999999999999,10.5,9.804583124530001,180000.0,0.0,1.0
1999-11-05,10.5,11.0,10.5,10.94,10.215441845900001,643300.0,0.0,1.0
1999-11-08,11.0,11.5,10.63,10.63,9.92597320131,160600.0,0.0,1.0
1999-11-09,10.75,11.19,10.63,10.75,10.0380255799,127800.0,0.0,1.0
1999-11-10,10.69,10.81,9.75,10.0,9.33769821384,274200.0,0.0,1.0
1999-11-11,10.0,10.06,9.562999999999999,9.75,9.10425575849,148900.0,0.0,1.0
1999-11-12,9.875,10.06,9.5,10.06,9.393724403119998,102700.0,0.0,1.0
1999-11-15,10.06,10.13,9.75,10.0,9.33769821384,89500.0,0.0,1.0
1999-11-16,10.31,10.31,10.13,10.19,9.5151144799,149300.0,0.0,1.0
1999-11-17,10.25,10.44,10.0,10.25,9.57114066918,284100.0,0.0,1.0
1999-11-18,10.38,10.38,10.06,10.25,9.57114066918,152700.0,0.0,1.0
1999-11-19,10.25,10.25,9.875,10.0,9.33769821384,89500.0,0.0,1.0
1999-11-22,10.0,10.13,9.75,9.875,9.22097698616,143500.0,0.0,1.0
1999-11-23,9.75,9.812999999999999,9.25,9.312999999999999,8.69619834655,99200.0,0.0,1.0
1999-11-24,9.25,9.312999999999999,9.0,9.312999999999999,8.69619834655,147600.0,0.0,1.0
1999-11-26,9.437999999999999,9.5,9.062999999999999,9.125,8.52064962013,51000.0,0.0,1.0
1999-11-29,9.25,9.25,8.5,8.625,8.05376470943,191100.0,0.0,1.0
1999-11-30,8.5,8.687999999999999,8.25,8.312999999999999,7.762428525160001,187900.0,0.0,1.0
1999-12-01,8.437999999999999,8.5,8.062999999999999,8.375,7.820322254089999,245200.0,0.0,1.0
1999-12-02,8.25,9.125,8.187999999999999,8.875,8.28720716478,198200.0,0.0,1.0
1999-12-03,9.0,9.187999999999999,8.937999999999999,9.125,8.52064962013,157100.0,0.0,1.0
1999-12-06,9.125,9.25,8.375,8.375,7.820322254089999,257500.0,0.0,1.0
1999-12-07,8.437999999999999,8.437999999999999,8.0,8.125,7.586879798739999,242700.0,0.0,1.0
1999-12-08,8.062999999999999,8.437999999999999,7.625,8.437999999999999,7.87914975283,153900.0,0.0,1.0
1999-12-09,8.437999999999999,8.437999999999999,7.813,7.813,7.2955436144700005,175600.0,0.0,1.0
1999-12-10,7.813,8.0,7.625,7.75,7.23671611572,194200.0,0.0,1.0
1999-12-13,8.0,8.25,7.813,8.062999999999999,7.52898606982,261900.0,0.0,1.0
1999-12-14,8.0,8.25,7.813,8.0,7.47015857107,372100.0,0.0,1.0
1999-12-15,8.0,8.437999999999999,8.0,8.437999999999999,7.87914975283,219000.0,0.0,1.0
1999-12-16,8.312999999999999,8.5,8.062999999999999,8.5,7.937043481760001,187100.0,0.0,1.0
1999-12-17,8.44,9.38,8.12,9.38,8.75876092458,449000.0,0.0,1.0
1999-12-20,9.125,9.125,8.625,8.625,8.05376470943,137100.0,0.0,1.0
1999-12-21,8.687999999999999,8.687999999999999,7.938,8.125,7.586879798739999,519900.0,0.0,1.0
1999-12-22,8.187999999999999,8.187999999999999,7.938,8.0,7.47015857107,155500.0,0.0,1.0
1999-12-23,7.875,8.062999999999999,7.813,7.938,7.41226484214,291900.0,0.0,1.0
1999-12-27,7.875,8.0,7.813,7.875,7.3534373434,339800.0,0.0,1.0
1999-12-28,7.875,8.125,7.813,7.938,7.41226484214,287200.0,0.0,1.0
1999-12-29,7.938,8.812999999999999,7.75,8.75,8.170485937110001,486300.0,0.0,1.0
1999-12-30,8.75,8.812999999999999,8.25,8.562999999999999,7.995870980510001,198900.0,0.0,1.0
1999-12-31,8.562999999999999,9.0,8.562999999999999,8.937999999999999,8.34603466353,201200.0,0.0,1.0
2000-01-03,8.562999999999999,8.562999999999999,8.312999999999999,8.437999999999999,7.87914975283,149600.0,0.0,1.0
2000-01-04,8.375,8.562999999999999,8.125,8.562999999999999,7.995870980510001,140100.0,0.0,1.0
2000-01-05,8.625,8.75,8.125,8.562999999999999,7.995870980510001,199900.0,0.0,1.0
