Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,30.06,30.5,29.94,30.19,12.595828470799999,537247.0,0.0,1.0
1999-11-02,30.38,31.06,30.31,30.56,12.7501993398,860810.0,0.0,1.0
1999-11-03,30.75,31.0,30.13,30.25,12.6208615847,803077.0,0.0,1.0
1999-11-04,30.25,31.13,30.06,30.94,12.9087423944,659676.0,0.0,1.0
1999-11-05,31.31,31.81,31.06,31.06,12.9588086222,660162.0,0.0,1.0
1999-11-08,31.13,31.31,30.69,31.25,13.0380801495,476680.0,0.0,1.0
1999-11-09,31.38,31.44,30.75,31.0,12.9337755083,530526.0,0.0,1.0
1999-11-10,30.75,30.88,30.06,30.69,12.8044377532,375547.0,0.0,1.0
1999-11-11,30.69,30.69,30.13,30.44,12.700133112,263158.0,0.0,1.0
1999-11-12,30.5,31.31,30.44,31.19,13.0130470356,305263.0,0.0,1.0
1999-11-15,31.31,31.38,30.81,31.19,13.0130470356,349474.0,0.0,1.0
1999-11-16,31.25,31.38,30.88,31.13,12.9880139217,523158.0,0.0,1.0
1999-11-17,30.88,31.06,30.0,30.28,12.633378141600001,632065.0,0.0,1.0
1999-11-18,30.19,30.56,29.75,30.0,12.5165569435,526316.0,0.0,1.0
1999-11-19,30.0,30.0,29.19,29.5,12.307947661099998,316761.0,0.0,1.0
1999-11-22,29.25,29.5,28.19,28.75,11.9950337375,441377.0,0.0,1.0
1999-11-23,28.38,28.75,28.06,28.5,11.890729096300001,318866.0,0.0,1.0
1999-11-24,28.31,28.38,28.13,28.25,11.7864244551,339676.0,0.0,1.0
1999-11-26,28.06,28.38,27.81,28.03,11.6946363709,179919.0,0.0,1.0
1999-11-29,27.63,27.88,26.94,27.44,11.4484774177,438785.0,0.0,1.0
1999-11-30,27.5,27.88,27.13,27.44,11.4484774177,572551.0,0.0,1.0
1999-12-01,27.63,28.13,27.44,27.66,11.5402655019,357814.0,0.0,1.0
1999-12-02,27.63,28.13,27.06,27.13,11.3191396626,744534.0,0.0,1.0
1999-12-03,27.38,28.81,27.31,27.94,11.6570867001,623968.0,0.0,1.0
1999-12-06,27.94,28.0,26.94,27.0,11.264901249200001,440729.0,0.0,1.0
1999-12-07,26.88,26.94,25.38,26.0,10.8476826844,799595.0,0.0,1.0
1999-12-08,26.0,26.06,25.38,25.56,10.6641065159,389069.0,0.0,1.0
1999-12-09,25.63,25.94,25.0,25.25,10.5347687608,397652.0,0.0,1.0
1999-12-10,25.63,26.06,25.38,25.81,10.768411157100001,356923.0,0.0,1.0
1999-12-13,25.63,25.88,24.75,25.0,10.4304641196,486397.0,0.0,1.0
1999-12-14,24.75,24.94,24.19,24.5,10.326159478400001,541457.0,0.25,1.0
1999-12-15,24.31,25.19,24.13,25.13,10.5916892936,1453279.0,0.0,1.0
1999-12-16,25.25,25.38,23.75,23.75,10.0100525556,872146.0,0.0,1.0
1999-12-17,23.88,24.5,23.19,24.44,10.3008709246,1417733.0,0.0,1.0
1999-12-20,24.5,24.5,23.63,23.75,10.0100525556,575061.0,0.0,1.0
1999-12-21,24.13,24.94,23.56,24.81,10.4568170065,647368.0,0.0,1.0
1999-12-22,24.88,24.94,24.06,24.06,10.1407100837,479595.0,0.0,1.0
1999-12-23,24.19,25.31,24.13,24.75,10.4315284527,569150.0,0.0,1.0
1999-12-27,24.81,25.0,23.94,23.94,10.090132976,428259.0,0.0,1.0
1999-12-28,24.0,24.25,23.31,23.38,9.85410647366,626964.0,0.0,1.0
1999-12-29,23.44,25.38,23.38,24.94,10.5116088731,751255.0,0.0,1.0
1999-12-30,24.88,25.19,24.56,24.94,10.5116088731,511822.0,0.0,1.0
1999-12-31,24.94,25.31,24.44,25.13,10.5916892936,323887.0,0.0,1.0
2000-01-03,25.25,25.25,23.5,23.5,9.90468358131,1042996.0,0.0,1.0
2000-01-04,23.56,23.56,22.44,22.81,9.613865212330001,1266559.0,0.0,1.0
2000-01-05,22.75,23.81,22.44,22.81,9.613865212330001,513765.0,0.0,1.0
2000-01-06,22.38,23.06,22.19,22.75,9.58857665851,774899.0,0.0,1.0
2000-01-07,22.81,23.19,22.5,23.0,9.69394563278,594089.0,0.0,1.0
2000-01-10,23.38,23.5,21.88,22.0,9.2724697357,866478.0,0.0,1.0
2000-01-11,22.25,22.5,22.25,22.38,9.432630576589998,698462.0,0.0,1.0
2000-01-12,22.56,22.88,22.38,22.75,9.58857665851,399919.0,0.0,1.0
2000-01-13,22.81,23.88,22.75,23.63,9.95947544793,613441.0,0.0,1.0
2000-01-14,23.69,24.31,23.63,24.13,10.1702133965,705425.0,0.0,1.0
2000-01-18,24.06,24.19,24.06,24.06,10.1407100837,710931.0,0.0,1.0
2000-01-19,24.13,24.5,24.13,24.31,10.2460790579,575951.0,0.0,1.0
2000-01-20,23.88,24.19,22.63,23.06,9.7192341866,508097.0,0.0,1.0
2000-01-21,23.5,23.81,22.94,23.06,9.7192341866,781700.0,0.0,1.0
2000-01-24,22.94,23.19,22.38,22.72,9.575932381589999,560486.0,0.0,1.0
2000-01-25,22.81,23.25,22.31,22.88,9.64336852513,483320.0,0.0,1.0
2000-01-26,23.0,23.63,22.75,23.63,9.95947544793,484130.0,0.0,1.0
2000-01-27,23.56,23.81,23.38,23.69,9.98476400176,608259.0,0.0,1.0
2000-01-28,23.69,23.69,22.5,22.75,9.58857665851,733036.0,0.0,1.0
2000-01-31,23.13,24.31,22.88,24.25,10.2207905041,674170.0,0.0,1.0
2000-02-01,24.0,24.38,23.88,24.25,10.2207905041,461134.0,0.0,1.0
2000-02-02,23.94,24.13,23.75,23.88,10.0648444222,576275.0,0.0,1.0
2000-02-03,23.81,24.25,23.69,23.94,10.090132976,454899.0,0.0,1.0
2000-02-04,23.91,24.0,23.5,23.5,9.90468358131,453927.0,0.0,1.0
2000-02-07,23.5,23.56,23.25,23.31,9.82460316087,341862.0,0.0,1.0
2000-02-08,23.5,23.81,23.38,23.59,9.94261641205,371255.0,0.0,1.0
2000-02-09,23.63,24.06,23.5,23.94,10.090132976,967530.0,0.0,1.0
2000-02-10,23.75,24.06,23.44,23.81,10.035341109400001,1076113.0,0.0,1.0
2000-02-11,23.69,24.06,23.5,23.63,9.95947544793,531579.0,0.0,1.0
2000-02-14,23.63,23.75,23.13,23.25,9.79931460704,691903.0,0.0,1.0
2000-02-15,23.25,23.56,22.94,23.44,9.87939502749,522591.0,0.0,1.0
2000-02-16,23.38,23.63,23.25,23.44,9.87939502749,437085.0,0.0,1.0
2000-02-17,23.5,23.56,22.5,22.88,9.64336852513,451498.0,0.0,1.0
2000-02-18,22.56,22.63,21.75,21.75,9.16710076143,798138.0,0.0,1.0
2000-02-22,21.88,22.0,21.69,21.81,9.192389315249999,530121.0,0.0,1.0
2000-02-23,21.88,21.88,21.25,21.25,8.95636281289,671903.0,0.0,1.0
2000-02-24,21.25,21.38,20.38,20.81,8.770913418180001,844696.0,0.0,1.0
2000-02-25,20.81,21.13,20.25,20.31,8.560175469639999,873198.0,0.0,1.0
2000-02-28,20.31,21.25,20.25,21.25,8.95636281289,800081.0,0.0,1.0
2000-02-29,21.25,21.25,20.0,20.25,8.53488691581,863320.0,0.0,1.0
2000-03-01,20.38,20.38,19.63,19.88,8.378940833889999,503563.0,0.0,1.0
2000-03-02,20.0,20.0,19.19,19.25,8.113411018739999,801134.0,0.0,1.0
2000-03-03,19.56,19.63,19.13,19.31,8.13869957256,1228421.0,0.0,1.0
2000-03-06,19.25,19.5,19.0,19.38,8.16820288536,1351741.0,0.0,1.0
2000-03-07,19.56,19.56,19.0,19.13,8.06283391109,676923.0,0.0,1.0
