Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,27.31,27.56,26.69,27.5,10.2500571783,215000.0,0.0,1.0
1999-11-02,27.56,27.75,26.56,26.81,9.99287392543,166800.0,0.0,1.0
1999-11-03,26.88,27.81,26.06,27.81,10.3656032774,261800.0,0.0,1.0
1999-11-04,27.75,29.56,27.75,29.44,10.973152120999998,478000.0,0.0,1.0
1999-11-05,30.0,30.0,29.25,29.94,11.159516797,251800.0,0.0,1.0
1999-11-08,29.75,29.94,29.06,29.44,10.973152120999998,444500.0,0.0,1.0
1999-11-09,29.44,29.44,28.5,28.69,10.6936051071,201500.0,0.0,1.0
1999-11-10,28.75,29.25,28.75,29.06,10.8315149673,132000.0,0.0,1.0
1999-11-11,29.06,29.88,29.06,29.19,10.879969783,268500.0,0.0,1.0
1999-11-12,29.06,29.13,28.38,28.63,10.671241346,259700.0,0.0,1.0
1999-11-15,28.88,29.25,28.5,29.19,10.879969783,248100.0,0.0,1.0
1999-11-16,29.0,29.38,28.63,29.38,10.9507883599,374700.0,0.0,1.0
1999-11-17,29.13,29.63,28.63,29.0,10.8091512062,451800.0,0.0,1.0
1999-11-18,28.94,29.13,28.5,28.88,10.7644236839,296200.0,0.0,1.0
1999-11-19,28.94,29.0,28.56,28.63,10.671241346,419300.0,0.0,1.0
1999-11-22,28.81,28.81,28.06,28.38,10.578059008,175800.0,0.0,1.0
1999-11-23,28.5,28.56,27.75,28.13,10.48487667,396800.0,0.0,1.0
1999-11-24,28.0,28.38,27.88,28.31,10.5519679533,277700.0,0.0,1.0
1999-11-26,28.25,28.25,27.88,28.19,10.5072404311,30900.0,0.0,1.0
1999-11-29,28.19,28.19,26.94,27.75,10.3432395162,358300.0,0.0,1.0
1999-11-30,27.63,28.0,27.0,28.0,10.436421854199999,351400.0,0.0,1.0
1999-12-01,28.25,28.25,27.0,27.0,10.0636925023,306400.0,0.0,1.0
