Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,20.25,20.38,20.0,20.06,6.6060232902100005,143067.0,0.0,1.0
1999-11-02,20.13,20.44,20.13,20.44,6.731162315650001,110178.0,0.0,1.0
1999-11-03,20.38,20.56,20.31,20.5,6.75092110914,252400.0,0.0,1.0
1999-11-04,20.56,21.06,20.38,21.0,6.91557772156,76000.0,0.0,1.0
1999-11-05,21.0,21.38,21.0,21.38,7.040716747,183467.0,0.0,1.0
1999-11-08,21.0,21.0,20.19,20.19,6.64883400944,72000.0,0.0,1.0
1999-11-09,20.19,20.44,19.88,19.94,6.566505703230001,53867.0,0.0,1.0
1999-11-10,19.94,20.0,19.31,19.5,6.42160788431,71600.0,0.0,1.0
1999-11-11,19.56,19.75,19.06,19.44,6.40184909082,48978.0,0.0,1.0
1999-11-12,19.69,20.75,19.56,20.56,6.77067990263,82267.0,0.0,1.0
1999-11-15,20.06,20.88,20.06,20.88,6.87606013458,103600.0,0.0,1.0
1999-11-16,20.88,21.44,20.63,21.44,7.060475540489999,140000.0,0.0,1.0
1999-11-17,21.0,21.13,20.19,20.44,6.731162315650001,32800.0,0.0,1.0
1999-11-18,20.69,20.94,20.31,20.63,6.79373182837,55467.0,0.0,1.0
1999-11-19,20.38,20.38,20.06,20.19,6.64883400944,80044.0,0.0,1.0
1999-11-22,20.19,20.31,19.5,19.63,6.4644186035399995,114444.0,0.0,1.0
1999-11-23,19.69,19.69,19.31,19.38,6.38209029733,57600.0,0.0,1.0
1999-11-24,19.31,19.81,18.88,19.19,6.31952078461,143378.0,0.0,1.0
1999-11-26,19.06,19.75,19.06,19.19,6.31952078461,44667.0,0.0,1.0
1999-11-29,18.94,19.5,18.75,19.0,6.25695127189,137067.0,0.0,1.0
1999-11-30,19.0,19.25,18.81,18.81,6.19438175917,124267.0,0.0,1.0
1999-12-01,18.81,19.06,18.81,18.88,6.21743368491,137867.0,0.0,1.0
1999-12-02,18.81,19.13,18.75,19.0,6.25695127189,185778.0,0.0,1.0
1999-12-03,18.94,19.69,18.94,19.19,6.31952078461,60267.0,0.0,1.0
1999-12-06,18.94,19.06,18.0,18.06,5.947396840540001,453467.0,0.0,1.0
1999-12-07,18.06,18.38,18.0,18.13,5.9704487662800005,143644.0,0.0,1.0
1999-12-08,18.0,18.13,17.81,18.13,5.9704487662800005,271778.0,0.0,1.0
1999-12-09,18.0,18.06,17.75,17.75,5.84530974084,164444.0,0.0,1.0
1999-12-10,17.81,18.38,17.75,18.0,5.95233653891,127778.0,0.075,1.0
1999-12-13,17.88,18.13,17.75,18.13,5.99532563614,66044.0,0.0,1.0
1999-12-14,18.06,18.19,17.63,18.19,6.01516675794,74800.0,0.0,1.0
1999-12-15,18.0,18.25,17.56,17.94,5.93249541712,99467.0,0.0,1.0
1999-12-16,17.69,17.81,17.63,17.69,5.8498240763,83600.0,0.0,1.0
1999-12-17,17.81,17.94,17.5,17.81,5.88950631989,148400.0,0.0,1.0
1999-12-20,17.69,17.88,17.44,17.63,5.8299829545,96800.0,0.0,1.0
1999-12-21,17.63,18.25,17.56,17.94,5.93249541712,467467.0,0.0,1.0
1999-12-22,17.81,18.0,17.25,18.0,5.95233653891,123600.0,0.0,1.0
1999-12-23,17.94,18.19,17.81,17.88,5.912654295319999,55778.0,0.0,1.0
1999-12-27,17.69,18.19,17.63,17.75,5.8696651981,86578.0,0.0,1.0
1999-12-28,18.25,18.25,17.25,17.57,5.81014183271,103378.0,0.0,1.0
1999-12-29,17.38,18.25,17.38,18.25,6.03500787973,120667.0,0.0,1.0
1999-12-30,17.88,18.56,17.38,18.5,6.1176792205499995,120667.0,0.0,1.0
1999-12-31,18.25,18.69,17.63,18.63,6.16066831778,87200.0,0.0,1.0
2000-01-03,18.44,18.44,17.25,17.62,5.82667610087,103067.0,0.0,1.0
2000-01-04,17.38,17.56,16.69,17.0,5.62165117564,326800.0,0.0,1.0
2000-01-05,16.75,16.81,16.34,16.81,5.558820956619999,119867.0,0.0,1.0
2000-01-06,17.06,17.25,16.75,16.81,5.558820956619999,156267.0,0.0,1.0
2000-01-07,16.56,17.06,16.5,17.0,5.62165117564,240267.0,0.0,1.0
2000-01-10,17.13,17.5,17.0,17.13,5.66464027287,81200.0,0.0,1.0
2000-01-11,17.13,17.44,17.0,17.31,5.724163638259999,100578.0,0.0,1.0
2000-01-12,17.5,17.56,17.19,17.5,5.786993857280001,80400.0,0.0,1.0
2000-01-13,17.5,18.63,17.5,18.56,6.13752034235,134667.0,0.0,1.0
2000-01-14,18.25,18.75,17.5,17.5,5.786993857280001,209644.0,0.0,1.0
2000-01-18,17.31,18.5,17.25,18.13,5.99532563614,143778.0,0.0,1.0
2000-01-19,18.25,18.75,17.5,17.56,5.80683497907,181778.0,0.0,1.0
2000-01-20,17.75,17.88,17.0,17.38,5.74731161369,254044.0,0.0,1.0
2000-01-21,17.38,17.5,16.81,17.19,5.68448139466,403600.0,0.0,1.0
2000-01-24,17.0,17.63,17.0,17.5,5.786993857280001,137200.0,0.0,1.0
2000-01-25,17.63,18.0,17.31,18.0,5.95233653891,278178.0,0.0,1.0
2000-01-26,17.94,19.69,17.63,18.25,6.03500787973,394000.0,0.0,1.0
2000-01-27,18.5,20.44,18.5,19.56,6.468205705619999,690578.0,0.0,1.0
2000-01-28,19.38,19.44,18.75,18.75,6.20035056137,126578.0,0.0,1.0
2000-01-31,18.63,19.06,18.5,19.0,6.28302190219,186667.0,0.0,1.0
2000-02-01,19.0,19.0,18.31,18.63,6.16066831778,89244.0,0.0,1.0
2000-02-02,18.56,18.94,18.38,18.75,6.20035056137,84578.0,0.0,1.0
2000-02-03,18.94,19.19,18.94,19.19,6.345852121209999,90000.0,0.0,1.0
2000-02-04,19.19,19.94,19.19,19.88,6.574025021869999,166178.0,0.0,1.0
2000-02-07,19.81,19.94,19.25,19.69,6.5111948028499995,110800.0,0.0,1.0
2000-02-08,19.69,19.75,19.19,19.25,6.36569324301,106978.0,0.0,1.0
2000-02-09,19.19,19.38,18.63,18.75,6.20035056137,102667.0,0.0,1.0
2000-02-10,18.88,19.44,18.25,18.88,6.24333965859,92667.0,0.0,1.0
2000-02-11,18.69,19.31,18.19,18.44,6.09783809875,126800.0,0.0,1.0
2000-02-14,18.56,19.0,18.06,18.38,6.07799697696,76844.0,0.0,1.0
