Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,30.94,31.0,30.63,31.0,13.527394353499998,50400.0,0.0,1.0
1999-11-02,31.0,31.06,30.5,30.63,13.365938356400001,58700.0,0.0,1.0
1999-11-03,30.63,30.63,30.0,30.44,13.28302852,182100.0,0.0,1.0
1999-11-04,30.38,30.5,30.19,30.5,13.3092105736,47300.0,0.0,1.0
1999-11-05,30.5,30.75,30.25,30.69,13.3921204099,189300.0,0.0,1.0
1999-11-08,30.75,31.5,30.75,31.44,13.719396079800001,87000.0,0.0,1.0
1999-11-09,31.69,32.88,31.69,32.75,14.2910375831,67200.0,0.0,1.0
1999-11-10,33.0,33.75,32.88,33.13,14.4568572558,76900.0,0.0,1.0
1999-11-11,33.13,34.94,33.13,34.44,15.028498759200001,81300.0,0.0,1.0
1999-11-12,34.44,34.81,34.25,34.31,14.9717709764,36400.0,0.0,1.0
1999-11-15,34.88,34.88,34.19,34.5,15.0546808127,36100.0,0.0,1.0
1999-11-16,34.38,37.25,34.38,36.31,15.844506096,114600.0,0.0,1.0
1999-11-17,37.0,38.56,36.75,37.38,16.3114193849,130300.0,0.0,1.0
1999-11-18,37.63,38.56,37.13,38.0,16.581967272,147300.0,0.0,1.0
1999-11-19,38.25,38.38,37.63,38.31,16.7172412155,45700.0,0.0,1.0
1999-11-22,38.5,38.5,37.75,37.88,16.5296031648,95300.0,0.0,1.0
1999-11-23,38.0,38.06,37.63,37.81,16.4990574356,79400.0,0.0,1.0
1999-11-24,37.94,38.0,37.56,37.56,16.3899655457,57700.0,0.0,1.0
1999-11-26,36.75,37.0,36.75,37.0,16.1455997122,25200.0,0.0,1.0
1999-11-29,37.0,37.38,36.75,36.94,16.1194176586,127300.0,0.0,1.0
1999-11-30,37.0,37.31,36.5,37.19,16.228509548599998,53800.0,0.0,1.0
1999-12-01,36.94,37.0,36.56,36.81,16.0626898759,51200.0,0.0,1.0
1999-12-02,36.88,37.44,36.25,37.44,16.3376014385,140400.0,0.0,1.0
1999-12-03,37.44,37.94,37.13,37.19,16.228509548599998,54700.0,0.0,1.0
1999-12-06,37.44,37.75,37.25,37.75,16.4728753821,60300.0,0.0,1.0
1999-12-07,37.88,37.88,37.31,37.38,16.3114193849,76400.0,0.0,1.0
1999-12-08,37.44,37.5,37.25,37.5,16.3637834921,75800.0,0.0,1.0
1999-12-09,37.5,37.5,35.19,36.25,15.8183240424,188300.0,0.0,1.0
1999-12-10,36.0,36.0,35.38,35.38,15.4386842654,149400.0,0.0,1.0
1999-12-13,35.13,35.38,33.56,34.63,15.1114085955,178300.0,0.0,1.0
1999-12-14,34.63,35.25,34.63,34.88,15.220500485499999,121900.0,0.0,1.0
1999-12-15,34.63,34.63,34.0,34.38,15.0023167056,108900.0,0.0,1.0
1999-12-16,34.38,34.38,33.94,33.94,14.810314979300001,45900.0,0.0,1.0
1999-12-17,34.06,34.06,33.75,34.06,14.862679086400002,85300.0,0.0,1.0
1999-12-20,34.0,34.5,33.25,33.63,14.6750410357,23900.0,0.0,1.0
1999-12-21,33.88,34.5,33.81,34.5,15.0546808127,54500.0,0.0,1.0
1999-12-22,34.5,34.88,34.0,34.19,14.919406869200001,54800.0,0.0,1.0
1999-12-23,35.0,36.75,35.0,36.63,15.9841437151,97200.0,0.0,1.0
1999-12-27,36.69,36.81,36.13,36.81,16.0626898759,108000.0,0.0,1.0
1999-12-28,36.81,37.31,36.81,37.31,16.2808736558,16500.0,0.0,1.0
1999-12-29,37.31,38.38,37.31,37.5,16.3637834921,56700.0,0.0,1.0
1999-12-30,37.5,37.5,37.19,37.19,16.228509548599998,23700.0,0.0,1.0
1999-12-31,37.44,37.81,37.44,37.81,16.4990574356,11200.0,0.0,1.0
2000-01-03,37.81,37.94,35.38,35.56,15.5172304261,44000.0,0.0,1.0
2000-01-04,35.0,35.38,33.5,33.94,14.810314979300001,76600.0,0.0,1.0
2000-01-05,33.94,33.94,32.69,33.44,14.5921311994,131100.0,0.0,1.0
2000-01-06,33.5,33.69,33.13,33.5,14.618313253,105900.0,0.0,1.0
2000-01-07,33.38,34.0,33.25,34.0,14.8364970328,90800.0,0.0,1.0
2000-01-10,34.25,34.38,33.75,34.31,14.9717709764,53500.0,0.0,1.0
2000-01-11,34.25,34.25,33.56,33.88,14.7841329257,39500.0,0.0,1.0
2000-01-12,34.0,34.06,33.38,34.06,14.8932248156,50800.0,0.07,1.0
2000-01-13,34.06,34.06,33.5,33.75,14.7576728575,53700.0,0.0,1.0
2000-01-14,33.75,33.94,33.5,33.69,14.731436994700001,55700.0,0.0,1.0
2000-01-18,33.81,34.0,33.44,33.44,14.6221208994,36600.0,0.0,1.0
2000-01-19,33.44,33.63,33.31,33.44,14.6221208994,25900.0,0.0,1.0
2000-01-20,33.31,34.56,33.13,34.56,15.1118570061,50500.0,0.0,1.0
2000-01-21,34.56,36.56,34.56,36.5,15.9601499052,98700.0,0.0,1.0
2000-01-24,36.5,37.25,36.06,36.19,15.824597947100001,150800.0,0.0,1.0
