Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,13.19,13.62,12.88,13.44,10.2043302625,250500.0,0.0,1.0
1999-11-02,13.38,14.06,13.12,13.19,10.014517571599999,475500.0,0.0,1.0
1999-11-03,13.31,14.0,13.12,13.44,10.2043302625,570700.0,0.0,1.0
1999-11-04,13.5,13.88,13.25,13.88,10.5384005984,526700.0,0.0,1.0
1999-11-05,14.0,14.5,13.75,14.5,11.0091360718,455500.0,0.0,1.0
1999-11-08,14.38,14.5,14.0,14.06,10.6750657359,143800.0,0.0,1.0
1999-11-09,14.0,14.81,13.5,14.62,11.1002461635,349800.0,0.0,1.0
1999-11-10,14.56,14.62,13.81,14.0,10.6295106901,196800.0,0.0,1.0
1999-11-11,13.88,14.38,13.88,14.06,10.6750657359,137700.0,0.0,1.0
1999-11-12,14.06,14.25,13.81,13.88,10.5384005984,170000.0,0.0,1.0
1999-11-15,13.88,13.88,13.62,13.69,10.394142953400001,279300.0,0.0,1.0
1999-11-16,13.69,13.69,13.25,13.44,10.2043302625,538800.0,0.0,1.0
1999-11-17,13.38,14.12,13.31,13.88,10.5384005984,421000.0,0.0,1.0
1999-11-18,13.75,13.94,13.5,13.75,10.4396979992,370300.0,0.0,1.0
1999-11-19,13.62,15.0,13.56,14.75,11.1989487627,530400.0,0.0,1.0
1999-11-22,14.62,14.62,13.5,13.5,10.2498853083,237000.0,0.0,1.0
1999-11-23,13.5,14.12,13.5,13.88,10.5384005984,331900.0,0.0,1.0
1999-11-24,13.56,14.12,13.56,13.81,10.485253045,325500.0,0.0,1.0
1999-11-26,13.81,13.94,13.62,13.81,10.485253045,129500.0,0.0,1.0
1999-11-29,13.56,13.62,12.94,13.0,9.87025992649,435200.0,0.0,1.0
1999-11-30,13.0,13.25,12.69,13.0,9.87025992649,757300.0,0.0,1.0
1999-12-01,13.0,13.12,12.81,13.12,9.961370018110001,346900.0,0.0,1.0
1999-12-02,13.06,13.12,12.5,12.56,9.536189590510002,373200.0,0.0,1.0
1999-12-03,12.62,13.5,12.56,13.0,9.87025992649,437800.0,0.0,1.0
1999-12-06,13.06,13.88,13.06,13.25,10.0600726174,418500.0,0.0,1.0
1999-12-07,13.0,13.19,12.5,12.81,9.72600228141,296900.0,0.0,1.0
1999-12-08,12.69,12.94,12.25,12.38,9.399524453069999,339000.0,0.0,1.0
1999-12-09,12.12,12.69,12.0,12.31,9.346376899620001,363200.0,0.0,1.0
1999-12-10,12.25,13.0,12.25,13.0,9.87025992649,272300.0,0.0,1.0
1999-12-13,12.75,12.81,12.12,12.5,9.4906345447,375300.0,0.0,1.0
1999-12-14,12.44,12.5,12.19,12.44,9.44507949888,303900.0,0.0,1.0
1999-12-15,12.19,12.5,11.88,12.19,9.25526680799,306900.0,0.0,1.0
1999-12-16,12.0,12.5,12.0,12.44,9.44507949888,349900.0,0.0,1.0
1999-12-17,12.69,13.0,12.38,12.5,9.4906345447,455800.0,0.0,1.0
1999-12-20,12.5,12.69,10.0,10.0,7.5925076357600005,1512200.0,0.0,1.0
1999-12-21,10.31,10.81,10.06,10.25,7.78232032665,1288600.0,0.0,1.0
1999-12-22,10.19,10.25,10.06,10.12,7.68361772739,1568700.0,0.0,1.0
1999-12-23,10.12,10.12,9.94,9.94,7.546952589939999,919200.0,0.0,1.0
1999-12-27,9.94,10.06,9.5,9.62,7.303992345599999,1233900.0,0.0,1.0
1999-12-28,9.56,10.0,9.44,9.62,7.303992345599999,940000.0,0.0,1.0
1999-12-29,9.56,10.5,9.5,10.06,7.638062681569999,766000.0,0.0,1.0
1999-12-30,10.06,10.56,10.06,10.44,7.92657797173,724200.0,0.0,1.0
1999-12-31,10.44,10.88,10.25,10.25,7.78232032665,489600.0,0.0,1.0
2000-01-03,10.25,10.31,10.0,10.06,7.638062681569999,383100.0,0.0,1.0
2000-01-04,10.06,10.12,9.69,9.75,7.40269494486,321700.0,0.0,1.0
2000-01-05,9.75,9.88,9.5,9.69,7.35713989905,327600.0,0.0,1.0
2000-01-06,9.56,9.88,9.12,9.88,7.50139754413,663900.0,0.0,1.0
2000-01-07,9.75,9.88,9.38,9.75,7.40269494486,313000.0,0.0,1.0
2000-01-10,9.81,10.0,9.62,9.88,7.50139754413,401000.0,0.0,1.0
2000-01-11,9.88,10.25,9.69,9.69,7.35713989905,448000.0,0.0,1.0
2000-01-12,9.69,11.19,9.69,11.0,8.35175839933,751200.0,0.0,1.0
2000-01-13,11.38,11.94,11.25,11.62,8.82249387275,851500.0,0.0,1.0
2000-01-14,11.69,11.75,11.12,11.38,8.640273689489998,422400.0,0.0,1.0
2000-01-18,11.56,11.69,11.0,11.12,8.44286849096,216600.0,0.0,1.0
2000-01-19,11.0,11.0,10.62,10.62,8.06324310917,232600.0,0.0,1.0
2000-01-20,10.62,10.75,10.31,10.56,8.017688063360001,233200.0,0.0,1.0
