Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,60.63,60.63,58.31,58.63,6.8106948339699995,178000.0,0.0,1.0
1999-11-02,58.63,58.81,58.19,58.75,6.8246345129799995,90800.0,0.0,1.0
1999-11-03,59.0,59.38,58.25,59.38,6.89781782776,64300.0,0.0,1.0
1999-11-04,59.38,59.94,59.13,59.25,6.88271650884,92700.0,0.0,1.0
1999-11-05,59.38,60.0,59.38,59.88,6.95589982361,60000.0,0.0,1.0
1999-11-08,59.75,59.75,59.56,59.63,6.926858825689999,26500.0,0.0,1.0
1999-11-09,59.69,59.69,59.31,59.56,6.91872734627,74700.0,0.0,1.0
1999-11-10,59.56,59.88,59.38,59.44,6.904787667260001,39000.0,0.0,1.0
1999-11-11,59.25,59.38,59.0,59.06,6.8606453504100005,31300.0,0.0,1.0
1999-11-12,59.13,59.13,57.88,58.0,6.7375115192,59200.0,0.0,1.0
1999-11-15,58.0,58.63,57.63,57.88,6.723571840190001,39900.0,0.0,1.0
1999-11-16,58.0,58.38,57.72,57.81,6.715440360770001,39400.0,0.0,1.0
1999-11-17,58.0,58.5,57.94,58.5,6.79559351505,60600.0,0.0,1.0
1999-11-18,58.38,58.81,58.13,58.38,6.78165383605,60900.0,0.0,1.0
1999-11-19,58.38,58.38,57.44,57.81,6.715440360770001,39700.0,0.0,1.0
1999-11-22,57.75,57.88,57.5,57.5,6.67942952334,30400.0,0.0,1.0
1999-11-23,57.56,57.56,56.25,56.38,6.54932585263,22800.0,0.0,1.0
1999-11-24,56.25,56.25,55.13,55.56,6.454071379419999,48800.0,0.0,1.0
1999-11-26,55.5,55.5,54.88,55.31,6.4250303815,19200.0,0.0,1.0
1999-11-29,55.38,55.38,54.13,54.13,6.2879568712800005,21200.0,0.0,1.0
1999-11-30,54.13,54.19,53.0,53.25,6.18573255857,64200.0,0.0,1.0
1999-12-01,53.31,53.75,53.25,53.38,6.2008338775,63900.0,0.0,1.0
1999-12-02,53.44,53.69,53.44,53.5,6.2147735565,44100.0,0.0,1.0
1999-12-03,53.5,53.63,52.69,52.69,6.1206807232200005,101400.0,0.0,1.0
1999-12-06,52.69,53.0,51.69,51.88,6.02658788993,45000.0,0.0,1.0
1999-12-07,52.0,54.38,51.94,52.88,6.142751881640001,74800.0,0.0,1.0
1999-12-08,52.75,53.25,51.06,51.38,5.96850589408,56700.0,0.0,1.0
1999-12-09,51.25,51.25,49.75,49.94,5.80122974601,82400.0,0.0,1.0
1999-12-10,49.75,49.88,48.31,48.63,5.649054916869999,133700.0,0.0,1.0
1999-12-13,48.88,49.5,48.06,48.38,5.620013918940001,99000.0,0.0,1.0
1999-12-14,48.31,48.63,48.0,48.13,5.59097292102,67900.0,0.0,1.0
1999-12-15,48.13,48.13,46.75,46.88,5.44576793138,61500.0,0.0,1.0
1999-12-16,47.0,49.5,46.75,49.44,5.74314775016,117500.0,0.0,1.0
1999-12-17,49.63,53.5,49.56,52.75,6.1276505627199995,180700.0,0.0,1.0
1999-12-20,53.38,53.63,52.63,52.75,6.1276505627199995,71500.0,0.0,1.0
1999-12-21,52.88,53.75,52.75,53.0,6.156691560650001,116000.0,0.0,1.0
1999-12-22,52.81,53.5,52.75,53.31,6.192702398080001,42800.0,0.0,1.0
1999-12-23,53.06,54.44,53.06,54.0,6.272855552359999,68900.0,0.0,1.0
1999-12-27,54.25,54.25,53.38,53.38,6.2008338775,87300.0,0.0,1.0
1999-12-28,53.38,54.25,53.0,53.64,6.2310365153400005,80100.0,0.0,1.0
1999-12-29,53.88,53.88,52.44,52.63,6.11371088371,99000.0,0.0,1.0
1999-12-30,52.75,52.75,51.38,51.81,6.01845641051,110500.0,0.0,1.0
1999-12-31,52.0,52.19,51.0,51.0,5.92436357723,56300.0,0.0,1.0
2000-01-03,51.0,51.0,48.25,49.81,5.7861284270899995,108600.0,0.0,1.0
