Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,53.0,56.25,53.0,53.75,24.4366038619,190800.0,0.0,1.0
1999-11-02,53.75,55.38,53.75,54.19,24.6366430377,137500.0,0.0,1.0
1999-11-03,55.63,58.25,55.38,57.0,25.914165955900003,418700.0,0.0,1.0
1999-11-04,56.75,60.13,56.75,59.0,26.8234349368,278600.0,0.0,1.0
1999-11-05,59.5,61.5,57.25,57.88,26.3142443075,126400.0,0.0,1.0
1999-11-08,58.13,60.56,57.75,60.19,27.3644499804,312300.0,0.0,1.0
1999-11-09,61.13,63.0,60.88,61.75,28.0736797855,531800.0,0.0,1.0
1999-11-10,61.81,63.94,61.5,63.19,28.728353451799997,240800.0,0.0,1.0
1999-11-11,64.0,64.62,60.25,61.81,28.100957855,185600.0,0.0,1.0
1999-11-12,61.81,62.13,60.13,62.06,28.214616477600003,69400.0,0.0,1.0
1999-11-15,61.25,62.19,57.5,58.5,26.5961176916,59300.0,0.0,1.0
1999-11-16,58.84,63.88,58.75,63.75,28.9829487665,260200.0,0.0,1.0
1999-11-17,64.0,65.62,63.69,63.94,29.0693293196,296400.0,0.0,1.0
1999-11-18,65.5,66.0,64.37,64.56,29.3512027037,219900.0,0.0,1.0
1999-11-19,65.12,67.62,64.5,66.0,30.00587637,284500.0,0.0,1.0
1999-11-22,67.12,67.62,65.56,66.25,30.119534992600002,213200.0,0.0,1.0
1999-11-23,66.87,66.87,64.12,65.5,29.7785591247,183700.0,0.0,1.0
1999-11-24,65.44,65.75,62.13,62.94,28.6146948292,86700.0,0.0,1.0
1999-11-26,66.44,67.5,65.0,65.5,29.7785591247,70000.0,0.0,1.0
1999-11-29,65.75,66.62,63.88,64.0,29.096607389099997,132800.0,0.0,1.0
1999-11-30,63.63,65.0,60.5,60.5,27.5053866725,207700.0,0.0,1.0
1999-12-01,60.5,61.75,60.13,60.38,27.4508305336,189700.0,0.0,1.0
1999-12-02,59.19,61.0,59.19,60.19,27.3644499804,137800.0,0.0,1.0
1999-12-03,60.44,62.94,60.22,61.88,28.132782269299998,90600.0,0.0,1.0
1999-12-06,62.03,65.31,61.63,64.53,29.337563669,267300.0,0.0,1.0
1999-12-07,65.56,66.0,64.56,65.0,29.551241879499997,115600.0,0.0,1.0
1999-12-08,65.87,66.12,62.69,65.0,29.551241879499997,120300.0,0.0,1.0
1999-12-09,66.0,66.25,62.44,63.25,28.755631521199998,242300.0,0.0,1.0
1999-12-10,63.63,65.0,62.5,63.75,28.9829487665,44400.0,0.0,1.0
1999-12-13,64.75,65.5,62.0,62.38,28.360099514499996,53400.0,0.0,1.0
1999-12-14,62.44,62.88,58.13,58.13,26.427902930100004,136900.0,0.0,1.0
1999-12-15,58.69,58.69,54.25,56.06,25.486809534899997,278400.0,0.0,1.0
1999-12-16,56.38,56.38,52.75,55.0,25.004896975,354000.0,0.0,1.0
1999-12-17,54.5,56.5,54.5,55.25,25.118555597600004,585600.0,0.0,1.0
1999-12-20,55.0,58.31,55.0,56.38,25.632292571799997,296900.0,0.0,1.0
1999-12-21,56.19,56.63,53.38,56.06,25.486809534899997,450900.0,0.0,1.0
1999-12-22,55.88,56.06,52.0,55.13,25.0639994587,185900.0,0.0,1.0
1999-12-23,53.75,55.13,53.38,54.13,24.6093649683,150700.0,0.0,1.0
1999-12-27,54.0,55.0,52.5,54.03,24.5639015192,68700.0,0.0,1.0
1999-12-28,54.38,57.44,53.25,55.38,25.177658081399997,85000.0,0.0,1.0
1999-12-29,55.0,57.0,55.0,56.69,25.7732292638,46700.0,0.0,1.0
1999-12-30,56.75,58.0,56.0,56.84,25.841424437399997,42200.0,0.0,1.0
1999-12-31,57.5,58.0,56.5,57.31,26.0551026479,22800.0,0.0,1.0
2000-01-03,58.13,63.0,57.69,62.81,28.5555923454,256000.0,0.0,1.0
2000-01-04,61.63,61.75,57.19,59.13,26.8825374206,146300.0,0.0,1.0
2000-01-05,59.19,60.88,57.13,60.66,27.578128190999998,205900.0,0.0,1.0
2000-01-06,58.25,60.81,52.63,54.75,24.8912383524,192700.0,0.0,1.0
2000-01-07,54.38,60.94,52.5,60.38,27.4508305336,268000.0,0.0,1.0
2000-01-10,60.0,60.44,55.5,57.09,25.95508306,169900.0,0.0,1.0
2000-01-11,56.75,61.25,56.38,57.06,25.9414440253,305700.0,0.0,1.0
2000-01-12,60.88,65.12,60.63,64.73,29.4284905671,963600.0,0.0,1.0
2000-01-13,64.81,69.37,64.81,69.0,31.3697798413,826700.0,0.0,1.0
2000-01-14,71.0,77.5,70.0,76.0,34.5522212745,910100.0,0.0,1.0
2000-01-18,73.44,79.12,73.44,79.12,35.970680884699995,348600.0,0.0,1.0
2000-01-19,78.06,88.62,77.19,88.22,40.1078547479,500000.0,0.0,1.0
2000-01-20,88.62,93.0,84.81,90.5,41.1444213861,272700.0,0.0,1.0
2000-01-21,91.81,94.94,89.37,91.94,41.7990950524,333100.0,0.0,1.0
2000-01-24,91.69,100.12,83.75,88.78,40.3624500625,274800.0,0.0,1.0
2000-01-25,88.5,93.12,86.0,91.0,41.3717386313,422700.0,0.0,1.0
2000-01-26,91.75,92.25,83.75,86.62,39.3804395631,220400.0,0.0,1.0
2000-01-27,86.31,92.37,86.0,87.0,39.5532006695,453500.0,0.0,1.0
2000-01-28,87.06,91.25,85.94,87.5,39.7805179147,146600.0,0.0,1.0
2000-01-31,87.94,87.94,80.69,83.75,38.0756385755,128900.0,0.0,1.0
2000-02-01,83.5,88.87,80.94,88.0,40.00783516,133200.0,0.0,1.0
2000-02-02,89.62,99.87,88.62,97.31,44.240482266099995,363200.0,0.0,1.0
2000-02-03,97.12,104.12,97.12,103.69,47.141050315200005,275700.0,0.0,1.0
2000-02-04,103.87,111.0,103.87,106.94,48.618612409200004,198700.0,0.0,1.0
2000-02-07,107.0,113.31,106.75,111.66,50.7644872041,540200.0,0.0,1.0
2000-02-08,113.28,114.31,100.0,100.37,45.631663806899994,238200.0,0.0,1.0
2000-02-09,105.0,105.0,99.37,100.19,45.5498295986,170000.0,0.0,1.0
2000-02-10,101.94,119.0,100.62,117.75,53.533211251000004,240600.0,0.0,1.0
2000-02-11,123.5,124.5,112.0,115.81,52.6512203395,369900.0,0.0,1.0
2000-02-14,131.38,141.5,129.0,137.88,62.6850035438,673000.0,0.0,1.0
2000-02-15,141.0,141.0,130.5,135.47,61.589334421800004,232200.0,0.0,1.0
2000-02-16,141.38,143.0,136.63,138.88,63.139638034300006,214800.0,0.0,1.0
2000-02-17,138.81,141.94,137.09,140.47,63.8625068741,314500.0,0.0,1.0
2000-02-18,141.19,142.13,128.0,129.75,58.9888251364,260100.0,0.0,1.0
2000-02-22,129.0,136.5,123.5,136.09,61.8712078059,289400.0,0.0,1.0
2000-02-23,137.25,148.0,137.0,144.22,65.5673862133,163400.0,0.0,1.0
2000-02-24,145.94,148.13,143.38,146.75,66.7176114742,132800.0,0.0,1.0
2000-02-25,145.0,150.0,143.5,149.47,67.9542172882,157800.0,0.0,1.0
2000-02-28,150.75,150.75,136.0,148.84,67.6677975592,209000.0,0.0,1.0
2000-02-29,149.94,156.5,143.94,145.19,66.008381669,143000.0,0.0,1.0
2000-03-01,146.31,156.0,145.0,145.94,66.3493575369,248000.0,0.0,1.0
2000-03-02,147.13,147.13,131.0,131.92,59.9753819807,184800.0,0.0,1.0
2000-03-03,139.0,145.88,139.0,143.38,65.1854932413,279300.0,0.0,1.0
2000-03-06,141.0,146.63,133.0,133.13,60.5254897142,177500.0,0.0,1.0
2000-03-07,137.63,145.5,136.0,136.13,61.889393185500005,138400.0,0.0,1.0
2000-03-08,136.63,143.0,130.88,142.0,64.5580976445,129500.0,0.0,1.0
2000-03-09,141.75,145.75,134.0,143.88,65.41281048649999,142300.0,0.0,1.0
2000-03-10,142.25,146.75,134.0,136.0,61.8302907018,85000.0,0.0,1.0
2000-03-13,133.0,138.0,130.94,131.5,59.784435494700006,157300.0,0.0,1.0
2000-03-14,133.0,141.06,127.0,127.0,57.7385802877,156300.0,0.0,1.0
2000-03-15,143.13,144.06,118.53,125.5,57.056628552,426500.0,0.0,1.0
2000-03-16,126.25,128.63,114.0,118.56,53.9014651882,372300.0,0.0,1.0
2000-03-17,118.5,123.0,112.25,116.16,52.8103424112,190700.0,0.0,1.0
2000-03-20,115.0,115.56,95.0,97.62,44.38141895810001,322300.0,0.0,1.0
2000-03-21,102.0,121.0,99.06,119.84,54.483397336,343500.0,0.0,1.0
2000-03-22,125.0,132.0,121.25,130.0,59.102483758999995,385800.0,0.0,1.0
2000-03-23,132.38,132.75,115.5,118.31,53.78780656560001,257300.0,0.0,1.0
2000-03-24,119.0,136.0,119.0,123.25,56.033700948500005,341900.0,0.0,1.0
2000-03-27,132.0,132.0,118.87,121.56,55.2653686596,129000.0,0.0,1.0
2000-03-28,121.0,124.62,115.44,115.44,52.483005578000004,180400.0,0.0,1.0
2000-03-29,115.25,122.5,108.12,111.44,50.6644676162,172300.0,0.0,1.0
2000-03-30,110.0,110.0,96.0,104.0,47.2819870072,249100.0,0.0,1.0
2000-03-31,108.0,111.5,95.0,95.0,43.1902765931,332000.0,0.0,1.0
2000-04-03,98.87,99.0,92.37,92.37,41.9945878833,263700.0,0.0,1.0
2000-04-04,94.0,97.0,70.06,96.06,43.672189153000005,769900.0,0.0,1.0
2000-04-05,87.75,111.44,86.25,101.0,45.9180835359,395200.0,0.0,1.0
2000-04-06,111.0,112.5,103.06,107.0,48.645890478599995,146100.0,0.0,1.0
2000-04-07,109.37,112.69,107.0,111.44,50.6644676162,180600.0,0.0,1.0
2000-04-10,114.0,115.31,102.0,103.81,47.19560645399999,208500.0,0.0,1.0
2000-04-11,94.0,102.25,85.0,95.06,43.2175546626,402900.0,0.0,1.0
2000-04-12,93.84,95.87,86.0,88.0,40.00783516,264900.0,0.0,1.0
2000-04-13,90.62,91.62,81.12,81.19,36.91177428,294800.0,0.0,1.0
2000-04-14,76.5,77.0,69.0,70.0,31.8244143318,357500.0,0.0,1.0
2000-04-17,68.75,88.0,67.5,88.0,40.00783516,304900.0,0.0,1.0
2000-04-18,89.0,102.5,80.0,100.86,45.8544347072,405700.0,0.0,1.0
2000-04-19,100.06,106.44,95.75,106.0,48.1912559881,433500.0,0.0,1.0
2000-04-20,53.44,55.0,49.0,49.5,45.008814555,286250.0,0.0,2.0
2000-04-24,43.25,49.0,42.0,43.94,39.9532790211,310500.0,0.0,1.0
2000-04-25,47.13,53.0,46.0,50.5,45.9180835359,320900.0,0.0,1.0
2000-04-26,53.13,55.0,44.5,44.69,40.6352307568,451200.0,0.0,1.0
2000-04-27,41.5,52.0,40.25,51.94,47.2274308684,338200.0,0.0,1.0
2000-04-28,52.69,54.19,50.38,52.0,47.2819870072,312000.0,0.0,1.0
2000-05-01,51.06,56.0,51.06,52.56,47.791177636499995,212900.0,0.0,1.0
2000-05-02,51.5,57.0,50.5,51.25,46.6000352716,338700.0,0.0,1.0
2000-05-03,54.94,55.5,47.13,50.25,45.6907662906,406700.0,0.0,1.0
2000-05-04,50.13,52.25,47.56,51.38,46.7182402391,234800.0,0.0,1.0
2000-05-05,51.88,57.5,50.0,57.44,52.2284102634,516900.0,0.0,1.0
2000-05-08,54.69,57.88,53.88,54.06,49.1550811079,395300.0,0.0,1.0
2000-05-09,54.25,54.31,46.0,47.75,43.4175938384,411000.0,0.0,1.0
