Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,38.44,38.88,37.56,38.75,11.421859446700001,951200.0,0.0,1.0
1999-11-02,38.88,39.19,37.94,37.94,11.1831057396,1099100.0,0.0,1.0
1999-11-03,38.19,38.5,37.5,38.31,11.292166075,817600.0,0.0,1.0
1999-11-04,38.44,38.63,38.19,38.44,11.3304845712,469800.0,0.0,1.0
1999-11-05,38.56,39.38,38.56,39.13,11.533867358699998,858400.0,0.0,1.0
1999-11-08,39.38,40.38,39.31,40.31,11.881681401199998,928100.0,0.0,1.0
1999-11-09,41.0,41.06,39.0,39.13,11.533867358699998,1257500.0,0.0,1.0
1999-11-10,39.19,39.5,38.81,39.25,11.569238278299999,978000.0,0.0,1.0
1999-11-11,39.06,39.13,38.38,38.38,11.3127991114,663900.0,0.0,1.0
1999-11-12,38.63,38.81,37.88,38.44,11.3304845712,717100.0,0.0,1.0
1999-11-15,38.31,38.81,38.0,38.69,11.404173987,665000.0,0.0,1.0
1999-11-16,39.13,39.94,38.94,39.38,11.6075567745,997900.0,0.0,1.0
1999-11-17,39.44,40.0,39.31,39.75,11.7166171099,738200.0,0.0,1.0
1999-11-18,40.0,40.38,39.69,39.75,11.7166171099,981300.0,0.0,1.0
1999-11-19,39.75,40.38,39.56,40.06,11.8079919855,455700.0,0.0,1.0
1999-11-22,39.81,41.13,39.75,40.0,11.7903065257,1281800.0,0.0,1.0
1999-11-23,39.88,39.88,38.94,39.13,11.533867358699998,1046200.0,0.0,1.0
1999-11-24,39.13,39.31,38.63,38.81,11.4395449065,790100.0,0.0,1.0
1999-11-26,38.94,38.94,38.44,38.5,11.348170030999999,130000.0,0.0,1.0
1999-11-29,38.56,38.63,37.44,38.25,11.2744806152,561900.0,0.0,1.0
1999-11-30,38.13,38.25,37.56,38.06,11.2184766592,528900.0,0.0,1.0
1999-12-01,37.63,38.69,37.38,38.44,11.3304845712,576000.0,0.0,1.0
1999-12-02,38.06,38.63,38.06,38.06,11.2184766592,470100.0,0.0,1.0
1999-12-03,38.25,39.25,38.25,38.56,11.3658554908,663400.0,0.0,1.0
1999-12-06,38.44,38.56,37.13,37.5,11.0534123678,599300.0,0.0,1.0
1999-12-07,37.81,37.88,36.94,37.0,10.906033536199999,653900.0,0.0,1.0
1999-12-08,37.06,37.69,36.94,37.44,11.035726908,544400.0,0.0,1.0
1999-12-09,37.69,38.31,37.13,37.63,11.091730864,674300.0,0.0,1.0
1999-12-10,37.63,38.06,37.56,38.0,11.200791199400001,271900.0,0.0,1.0
1999-12-13,37.81,37.94,36.25,36.63,10.796973200899998,706400.0,0.0,1.0
1999-12-14,36.63,37.88,36.5,37.81,11.1447872434,1087300.0,0.0,1.0
1999-12-15,38.25,38.25,37.38,37.5,11.0534123678,501600.0,0.0,1.0
1999-12-16,37.38,37.88,37.25,37.63,11.091730864,434300.0,0.0,1.0
1999-12-17,37.44,37.44,37.44,37.44,11.035726908,793800.0,0.0,1.0
1999-12-20,37.5,37.5,36.75,37.06,10.923718996,724100.0,0.0,1.0
