Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2006-03-15,23.95,24.69,23.45,24.1,10.6430720552,7251200.0,0.0,1.0
2006-03-16,24.1,24.3499,23.89,24.27,10.7181476672,649100.0,0.0,1.0
2006-03-17,24.25,25.1199,24.15,25.01,11.04494739,287000.0,0.0,1.0
2006-03-20,25.17,25.61,24.7501,24.9,10.9963690528,282800.0,0.0,1.0
2006-03-21,24.89,24.8904,24.0,24.2,10.6872341799,274700.0,0.0,1.0
2006-03-22,24.05,24.3,24.0,24.16,10.66956933,103000.0,0.0,1.0
2006-03-23,24.09,24.2,23.99,24.1,10.6430720552,106200.0,0.0,1.0
2006-03-24,24.3,24.99,24.24,24.5,10.819720554000002,101300.0,0.0,1.0
2006-03-27,24.65,25.75,24.45,24.75,10.9301258658,111700.0,0.0,1.0
2006-03-28,24.73,24.86,24.55,24.7001,10.9080889655,115400.0,0.0,1.0
2006-03-29,24.95,25.05,24.75,24.9,10.9963690528,81900.0,0.0,1.0
2006-03-30,24.95,25.45,24.95,25.45,11.239260738699999,132400.0,0.0,1.0
2006-03-31,25.5,25.96,25.5,25.75,11.3717471129,100100.0,0.0,1.0
2006-04-03,25.8,25.8,24.8,24.9,10.9963690528,291800.0,0.0,1.0
2006-04-04,24.89,24.9,24.7,24.8,10.952206928099999,220200.0,0.0,1.0
2006-04-05,24.75,24.76,24.63,24.68,10.8992123785,122200.0,0.0,1.0
2006-04-06,24.5,24.68,24.05,24.25,10.7093152422,130100.0,0.0,1.0
2006-04-07,24.25,24.25,23.9,24.11,10.6474882676,33700.0,0.0,1.0
2006-04-10,24.05,24.35,24.01,24.31,10.735812517000001,43800.0,0.0,1.0
2006-04-11,24.28,24.28,23.95,24.1,10.6430720552,163800.0,0.0,1.0
2006-04-12,25.35,25.35,24.07,24.1,10.6430720552,664800.0,0.0,1.0
2006-04-13,24.15,24.45,24.01,24.38,10.7667260043,214700.0,0.0,1.0
2006-04-17,24.39,24.7,24.39,24.6,10.8638826787,203100.0,0.0,1.0
2006-04-18,24.52,24.58,23.98,24.25,10.7093152422,186400.0,0.0,1.0
2006-04-19,24.25,25.0,24.25,24.75,10.9301258658,241600.0,0.0,1.0
2006-04-20,24.8,25.94,24.73,25.6,11.3055039258,166400.0,0.0,1.0
2006-04-21,25.7,26.1,25.21,25.45,11.239260738699999,401800.0,0.0,1.0
2006-04-24,25.45,25.9,25.3,25.51,11.2657580136,92400.0,0.0,1.0
2006-04-25,25.48,26.2,25.48,25.8,11.3938281752,232500.0,0.0,1.0
2006-04-26,25.65,26.0,25.5,25.75,11.3717471129,145000.0,0.0,1.0
2006-04-27,25.76,25.851,25.26,25.39,11.212763463900002,52300.0,0.0,1.0
2006-04-28,25.39,25.4,24.13,24.73,10.9212934408,232200.0,0.0,1.0
2006-05-01,24.73,25.17,24.73,25.14,11.1023581521,151000.0,0.0,1.0
2006-05-02,25.15,25.2,24.74,24.75,10.9301258658,124000.0,0.0,1.0
2006-05-03,24.75,24.76,24.5601,24.62,10.8727151036,110100.0,0.0,1.0
2006-05-04,24.52,24.61,24.11,24.58,10.855050253800002,95500.0,0.0,1.0
2006-05-05,24.5,24.64,24.22,24.55,10.841801616400002,104900.0,0.0,1.0
2006-05-08,24.5,25.0,24.46,24.86,10.978704203,106200.0,0.0,1.0
2006-05-09,24.88,25.0,24.65,24.92,11.0052014778,85400.0,0.0,1.0
2006-05-10,25.05,25.1,24.78,24.99,11.0361149651,74200.0,0.0,1.0
2006-05-11,25.25,25.8,25.0,25.8,11.3938281752,57100.0,0.0,1.0
2006-05-12,25.4,25.5,24.94,25.47,11.248093163699998,49300.0,0.0,1.0
2006-05-15,25.34,25.4,25.14,25.28,11.164185126700001,72200.0,0.0,1.0
2006-05-16,25.25,25.74,25.24,25.54,11.279006651,84600.0,0.0,1.0
2006-05-17,25.45,25.45,25.25,25.4,11.2171796764,98200.0,0.0,1.0
2006-05-18,25.33,25.68,25.33,25.41,11.221595888900001,68800.0,0.0,1.0
2006-05-19,25.31,25.4,25.05,25.4,11.2171796764,165700.0,0.0,1.0
2006-05-22,25.36,25.53,25.06,25.51,11.2657580136,66100.0,0.0,1.0
2006-05-23,25.35,25.45,25.22,25.25,11.150936489300001,47300.0,0.0,1.0
2006-05-24,25.2,25.4,24.89,25.3,11.173017551700001,37600.0,0.0,1.0
2006-05-25,25.25,25.31,24.91,25.08,11.0758608773,50200.0,0.0,1.0
2006-05-26,25.0,25.05,24.94,25.0,11.0405311775,44200.0,0.0,1.0
2006-05-30,24.98,25.08,24.78,24.98,11.0316987526,68500.0,0.0,1.0
2006-05-31,25.0,25.29,24.95,25.19,11.1244392145,69000.0,0.0,1.0
2006-06-01,25.09,26.0,25.02,26.0,11.4821524246,40100.0,0.0,1.0
2006-06-02,25.9,26.5,25.8,26.5,11.702963048199999,69500.0,0.0,1.0
2006-06-05,26.4,26.53,26.19,26.48,11.6941306233,67400.0,0.0,1.0
2006-06-06,26.48,26.48,25.97,26.05,11.504233487,62300.0,0.0,1.0
2006-06-07,26.05,26.15,25.65,25.87,11.4247416625,52700.0,0.0,1.0
2006-06-08,25.77,25.82,25.35,25.82,11.402660600199999,40600.0,0.0,1.0
2006-06-09,25.85,25.91,24.9,24.9,10.9963690528,145000.0,0.0,1.0
2006-06-12,24.51,24.85,23.75,24.01,10.6033261429,55300.0,0.0,1.0
2006-06-13,23.89,24.01,23.02,23.04,10.1749535332,301500.0,0.0,1.0
2006-06-14,23.0,23.0,21.42,22.23,9.81724032307,230800.0,0.0,1.0
2006-06-15,22.33,22.59,22.18,22.45,9.914396997439999,185600.0,0.0,1.0
2006-06-16,22.51,23.6,22.5,23.45,10.356018244500001,90600.0,0.0,1.0
2006-06-19,23.65,23.9,21.85,22.9,10.1131265586,105100.0,0.0,1.0
2006-06-20,23.13,23.78,22.82,23.67,10.4531749189,62300.0,0.0,1.0
2006-06-21,23.62,24.6,23.45,24.44,10.793223279200001,49000.0,0.0,1.0
2006-06-22,24.53,24.85,24.51,24.63,10.8771313161,35900.0,0.0,1.0
2006-06-23,24.7,25.89,24.62,25.38,11.208347251400001,86700.0,0.0,1.0
2006-06-26,25.4,26.13,25.34,26.06,11.508649699500001,36400.0,0.0,1.0
