Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,13.63,13.75,13.44,13.63,11.2405407421,264300.0,0.0,1.0
1999-11-02,13.75,14.06,13.63,14.06,11.595157948199999,431100.0,0.0,1.0
1999-11-03,14.5,14.56,14.0,14.13,11.6528863306,453600.0,0.0,1.0
1999-11-04,14.13,14.31,14.06,14.13,11.6528863306,357800.0,0.0,1.0
1999-11-05,14.25,14.31,13.63,14.0,11.5456764776,255300.0,0.0,1.0
1999-11-08,13.94,14.13,13.81,14.0,11.5456764776,274200.0,0.0,1.0
1999-11-09,14.0,14.06,13.69,13.88,11.4467135363,266400.0,0.0,1.0
1999-11-10,13.88,14.44,13.75,13.94,11.496195007,302300.0,0.0,1.0
1999-11-11,13.94,14.06,13.63,13.75,11.339503683299998,249600.0,0.0,1.0
1999-11-12,13.69,13.94,13.44,13.75,11.339503683299998,353000.0,0.0,1.0
1999-11-15,13.63,13.75,13.44,13.63,11.2405407421,217300.0,0.0,1.0
1999-11-16,13.69,13.88,13.5,13.63,11.2405407421,414000.0,0.0,1.0
1999-11-17,13.5,13.75,13.38,13.69,11.2900222127,480000.0,0.0,1.0
1999-11-18,13.75,14.38,13.75,14.31,11.8013307424,648600.0,0.0,1.0
1999-11-19,14.44,14.5,14.25,14.44,11.9085405955,455800.0,0.0,1.0
1999-11-22,14.5,14.69,14.5,14.5,11.958022066099998,360300.0,0.0,1.0
1999-11-23,14.5,14.88,14.5,14.75,12.1641948603,466700.0,0.0,1.0
1999-11-24,14.81,14.88,14.69,14.75,12.1641948603,212700.0,0.0,1.0
1999-11-26,14.75,14.88,14.63,14.63,12.0652319191,90500.0,0.0,1.0
1999-11-29,14.63,14.88,14.63,14.69,12.1147133897,297500.0,0.0,1.0
1999-11-30,14.75,15.06,14.75,15.0,12.3703676546,1022600.0,0.0,1.0
1999-12-01,14.94,15.5,14.88,15.5,12.782713243,850900.0,0.0,1.0
1999-12-02,15.5,15.75,15.38,15.5,12.782713243,801500.0,0.0,1.0
1999-12-03,15.69,15.75,15.56,15.75,12.9888860373,415100.0,0.0,1.0
1999-12-06,15.75,16.13,15.63,15.88,13.096095890299999,659700.0,0.0,1.0
1999-12-07,15.69,16.0,15.69,15.81,13.0383675079,376200.0,0.0,1.0
1999-12-08,16.0,16.0,15.5,15.5,12.782713243,513200.0,0.0,1.0
1999-12-09,15.44,15.5,15.06,15.5,12.782713243,436600.0,0.0,1.0
1999-12-10,15.25,15.56,15.06,15.5,12.782713243,289100.0,0.0,1.0
1999-12-13,15.31,15.5,15.19,15.19,12.5270589782,493100.0,0.0,1.0
1999-12-14,15.25,15.88,15.25,15.44,12.7332317724,702100.0,0.0,1.0
1999-12-15,15.31,15.38,14.88,15.0,12.3703676546,445800.0,0.0,1.0
1999-12-16,14.94,15.13,14.88,15.0,12.3703676546,317700.0,0.0,1.0
1999-12-17,15.0,15.0,14.44,14.44,11.9085405955,986500.0,0.0,1.0
1999-12-20,14.5,14.56,13.88,14.0,11.5456764776,761600.0,0.0,1.0
1999-12-21,13.94,14.0,13.69,14.0,11.5456764776,922000.0,0.0,1.0
1999-12-22,13.88,14.25,13.88,14.13,11.6528863306,388700.0,0.0,1.0
1999-12-23,14.0,14.94,14.0,14.94,12.3208861839,1611700.0,0.0,1.0
1999-12-27,15.0,15.31,14.94,15.13,12.4775775076,475900.0,0.0,1.0
1999-12-28,15.0,15.25,15.0,15.0,12.3703676546,596900.0,0.0,1.0
1999-12-29,15.0,15.13,14.94,15.13,12.4775775076,498400.0,0.0,1.0
