Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2010-06-29,19.0,25.0,17.54,23.89,4.778,18766300.0,0.0,1.0
2010-06-30,25.79,30.4192,23.3,23.83,4.766,17187100.0,0.0,1.0
2010-07-01,25.0,25.92,20.27,21.96,4.392,8218800.0,0.0,1.0
2010-07-02,23.0,23.1,18.71,19.2,3.84,5139800.0,0.0,1.0
2010-07-06,20.0,20.0,15.83,16.11,3.222,6866900.0,0.0,1.0
2010-07-07,16.4,16.63,14.98,15.8,3.16,6921700.0,0.0,1.0
2010-07-08,16.14,17.52,15.57,17.46,3.492,7711400.0,0.0,1.0
2010-07-09,17.58,17.9,16.55,17.4,3.48,4050600.0,0.0,1.0
2010-07-12,17.95,18.07,17.0,17.05,3.41,2202500.0,0.0,1.0
2010-07-13,17.3938,18.64,16.9,18.14,3.628,2680100.0,0.0,1.0
2010-07-14,17.94,20.15,17.7601,19.84,3.968,4195200.0,0.0,1.0
2010-07-15,19.94,21.5,19.0,19.89,3.978,3739800.0,0.0,1.0
2010-07-16,20.7,21.3,20.05,20.64,4.128,2621300.0,0.0,1.0
2010-07-19,21.37,22.25,20.92,21.91,4.382,2486500.0,0.0,1.0
2010-07-20,21.85,21.85,20.05,20.3,4.06,1825300.0,0.0,1.0
2010-07-21,20.66,20.9,19.5,20.22,4.044,1252500.0,0.0,1.0
2010-07-22,20.5,21.25,20.37,21.0,4.2,957800.0,0.0,1.0
2010-07-23,21.19,21.56,21.06,21.29,4.258,653600.0,0.0,1.0
2010-07-26,21.5,21.5,20.3,20.95,4.19,922200.0,0.0,1.0
2010-07-27,20.91,21.18,20.26,20.55,4.11,619700.0,0.0,1.0
2010-07-28,20.55,20.9,20.51,20.72,4.144,467200.0,0.0,1.0
2010-07-29,20.77,20.88,20.0,20.35,4.07,616000.0,0.0,1.0
2010-07-30,20.2,20.44,19.55,19.94,3.988,426900.0,0.0,1.0
2010-08-02,20.5,20.97,20.333,20.92,4.184,718100.0,0.0,1.0
2010-08-03,21.0,21.95,20.82,21.95,4.39,1230500.0,0.0,1.0
2010-08-04,21.95,22.18,20.85,21.26,4.252,913000.0,0.0,1.0
2010-08-05,21.54,21.55,20.05,20.45,4.09,796200.0,0.0,1.0
2010-08-06,20.1,20.1601,19.52,19.59,3.918,741900.0,0.0,1.0
2010-08-09,19.9,19.98,19.45,19.6,3.92,812700.0,0.0,1.0
2010-08-10,19.65,19.65,18.82,19.03,3.806,1281300.0,0.0,1.0
2010-08-11,18.69,18.88,17.85,17.9,3.58,797600.0,0.0,1.0
2010-08-12,17.8,17.9,17.39,17.6,3.52,691000.0,0.0,1.0
2010-08-13,18.18,18.45,17.6604,18.32,3.664,634000.0,0.0,1.0
2010-08-16,18.45,18.8,18.2616,18.78,3.756,485800.0,0.0,1.0
2010-08-17,18.96,19.4,18.78,19.15,3.83,447900.0,0.0,1.0
2010-08-18,19.59,19.59,18.6,18.77,3.754,601300.0,0.0,1.0
2010-08-19,18.54,19.25,18.33,18.79,3.758,579100.0,0.0,1.0
2010-08-20,18.65,19.11,18.5101,19.1,3.82,296000.0,0.0,1.0
2010-08-23,19.09,20.3891,19.0,20.13,4.026,1088100.0,0.0,1.0
2010-08-24,19.25,19.71,18.95,19.2,3.84,673100.0,0.0,1.0
2010-08-25,19.16,19.98,18.56,19.9,3.98,503300.0,0.0,1.0
