Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2005-11-18,31.0,31.0,24.39,25.3,3.1625,17963300.0,0.0,1.0
2005-11-21,26.03,26.95,25.5,26.15,3.26875,4209600.0,0.0,1.0
2005-11-22,25.5,25.85,22.75,23.5,2.9375,3219400.0,0.0,1.0
2005-11-23,23.94,24.1,23.51,23.8,2.975,1031700.0,0.0,1.0
2005-11-25,23.825,24.0,23.5,23.68,2.96,291300.0,0.0,1.0
2005-11-28,23.68,24.2,23.58,23.7,2.9625,810600.0,0.0,1.0
2005-11-29,23.56,23.65,21.08,21.35,2.66875,2030200.0,0.0,1.0
2005-11-30,21.33,22.71,21.27,22.51,2.81375,804100.0,0.0,1.0
2005-12-01,22.845,23.73,22.6,23.15,2.89375,729600.0,0.0,1.0
2005-12-02,23.71,25.0,23.250999999999998,24.66,3.0825,1179300.0,0.0,1.0
2005-12-05,25.12,25.9,24.55,25.66,3.2075,706700.0,0.0,1.0
2005-12-06,26.06,26.16,24.52,24.7,3.0875,577200.0,0.0,1.0
2005-12-07,24.91,25.65,24.91,25.65,3.20625,440400.0,0.0,1.0
2005-12-08,25.5,25.88,25.3,25.5,3.1875,249100.0,0.0,1.0
2005-12-09,25.6,25.84,24.8,25.0,3.125,199900.0,0.0,1.0
2005-12-12,25.0,25.58,24.75,25.49,3.18625,327800.0,0.0,1.0
2005-12-13,25.76,25.9,25.25,25.59,3.19875,266100.0,0.0,1.0
2005-12-14,26.0,27.25,25.87,27.0,3.375,1031100.0,0.0,1.0
2005-12-15,27.0,27.65,26.8,27.39,3.42375,531300.0,0.0,1.0
2005-12-16,27.38,27.64,26.51,27.64,3.455,1004600.0,0.0,1.0
2005-12-19,27.59,27.6,25.15,26.49,3.31125,892700.0,0.0,1.0
2005-12-20,27.54,28.29,26.85,28.07,3.50875,1447600.0,0.0,1.0
2005-12-21,28.145,28.8,27.89,28.55,3.56875,1235600.0,0.0,1.0
2005-12-22,28.58,28.833000000000002,27.99,28.7,3.5875,535700.0,0.0,1.0
2005-12-23,28.7,31.724,28.55,31.22,3.9025,1889200.0,0.0,1.0
2005-12-27,31.9,34.92,31.52,33.26,4.1575,4149200.0,0.0,1.0
2005-12-28,34.01,36.74,33.7,36.35,4.54375,3663800.0,0.0,1.0
2005-12-29,38.95,40.0,38.28,39.86,4.9825,4522200.0,0.0,1.0
2005-12-30,39.63,39.74,37.21,38.31,4.78875,3669400.0,0.0,1.0
2006-01-03,37.19,37.39,33.18,33.36,4.17,4082600.0,0.0,1.0
2006-01-04,32.74,33.19,31.28,31.6,3.95,3764200.0,0.0,1.0
2006-01-05,32.52,35.7,32.17,35.63,4.45375,3573300.0,0.0,1.0
2006-01-06,34.98,36.37,33.65,35.47,4.43375,2776100.0,0.0,1.0
2006-01-09,35.93,35.97,34.77,35.83,4.47875,1061800.0,0.0,1.0
2006-01-10,36.18,38.49,35.54,37.5,4.6875,2962300.0,0.0,1.0
