Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,10.88,11.12,10.88,11.06,3.57954770143,243500.0,0.0,1.0
1999-11-02,11.06,11.19,11.06,11.06,3.57954770143,244800.0,0.0,1.0
1999-11-03,11.12,11.12,10.94,11.0,3.5601288169800003,245200.0,0.0,1.0
1999-11-04,11.12,11.12,11.0,11.0,3.5601288169800003,184500.0,0.0,1.0
1999-11-05,11.06,11.19,11.0,11.12,3.59896658589,219300.0,0.0,1.0
1999-11-08,11.06,11.19,11.06,11.06,3.57954770143,130800.0,0.0,1.0
1999-11-09,11.06,11.19,11.06,11.12,3.59896658589,148500.0,0.0,1.0
1999-11-10,11.12,11.12,10.94,11.0,3.5601288169800003,138400.0,0.0,1.0
1999-11-11,11.06,11.06,10.94,10.94,3.5407099325199995,127500.0,0.0,1.0
1999-11-12,10.88,11.0,10.88,11.0,3.5601288169800003,113900.0,0.0,1.0
1999-11-15,11.0,11.0,10.88,11.0,3.5601288169800003,168300.0,0.0,1.0
1999-11-16,10.69,10.94,10.56,10.75,3.4792167984099995,231100.0,0.0,1.0
1999-11-17,10.75,10.94,10.75,10.94,3.5407099325199995,131700.0,0.0,1.0
1999-11-18,10.75,10.81,10.69,10.81,3.4986356828699994,218900.0,0.0,1.0
1999-11-19,10.75,10.88,10.69,10.88,3.5212910480699997,160600.0,0.0,1.0
1999-11-22,10.88,10.88,10.69,10.75,3.4792167984099995,145000.0,0.0,1.0
1999-11-23,10.88,10.88,10.69,10.81,3.4986356828699994,185300.0,0.0,1.0
1999-11-24,10.81,10.94,10.75,10.75,3.4792167984099995,144100.0,0.0,1.0
1999-11-26,10.75,10.81,10.69,10.69,3.4597979139499997,63800.0,0.0,1.0
1999-11-29,10.69,10.88,10.69,10.75,3.4792167984099995,161400.0,0.0,1.0
1999-11-30,10.75,10.81,10.75,10.81,3.4986356828699994,155000.0,0.0,1.0
1999-12-01,10.81,10.88,10.62,10.62,3.43714254876,222000.0,0.0,1.0
1999-12-02,10.62,10.75,10.62,10.69,3.4597979139499997,129800.0,0.0,1.0
1999-12-03,10.62,10.69,10.5,10.56,3.4177236643,200600.0,0.0,1.0
1999-12-06,10.5,10.56,10.25,10.31,3.33681164573,278500.0,0.0,1.0
1999-12-07,10.31,10.31,9.94,10.06,3.25589962716,490000.0,0.0,1.0
1999-12-08,10.06,10.06,9.88,9.88,3.1976429738,243100.0,0.0,1.0
1999-12-09,9.5,9.94,9.5,9.94,3.2170618582499997,329600.0,0.0,1.0
1999-12-10,9.88,10.12,9.75,9.88,3.1976429738,230600.0,0.0,1.0
1999-12-13,9.81,9.88,9.62,9.81,3.1749876086,189200.0,0.0,1.0
1999-12-14,9.62,9.75,9.12,9.38,3.03581893666,559500.0,0.0,1.0
1999-12-15,9.31,9.69,9.25,9.69,3.13614983968,231600.0,0.0,1.0
1999-12-16,9.56,9.62,9.5,9.56,3.09407559003,217500.0,0.0,1.0
1999-12-17,9.5,9.69,9.44,9.62,3.11349447448,328600.0,0.0,1.0
1999-12-20,9.62,9.75,9.56,9.69,3.13614983968,294600.0,0.0,1.0
1999-12-21,9.69,9.81,9.62,9.62,3.11349447448,337000.0,0.0,1.0
1999-12-22,9.69,9.81,9.44,9.5,3.07465670557,343800.0,0.0,1.0
1999-12-23,9.5,9.5,9.31,9.38,3.03581893666,291200.0,0.0,1.0
1999-12-27,9.19,9.56,9.19,9.44,3.05523782112,432900.0,0.0,1.0
1999-12-28,9.5,9.75,9.44,9.62,3.11349447448,299900.0,0.0,1.0
1999-12-29,9.62,9.94,9.62,9.94,3.2170618582499997,206900.0,0.0,1.0
1999-12-30,9.81,10.0,9.75,9.75,3.1555687241400014,252900.0,0.0,1.0
1999-12-31,9.75,9.88,9.69,9.88,3.1976429738,216200.0,0.0,1.0
2000-01-03,9.94,10.0,9.69,9.94,3.2170618582499997,193500.0,0.0,1.0
2000-01-04,9.81,9.88,9.44,9.5,3.07465670557,289000.0,0.0,1.0
2000-01-05,9.62,9.94,9.62,9.69,3.13614983968,258300.0,0.0,1.0
2000-01-06,9.81,10.38,9.81,10.38,3.35946701093,206200.0,0.0,1.0
2000-01-07,10.38,10.44,10.12,10.19,3.29797387682,257600.0,0.0,1.0
2000-01-10,10.25,10.31,10.12,10.19,3.29797387682,179900.0,0.0,1.0
2000-01-11,10.25,10.38,10.12,10.31,3.33681164573,254100.0,0.0,1.0
2000-01-12,10.19,10.25,10.06,10.12,3.36270349167,278600.0,0.27,1.0
2000-01-13,10.12,10.19,9.81,9.94,3.30289256,229300.0,0.0,1.0
2000-01-14,10.0,10.06,9.81,9.94,3.30289256,2696300.0,0.0,1.0
2000-01-18,9.88,9.94,9.56,9.69,3.21982182157,301500.0,0.0,1.0
2000-01-19,9.75,10.0,9.69,9.94,3.30289256,366800.0,0.0,1.0
2000-01-20,9.94,10.06,9.94,9.94,3.30289256,211100.0,0.0,1.0
2000-01-21,10.0,10.5,10.0,10.44,3.46903403686,607200.0,0.0,1.0
2000-01-24,10.5,10.5,10.25,10.25,3.4059002756599996,194700.0,0.0,1.0
2000-01-25,10.31,10.38,10.25,10.25,3.4059002756599996,135100.0,0.0,1.0
2000-01-26,10.25,10.5,10.06,10.12,3.36270349167,217500.0,0.0,1.0
2000-01-27,10.0,10.19,9.94,9.94,3.30289256,166700.0,0.0,1.0
2000-01-28,9.94,10.06,9.88,9.88,3.28295558278,125500.0,0.0,1.0
2000-01-31,9.81,9.88,9.62,9.62,3.19656201481,213000.0,0.0,1.0
2000-02-01,9.62,9.94,9.56,9.94,3.30289256,245700.0,0.0,1.0
2000-02-02,9.88,10.06,9.81,10.06,3.34276651445,158200.0,0.0,1.0
2000-02-03,9.94,10.19,9.94,10.19,3.38596329843,261300.0,0.0,1.0
2000-02-04,10.06,10.38,10.06,10.38,3.4490970596399997,322500.0,0.0,1.0
2000-02-07,10.25,10.31,10.12,10.12,3.36270349167,147600.0,0.0,1.0
2000-02-08,10.12,10.31,10.0,10.06,3.34276651445,165400.0,0.0,1.0
2000-02-09,10.06,10.12,10.0,10.06,3.34276651445,135800.0,0.0,1.0
2000-02-10,10.06,10.19,10.0,10.06,3.34276651445,468400.0,0.0,1.0
2000-02-11,10.06,10.19,10.0,10.0,3.32282953723,156400.0,0.0,1.0
2000-02-14,10.0,10.12,10.0,10.06,3.34276651445,158200.0,0.0,1.0
2000-02-15,10.0,10.12,9.94,10.0,3.32282953723,284200.0,0.0,1.0
2000-02-16,10.06,10.06,9.81,9.81,3.25969577602,180800.0,0.0,1.0
2000-02-17,9.81,9.94,9.81,9.94,3.30289256,185500.0,0.0,1.0
2000-02-18,10.0,10.0,9.75,9.81,3.25969577602,183400.0,0.0,1.0
2000-02-22,9.75,9.81,9.62,9.75,3.2397587988,247200.0,0.0,1.0
2000-02-23,9.75,9.94,9.75,9.94,3.30289256,210900.0,0.0,1.0
2000-02-24,9.88,9.94,9.81,9.81,3.25969577602,133300.0,0.0,1.0
2000-02-25,9.81,9.94,9.81,9.88,3.28295558278,98500.0,0.0,1.0
2000-02-28,9.88,10.06,9.88,10.0,3.32282953723,210400.0,0.0,1.0
2000-02-29,9.88,10.0,9.88,10.0,3.32282953723,228000.0,0.0,1.0
2000-03-01,10.0,10.0,9.75,9.75,3.2397587988,141500.0,0.0,1.0
2000-03-02,9.69,9.94,9.69,9.88,3.28295558278,218100.0,0.0,1.0
2000-03-03,9.94,9.94,9.88,9.88,3.28295558278,178800.0,0.0,1.0
2000-03-06,9.88,9.94,9.62,9.88,3.28295558278,261300.0,0.0,1.0
2000-03-07,9.81,9.88,9.56,9.56,3.17662503759,178600.0,0.0,1.0
2000-03-08,9.56,9.81,9.56,9.81,3.25969577602,155000.0,0.0,1.0
2000-03-09,9.75,9.88,9.62,9.88,3.28295558278,129400.0,0.0,1.0
2000-03-10,9.81,9.88,9.75,9.81,3.25969577602,181700.0,0.0,1.0
2000-03-13,9.75,9.88,9.62,9.62,3.19656201481,189700.0,0.0,1.0
2000-03-14,9.62,9.69,9.56,9.56,3.17662503759,178200.0,0.0,1.0
2000-03-15,9.56,9.94,9.5,9.88,3.28295558278,362300.0,0.0,1.0
2000-03-16,9.88,9.94,9.75,9.81,3.25969577602,259900.0,0.0,1.0
2000-03-17,9.75,10.0,9.75,9.94,3.30289256,244800.0,0.0,1.0
2000-03-20,9.94,9.94,9.75,9.75,3.2397587988,132000.0,0.0,1.0
2000-03-21,9.81,9.88,9.75,9.88,3.28295558278,100800.0,0.0,1.0
2000-03-22,9.81,9.88,9.75,9.88,3.28295558278,106900.0,0.0,1.0
2000-03-23,9.75,9.88,9.75,9.81,3.25969577602,225100.0,0.0,1.0
2000-03-24,9.81,9.94,9.75,9.75,3.2397587988,213400.0,0.0,1.0
2000-03-27,9.75,10.0,9.75,9.88,3.28295558278,230500.0,0.0,1.0
2000-03-28,9.88,9.94,9.81,9.81,3.25969577602,172300.0,0.0,1.0
2000-03-29,9.94,9.94,9.81,9.81,3.25969577602,223100.0,0.0,1.0
2000-03-30,9.88,10.06,9.81,9.94,3.30289256,197600.0,0.0,1.0
2000-03-31,10.0,10.06,9.94,10.06,3.34276651445,148500.0,0.0,1.0
2000-04-03,10.06,10.12,9.94,9.94,3.30289256,176100.0,0.0,1.0
2000-04-04,10.06,10.06,9.88,10.0,3.32282953723,233400.0,0.0,1.0
2000-04-05,10.0,10.19,9.94,10.12,3.36270349167,234400.0,0.0,1.0
2000-04-06,10.12,10.19,10.0,10.19,3.38596329843,233100.0,0.0,1.0
2000-04-07,10.19,10.19,10.0,10.0,3.32282953723,403300.0,0.0,1.0
2000-04-10,10.12,10.25,10.06,10.06,3.34276651445,377400.0,0.0,1.0
2000-04-11,10.12,10.25,10.06,10.19,3.38596329843,276500.0,0.0,1.0
2000-04-12,10.0,10.06,9.94,10.0,3.41254593473,425600.0,0.27,1.0
2000-04-13,10.0,10.06,9.94,10.0,3.41254593473,204600.0,0.0,1.0
2000-04-14,9.94,10.0,9.81,9.94,3.39207065912,6002600.0,0.0,1.0
2000-04-17,9.88,9.94,9.75,9.88,3.37159538352,250700.0,0.0,1.0
2000-04-18,9.81,9.94,9.81,9.88,3.37159538352,173000.0,0.0,1.0
2000-04-19,9.81,9.88,9.75,9.88,3.37159538352,197500.0,0.0,1.0
2000-04-20,9.88,9.94,9.81,9.88,3.37159538352,194600.0,0.0,1.0
2000-04-24,9.88,10.06,9.88,9.94,3.39207065912,262200.0,0.0,1.0
2000-04-25,10.06,10.25,9.94,10.12,3.45349648595,284600.0,0.0,1.0
2000-04-26,10.0,10.12,10.0,10.06,3.43302121034,133500.0,0.0,1.0
2000-04-27,10.12,10.12,10.0,10.12,3.45349648595,89200.0,0.0,1.0
2000-04-28,10.0,10.06,9.88,10.0,3.41254593473,300200.0,0.0,1.0
2000-05-01,10.06,10.19,9.94,10.19,3.47738430749,322300.0,0.0,1.0
