Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,36.5,36.69,36.25,36.63,14.4965049196,2137800.0,0.0,1.0
1999-11-02,36.5,37.75,36.37,37.31,14.765618306099999,2655800.0,0.0,1.0
1999-11-03,37.5,37.5,35.87,35.94,14.2234339834,1854100.0,0.0,1.0
1999-11-04,36.5,37.13,36.06,36.25,14.346118027200001,1821200.0,0.0,1.0
1999-11-05,36.5,37.5,36.5,36.75,14.5439955172,2307200.0,0.0,1.0
1999-11-08,36.81,37.37,36.63,37.19,14.718127708499999,2129300.0,0.0,1.0
1999-11-09,37.31,37.31,36.25,36.56,14.468802070999999,1525300.0,0.0,1.0
1999-11-10,36.31,36.44,35.56,35.81,14.171985836,1495100.0,0.0,1.0
1999-11-11,35.81,36.12,35.31,36.12,14.2946698798,1412600.0,0.0,1.0
1999-11-12,36.37,37.0,36.12,36.75,14.5439955172,1547400.0,0.0,1.0
1999-11-15,36.94,37.62,36.37,37.56,14.864557051099998,1408000.0,0.0,1.0
1999-11-16,37.62,37.94,36.5,37.62,14.8883023499,2333200.0,0.0,1.0
1999-11-17,37.37,37.5,36.0,36.12,14.2946698798,1959700.0,0.0,1.0
1999-11-18,35.75,36.37,35.25,35.5,14.0493017922,1542900.0,0.0,1.0
1999-11-19,35.69,35.69,35.0,35.06,13.8751696009,3054200.0,0.0,1.0
1999-11-22,35.19,35.44,34.37,35.31,13.9741083459,2004500.0,0.0,1.0
1999-11-23,35.31,35.69,35.0,35.25,13.9503630471,2724900.0,0.0,1.0
1999-11-24,35.5,35.5,34.87,34.94,13.8276790033,1674100.0,0.0,1.0
1999-11-26,34.87,35.31,34.87,35.19,13.9266177483,530900.0,0.0,1.0
1999-11-29,34.0,34.87,33.75,34.06,13.540440038800002,2569300.0,0.1542,1.0
1999-11-30,34.37,35.0,34.19,34.19,13.5921211076,3282400.0,0.0,1.0
1999-12-01,33.88,34.81,33.69,34.31,13.6398267097,2111500.0,0.0,1.0
1999-12-02,34.5,34.56,33.75,34.12,13.5642928398,1138200.0,0.0,1.0
1999-12-03,34.62,35.5,34.62,35.13,13.9658149901,3459500.0,0.0,1.0
1999-12-06,25.25,25.3125,23.25,23.4375,9.3175003937,2276400.0,0.0,1.0
1999-12-07,25.25,25.5,24.19,24.25,9.64050707401,13267900.0,0.0,1.0
1999-12-08,24.44,24.81,23.56,24.0,9.54112040315,7857400.0,0.0,1.0
1999-12-09,23.56,24.25,23.12,23.37,9.290665992560001,7509600.0,0.0,1.0
1999-12-10,23.37,23.94,22.81,22.94,9.11972091867,6796500.0,0.0,1.0
1999-12-13,23.0,23.75,22.94,23.31,9.26681319156,5384300.0,0.0,1.0
1999-12-14,23.5,23.75,22.87,22.94,9.11972091867,2811200.0,0.0,1.0
1999-12-15,22.75,23.37,22.31,23.12,9.1912793217,4241500.0,0.0,1.0
1999-12-16,22.87,23.19,21.87,21.87,8.69434596737,7077100.0,0.0,1.0
1999-12-17,22.12,23.75,22.06,23.0,9.14357371968,5890300.0,0.0,1.0
1999-12-20,23.0,23.75,22.5,22.87,9.091892650830001,2542200.0,0.0,1.0
1999-12-21,22.56,23.25,22.31,23.0,9.14357371968,5001800.0,0.0,1.0
1999-12-22,23.25,23.31,22.75,23.0,9.14357371968,2445600.0,0.0,1.0
1999-12-23,23.25,23.69,23.19,23.56,9.36619986242,2361200.0,0.0,1.0
1999-12-27,23.69,24.19,23.5,24.0,9.54112040315,1897500.0,0.0,1.0
1999-12-28,23.5,23.56,23.06,23.37,9.290665992560001,1952200.0,0.0,1.0
1999-12-29,20.875,21.125,20.75,21.0625,8.43792835653,1471700.0,0.1625,1.0
1999-12-30,21.125,21.25,20.75,21.0,8.41288999346,2345200.0,0.0,1.0
1999-12-31,23.69,24.0,23.69,23.81,9.53861479734,847900.0,0.0,1.0
2000-01-03,23.44,23.62,22.0,22.25,8.91365725497,3457700.0,0.0,1.0
2000-01-04,21.94,22.0,21.19,21.5,8.613196898060004,3548100.0,0.0,1.0
2000-01-05,21.25,21.81,21.25,21.44,8.589160069510001,2739800.0,0.0,1.0
2000-01-06,21.5,22.44,21.25,22.12,8.86157745977,2451000.0,0.0,1.0
2000-01-07,22.12,22.69,22.06,22.62,9.061884364380001,2678000.0,0.0,1.0
2000-01-10,22.81,22.94,22.0,22.0,8.813503802669999,1875800.0,0.0,1.0
2000-01-11,22.0,22.5,22.0,22.12,8.86157745977,2145900.0,0.0,1.0
2000-01-12,22.06,22.81,22.06,22.31,8.93769408352,1786500.0,0.0,1.0
2000-01-13,22.62,23.19,22.62,22.94,9.19008078333,2169600.0,0.0,1.0
2000-01-14,24.0,24.0,22.81,23.06,9.23815444043,3185900.0,0.0,1.0
2000-01-18,22.62,22.87,21.87,22.12,8.86157745977,2529300.0,0.0,1.0
2000-01-19,22.06,22.94,21.62,21.81,8.737387178919999,4464000.0,0.0,1.0
2000-01-20,21.87,21.87,21.0,21.36,8.55711096477,3345400.0,0.0,1.0
2000-01-21,21.37,21.37,20.5,20.87,8.360810198260001,7066900.0,0.0,1.0
2000-01-24,20.87,21.12,20.5,20.62,8.26065674596,2732400.0,0.0,1.0
2000-01-25,20.25,21.12,20.19,20.81,8.33677336971,2321400.0,0.0,1.0
2000-01-26,20.94,21.75,20.87,21.56,8.63723372662,1641400.0,0.0,1.0
2000-01-27,21.81,22.56,21.81,22.12,8.86157745977,2945600.0,0.0,1.0
2000-01-28,22.12,22.12,21.0,21.0,8.41288999346,2103000.0,0.0,1.0
2000-01-31,21.0,22.25,20.94,22.19,8.889620426419999,3286500.0,0.0,1.0
2000-02-01,22.19,22.69,21.87,22.25,8.91365725497,2368900.0,0.0,1.0
2000-02-02,22.0,22.56,21.75,22.0,8.813503802669999,1557000.0,0.0,1.0
2000-02-03,22.19,22.44,21.75,21.94,8.78946697412,1863700.0,0.0,1.0
2000-02-04,22.06,22.37,21.19,21.31,8.537080274310004,1811400.0,0.0,1.0
2000-02-07,21.25,21.44,20.87,21.31,8.537080274310004,1581200.0,0.0,1.0
2000-02-08,21.37,22.25,21.37,21.69,8.689313521810003,2272100.0,0.0,1.0
2000-02-09,21.44,21.5,20.5,21.06,8.436926822010001,2094200.0,0.0,1.0
2000-02-10,20.75,21.0,20.06,20.19,8.08839280799,2128300.0,0.0,1.0
2000-02-11,20.5,20.75,19.87,19.94,7.988239355689997,3388400.0,0.0,1.0
2000-02-14,20.12,20.12,19.06,19.25,7.71181582734,2796700.0,0.0,1.0
2000-02-15,19.19,19.56,18.94,19.31,7.73585265589,6960000.0,0.0,1.0
2000-02-16,19.56,20.0,18.94,20.0,8.01227618424,2288700.0,0.0,1.0
2000-02-17,19.87,19.94,19.0,19.06,7.635699203580001,4150000.0,0.0,1.0
2000-02-18,18.94,19.12,18.0,18.37,7.35927567523,5318600.0,0.0,1.0
2000-02-22,18.5,18.94,18.19,18.19,7.2871651895700005,4713300.0,0.0,1.0
2000-02-23,18.5,18.5,17.75,17.81,7.1349319420700015,4387700.0,0.0,1.0
2000-02-24,18.0,18.06,17.62,17.75,7.11089511352,3454800.0,0.0,1.0
