Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,31.75,32.0,31.56,32.0,9.17211541337,122865.0,0.0,1.0
1999-11-02,32.0,33.0,32.0,32.88,9.42434858723,174345.0,0.0,1.0
1999-11-03,33.13,33.13,32.69,32.69,9.36988915197,83839.0,0.0,1.0
1999-11-04,32.38,32.63,32.38,32.56,9.4332828009,265342.0,0.3512,1.0
1999-11-05,33.13,33.25,32.75,33.06,9.57814279477,221804.0,0.0,1.0
1999-11-08,33.13,33.13,32.44,32.75,9.48832959857,61089.0,0.0,1.0
1999-11-09,32.69,32.75,32.0,32.69,9.470946399310002,99920.0,0.0,1.0
1999-11-10,32.75,32.88,32.38,32.69,9.470946399310002,34124.0,0.0,1.0
1999-11-11,32.69,32.81,32.38,32.56,9.4332828009,32653.0,0.0,1.0
1999-11-12,32.63,32.75,32.19,32.5,9.41589960164,104038.0,0.0,1.0
1999-11-15,32.63,32.63,31.94,32.38,9.381133203110002,46479.0,0.0,1.0
1999-11-16,32.63,32.63,32.13,32.25,9.343469604700001,67267.0,0.0,1.0
1999-11-17,32.44,32.5,32.25,32.44,9.39851640237,50989.0,0.0,1.0
1999-11-18,32.31,32.5,32.31,32.38,9.381133203110002,58050.0,0.0,1.0
1999-11-19,32.38,32.38,31.88,32.19,9.32608640544,167971.0,0.0,1.0
1999-11-22,32.44,32.75,32.06,32.38,9.381133203110002,95703.0,0.0,1.0
1999-11-23,32.13,32.19,31.75,31.81,9.2159928101,92762.0,0.0,1.0
1999-11-24,31.94,32.19,31.5,32.0,9.27103960777,88251.0,0.0,1.0
1999-11-26,31.75,31.88,31.5,31.75,9.198609610830001,10100.0,0.0,1.0
1999-11-29,32.0,32.0,31.19,31.44,9.108796414630001,128847.0,0.0,1.0
1999-11-30,31.56,31.63,31.38,31.56,9.14356281316,191505.0,0.0,1.0
1999-12-01,31.38,31.63,31.06,31.63,9.1638432123,132867.0,0.0,1.0
1999-12-02,31.56,31.63,31.38,31.5,9.1261796139,197682.0,0.0,1.0
1999-12-03,31.31,31.88,31.13,31.63,9.1638432123,138358.0,0.0,1.0
1999-12-06,31.88,32.25,31.88,32.25,9.343469604700001,205429.0,0.0,1.0
1999-12-07,32.19,32.38,32.19,32.31,9.36085280397,180228.0,0.0,1.0
1999-12-08,32.31,32.31,32.0,32.06,9.28842280703,124140.0,0.0,1.0
1999-12-09,32.06,32.06,31.44,31.75,9.198609610830001,119139.0,0.0,1.0
1999-12-10,31.81,32.06,31.31,31.69,9.18122641157,47361.0,0.0,1.0
1999-12-13,31.75,31.75,30.75,31.0,8.981319620019999,97959.0,0.0,1.0
1999-12-14,30.75,31.25,30.75,30.88,8.9465532215,265145.0,0.0,1.0
1999-12-15,30.94,30.94,30.5,30.56,8.85384282542,116491.0,0.0,1.0
1999-12-16,30.56,30.56,29.69,30.38,8.80169322762,1101275.0,0.0,1.0
1999-12-17,30.19,33.25,30.0,32.69,9.470946399310002,1034891.0,0.0,1.0
1999-12-20,32.44,33.75,31.63,31.94,9.2536564085,730425.0,0.0,1.0
1999-12-21,32.63,33.06,32.25,32.94,9.54337639625,183954.0,0.0,1.0
1999-12-22,33.0,33.0,32.31,32.44,9.39851640237,100410.0,0.0,1.0
1999-12-23,32.0,32.69,32.0,32.63,9.45356320005,135711.0,0.0,1.0
1999-12-27,33.56,33.56,32.06,32.5,9.41589960164,147870.0,0.0,1.0
1999-12-28,32.63,33.56,32.5,32.75,9.48832959857,225040.0,0.0,1.0
1999-12-29,32.75,33.5,32.63,33.31,9.65057279171,62462.0,0.0,1.0
1999-12-30,33.06,33.94,33.06,33.25,9.63318959245,186406.0,0.0,1.0
1999-12-31,33.25,33.75,32.5,32.5,9.41589960164,63050.0,0.0,1.0
2000-01-03,32.63,33.44,32.5,33.38,9.67085319085,207488.0,0.0,1.0
2000-01-04,33.13,33.5,33.0,33.38,9.67085319085,211312.0,0.0,1.0
2000-01-05,33.06,34.13,32.94,34.13,9.88814318166,137279.0,0.0,1.0
2000-01-06,34.13,34.75,33.94,34.69,10.0503863748,133161.0,0.0,1.0
2000-01-07,34.5,35.13,34.5,34.94,10.122816371699999,1091273.0,0.0,1.0
2000-01-10,34.94,36.0,34.75,35.25,10.212629567899999,254457.0,0.0,1.0
2000-01-11,35.38,35.38,34.75,34.88,10.1054331725,186504.0,0.0,1.0
2000-01-12,34.63,34.75,34.44,34.5,9.99533957712,66090.0,0.0,1.0
2000-01-13,34.5,34.56,34.31,34.44,9.97795637786,63835.0,0.0,1.0
2000-01-14,34.44,34.44,33.88,33.88,9.81571318472,122571.0,0.0,1.0
2000-01-18,33.75,34.63,33.75,34.31,9.940292779450001,92467.0,0.0,1.0
2000-01-19,34.31,34.38,34.0,34.13,9.88814318166,128945.0,0.0,1.0
2000-01-20,34.0,34.13,33.75,33.81,9.795432785580001,58638.0,0.0,1.0
2000-01-21,33.88,33.94,33.56,33.56,9.72300278865,147281.0,0.0,1.0
2000-01-24,33.31,33.5,32.19,32.44,9.39851640237,346434.0,0.0,1.0
2000-01-25,32.44,32.44,31.88,32.0,9.27103960777,465573.0,0.0,1.0
2000-01-26,32.0,32.13,31.38,32.06,9.28842280703,125415.0,0.0,1.0
2000-01-27,31.81,32.13,31.63,31.94,9.2536564085,115805.0,0.0,1.0
2000-01-28,31.94,31.94,31.69,31.94,9.2536564085,82368.0,0.0,1.0
2000-01-31,31.94,32.0,31.31,31.31,9.07113281623,219353.0,0.0,1.0
2000-02-01,31.56,31.94,31.38,31.75,9.198609610830001,519799.0,0.0,1.0
2000-02-02,31.75,31.81,31.5,31.75,9.198609610830001,351631.0,0.0,1.0
2000-02-03,31.25,31.25,31.06,31.25,9.15549058506,167873.0,0.3512,1.0
2000-02-04,31.25,31.31,30.5,30.63,8.973845651849999,1634900.0,0.0,1.0
2000-02-07,30.5,31.0,30.5,31.0,9.08224666038,147379.0,0.0,1.0
2000-02-08,31.0,31.0,30.75,30.94,9.064668118450001,178365.0,0.0,1.0
2000-02-09,30.94,31.0,30.75,30.94,9.064668118450001,245828.0,0.0,1.0
2000-02-10,31.0,31.0,30.69,30.75,9.009002735700001,164735.0,0.0,1.0
2000-02-11,30.75,31.0,30.69,30.75,9.009002735700001,100312.0,0.0,1.0
2000-02-14,30.75,30.75,30.5,30.56,8.953337352939998,276912.0,0.0,1.0
2000-02-15,30.69,31.13,30.5,31.0,9.08224666038,165814.0,0.0,1.0
2000-02-16,30.81,30.88,30.56,30.63,8.973845651849999,130710.0,0.0,1.0
2000-02-17,30.69,30.88,30.56,30.88,9.04708957653,73641.0,0.0,1.0
2000-02-18,30.88,31.0,30.5,30.63,8.973845651849999,114628.0,0.0,1.0
2000-02-22,30.38,30.81,30.38,30.69,8.99142419377,227001.0,0.0,1.0
2000-02-23,30.75,30.88,30.13,30.5,8.93575881101,239160.0,0.0,1.0
2000-02-24,30.75,30.75,30.25,30.38,8.90060172717,111785.0,0.0,1.0
2000-02-25,30.25,30.38,30.13,30.13,8.827357802489999,56775.0,0.0,1.0
2000-02-28,30.13,30.38,30.0,30.31,8.88009342826,128650.0,0.0,1.0
2000-02-29,30.44,30.63,30.25,30.59,8.9621266239,103646.0,0.0,1.0
2000-03-01,30.38,30.94,30.31,30.81,9.02658127762,99626.0,0.0,1.0
2000-03-02,30.69,31.06,30.5,30.88,9.04708957653,78838.0,0.0,1.0
2000-03-03,30.69,30.88,30.63,30.69,8.99142419377,139731.0,0.0,1.0
2000-03-06,30.81,31.25,30.69,30.94,9.064668118450001,92762.0,0.0,1.0
2000-03-07,30.94,31.19,30.81,31.0,9.08224666038,271323.0,0.0,1.0
2000-03-08,30.88,31.0,30.56,30.81,9.02658127762,86290.0,0.0,1.0
2000-03-09,30.81,30.81,30.44,30.5,8.93575881101,121296.0,0.0,1.0
2000-03-10,30.5,30.56,30.44,30.5,8.93575881101,145320.0,0.0,1.0
2000-03-13,30.69,30.69,29.88,29.88,8.754113877810001,85898.0,0.0,1.0
2000-03-14,30.0,30.5,29.94,30.38,8.90060172717,165716.0,0.0,1.0
2000-03-15,30.44,30.75,30.38,30.75,9.009002735700001,378009.0,0.0,1.0
2000-03-16,30.63,32.0,30.63,31.81,9.31955697634,248476.0,0.0,1.0
2000-03-17,31.94,32.13,31.0,31.81,9.31955697634,591674.0,0.0,1.0
2000-03-20,32.19,32.5,31.38,32.0,9.3752223591,639134.0,0.0,1.0
