Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,47.0,47.19,46.31,46.88,12.890965681099999,5041900.0,0.0,1.0
1999-11-02,46.69,48.06,46.5,47.38,13.0284546495,4988200.0,0.0,1.0
1999-11-03,47.19,47.31,46.13,46.13,12.739727815799998,4102200.0,0.2,1.0
1999-11-04,46.63,47.31,46.63,47.0,12.9799958236,4433500.0,0.0,1.0
1999-11-05,48.0,48.38,46.63,46.81,12.9275235001,5443800.0,0.0,1.0
1999-11-08,46.0,47.13,45.75,47.13,13.0158979397,5332900.0,0.0,1.0
1999-11-09,47.13,47.19,45.0,45.44,12.5491704303,4573000.0,0.0,1.0
1999-11-10,44.5,45.44,44.0,44.94,12.411085368299998,4090400.0,0.0,1.0
1999-11-11,45.0,45.75,44.5,45.44,12.5491704303,3001300.0,0.0,1.0
1999-11-12,46.13,47.88,45.75,47.75,13.1871234165,4847200.0,0.0,1.0
1999-11-15,47.88,47.94,46.75,47.25,13.0490383546,3201300.0,0.0,1.0
1999-11-16,47.06,48.25,47.06,48.13,13.292068063599999,3096500.0,0.0,1.0
1999-11-17,48.0,48.0,47.0,47.13,13.0158979397,2588200.0,0.0,1.0
1999-11-18,47.69,48.06,47.19,47.94,13.2395957401,3537900.0,0.0,1.0
1999-11-19,47.94,48.13,47.5,47.5,13.1180808855,3359300.0,0.0,1.0
1999-11-22,46.81,47.94,46.56,46.81,12.9275235001,3446500.0,0.0,1.0
1999-11-23,47.0,47.25,45.81,46.13,12.739727815799998,3117300.0,0.0,1.0
1999-11-24,46.0,46.63,46.0,46.0,12.7038256997,2324700.0,0.0,1.0
1999-11-26,46.25,46.31,45.94,45.94,12.6872554923,1040200.0,0.0,1.0
1999-11-29,45.63,45.81,45.0,45.0,12.4276555758,3103800.0,0.0,1.0
1999-11-30,45.0,46.94,45.0,46.5,12.841910761600001,4779900.0,0.0,1.0
1999-12-01,46.38,47.06,46.25,46.88,12.9468554087,3343900.0,0.0,1.0
1999-12-02,46.63,47.5,46.63,47.06,12.996566030999999,3079800.0,0.0,1.0
1999-12-03,47.75,48.63,47.19,47.19,13.032468147100001,4833700.0,0.0,1.0
1999-12-06,47.44,47.63,45.44,45.75,12.634783168699999,4232700.0,0.0,1.0
1999-12-07,45.0,45.56,43.94,44.06,12.1680556593,6214400.0,0.0,1.0
1999-12-08,43.56,44.0,43.44,43.7,12.0686344147,5712500.0,0.0,1.0
1999-12-09,43.56,45.0,43.56,44.75,12.3586130448,4040600.0,0.0,1.0
1999-12-10,45.44,45.5,44.88,44.88,12.3945151609,3576900.0,0.0,1.0
1999-12-13,44.25,44.56,43.88,44.2,12.2067194767,2733700.0,0.0,1.0
1999-12-14,43.88,44.31,43.06,43.5,12.0134003899,2969300.0,0.0,1.0
1999-12-15,43.06,43.44,41.63,41.81,11.5466728805,4565100.0,0.0,1.0
1999-12-16,38.56,40.63,38.5,39.44,10.8921496869,8570100.0,0.0,1.0
1999-12-17,39.94,39.94,39.94,39.94,11.030234748800002,6781800.0,0.0,1.0
