Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,70.25,71.94,70.13,71.06,41.3503186661,480200.0,0.0,1.0
1999-11-02,71.13,73.56,71.0,71.56,41.6412722171,519100.0,0.0,1.0
1999-11-03,70.06,70.13,67.81,68.06,39.6045973602,1083700.0,0.0,1.0
1999-11-04,68.38,69.44,67.63,68.5,39.860636485,386200.0,0.0,1.0
1999-11-05,70.0,70.38,69.5,70.0,40.733497138000004,668700.0,0.0,1.0
1999-11-08,69.88,69.94,68.56,68.94,40.1166756099,383000.0,0.0,1.0
1999-11-09,69.63,70.44,69.13,70.38,40.9546218368,312800.0,0.0,1.0
1999-11-10,70.13,70.38,68.63,68.69,39.9711988344,251000.0,0.0,1.0
1999-11-11,68.44,68.94,67.75,67.94,39.5347685079,348100.0,0.0,1.0
1999-11-12,68.19,68.63,66.69,67.88,39.499854081799995,265700.0,0.0,1.0
1999-11-15,67.13,67.38,66.13,66.94,38.952861406,504100.0,0.0,1.0
1999-11-16,67.19,68.94,66.88,67.38,39.2089005308,232400.0,0.0,1.0
1999-11-17,66.75,67.13,64.88,65.44,38.080000753,358000.0,0.0,1.0
1999-11-18,65.69,67.25,65.63,66.81,38.8772134827,586300.0,0.0,1.0
1999-11-19,67.06,67.06,64.5,65.0,37.8239616281,449900.0,0.0,1.0
1999-11-22,65.0,65.88,64.31,64.38,37.463179224899996,311500.0,0.0,1.0
1999-11-23,64.25,64.25,63.25,63.5,36.9511009752,262800.0,0.0,1.0
1999-11-24,63.5,63.5,62.38,62.63,36.4448417965,225900.0,0.0,1.0
1999-11-26,62.63,63.56,62.56,63.31,36.8405386258,165000.0,0.0,1.0
1999-11-29,62.69,64.56,62.38,63.44,37.1140349637,213500.0,0.34,1.0
1999-11-30,63.19,63.25,61.0,61.0,35.6865720805,283800.0,0.0,1.0
1999-12-01,61.44,62.69,60.88,61.13,35.7626254309,358900.0,0.0,1.0
1999-12-02,61.31,62.81,61.31,62.19,36.382752749,230300.0,0.0,1.0
1999-12-03,62.75,63.88,61.63,61.81,36.1604429557,243400.0,0.0,1.0
1999-12-06,61.81,62.25,61.31,61.88,36.2013947597,409800.0,0.0,1.0
1999-12-07,61.88,62.94,61.56,61.63,36.0551383168,256900.0,0.0,1.0
1999-12-08,61.44,61.94,59.81,60.19,35.2127012054,461100.0,0.0,1.0
1999-12-09,60.25,62.81,60.25,61.19,35.7977269772,328300.0,0.0,1.0
1999-12-10,61.19,61.63,58.88,59.44,34.7739318765,339400.0,0.0,1.0
1999-12-13,59.44,59.44,56.88,57.94,33.8963932188,418800.0,0.0,1.0
1999-12-14,57.94,60.63,56.75,59.88,35.0313432161,557800.0,0.0,1.0
1999-12-15,60.0,61.44,60.0,61.19,35.7977269772,488800.0,0.0,1.0
1999-12-16,61.25,61.44,60.75,61.31,35.8679300698,369700.0,0.0,1.0
1999-12-17,61.38,63.25,61.38,61.94,36.236496306,530000.0,0.0,1.0
1999-12-20,62.0,62.94,61.75,62.13,36.3476512027,316400.0,0.0,1.0
1999-12-21,62.25,64.0,62.25,63.44,37.1140349637,311500.0,0.0,1.0
1999-12-22,63.19,63.25,61.44,62.81,36.7454687275,210700.0,0.0,1.0
1999-12-23,63.0,63.81,62.56,62.94,36.821522077800005,156700.0,0.0,1.0
1999-12-27,62.94,63.88,62.56,63.31,37.0379816134,166300.0,0.0,1.0
1999-12-28,63.31,63.63,62.81,62.81,36.7454687275,194600.0,0.0,1.0
1999-12-29,63.56,64.44,63.56,63.75,37.295392953000004,157300.0,0.0,1.0
1999-12-30,63.63,65.81,63.5,64.94,37.9915736215,126000.0,0.0,1.0
1999-12-31,64.69,65.38,64.06,65.06,38.0617767141,136600.0,0.0,1.0
2000-01-03,64.31,64.44,61.69,61.81,36.1604429557,294400.0,0.0,1.0
2000-01-04,61.56,62.19,58.94,59.44,34.7739318765,472600.0,0.0,1.0
2000-01-05,59.44,60.5,59.31,59.94,35.066444762399996,419500.0,0.0,1.0
2000-01-06,60.19,61.63,59.69,60.81,35.5754171839,266600.0,0.0,1.0
2000-01-07,60.94,61.56,60.38,61.0,35.6865720805,298400.0,0.0,1.0
2000-01-10,61.25,62.69,61.13,61.75,36.1253414094,212700.0,0.0,1.0
2000-01-11,62.0,64.56,62.0,64.0,37.441649396,309500.0,0.0,1.0
2000-01-12,63.75,63.81,61.75,61.75,36.1253414094,357100.0,0.0,1.0
2000-01-13,62.0,62.25,61.25,61.44,35.943983420100004,174500.0,0.0,1.0
2000-01-14,61.5,62.19,61.13,61.19,35.7977269772,239500.0,0.0,1.0
2000-01-18,60.0,60.31,59.25,59.31,34.6978785262,233500.0,0.0,1.0
2000-01-19,61.5,63.19,59.63,59.63,34.8850867731,548000.0,0.0,1.0
2000-01-20,59.88,60.56,59.13,59.5,34.8090334228,471900.0,0.0,1.0
2000-01-21,56.0,58.0,52.25,57.5,33.6389818792,2453200.0,0.0,1.0
2000-01-24,57.75,59.94,57.38,57.94,33.8963932188,894400.0,0.0,1.0
2000-01-25,57.94,58.38,51.75,53.63,31.3749321423,1122600.0,0.0,1.0
2000-01-26,55.06,59.94,55.0,59.88,35.0313432161,920900.0,0.0,1.0
2000-01-27,59.63,60.25,56.44,56.69,33.165111004,895100.0,0.0,1.0
2000-01-28,55.38,58.56,55.38,56.75,33.2002125503,375500.0,0.0,1.0
2000-01-31,56.5,58.75,56.25,58.25,34.077751208,391500.0,0.0,1.0
2000-02-01,58.25,60.44,58.25,59.69,34.9201883194,531500.0,0.0,1.0
2000-02-02,59.44,59.5,57.56,57.63,33.715035229499996,468300.0,0.0,1.0
2000-02-03,57.56,58.25,57.06,57.56,33.6740834255,355000.0,0.0,1.0
2000-02-04,57.81,57.81,56.31,56.38,32.9837530148,300100.0,0.0,1.0
2000-02-07,56.38,57.25,55.0,55.56,32.5040318819,495300.0,0.0,1.0
2000-02-08,55.81,56.19,54.38,54.38,31.8137014711,372300.0,0.0,1.0
2000-02-09,55.06,55.38,54.69,54.94,32.1413159033,355200.0,0.0,1.0
2000-02-10,55.0,55.44,54.13,54.38,31.8137014711,288900.0,0.0,1.0
2000-02-11,54.94,55.38,52.63,52.75,30.8601094631,253400.0,0.0,1.0
2000-02-14,51.75,53.88,50.5,52.94,30.971264359699997,741400.0,0.0,1.0
2000-02-15,53.06,54.06,51.94,52.69,30.825007916799997,711000.0,0.0,1.0
2000-02-16,53.06,54.13,53.0,53.75,31.445135234899997,493300.0,0.0,1.0
2000-02-17,54.0,58.44,54.0,57.0,33.3464689933,575000.0,0.0,1.0
2000-02-18,56.38,56.69,54.44,54.5,31.8839045637,487000.0,0.0,1.0
2000-02-22,54.5,55.25,54.25,54.56,31.919006110100003,473400.0,0.0,1.0
2000-02-23,54.56,54.94,54.13,54.19,31.702546574499998,467700.0,0.0,1.0
2000-02-24,54.19,54.69,52.56,54.25,31.7376481208,673400.0,0.0,1.0
2000-02-25,53.88,54.44,53.31,53.38,31.4275844617,699900.0,0.34,1.0
2000-02-28,53.88,54.0,52.88,53.63,31.5747724744,291900.0,0.0,1.0
2000-02-29,53.13,55.0,53.13,54.31,31.9751238688,486000.0,0.0,1.0
2000-03-01,54.31,54.44,51.75,53.44,31.4629095848,317000.0,0.0,1.0
2000-03-02,53.19,53.38,51.13,51.5,30.320730606599998,353200.0,0.0,1.0
2000-03-03,51.56,53.25,51.31,52.19,30.726969521500003,543900.0,0.0,1.0
2000-03-06,52.13,52.81,52.13,52.31,30.7976197676,321400.0,0.0,1.0
2000-03-07,52.06,53.63,50.25,50.44,29.6966534329,329400.0,0.0,1.0
2000-03-08,50.75,51.0,48.63,49.63,29.2197642719,392600.0,0.0,1.0
2000-03-09,49.63,52.19,49.19,51.69,30.4325934962,583700.0,0.0,1.0
2000-03-10,51.94,52.44,49.5,50.06,29.472927653699998,276400.0,0.0,1.0
2000-03-13,49.5,50.63,49.0,49.56,29.1785516284,388000.0,0.0,1.0
2000-03-14,49.81,50.44,48.88,48.88,28.778200234,409500.0,0.0,1.0
2000-03-15,49.13,56.38,49.13,54.06,31.8279358561,650600.0,0.0,1.0
2000-03-16,56.0,58.63,55.44,58.44,34.4066698378,844400.0,0.0,1.0
2000-03-17,58.38,59.75,57.0,57.06,33.594192008,581700.0,0.0,1.0
2000-03-20,57.19,57.69,55.13,56.88,33.4882166389,486600.0,0.0,1.0
2000-03-21,56.88,61.94,56.75,60.38,35.548848815999996,611700.0,0.0,1.0
2000-03-22,59.38,59.63,56.38,57.63,33.9297806768,451700.0,0.0,1.0
2000-03-23,57.88,59.13,57.0,58.0,34.1476189356,237600.0,0.0,1.0
2000-03-24,58.0,59.25,56.75,56.81,33.4470039953,301200.0,0.0,1.0
2000-03-27,56.88,58.19,56.5,56.5,33.2644908596,311300.0,0.0,1.0
2000-03-28,55.88,57.88,55.75,56.19,33.081977724,240600.0,0.0,1.0
2000-03-29,55.94,59.69,55.75,58.94,34.7010458631,320500.0,0.0,1.0
2000-03-30,59.06,62.0,59.0,59.69,35.1426099011,359800.0,0.0,1.0
2000-03-31,59.94,60.56,58.63,58.63,34.5185327275,325300.0,0.0,1.0
2000-04-03,58.81,61.31,58.75,59.38,34.9600967654,480700.0,0.0,1.0
2000-04-04,60.44,64.0,59.94,62.06,36.5379522611,563600.0,0.0,1.0
2000-04-05,61.5,63.13,60.5,60.63,35.6960368287,315800.0,0.0,1.0
2000-04-06,60.38,61.94,60.13,60.75,35.766687074800004,361400.0,0.0,1.0
2000-04-07,60.63,60.81,59.19,60.19,35.4369859264,202900.0,0.0,1.0
2000-04-10,60.13,62.0,60.0,61.5,36.2082511127,229200.0,0.0,1.0
2000-04-11,61.75,62.94,60.94,61.31,36.0963882231,268900.0,0.0,1.0
2000-04-12,61.56,64.5,61.56,63.88,37.6094809932,426600.0,0.0,1.0
2000-04-13,64.0,64.75,63.75,64.0,37.6801312392,499100.0,0.0,1.0
2000-04-14,64.25,64.38,61.13,61.5,36.2082511127,455900.0,0.0,1.0
2000-04-17,61.38,62.25,60.56,61.0,35.9138750874,298300.0,0.0,1.0
2000-04-18,61.0,61.0,59.38,60.19,35.4369859264,377700.0,0.0,1.0
2000-04-19,60.63,61.0,57.25,58.06,34.1829440586,662900.0,0.0,1.0
2000-04-20,58.0,62.94,58.0,61.75,36.3554391254,625200.0,0.0,1.0
2000-04-24,61.63,65.88,61.56,64.13,37.7566690058,518800.0,0.0,1.0
2000-04-25,65.13,67.44,64.44,66.63,39.2285491324,701100.0,0.0,1.0
2000-04-26,66.56,67.56,65.25,66.25,39.0048233531,657900.0,0.0,1.0
2000-04-27,64.5,65.69,64.06,64.38,37.9038570185,503000.0,0.0,1.0
2000-04-28,64.63,66.88,64.5,65.13,38.3454210564,545500.0,0.0,1.0
2000-05-01,66.44,68.0,65.56,67.0,39.446387391100004,476300.0,0.0,1.0
2000-05-02,67.06,68.31,65.94,66.5,39.1520113658,504000.0,0.0,1.0
2000-05-03,65.88,68.19,65.88,67.25,39.5935754037,509600.0,0.0,1.0
2000-05-04,67.13,67.81,65.0,65.0,38.268883289899996,329300.0,0.0,1.0
2000-05-05,64.75,67.75,64.44,66.81,39.3345245015,263500.0,0.0,1.0
2000-05-08,67.06,67.19,62.88,63.25,37.2385672013,399300.0,0.0,1.0
2000-05-09,64.5,65.34,62.56,63.5,37.3857552139,445100.0,0.0,1.0
2000-05-10,63.63,64.25,61.69,61.88,36.4319768919,298800.0,0.0,1.0
2000-05-11,62.25,66.13,62.13,65.69,38.6751222048,291500.0,0.0,1.0
2000-05-12,65.56,65.69,63.5,63.75,37.5329432266,252400.0,0.0,1.0
2000-05-15,63.63,65.19,63.19,65.06,38.3042084129,304000.0,0.0,1.0
2000-05-16,64.69,67.13,64.69,65.13,38.5455967536,321300.0,0.34,1.0
2000-05-17,64.5,64.75,62.63,63.06,37.320517906999996,289400.0,0.0,1.0
2000-05-18,64.0,65.75,63.75,64.88,38.3976403712,246400.0,0.0,1.0
2000-05-19,63.75,63.81,61.63,61.94,36.6576733137,576800.0,0.0,1.0
2000-05-22,62.0,62.69,60.63,61.13,36.1782946346,352900.0,0.0,1.0
2000-05-23,61.38,62.94,61.38,61.75,36.545226463,200300.0,0.0,1.0
2000-05-24,61.63,63.63,60.5,62.63,37.0660329292,364400.0,0.0,1.0
2000-05-25,62.38,63.25,60.38,61.0,36.1013573157,355600.0,0.0,1.0
2000-05-26,61.0,61.0,58.63,59.0,34.9177062562,498200.0,0.0,1.0
2000-05-30,60.13,60.94,59.31,60.69,35.9178914015,337400.0,0.0,1.0
2000-05-31,60.0,60.75,56.69,56.69,33.5505892824,516300.0,0.0,1.0
2000-06-01,56.94,57.25,56.38,56.56,33.4736519636,666900.0,0.0,1.0
2000-06-02,57.0,61.13,56.88,59.75,35.3615754035,378800.0,0.0,1.0
2000-06-05,59.75,60.44,57.25,58.38,34.5507744277,330500.0,0.0,1.0
2000-06-06,57.88,57.94,54.56,55.3,32.727951796,926500.0,0.0,1.0
2000-06-07,55.81,56.25,53.44,53.94,31.9230690756,724900.0,0.0,1.0
2000-06-08,54.06,55.13,54.06,54.19,32.071025458,186000.0,0.0,1.0
2000-06-09,54.88,55.38,53.69,54.38,32.1834723087,330500.0,0.0,1.0
2000-06-12,54.38,56.5,54.38,55.25,32.6983605196,378100.0,0.0,1.0
2000-06-13,55.0,55.31,53.31,53.44,31.627156310700002,900100.0,0.0,1.0
2000-06-14,53.56,56.0,53.38,53.81,31.8461317567,450100.0,0.0,1.0
2000-06-15,53.81,54.25,52.5,53.38,31.5916467789,408500.0,0.0,1.0
2000-06-16,53.25,53.31,50.69,51.5,30.4790147829,479100.0,0.0,1.0
2000-06-19,51.25,51.63,50.0,50.63,29.964126571999998,748800.0,0.0,1.0
2000-06-20,51.0,51.0,49.19,49.56,29.3308732552,576300.0,0.0,1.0
2000-06-21,49.75,49.94,48.5,48.63,28.7804755125,437900.0,0.0,1.0
2000-06-22,48.75,51.63,48.69,50.56,29.922698785,601000.0,0.0,1.0
2000-06-23,50.63,51.88,50.0,51.44,30.443505251199998,361500.0,0.0,1.0
2000-06-26,51.44,52.25,49.5,49.5,29.2953637234,370100.0,0.0,1.0
2000-06-27,50.38,52.38,50.38,51.88,30.7039084842,265600.0,0.0,1.0
2000-06-28,52.5,53.06,50.88,51.36,30.3961592088,305800.0,0.0,1.0
2000-06-29,51.38,52.81,50.88,50.88,30.112082954499996,421700.0,0.0,1.0
2000-06-30,49.25,51.38,46.61,46.63,27.596824453000004,1455400.0,0.0,1.0
2000-07-03,47.25,50.94,47.25,50.5,29.887189253200003,417100.0,0.0,1.0
2000-07-05,50.63,51.56,49.88,49.94,29.5557669565,396900.0,0.0,1.0
2000-07-06,49.69,51.63,49.69,51.0,30.183102018099998,431600.0,0.0,1.0
2000-07-07,51.0,51.81,50.0,50.5,29.887189253200003,247800.0,0.0,1.0
2000-07-10,50.69,52.94,50.69,52.56,31.1063498445,278800.0,0.0,1.0
2000-07-11,52.0,53.75,52.0,53.69,31.7751126931,337000.0,0.0,1.0
2000-07-12,53.25,53.38,52.0,53.31,31.550218991799998,543200.0,0.0,1.0
2000-07-13,53.25,54.06,52.75,54.06,31.994088139099997,480700.0,0.0,1.0
2000-07-14,53.88,53.94,52.75,53.25,31.51470946,196400.0,0.0,1.0
2000-07-17,52.63,54.06,52.06,54.06,31.994088139099997,354300.0,0.0,1.0
2000-07-18,49.5,50.94,49.06,49.38,29.2243446598,1390100.0,0.0,1.0
2000-07-19,49.38,49.63,47.5,48.13,28.484562747600002,659300.0,0.0,1.0
2000-07-20,47.88,48.75,47.31,48.0,28.4076254288,729300.0,0.0,1.0
2000-07-21,47.63,48.13,47.25,47.69,28.2241595145,527900.0,0.0,1.0
2000-07-24,47.44,48.75,46.69,46.94,27.7802903672,548000.0,0.0,1.0
2000-07-25,44.88,44.94,41.0,43.13,25.525435098800003,2039500.0,0.0,1.0
2000-07-26,43.25,43.81,41.0,41.44,24.525249953499998,1374700.0,0.0,1.0
2000-07-27,41.5,42.06,40.06,40.5,23.968933955500002,1368800.0,0.0,1.0
2000-07-28,40.75,41.31,40.56,40.88,24.1938276568,990400.0,0.0,1.0
2000-07-31,40.75,43.88,40.75,43.19,25.560944630599998,613300.0,0.0,1.0
2000-08-01,42.25,43.06,42.19,42.31,25.040138164400002,468200.0,0.0,1.0
2000-08-02,42.0,42.81,41.19,41.19,24.3772935711,480300.0,0.0,1.0
2000-08-03,41.19,41.5,40.38,40.75,24.116890338,533700.0,0.0,1.0
2000-08-04,41.0,41.25,39.94,40.06,23.7085307224,898000.0,0.0,1.0
2000-08-07,40.38,42.75,40.25,42.25,25.004628632600003,623400.0,0.0,1.0
2000-08-08,41.25,43.88,41.25,42.63,25.2295223339,782300.0,0.0,1.0
2000-08-09,42.75,43.44,42.38,42.5,25.152585015,412400.0,0.0,1.0
2000-08-10,42.69,43.69,42.19,42.38,25.0815659515,379100.0,0.0,1.0
2000-08-11,42.38,43.44,42.38,43.19,25.560944630599998,310800.0,0.0,1.0
2000-08-14,45.94,46.75,44.81,45.56,26.9635711361,1001300.0,0.0,1.0
2000-08-15,45.5,45.88,44.63,45.0,26.632148839499997,454000.0,0.0,1.0
2000-08-16,45.0,45.44,44.5,44.75,26.484192457,365100.0,0.0,1.0
2000-08-17,44.5,44.88,43.88,44.31,26.2237892239,282800.0,0.0,1.0
2000-08-18,44.81,44.94,43.63,43.63,25.821347863699998,355900.0,0.0,1.0
2000-08-21,43.88,44.13,43.31,43.44,25.708901013000002,322600.0,0.0,1.0
2000-08-22,43.88,45.06,43.5,44.5,26.336236074600002,337400.0,0.0,1.0
