Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,57.25,57.88,56.13,56.25,38.5309687535,4778500.0,0.0,1.0
1999-11-02,56.31,57.13,55.63,56.13,38.4487693535,4579600.0,0.0,1.0
1999-11-03,55.75,56.44,55.0,55.75,38.1884712535,4081300.0,0.0,1.0
1999-11-04,56.5,57.0,55.88,56.0,38.3597200035,4150600.0,0.0,1.0
1999-11-05,57.5,58.75,57.25,58.06,39.770809703699996,6239900.0,0.0,1.0
1999-11-08,58.5,59.19,58.31,58.5,40.0722075037,4881400.0,0.0,1.0
1999-11-09,58.0,58.19,56.56,58.0,39.7297100037,10026300.0,0.0,1.0
1999-11-10,58.0,58.5,57.13,57.13,39.1337643536,6991200.0,0.0,1.0
1999-11-11,56.88,57.5,56.69,57.44,39.3461128036,6290200.0,0.0,1.0
1999-11-12,57.94,58.88,56.88,58.88,40.3325056037,5607700.0,0.0,1.0
1999-11-15,59.0,60.69,58.25,58.94,40.373605303699996,9037800.0,0.0,1.0
1999-11-16,59.5,60.38,58.75,59.88,41.0175006038,6215300.0,0.0,1.0
1999-11-17,59.38,60.63,58.69,58.88,40.3325056037,6465700.0,0.0,1.0
1999-11-18,59.19,59.75,58.5,59.38,40.6750031037,5723900.0,0.0,1.0
1999-11-19,58.38,59.06,57.75,58.13,39.818759353699996,4987500.0,0.0,1.0
1999-11-22,57.19,57.25,56.13,56.75,38.8734662536,6322600.0,0.0,1.0
1999-11-23,56.63,56.63,55.5,56.0,38.3597200035,6477000.0,0.0,1.0
1999-11-24,56.5,58.5,56.44,57.94,39.688610303699996,5668800.0,0.0,1.0
1999-11-26,58.0,58.69,57.63,58.21,39.8735589537,2297100.0,0.0,1.0
1999-11-29,58.5,59.38,58.0,59.0,40.4147050037,4793000.0,0.0,1.0
1999-11-30,58.75,58.94,57.25,57.5,39.387212503600004,4376100.0,0.0,1.0
1999-12-01,57.69,59.0,57.69,58.57,40.1201571537,5319400.0,0.0,1.0
1999-12-02,59.0,59.19,57.0,57.67,39.5036616536,5285000.0,0.0,1.0
1999-12-03,58.19,59.25,57.94,59.06,40.4558047037,6172000.0,0.0,1.0
1999-12-06,58.56,60.5,58.25,59.58,40.8120021038,5449000.0,0.0,1.0
1999-12-07,59.81,60.13,58.0,58.0,39.7297100037,6361700.0,0.0,1.0
1999-12-08,58.81,59.31,58.0,58.65,40.1749567537,4600000.0,0.0,1.0
1999-12-09,58.5,62.25,57.63,62.25,42.6409387539,8808100.0,0.0,1.0
1999-12-10,62.5,64.5,61.88,63.25,43.325933754,12595800.0,0.0,1.0
1999-12-13,65.5,69.19,64.75,68.0,46.5796600043,9391000.0,0.0,1.0
1999-12-14,67.0,68.5,66.94,67.06,45.935764704200004,7505100.0,0.0,1.0
1999-12-15,67.0,67.06,65.13,66.01,45.2507697042,7842800.0,0.05,1.0
1999-12-16,66.75,68.75,66.0,68.63,47.0468160097,8487000.0,0.0,1.0
1999-12-17,68.81,68.88,64.75,65.0,44.5584007085,14669900.0,0.0,1.0
1999-12-20,66.13,66.44,63.19,64.28,44.064830731499995,6330600.0,0.0,1.0
1999-12-21,64.0,65.69,63.56,64.81,44.428153075699996,4629900.0,0.0,1.0
1999-12-22,64.63,66.06,64.63,65.69,45.0314052699,3752700.0,0.0,1.0
1999-12-23,67.0,68.0,66.75,67.38,46.1899236883,3847300.0,0.0,1.0
1999-12-27,67.31,70.13,67.31,69.44,47.602082233900006,5231600.0,0.0,1.0
1999-12-28,68.63,70.19,68.56,69.31,47.512965432399994,3532000.0,0.0,1.0
1999-12-29,69.56,70.0,67.38,67.38,46.1899236883,2517600.0,0.0,1.0
1999-12-30,68.13,69.56,67.81,67.81,46.484694646899996,2643900.0,0.0,1.0
1999-12-31,68.31,70.25,68.25,69.13,47.3895729382,2112700.0,0.0,1.0
2000-01-03,68.38,69.0,65.5,66.81,45.7991807898,8369900.0,0.0,1.0
2000-01-04,65.5,65.81,64.19,64.31,44.0853961472,6745100.0,0.0,1.0
2000-01-05,63.88,64.38,62.19,62.81,43.0571253616,7018700.0,0.0,1.0
2000-01-06,63.0,64.56,62.69,63.69,43.6603775558,6544500.0,0.0,1.0
2000-01-07,64.5,68.94,64.5,68.5,46.9576992082,7976900.0,0.0,1.0
2000-01-10,67.25,67.5,65.63,67.25,46.100806886899996,6714300.0,0.0,1.0
2000-01-11,67.06,67.75,65.63,66.25,45.4152930299,4943300.0,0.0,1.0
2000-01-12,66.19,66.75,65.06,65.06,44.59953154,4085000.0,0.0,1.0
2000-01-13,66.0,66.13,65.0,65.13,44.64751751,5021000.0,0.0,1.0
2000-01-14,64.0,65.94,64.0,64.5,44.21564378,6312200.0,0.0,1.0
