Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,61.08,62.82,60.58,61.95,12.219095877,3361000.0,0.0,1.0
1999-11-02,62.5,63.19,61.26,61.33,12.0968062976,3582000.0,0.0,1.0
1999-11-03,61.76,62.82,61.51,62.57,12.341385456400001,1821400.0,0.0,1.0
1999-11-04,64.06,64.3,63.25,64.06,12.635274929400001,1509100.0,0.0,1.0
1999-11-05,64.55,65.05,63.62,63.81,12.5859646152,1052100.0,0.0,1.0
1999-11-08,64.55,64.68,61.14,62.01,12.2309303524,1519900.0,0.0,1.0
1999-11-09,62.07,62.94,61.45,62.32,12.2920751421,1676800.0,0.0,1.0
1999-11-10,61.45,61.45,59.77,60.52,11.937040879300001,1563700.0,0.0,1.0
1999-11-11,60.52,61.33,58.28,61.02,12.0356615079,2053000.0,0.0,1.0
1999-11-12,61.2,61.2,59.15,60.64,11.960709830199999,1224700.0,0.0,1.0
1999-11-15,60.39,63.19,59.59,62.69,12.3650544072,1115800.0,0.0,1.0
1999-11-16,62.63,62.75,61.82,62.07,12.2427648278,985800.0,0.0,1.0
1999-11-17,62.01,62.94,61.33,62.01,12.2309303524,884500.0,0.0,1.0
1999-11-18,62.38,63.5,61.95,62.57,12.341385456400001,700000.0,0.0,1.0
1999-11-19,62.94,62.94,60.77,60.95,12.021854619900001,449400.0,0.0,1.0
1999-11-22,60.95,60.95,58.97,60.15,11.8640616142,756200.0,0.0,1.0
1999-11-23,60.15,60.21,59.15,60.15,11.8640616142,1798900.0,0.0,1.0
1999-11-24,60.08,60.64,59.4,60.04,11.842365075899998,1017900.0,0.0,1.0
1999-11-26,60.27,60.27,58.97,59.03,11.643151406300001,240500.0,0.0,1.0
1999-11-29,59.03,59.15,58.16,58.9,11.6175100428,1353100.0,0.0,1.0
1999-11-30,59.15,61.88,59.15,60.83,11.998185669000001,1380700.0,0.0,1.0
1999-12-01,60.64,61.14,58.97,59.77,11.789109936500001,639900.0,0.0,1.0
1999-12-02,59.77,63.99,59.77,63.62,12.548488776300001,1740900.0,0.0,1.0
1999-12-03,63.13,65.05,63.13,64.74,12.7693989843,889000.0,0.0,1.0
1999-12-06,64.24,65.98,64.18,65.17,12.8542127248,958500.0,0.0,1.0
1999-12-07,64.93,65.48,63.31,64.86,12.7930679351,987900.0,0.0,1.0
1999-12-08,65.05,65.67,64.55,64.8,12.781233459700001,1195000.0,0.0,1.0
1999-12-09,65.55,66.29,64.18,64.74,12.7693989843,1224500.0,0.0,1.0
1999-12-10,64.68,66.54,63.81,65.36,12.891688563699999,879900.0,0.0,1.0
1999-12-13,65.11,65.17,61.82,62.32,12.2920751421,781000.0,0.0,1.0
1999-12-14,62.32,67.28,62.07,67.04,13.2230538756,1189500.0,0.0,1.0
1999-12-15,67.04,70.76,67.04,70.14,13.8345017726,2063000.0,0.0,1.0
1999-12-16,69.89,69.89,66.91,67.53,13.319702091600002,1000300.0,0.0,1.0
1999-12-17,68.03,68.71,67.47,68.15,13.441991670899998,1283700.0,0.0,1.0
1999-12-20,68.15,68.15,66.66,67.39,13.2920883156,851700.0,0.0,1.0
1999-12-21,66.91,68.03,66.85,67.84,13.380846881300002,1200300.0,0.0,1.0
1999-12-22,68.03,68.03,66.73,66.97,13.2092469876,781700.0,0.0,1.0
1999-12-23,67.53,69.83,67.28,69.52,13.7122121932,582500.0,0.0,1.0
1999-12-27,69.15,69.64,68.53,68.53,13.516943348599998,516100.0,0.0,1.0
1999-12-28,68.53,71.75,68.28,71.38,14.079080931400002,816700.0,0.0,1.0
1999-12-29,70.02,72.44,69.52,71.19,14.0416050925,596300.0,0.0,1.0
1999-12-30,71.07,71.19,70.02,70.45,13.8956465623,437600.0,0.0,1.0
1999-12-31,70.51,71.63,70.33,71.32,14.0672464559,168600.0,0.0,1.0
2000-01-03,70.57,70.64,68.28,69.39,13.6865708297,973700.0,0.0,1.0
2000-01-04,69.27,69.95,66.1,66.79,13.173743561300002,1201700.0,0.0,1.0
2000-01-05,66.79,70.39,66.48,70.33,13.8719776114,1184600.0,0.0,1.0
2000-01-06,70.7,73.99,69.71,73.62,14.5209013473,1307700.0,0.0,1.0
2000-01-07,71.57,72.75,70.2,71.19,14.0416050925,1728000.0,0.0,1.0
2000-01-10,71.69,71.88,69.64,70.88,13.9804603028,821900.0,0.0,1.0
2000-01-11,70.88,71.5,69.64,70.14,13.8345017726,677300.0,0.0,1.0
2000-01-12,69.15,69.39,68.28,68.46,13.503136460599999,689400.0,0.0,1.0
2000-01-13,68.46,68.9,67.28,68.09,13.4301571955,805000.0,0.0,1.0
2000-01-14,68.53,68.96,68.15,68.77,13.5642812503,863300.0,0.0,1.0
2000-01-18,68.53,68.71,65.36,66.1,13.0376470939,825700.0,0.0,1.0
2000-01-19,61.57,63.62,61.26,63.06,12.4380336723,3095500.0,0.0,1.0
2000-01-20,63.06,64.74,62.38,64.55,12.7319231454,2979700.0,0.0,1.0
2000-01-21,64.55,64.55,62.26,63.44,12.51298535,1481300.0,0.0,1.0
2000-01-24,63.44,63.93,58.66,60.58,11.9488753547,1534700.0,0.0,1.0
2000-01-25,59.09,59.65,55.74,57.79,11.3985722475,1838000.0,0.0,1.0
2000-01-26,58.0,60.0,57.5,57.88,11.4486135378,2560000.0,0.1637,1.0
2000-01-27,58.0,58.81,56.5,57.06,11.286418252699999,1335000.0,0.0,1.0
2000-01-28,56.69,59.5,56.0,59.06,11.6820165091,2502800.0,0.0,1.0
2000-01-31,58.69,58.69,55.31,57.38,11.349713973699998,1089600.0,0.0,1.0
2000-02-01,57.38,58.88,56.31,57.25,11.3240000871,1447500.0,0.0,1.0
2000-02-02,57.25,57.5,55.25,56.5,11.175650740999998,2137500.0,0.0,1.0
2000-02-03,56.0,56.38,54.56,54.62,10.80378838,1339000.0,0.0,1.0
2000-02-04,55.25,55.75,54.0,55.0,10.878952048699999,1950800.0,0.0,1.0
2000-02-07,54.25,54.5,51.88,52.63,10.410168115,1817800.0,0.0,1.0
2000-02-08,53.19,54.19,52.5,53.69,10.6198351908,2538300.0,0.0,1.0
2000-02-09,53.06,54.5,51.56,51.94,10.2736867166,1426700.0,0.0,1.0
2000-02-10,51.81,52.31,50.31,52.0,10.2855546643,5724400.0,0.0,1.0
2000-02-11,52.0,52.75,48.88,51.31,10.1490732658,2307200.0,0.0,1.0
2000-02-14,50.69,52.37,49.25,52.12,10.3092905596,1491200.0,0.0,1.0
2000-02-15,52.0,54.31,51.06,53.62,10.6059892519,1670200.0,0.0,1.0
2000-02-16,52.88,53.94,51.56,53.5,10.582253356499999,1392300.0,0.0,1.0
2000-02-17,54.75,55.12,51.5,52.81,10.4457719581,1266200.0,0.0,1.0
2000-02-18,51.62,52.0,47.44,48.75,9.64270749774,1843800.0,0.0,1.0
2000-02-22,49.19,51.62,48.0,51.62,10.2103909956,1660900.0,0.0,1.0
2000-02-23,52.0,52.0,49.31,50.0,9.88995640794,994300.0,0.0,1.0
2000-02-24,49.75,49.81,48.13,49.69,9.828638678210002,1987000.0,0.0,1.0
2000-02-25,49.63,50.19,48.44,49.31,9.753475009510002,1077300.0,0.0,1.0
2000-02-28,49.37,51.25,49.12,50.25,9.93940618998,1599600.0,0.0,1.0
2000-02-29,49.25,51.88,48.06,51.31,10.1490732658,1345600.0,0.0,1.0
2000-03-01,53.5,53.94,51.38,53.44,10.5703854088,2072100.0,0.0,1.0
2000-03-02,53.19,53.31,51.31,52.56,10.396322176,816000.0,0.0,1.0
2000-03-03,52.81,55.44,52.44,53.44,10.5703854088,1520200.0,0.0,1.0
2000-03-06,54.19,54.19,51.62,52.44,10.3725862806,1171700.0,0.0,1.0
2000-03-07,52.37,52.69,50.0,50.38,9.96512007664,1522600.0,0.0,1.0
2000-03-08,50.12,53.94,49.88,52.12,10.3092905596,1189800.0,0.0,1.0
2000-03-09,51.25,51.88,50.62,51.75,10.236104882200001,1442200.0,0.0,1.0
2000-03-10,52.31,55.44,52.31,54.44,10.768184537,887800.0,0.0,1.0
2000-03-13,52.88,55.31,52.81,55.12,10.9026879441,1511000.0,0.0,1.0
2000-03-14,54.38,54.56,51.81,52.19,10.3231364986,1132200.0,0.0,1.0
2000-03-15,52.25,55.37,52.25,54.5,10.7800524847,1875200.0,0.0,1.0
2000-03-16,54.75,59.12,53.5,59.06,11.6820165091,2024100.0,0.0,1.0
2000-03-17,58.5,58.5,55.63,55.88,11.0530152815,1361600.0,0.0,1.0
2000-03-20,56.12,58.56,56.12,56.75,11.225100523,814600.0,0.0,1.0
2000-03-21,56.75,57.81,55.06,56.81,11.236968470699999,1058500.0,0.0,1.0
2000-03-22,56.25,56.5,53.75,54.13,10.7068668072,1616700.0,0.0,1.0
2000-03-23,54.0,56.94,53.75,56.44,11.1637827933,1196800.0,0.0,1.0
2000-03-24,55.5,55.81,54.0,55.12,10.9026879441,831000.0,0.0,1.0
2000-03-27,55.25,57.38,54.94,55.12,10.9026879441,602500.0,0.0,1.0
2000-03-28,54.94,56.44,54.94,55.19,10.9165338831,1002500.0,0.0,1.0
2000-03-29,55.25,57.0,54.88,56.81,11.236968470699999,982800.0,0.0,1.0
2000-03-30,57.5,59.75,57.0,59.19,11.707730395699999,1017400.0,0.0,1.0
2000-03-31,59.12,60.25,57.0,57.0,11.274550305,1511900.0,0.0,1.0
2000-04-03,57.88,59.5,56.0,58.44,11.5593810496,1628500.0,0.0,1.0
2000-04-04,58.69,59.31,54.5,56.81,11.236968470699999,1177900.0,0.0,1.0
2000-04-05,56.5,58.37,55.94,56.75,11.225100523,1117100.0,0.0,1.0
2000-04-06,56.38,58.63,56.38,57.25,11.3240000871,688300.0,0.0,1.0
2000-04-07,57.25,58.31,56.38,58.31,11.5336671629,1058000.0,0.0,1.0
2000-04-10,59.31,61.0,59.19,60.69,12.004429088,1154600.0,0.0,1.0
2000-04-11,61.19,63.38,61.19,61.37,12.1389324951,1632700.0,0.0,1.0
2000-04-12,62.87,64.75,61.81,61.94,12.2516779982,1745600.0,0.0,1.0
2000-04-13,62.12,62.19,58.06,58.69,11.6088308316,1226300.0,0.0,1.0
2000-04-14,58.81,58.81,54.13,55.31,10.9402697785,760700.0,0.0,1.0
2000-04-17,55.56,56.81,54.31,55.0,10.878952048699999,1711300.0,0.0,1.0
2000-04-18,55.69,55.75,53.0,53.5,10.582253356499999,1332800.0,0.0,1.0
2000-04-19,52.88,55.0,52.5,53.75,10.6317031385,1256800.0,0.0,1.0
2000-04-20,53.25,54.69,52.66,54.19,10.7187347549,826000.0,0.0,1.0
2000-04-24,54.44,56.38,53.5,55.19,10.9165338831,2075000.0,0.0,1.0
2000-04-25,55.63,56.19,54.75,55.44,10.9659836651,963600.0,0.0,1.0
2000-04-26,56.0,57.69,55.5,55.94,11.064883229200001,960200.0,0.0,1.0
2000-04-27,54.13,54.56,52.37,53.0,10.4833537924,1838400.0,0.0,1.0
2000-04-28,53.0,53.94,53.0,53.38,10.558517461100001,1447700.0,0.0,1.0
2000-05-01,53.19,53.5,52.63,52.63,10.410168115,738400.0,0.0,1.0
2000-05-02,52.81,54.38,52.56,53.87,10.6554390339,1477000.0,0.0,1.0
2000-05-03,54.0,54.31,52.94,53.06,10.5276026442,655600.0,0.1637,1.0
2000-05-04,53.62,54.13,52.5,53.12,10.539507208,700600.0,0.0,1.0
2000-05-05,52.75,54.44,52.75,54.44,10.8014076131,413600.0,0.0,1.0
2000-05-08,53.56,54.56,53.38,54.19,10.7518052636,747000.0,0.0,1.0
2000-05-09,53.31,54.44,52.75,54.44,10.8014076131,754500.0,0.0,1.0
2000-05-10,54.44,55.12,53.62,54.69,10.8510099625,1571700.0,0.0,1.0
2000-05-11,55.19,55.63,53.94,54.25,10.7637098275,904900.0,0.0,1.0
2000-05-12,54.38,54.75,53.12,54.56,10.825216740799998,803700.0,0.0,1.0
2000-05-15,54.56,55.75,54.56,54.69,10.8510099625,1744500.0,0.0,1.0
2000-05-16,55.0,55.88,54.25,54.56,10.825216740799998,627400.0,0.0,1.0
2000-05-17,53.19,55.44,53.19,54.44,10.8014076131,494500.0,0.0,1.0
2000-05-18,54.88,55.0,52.75,53.38,10.5910936515,982700.0,0.0,1.0
2000-05-19,52.63,53.62,52.25,53.0,10.5156980803,687700.0,0.0,1.0
2000-05-22,53.25,53.31,51.38,51.88,10.2934795548,1364200.0,0.0,1.0
2000-05-23,50.0,50.19,47.75,48.75,9.67245813991,2976800.0,0.0,1.0
2000-05-24,49.5,51.13,49.37,50.5,10.019674586,2431000.0,0.0,1.0
2000-05-25,50.0,50.25,49.37,49.5,9.82126518822,1872300.0,0.0,1.0
2000-05-26,48.75,49.31,48.5,49.0,9.72206048935,1448000.0,0.0,1.0
2000-05-30,50.25,50.38,49.56,50.38,9.99586545823,1132200.0,0.0,1.0
2000-05-31,49.0,50.69,48.88,49.63,9.84705840992,753900.0,0.0,1.0
2000-06-01,49.5,50.19,48.38,50.0,9.92046988709,1264300.0,0.0,1.0
2000-06-02,52.0,52.62,49.81,50.0,9.92046988709,2094200.0,0.0,1.0
2000-06-05,50.0,50.44,49.06,49.69,9.85896297379,750800.0,0.0,1.0
2000-06-06,49.5,50.69,48.69,49.14,9.74983780503,1417100.0,0.0,1.0
2000-06-07,50.19,50.19,46.88,47.12,9.34905082159,1028400.0,0.0,1.0
2000-06-08,47.25,47.88,46.0,47.12,9.34905082159,1155100.0,0.0,1.0
2000-06-09,47.62,47.75,46.5,47.31,9.386748607160001,559600.0,0.0,1.0
