Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,21.56,21.81,21.38,21.81,8.748217500960001,234400.0,0.0,1.0
1999-11-02,21.75,22.13,21.75,21.88,8.776295227919999,231000.0,0.0,1.0
1999-11-03,22.0,22.0,21.44,21.56,8.647939904660001,450800.0,0.0,1.0
1999-11-04,21.63,21.88,21.44,21.63,8.67601763163,221500.0,0.0,1.0
1999-11-05,21.69,21.81,21.5,21.63,8.67601763163,320700.0,0.0,1.0
1999-11-08,21.44,21.63,21.31,21.44,8.59980665844,211400.0,0.0,1.0
1999-11-09,21.38,21.44,20.94,21.06,8.44738471207,382400.0,0.0,1.0
1999-11-10,21.06,21.19,20.81,20.88,8.37518484273,264100.0,0.0,1.0
1999-11-11,20.81,21.0,20.63,20.81,8.347107115770001,696700.0,0.0,1.0
1999-11-12,20.69,20.88,20.38,20.63,8.27490724644,325400.0,0.0,1.0
1999-11-15,20.5,20.63,20.38,20.63,8.27490724644,265200.0,0.0,1.0
1999-11-16,20.81,21.06,20.75,20.94,8.39925146585,413400.0,0.0,1.0
1999-11-17,20.94,20.94,20.63,20.75,8.32304049266,278800.0,0.0,1.0
1999-11-18,20.69,20.75,20.5,20.56,8.24682951947,368000.0,0.0,1.0
1999-11-19,20.5,20.63,20.25,20.25,8.12248530007,264400.0,0.0,1.0
1999-11-22,20.5,20.5,20.13,20.25,8.12248530007,330500.0,0.0,1.0
1999-11-23,20.19,20.25,19.88,20.25,8.12248530007,729800.0,0.0,1.0
1999-11-24,20.25,20.25,20.0,20.13,8.07435205384,340600.0,0.0,1.0
1999-11-26,20.13,20.25,20.13,20.19,8.09841867695,152700.0,0.0,1.0
1999-11-29,20.25,20.25,19.94,20.13,8.07435205384,636900.0,0.0,1.0
1999-11-30,20.06,20.44,20.06,20.44,8.19869627325,768300.0,0.0,1.0
1999-12-01,20.19,20.44,20.19,20.38,8.17462965014,302700.0,0.0,1.0
1999-12-02,20.44,20.5,20.31,20.38,8.17462965014,359600.0,0.0,1.0
1999-12-03,20.44,20.88,20.38,20.56,8.24682951947,363600.0,0.0,1.0
1999-12-06,20.69,20.81,20.5,20.63,8.27490724644,233300.0,0.0,1.0
1999-12-07,20.63,20.69,20.5,20.56,8.24682951947,324900.0,0.0,1.0
1999-12-08,20.44,20.63,20.25,20.25,8.12248530007,289700.0,0.0,1.0
1999-12-09,20.19,20.31,20.0,20.13,8.07435205384,291500.0,0.0,1.0
1999-12-10,20.13,20.31,20.0,20.0,8.02220770377,298400.0,0.0,1.0
1999-12-13,20.0,20.0,19.69,20.0,8.02220770377,421400.0,0.0,1.0
1999-12-14,20.0,20.25,19.88,20.06,8.04627432688,273500.0,0.0,1.0
1999-12-15,20.0,20.25,19.88,20.13,8.07435205384,374600.0,0.0,1.0
1999-12-16,20.19,20.31,20.13,20.19,8.09841867695,340400.0,0.0,1.0
